dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,6.178557,13.594709,0.000542,0.054158,2.707879,135.393965,0.000574
0.020000,6.178557,13.594709,0.002708,0.162473,5.415759,135.393965,0.000427
0.020000,6.178557,13.594709,0.007040,0.270788,5.415759,0.000000,0.000134
0.020000,6.183077,13.594709,0.013539,0.379103,5.415759,-0.000000,6.282880
0.020000,6.191742,13.594704,0.022205,0.487418,5.415759,0.000000,6.282295
0.020000,6.202573,13.594690,0.033036,0.595733,5.415759,0.000000,6.281566
0.020000,6.215571,13.594663,0.046034,0.704049,5.415759,0.000000,6.280692
0.020000,6.230735,13.594618,0.061198,0.812364,5.415759,0.000000,6.279676
0.020000,6.248065,13.594547,0.078528,0.920679,5.415759,0.000000,6.278519
0.020000,6.267562,13.594443,0.098025,1.028994,5.415759,-0.000000,6.277222
0.020000,6.289224,13.594299,0.119688,1.137309,5.415759,0.000000,6.275787
0.020000,6.313053,13.594104,0.143518,1.245624,5.415759,-0.000000,6.274217
0.020000,6.339047,13.593848,0.169513,1.353940,5.415759,0.000000,6.272512
0.020000,6.367207,13.593522,0.197675,1.462255,5.415759,0.000000,6.270676
0.020000,6.397533,13.593113,0.228003,1.570570,5.415759,-0.000000,6.268710
0.020000,6.430023,13.592608,0.260498,1.678885,5.415759,0.000000,6.266619
0.020000,6.464679,13.591996,0.295159,1.787200,5.415759,-0.000000,6.264405
0.020000,6.501499,13.591261,0.331986,1.895516,5.415759,0.000000,6.262071
0.020000,6.540482,13.590390,0.370979,2.003831,5.415759,-0.000000,6.259620
0.020000,6.581629,13.589367,0.412139,2.112146,5.415759,0.000000,6.257057
0.020000,6.624939,13.588177,0.455465,2.220461,5.415759,0.000000,6.254384
0.020000,6.670411,13.586804,0.500958,2.328776,5.415759,-0.000000,6.251607
0.020000,6.718043,13.585231,0.548616,2.437091,5.415759,0.000000,6.248730
0.020000,6.767836,13.583440,0.598441,2.545407,5.415759,0.000000,6.245757
0.020000,6.819788,13.581415,0.650433,2.653722,5.415759,-0.000000,6.242693
0.020000,6.873898,13.579137,0.704590,2.762037,5.415759,0.000000,6.239544
0.020000,6.930164,13.576589,0.760914,2.870352,5.415759,0.000000,6.236313
0.020000,6.988585,13.573751,0.819404,2.978667,5.415759,0.000000,6.233008
0.020000,7.049160,13.570607,0.880061,3.086982,5.415759,-0.000000,6.229634
0.020000,7.111887,13.567136,0.942884,3.195298,5.415759,0.000000,6.226196
0.020000,7.176764,13.563320,1.007873,3.303613,5.415759,0.000000,6.222702
0.020000,7.243789,13.559142,1.075028,3.411928,5.415759,-0.000000,6.219157
0.020000,7.312961,13.554582,1.144350,3.520243,5.415759,0.000000,6.215569
0.020000,7.384276,13.549622,1.215838,3.628558,5.415759,0.000000,6.211944
0.020000,7.457734,13.544245,1.289492,3.736873,5.415759,0.000000,6.208289
0.020000,7.533331,13.538432,1.365313,3.845189,5.415759,-0.000000,6.204613
0.020000,7.611066,13.532166,1.443300,3.953504,5.415759,0.000000,6.200922
0.020000,7.690936,13.525432,1.523453,4.061819,5.415759,0.000000,6.197224
0.020000,7.772938,13.518212,1.605772,4.170134,5.415759,0.000000,6.193529
0.020000,7.857071,13.510492,1.690258,4.278449,5.415759,0.000000,6.189843
0.020000,7.943330,13.502256,1.776910,4.386764,5.415759,-0.000000,6.186176
0.020000,8.031715,13.493492,1.865729,4.495080,5.415759,0.000000,6.182537
0.020000,8.122223,13.484186,1.956714,4.603395,5.415759,0.000000,6.178934
0.020000,8.214851,13.474326,2.049865,4.711710,5.415759,0.000000,6.175376
0.020000,8.309596,13.463903,2.145182,4.820025,5.415759,0.000000,6.171873
0.020000,8.406458,13.452907,2.242666,4.928340,5.415759,0.000000,6.168435
0.020000,8.505433,13.441329,2.342316,5.036656,5.415759,0.000000,6.165071
0.020000,8.606520,13.429164,2.444132,5.144971,5.415759,-0.000000,6.161792
0.020000,8.709717,13.416406,2.548114,5.253286,5.415759,0.000000,6.158607
0.020000,8.815022,13.403053,2.654263,5.361601,5.415759,0.000000,6.155527
0.020000,8.922435,13.389102,2.762578,5.469916,5.415759,0.000000,6.152562
0.020000,9.031955,13.374555,2.873060,5.578231,5.415759,0.000000,6.149723
0.020000,9.143580,13.359412,2.985708,5.686547,5.415759,0.000000,6.147022
0.020000,9.257311,13.343680,3.100522,5.794862,5.415759,0.000000,6.144468
0.020000,9.373148,13.327364,3.217502,5.903177,5.415759,-0.000000,6.142074
0.020000,9.491091,13.310474,3.336649,6.011492,5.415759,0.000000,6.139852
0.020000,9.611142,13.293020,3.457962,6.119807,5.415759,0.000000,6.137811
0.020000,9.733302,13.275018,3.581441,6.228122,5.415759,0.000000,6.135966
0.020000,9.857573,13.256483,3.707087,6.336438,5.415759,0.000000,6.134326
0.020000,9.983958,13.237434,3.834899,6.444753,5.415759,0.000000,6.132906
0.020000,10.112459,13.217896,3.964877,6.553068,5.415759,0.000000,6.131718
0.020000,10.243080,13.197892,4.097021,6.661383,5.415759,-0.000000,6.130773
0.020000,10.375827,13.177452,4.231332,6.769698,5.415759,0.000000,6.130086
0.020000,10.510703,13.156608,4.367809,6.878013,5.415759,0.000000,6.129669
0.020000,10.647100,13.135490,4.505832,6.924214,2.310010,-155.287410,6.129535
0.020000,10.783340,13.114398,4.643695,6.862099,-3.105748,-270.787931,6.129692
0.020000,10.917902,13.093606,4.779854,6.753784,-5.415759,-115.500521,6.130130
0.020000,11.050335,13.073222,4.913846,6.645468,-5.415759,0.000000,6.130838
0.020000,11.180643,13.053276,5.045672,6.537153,-5.415759,0.000000,6.131801
0.020000,11.308832,13.033797,5.175332,6.428838,-5.415759,0.000000,6.133006
0.020000,11.434904,13.014810,5.302826,6.320523,-5.415759,0.000000,6.134441
0.020000,11.558862,12.996337,5.428153,6.212208,-5.415759,0.000000,6.136094
0.020000,11.680709,12.978397,5.551314,6.103892,-5.415759,-0.000000,6.137952
0.020000,11.800448,12.961007,5.672309,5.995577,-5.415759,0.000000,6.140003
0.020000,11.918079,12.944180,5.791137,5.887262,-5.415759,0.000000,6.142235
0.020000,12.033603,12.927927,5.907799,5.778947,-5.415759,0.000000,6.144637
0.020000,12.147022,12.912258,6.022295,5.670632,-5.415759,0.000000,6.147196
0.020000,12.258334,12.897178,6.134625,5.562317,-5.415759,0.000000,6.149903
0.020000,12.367541,12.882692,6.244788,5.454001,-5.415759,0.000000,6.152745
0.020000,12.474641,12.868802,6.352785,5.345686,-5.415759,-0.000000,6.155712
0.020000,12.579633,12.855509,6.458615,5.237371,-5.415759,0.000000,6.158794
0.020000,12.682517,12.842809,6.562279,5.129056,-5.415759,0.000000,6.161979
0.020000,12.783290,12.830701,6.663777,5.020741,-5.415759,0.000000,6.165257
0.020000,12.881951,12.819179,6.763109,4.912426,-5.415759,0.000000,6.168618
0.020000,12.978498,12.808236,6.860274,4.804110,-5.415759,0.000000,6.172053
0.020000,13.072929,12.797864,6.955274,4.695795,-5.415759,0.000000,6.175551
0.020000,13.165242,12.788054,7.048106,4.587480,-5.415759,-0.000000,6.179103
0.020000,13.255434,12.778796,7.138773,4.479165,-5.415759,0.000000,6.182699
0.020000,13.343504,12.770077,7.227273,4.370850,-5.415759,0.000000,6.186331
0.020000,13.429448,12.761884,7.313607,4.262535,-5.415759,0.000000,6.189989
0.020000,13.513265,12.754205,7.397774,4.154219,-5.415759,0.000000,6.193665
0.020000,13.594951,12.747024,7.479775,4.045904,-5.415759,0.000000,6.197350
0.020000,13.674504,12.740325,7.559610,3.937589,-5.415759,-0.000000,6.201036
0.020000,13.751922,12.734094,7.637279,3.829274,-5.415759,0.000000,6.204714
0.020000,13.827203,12.728313,7.712781,3.720959,-5.415759,0.000000,6.208378
0.020000,13.900344,12.722964,7.786117,3.612644,-5.415759,-0.000000,6.212018
0.020000,13.971342,12.718031,7.857287,3.504328,-5.415759,0.000000,6.215628
0.020000,14.040196,12.713496,7.926291,3.396013,-5.415759,0.000000,6.219201
0.020000,14.106904,12.709340,7.993128,3.287698,-5.415759,-0.000000,6.222730
0.020000,14.171463,12.705544,8.057798,3.179383,-5.415759,0.000000,6.226208
0.020000,14.233872,12.702091,8.120303,3.071068,-5.415759,0.000000,6.229628
0.020000,14.294129,12.698962,8.180641,2.962752,-5.415759,0.000000,6.232984
0.020000,14.352233,12.696138,8.238813,2.854437,-5.415759,-0.000000,6.236271
0.020000,14.408181,12.693601,8.294819,2.746122,-5.415759,0.000000,6.239482
0.020000,14.461972,12.691333,8.348658,2.637807,-5.415759,0.000000,6.242612
0.020000,14.513606,12.689316,8.400331,2.529492,-5.415759,0.000000,6.245656
0.020000,14.563080,12.687531,8.449838,2.421177,-5.415759,-0.000000,6.248609
0.020000,14.610394,12.685962,8.497178,2.312861,-5.415759,0.000000,6.251466
0.020000,14.655548,12.684591,8.542352,2.204546,-5.415759,0.000000,6.254222
0.020000,14.698539,12.683403,8.585360,2.096231,-5.415759,-0.000000,6.256872
0.020000,14.739368,12.682380,8.626201,1.987916,-5.415759,0.000000,6.259414
0.020000,14.778033,12.681508,8.664876,1.879601,-5.415759,0.000000,6.261843
0.020000,14.814534,12.680771,8.701385,1.771286,-5.415759,-0.000000,6.264155
0.020000,14.848871,12.680155,8.735728,1.662970,-5.415759,0.000000,6.266347
0.020000,14.881044,12.679646,8.767904,1.554655,-5.415759,-0.000000,6.268416
0.020000,14.911051,12.679232,8.797914,1.446340,-5.415759,0.000000,6.270358
0.020000,14.938892,12.678900,8.825758,1.338025,-5.415759,0.000000,6.272172
0.020000,14.964568,12.678639,8.851435,1.229710,-5.415759,-0.000000,6.273854
0.020000,14.988079,12.678438,8.874946,1.121395,-5.415759,0.000000,6.275402
0.020000,15.009423,12.678287,8.896291,1.013079,-5.415759,-0.000000,6.276814
0.020000,15.028601,12.678177,8.915469,0.904764,-5.415759,0.000000,6.278088
0.020000,15.045613,12.678100,8.932481,0.796449,-5.415759,0.000000,6.279222
0.020000,15.060459,12.678048,8.947327,0.688134,-5.415759,0.000000,6.280216
0.020000,15.073138,12.678016,8.960007,0.579819,-5.415759,0.000000,6.281066
0.020000,15.083651,12.677997,8.970520,0.471504,-5.415759,-0.000000,6.281773
0.020000,15.091998,12.677988,8.978867,0.363188,-5.415759,0.000000,6.282336
0.020000,15.098179,12.677984,8.985048,0.254873,-5.415759,0.000000,6.282753
0.020000,15.102193,12.677983,8.989062,0.146558,-5.415759,-0.000000,6.283024
0.020000,15.104121,12.677983,8.990989,0.046200,-5.017890,19.893444,6.283154
0.020000,15.104583,12.677983,8.991451,0.000000,-2.310010,135.393965,6.283185
0.020000,15.104583,12.677983,8.991451,0.000000,0.000000,115.500521,6.283185
