dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,6.179094,12.659710,0.000542,0.054158,2.707879,135.393965,0.000574
0.020000,6.178956,12.659710,0.000679,0.006857,-2.365033,-253.645636,0.000427
0.020000,6.178682,12.659709,0.000953,0.013705,0.342384,135.370857,0.000134
0.020000,6.182791,12.659709,0.005061,0.205430,9.586286,462.195129,6.282880
0.020000,6.190909,12.659704,0.013180,0.405924,10.024672,21.919293,6.282295
0.020000,6.201059,12.659691,0.023329,0.507472,5.077391,-247.364078,6.281566
0.020000,6.213240,12.659666,0.035511,0.609063,5.079584,0.109693,6.280692
0.020000,6.227454,12.659624,0.049725,0.710713,5.082488,0.145160,6.279676
0.020000,6.243703,12.659557,0.065973,0.812423,5.085494,0.150306,6.278519
0.020000,6.261986,12.659460,0.084257,0.914204,5.089065,0.178552,6.277222
0.020000,6.282307,12.659324,0.104579,1.016071,5.093354,0.214474,6.275787
0.020000,6.304667,12.659141,0.126939,1.118025,5.097693,0.216958,6.274217
0.020000,6.329068,12.658901,0.151341,1.220085,5.102993,0.264952,6.272512
0.020000,6.355511,12.658595,0.177786,1.322251,5.108312,0.265971,6.270676
0.020000,6.383999,12.658210,0.206277,1.424543,5.114574,0.313109,6.268710
0.020000,6.414535,12.657736,0.236816,1.526959,5.120837,0.313165,6.266619
0.020000,6.447120,12.657160,0.269407,1.629522,5.128132,0.364715,6.264405
0.020000,6.481758,12.656469,0.304051,1.732232,5.135490,0.367912,6.262071
0.020000,6.518451,12.655649,0.340753,1.835105,5.143669,0.408971,6.259620
0.020000,6.557202,12.654686,0.379516,1.938150,5.152249,0.428992,6.257057
0.020000,6.598014,12.653565,0.420344,2.041377,5.161361,0.455577,6.254384
0.020000,6.640890,12.652270,0.463240,2.144797,5.170991,0.481495,6.251607
0.020000,6.685834,12.650786,0.508208,2.248421,5.181167,0.508794,6.248730
0.020000,6.732849,12.649095,0.555253,2.352263,5.192104,0.546849,6.245757
0.020000,6.781938,12.647181,0.604380,2.456326,5.203186,0.554119,6.242693
0.020000,6.833106,12.645027,0.655593,2.560630,5.215159,0.598644,6.239544
0.020000,6.886355,12.642616,0.708896,2.665181,5.227554,0.619778,6.236313
0.020000,6.941689,12.639928,0.764296,2.769989,5.240435,0.644053,6.233008
0.020000,6.999113,12.636947,0.821797,2.875072,5.254138,0.685140,6.229634
0.020000,7.058631,12.633654,0.881406,2.980434,5.268097,0.697946,6.226196
0.020000,7.120246,12.630030,0.943128,3.086089,5.282748,0.732546,6.222702
0.020000,7.183964,12.626058,1.006969,3.192050,5.298067,0.765921,6.219157
0.020000,7.249787,12.621719,1.072935,3.298324,5.313687,0.781017,6.215569
0.020000,7.317722,12.616994,1.141034,3.404926,5.330075,0.819400,6.211944
0.020000,7.387771,12.611866,1.211271,3.511864,5.346939,0.843225,6.208289
0.020000,7.459941,12.606316,1.283654,3.619150,5.364304,0.868212,6.204613
0.020000,7.534236,12.600328,1.358190,3.726796,5.382290,0.899329,6.200922
0.020000,7.610661,12.593884,1.434886,3.834811,5.400725,0.921740,6.197224
0.020000,7.689222,12.586967,1.513750,3.943205,5.419729,0.950203,6.193529
0.020000,7.769922,12.579562,1.594790,4.051990,5.439231,0.975079,6.189843
0.020000,7.852769,12.571652,1.678014,4.161175,5.459265,1.001717,6.186176
0.020000,7.937768,12.563223,1.763429,4.270770,5.479757,1.024618,6.182537
0.020000,8.024924,12.554262,1.851045,4.380786,5.500766,1.050427,6.178934
0.020000,8.114244,12.544755,1.940869,4.491231,5.522252,1.074321,6.175376
0.020000,8.205734,12.534689,2.032912,4.602115,5.544205,1.097619,6.171873
0.020000,8.299402,12.524056,2.127181,4.713448,5.566631,1.121317,6.168435
0.020000,8.395253,12.512843,2.223685,4.825238,5.589516,1.144272,6.165071
0.020000,8.493295,12.501045,2.322435,4.937495,5.612855,1.166915,6.161792
0.020000,8.593537,12.488652,2.423440,5.050227,5.636608,1.187669,6.158607
0.020000,8.695985,12.475661,2.526709,5.163444,5.660859,1.212567,6.155527
0.020000,8.800649,12.462068,2.632252,5.277155,5.685513,1.232701,6.152562
0.020000,8.907538,12.447869,2.740079,5.391367,5.710620,1.255340,6.149723
0.020000,9.016660,12.433067,2.850201,5.506090,5.736131,1.275557,6.147022
0.020000,9.128026,12.417661,2.962628,5.621332,5.762139,1.300372,6.144468
0.020000,9.241647,12.401658,3.077370,5.737103,5.788534,1.319733,6.142074
0.020000,9.357533,12.385062,3.194438,5.853411,5.815403,1.343477,6.139852
0.020000,9.475696,12.367883,3.313843,5.970266,5.842751,1.367418,6.137811
0.020000,9.596148,12.350132,3.435597,6.087676,5.870487,1.386769,6.135966
0.020000,9.718903,12.331823,3.559710,6.205652,5.898788,1.415041,6.134326
0.020000,9.843975,12.312973,3.686194,6.324202,5.927533,1.437259,6.132906
0.020000,9.971377,12.293601,3.815061,6.443337,5.956761,1.461419,6.131718
0.020000,10.101126,12.273731,3.946322,6.563069,5.986562,1.490038,6.130773
0.020000,10.233237,12.253388,4.079990,6.683406,6.016851,1.514450,6.130086
