dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,6.080617,18.389611,0.000549,0.054897,2.744845,137.242240,0.001543
0.020000,6.080918,18.389612,0.000851,0.015078,-1.990963,-236.790370,0.001221
0.020000,6.081521,18.389612,0.001453,0.030146,0.753416,137.218917,0.000576
0.020000,6.085091,18.389612,0.005023,0.178461,7.415728,333.115635,6.282794
0.020000,6.095078,18.389601,0.015010,0.499388,16.046362,431.531658,6.281506
0.020000,6.107563,18.389570,0.027495,0.624222,6.241723,-490.231929,6.279896
0.020000,6.122543,18.389507,0.042475,0.749030,6.240376,-0.067369,6.277966
0.020000,6.140018,18.389396,0.059951,0.873769,6.236951,-0.171255,6.275715
0.020000,6.159987,18.389221,0.079920,0.998458,6.234439,-0.125568,6.273146
0.020000,6.182447,18.388963,0.102382,1.123103,6.232288,-0.107544,6.270259
0.020000,6.207399,18.388601,0.127337,1.247725,6.231108,-0.059012,6.267055
0.020000,6.234840,18.388110,0.154782,1.372272,6.227313,-0.189730,6.263535
0.020000,6.264767,18.387464,0.184716,1.496708,6.221825,-0.274414,6.259703
0.020000,6.297177,18.386636,0.217137,1.621033,6.216233,-0.279592,6.255559
0.020000,6.332067,18.385594,0.252042,1.745266,6.211670,-0.228183,6.251106
0.020000,6.369433,18.384306,0.289430,1.869396,6.206500,-0.258503,6.246347
0.020000,6.409270,18.382736,0.329298,1.993385,6.199437,-0.353112,6.241284
0.020000,6.451571,18.380849,0.371641,2.117179,6.189713,-0.486199,6.235922
0.020000,6.496331,18.378605,0.416457,2.240786,6.180330,-0.469158,6.230264
0.020000,6.543541,18.375963,0.463741,2.364193,6.170357,-0.498677,6.224315
0.020000,6.593193,18.372882,0.513489,2.487392,6.159936,-0.521033,6.218079
0.020000,6.645277,18.369315,0.565695,2.610326,6.146707,-0.661439,6.211563
0.020000,6.699783,18.365218,0.620354,2.732942,6.130819,-0.794390,6.204772
0.020000,6.756697,18.360544,0.677460,2.855278,6.116805,-0.700738,6.197712
0.020000,6.816005,18.355244,0.737004,2.977239,6.098028,-0.938836,6.190393
0.020000,6.877693,18.349267,0.798981,3.098833,6.079685,-0.917155,6.182821
0.020000,6.941743,18.342564,0.863381,3.220000,6.058377,-1.065414,6.175005
0.020000,7.008137,18.335082,0.930196,3.340719,6.035930,-1.122326,6.166956
0.020000,7.076855,18.326770,0.999414,3.460942,6.011147,-1.239173,6.158683
0.020000,7.147875,18.317576,1.071027,3.580650,5.985395,-1.287603,6.150199
0.020000,7.221174,18.307445,1.145023,3.699765,5.955758,-1.481831,6.141515
0.020000,7.296726,18.296327,1.221389,3.818302,5.926842,-1.445810,6.132645
0.020000,7.374505,18.284168,1.300112,3.936146,5.892211,-1.731563,6.123602
0.020000,7.454481,18.270917,1.381178,4.053335,5.859454,-1.637832,6.114401
0.020000,7.536625,18.256523,1.464574,4.169771,5.821800,-1.882704,6.105057
0.020000,7.620904,18.240937,1.550282,4.285438,5.783358,-1.922093,6.095588
0.020000,7.707287,18.224109,1.638289,4.400309,5.743547,-1.990544,6.086011
0.020000,7.795737,18.205993,1.728575,4.514315,5.700312,-2.161767,6.076343
0.020000,7.886219,18.186544,1.821124,4.627456,5.657014,-2.164885,6.066604
0.020000,7.978697,18.165719,1.915917,4.739667,5.610583,-2.321566,6.056813
0.020000,8.073132,18.143478,2.012936,4.850935,5.563369,-2.360697,6.046990
0.020000,8.169486,18.119783,2.112161,4.961228,5.514652,-2.435823,6.037157
0.020000,8.267719,18.094600,2.213571,5.070510,5.464134,-2.525914,6.027335
0.020000,8.367793,18.067896,2.317146,5.178769,5.412915,-2.560974,6.017545
0.020000,8.469668,18.039643,2.422866,5.285979,5.360500,-2.620742,6.007811
0.020000,8.573303,18.009817,2.530708,5.392121,5.307109,-2.669511,5.998155
0.020000,8.678661,17.978396,2.640652,5.497182,5.253057,-2.702639,5.988600
0.020000,8.785703,17.945363,2.752675,5.601149,5.198346,-2.735550,5.979170
0.020000,8.894392,17.910705,2.866755,5.704013,5.143200,-2.757270,5.969888
0.020000,9.004690,17.874413,2.982870,5.805768,5.087768,-2.771591,5.960778
0.020000,9.116562,17.836481,3.100999,5.906407,5.031937,-2.791581,5.951864
0.020000,9.229976,17.796911,3.221117,6.005931,4.976209,-2.786403,5.943169
0.020000,9.344898,17.755705,3.343204,6.104336,4.920266,-2.797161,5.934719
0.020000,9.461301,17.712872,3.467236,6.201627,4.864515,-2.787510,5.926535
0.020000,9.579154,17.668427,3.593192,6.297801,4.808699,-2.790824,5.918643
0.020000,9.698435,17.622386,3.721050,6.392864,4.753145,-2.777695,5.911066
0.020000,9.819118,17.574774,3.850786,6.486806,4.697099,-2.802303,5.903828
0.020000,9.941185,17.525617,3.982379,6.579646,4.642042,-2.752830,5.896953
0.020000,10.064618,17.474950,4.115806,6.671371,4.586219,-2.791152,5.890465
0.020000,10.189402,17.422808,4.251046,6.761981,4.530491,-2.786391,5.884386
0.020000,10.315525,17.369236,4.388075,6.851475,4.474740,-2.787552,5.878742
0.020000,10.442980,17.314283,4.526872,6.939847,4.418570,-2.808497,5.873557
0.020000,10.571760,17.258000,4.667414,7.027081,4.361716,-2.842747,5.868854
0.020000,10.701862,17.200449,4.809677,7.113168,4.304320,-2.869768,5.864658
