dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,6.082060,17.454612,0.000549,0.054897,2.744845,137.242240,0.001543
0.020000,6.082060,17.454612,0.002745,0.164691,5.489690,137.242240,0.001221
0.020000,6.082060,17.454612,0.007137,0.274484,5.489690,0.000000,0.000576
0.020000,6.084725,17.454612,0.013724,0.384278,5.489690,0.000000,6.282794
0.020000,6.093508,17.454603,0.022508,0.494072,5.489690,-0.000000,6.281506
0.020000,6.104487,17.454576,0.033487,0.603866,5.489690,0.000000,6.279896
0.020000,6.117663,17.454519,0.046662,0.713660,5.489690,0.000000,6.277966
0.020000,6.133034,17.454422,0.062033,0.823453,5.489690,-0.000000,6.275715
0.020000,6.150600,17.454268,0.079600,0.933247,5.489690,0.000000,6.273146
0.020000,6.170361,17.454041,0.099363,1.043041,5.489690,-0.000000,6.270259
0.020000,6.192317,17.453722,0.121322,1.152835,5.489690,-0.000000,6.267055
0.020000,6.216469,17.453290,0.145477,1.262629,5.489690,0.000000,6.263535
0.020000,6.242813,17.452722,0.171827,1.372422,5.489690,0.000000,6.259703
0.020000,6.271350,17.451992,0.200374,1.482216,5.489690,-0.000000,6.255559
0.020000,6.302078,17.451075,0.231116,1.592010,5.489690,0.000000,6.251106
0.020000,6.334997,17.449940,0.264054,1.701804,5.489690,0.000000,6.246347
0.020000,6.370104,17.448557,0.299188,1.811598,5.489690,0.000000,6.241284
0.020000,6.407397,17.446893,0.336518,1.921391,5.489690,-0.000000,6.235922
0.020000,6.446873,17.444914,0.376044,2.031185,5.489690,0.000000,6.230264
0.020000,6.488529,17.442583,0.417765,2.140979,5.489690,-0.000000,6.224315
0.020000,6.532362,17.439863,0.461683,2.250773,5.489690,0.000000,6.218079
0.020000,6.578368,17.436712,0.507796,2.360567,5.489690,0.000000,6.211563
0.020000,6.626541,17.433092,0.556106,2.470360,5.489690,0.000000,6.204772
0.020000,6.676877,17.428957,0.606611,2.580154,5.489690,-0.000000,6.197712
0.020000,6.729368,17.424266,0.659312,2.689948,5.489690,0.000000,6.190393
0.020000,6.784009,17.418972,0.714209,2.799742,5.489690,-0.000000,6.182821
0.020000,6.840792,17.413029,0.771301,2.909535,5.489690,0.000000,6.175005
0.020000,6.899707,17.406391,0.830590,3.019329,5.489690,0.000000,6.166956
0.020000,6.960746,17.399008,0.892075,3.129123,5.489690,0.000000,6.158683
0.020000,7.023900,17.390831,0.955755,3.238917,5.489690,0.000000,6.150199
0.020000,7.089155,17.381813,1.021631,3.348711,5.489690,0.000000,6.141515
0.020000,7.156502,17.371902,1.089703,3.458504,5.489690,-0.000000,6.132645
0.020000,7.225926,17.361049,1.159971,3.568298,5.489690,0.000000,6.123602
0.020000,7.297416,17.349204,1.232435,3.678092,5.489690,0.000000,6.114401
0.020000,7.370955,17.336318,1.307095,3.787886,5.489690,0.000000,6.105057
0.020000,7.446528,17.322341,1.383951,3.897680,5.489690,-0.000000,6.095588
0.020000,7.524121,17.307225,1.463002,4.007473,5.489690,0.000000,6.086011
0.020000,7.603715,17.290923,1.544250,4.117267,5.489690,-0.000000,6.076343
0.020000,7.685295,17.273387,1.627693,4.227061,5.489690,0.000000,6.066604
0.020000,7.768842,17.254574,1.713332,4.336855,5.489690,-0.000000,6.056813
0.020000,7.854337,17.234438,1.801167,4.446649,5.489690,0.000000,6.046990
0.020000,7.941763,17.212938,1.891198,4.556442,5.489690,-0.000000,6.037157
0.020000,8.031100,17.190035,1.983425,4.666236,5.489690,0.000000,6.027335
0.020000,8.122330,17.165691,2.077848,4.776030,5.489690,0.000000,6.017545
0.020000,8.215435,17.139871,2.174466,4.885824,5.489690,-0.000000,6.007811
0.020000,8.310394,17.112541,2.273280,4.995618,5.489690,0.000000,5.998155
0.020000,8.407191,17.083673,2.374291,5.105411,5.489690,-0.000000,5.988600
0.020000,8.505808,17.053240,2.477497,5.215205,5.489690,0.000000,5.979170
