dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,6.083559,11.007547,0.000546,0.054628,2.731410,136.570505,6.281582
0.020000,6.083245,11.007547,0.000860,0.015695,-1.946662,-233.903596,6.281918
0.020000,6.082617,11.007548,0.001488,0.031381,0.784301,136.548160,6.282589
0.020000,6.084348,11.007548,0.003218,0.086531,2.757488,98.659315,0.000410
0.020000,6.091834,11.007557,0.010704,0.374297,14.388307,581.540984,0.001751
0.020000,6.101192,11.007581,0.020063,0.467925,4.681412,-485.344771,0.003428
0.020000,6.112424,11.007631,0.031294,0.561577,4.682578,0.058307,0.005438
0.020000,6.125528,11.007717,0.044399,0.655229,4.682633,0.002745,0.007782
0.020000,6.140506,11.007854,0.059377,0.748914,4.684243,0.080498,0.010458
0.020000,6.157357,11.008055,0.076230,0.842647,4.686640,0.119838,0.013466
0.020000,6.176084,11.008339,0.094959,0.936461,4.690703,0.203171,0.016806
0.020000,6.196688,11.008723,0.115566,1.030338,4.693841,0.156896,0.020474
0.020000,6.219167,11.009228,0.138051,1.124262,4.696215,0.118720,0.024470
0.020000,6.243524,11.009877,0.162417,1.218270,4.700400,0.209232,0.028792
0.020000,6.269759,11.010694,0.188665,1.312387,4.705853,0.272638,0.033438
0.020000,6.297874,11.011704,0.216798,1.406648,4.713023,0.358492,0.038405
0.020000,6.327869,11.012936,0.246818,1.501043,4.719741,0.335903,0.043690
0.020000,6.359746,11.014419,0.278730,1.595567,4.726246,0.325261,0.049289
0.020000,6.393506,11.016185,0.312535,1.690285,4.735861,0.480762,0.055200
0.020000,6.429149,11.018265,0.348239,1.785199,4.745691,0.491512,0.061418
0.020000,6.466678,11.020696,0.385847,1.880360,4.758099,0.620391,0.067937
0.020000,6.506093,11.023513,0.425362,1.975775,4.770706,0.630327,0.074752
0.020000,6.547395,11.026754,0.466791,2.071451,4.783808,0.655126,0.081857
0.020000,6.590586,11.030458,0.510141,2.167501,4.802535,0.936347,0.089245
0.020000,6.635667,11.034667,0.555418,2.263864,4.818135,0.780003,0.096909
0.020000,6.682640,11.039421,0.602631,2.360631,4.838345,1.010475,0.104840
0.020000,6.731505,11.044766,0.651787,2.457821,4.859475,1.056526,0.113029
0.020000,6.782264,11.050745,0.702898,2.555514,4.884694,1.260912,0.121465
0.020000,6.834919,11.057405,0.755971,2.653681,4.908305,1.180557,0.130139
0.020000,6.889469,11.064792,0.811020,2.752424,4.937148,1.442186,0.139037
0.020000,6.945917,11.072954,0.868055,2.851768,4.967224,1.503782,0.148148
0.020000,7.004264,11.081940,0.927090,2.951745,4.998827,1.580143,0.157457
0.020000,7.064511,11.091800,0.988138,3.052415,5.033522,1.734751,0.166949
0.020000,7.126659,11.102582,1.051215,3.153815,5.069981,1.822976,0.176610
0.020000,7.190709,11.114339,1.116335,3.256002,5.109386,1.970238,0.186422
0.020000,7.256662,11.127119,1.183515,3.359009,5.150356,2.048505,0.196367
0.020000,7.324520,11.140975,1.252772,3.462871,5.193096,2.136986,0.206428
0.020000,7.394282,11.155955,1.324125,3.567652,5.239042,2.297285,0.216584
