dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,6.082060,10.072548,0.000546,0.054628,2.731410,136.570505,6.281582
0.020000,6.082060,10.072548,0.002731,0.163885,5.462820,136.570505,6.281918
0.020000,6.082060,10.072548,0.007102,0.273141,5.462820,0.000000,6.282589
0.020000,6.084731,10.072549,0.013657,0.382397,5.462820,0.000000,0.000410
0.020000,6.093471,10.072558,0.022398,0.491654,5.462820,-0.000000,0.001751
0.020000,6.104397,10.072586,0.033323,0.600910,5.462820,0.000000,0.003428
0.020000,6.117508,10.072644,0.046434,0.710167,5.462820,0.000000,0.005438
0.020000,6.132804,10.072746,0.061730,0.819423,5.462820,-0.000000,0.007782
0.020000,6.150284,10.072905,0.079211,0.928679,5.462820,0.000000,0.010458
0.020000,6.169948,10.073140,0.098877,1.037936,5.462820,-0.000000,0.013466
0.020000,6.191797,10.073471,0.120728,1.147192,5.462820,0.000000,0.016806
0.020000,6.215830,10.073919,0.144765,1.256449,5.462820,-0.000000,0.020474
0.020000,6.242045,10.074508,0.170986,1.365705,5.462820,0.000000,0.024470
0.020000,6.270441,10.075265,0.199393,1.474961,5.462820,0.000000,0.028792
0.020000,6.301018,10.076216,0.229985,1.584218,5.462820,-0.000000,0.033438
0.020000,6.333773,10.077393,0.262762,1.693474,5.462820,0.000000,0.038405
0.020000,6.368706,10.078828,0.297724,1.802731,5.462820,0.000000,0.043690
0.020000,6.405813,10.080555,0.334871,1.911987,5.462820,-0.000000,0.049289
0.020000,6.445092,10.082609,0.374203,2.021243,5.462820,0.000000,0.055200
0.020000,6.486538,10.085028,0.415721,2.130500,5.462820,-0.000000,0.061418
0.020000,6.530150,10.087853,0.459423,2.239756,5.462820,0.000000,0.067937
0.020000,6.575921,10.091124,0.505311,2.349013,5.462820,-0.000000,0.074752
0.020000,6.623846,10.094885,0.553384,2.458269,5.462820,0.000000,0.081857
0.020000,6.673920,10.099179,0.603642,2.567525,5.462820,0.000000,0.089245
0.020000,6.726136,10.104054,0.656085,2.676782,5.462820,0.000000,0.096909
0.020000,6.780486,10.109555,0.710713,2.786038,5.462820,-0.000000,0.104840
0.020000,6.836962,10.115732,0.767526,2.895295,5.462820,0.000000,0.113029
0.020000,6.895556,10.122634,0.826525,3.004551,5.462820,-0.000000,0.121465
0.020000,6.956255,10.130311,0.887708,3.113808,5.462820,0.000000,0.130139
0.020000,7.019051,10.138814,0.951077,3.223064,5.462820,0.000000,0.139037
0.020000,7.083930,10.148196,1.016631,3.332320,5.462820,0.000000,0.148148
0.020000,7.150879,10.158507,1.084370,3.441577,5.462820,0.000000,0.157457
0.020000,7.219885,10.169799,1.154294,3.550833,5.462820,0.000000,0.166949
0.020000,7.290932,10.182126,1.226403,3.660090,5.462820,0.000000,0.176610
0.020000,7.364005,10.195539,1.300697,3.769346,5.462820,0.000000,0.186422
0.020000,7.439088,10.210088,1.377177,3.878602,5.462820,-0.000000,0.196367
0.020000,7.516162,10.225825,1.455842,3.987859,5.462820,0.000000,0.206428
0.020000,7.595209,10.242799,1.536691,4.097115,5.462820,-0.000000,0.216584
0.020000,7.676211,10.261059,1.619726,4.206372,5.462820,0.000000,0.226817
0.020000,7.759148,10.280651,1.704946,4.315628,5.462820,-0.000000,0.237104
0.020000,7.844000,10.301622,1.792351,4.424884,5.462820,0.000000,0.247423
0.020000,7.930747,10.324013,1.881942,4.534141,5.462820,-0.000000,0.257753
0.020000,8.019367,10.347867,1.973717,4.643397,5.462820,0.000000,0.268071
0.020000,8.109842,10.373222,2.067677,4.752654,5.462820,0.000000,0.278352
0.020000,8.202149,10.400114,2.163823,4.861910,5.462820,-0.000000,0.288573
0.020000,8.296270,10.428577,2.262154,4.971166,5.462820,0.000000,0.298709
0.020000,8.392184,10.458641,2.362670,5.080423,5.462820,0.000000,0.308736
0.020000,8.489872,10.490334,2.465371,5.189679,5.462820,-0.000000,0.318628
0.020000,8.589317,10.523678,2.570257,5.298936,5.462820,0.000000,0.328361
0.020000,8.690500,10.558695,2.677328,5.408192,5.462820,-0.000000,0.337909
0.020000,8.793406,10.595399,2.786585,5.517448,5.462820,0.000000,0.347246
0.020000,8.898020,10.633804,2.898026,5.626705,5.462820,-0.000000,0.356348
0.020000,9.004331,10.673917,3.011653,5.735961,5.462820,0.000000,0.365189
0.020000,9.112325,10.715743,3.127465,5.845218,5.462820,-0.000000,0.373743
0.020000,9.221996,10.759280,3.245461,5.954474,5.462820,0.000000,0.381986
0.020000,9.333336,10.804525,3.365644,6.063730,5.462820,0.000000,0.389893
0.020000,9.446341,10.851467,3.488011,6.172987,5.462820,-0.000000,0.397438
0.020000,9.561010,10.900091,3.612563,6.282243,5.462820,0.000000,0.404596
0.020000,9.677343,10.950379,3.739300,6.391500,5.462820,0.000000,0.411344
0.020000,9.795346,11.002306,3.868223,6.500756,5.462820,0.000000,0.417655
0.020000,9.915025,11.055841,3.999331,6.610012,5.462820,-0.000000,0.423504
0.020000,10.036392,11.110950,4.132623,6.719269,5.462820,0.000000,0.428867
0.020000,10.159460,11.167592,4.268101,6.828525,5.462820,0.000000,0.433719
0.020000,10.284249,11.225721,4.405764,6.937782,5.462820,-0.000000,0.438033
0.020000,10.410779,11.285283,4.545613,7.047038,5.462820,0.000000,0.441784
0.020000,10.539076,11.346219,4.687646,7.156294,5.462820,-0.000000,0.444945
0.020000,10.669170,11.408465,4.831864,7.265551,5.462820,0.000000,0.447488
0.020000,10.801095,11.471947,4.978268,7.374807,5.462820,0.000000,0.449386
0.020000,10.934887,11.536585,5.126857,7.484064,5.462820,-0.000000,0.450611
0.020000,11.070098,11.602055,5.277084,7.538692,2.731410,-136.570505,0.451131
0.020000,11.205479,11.667634,5.427512,7.504107,-1.729267,-223.033854,0.450928
0.020000,11.339783,11.732597,5.576702,7.414893,-4.460677,-136.570505,0.450013
0.020000,11.472380,11.796530,5.723908,7.305637,-5.462820,-50.107156,0.448412
0.020000,11.603130,11.859261,5.868928,7.196380,-5.462820,0.000000,0.446154
0.020000,11.732069,11.920715,6.011763,7.087124,-5.462820,-0.000000,0.443268
0.020000,11.859227,11.980824,6.152413,6.977867,-5.462820,0.000000,0.439782
0.020000,11.984633,12.039527,6.290877,6.868611,-5.462820,-0.000000,0.435723
0.020000,12.108308,12.096767,6.427157,6.759355,-5.462820,0.000000,0.431115
0.020000,12.230274,12.152497,6.561252,6.650098,-5.462820,0.000000,0.425987
0.020000,12.350545,12.206672,6.693161,6.540842,-5.462820,-0.000000,0.420362
0.020000,12.469133,12.259255,6.822885,6.431585,-5.462820,0.000000,0.414266
0.020000,12.586049,12.310215,6.950424,6.322329,-5.462820,-0.000000,0.407724
0.020000,12.701297,12.359525,7.075779,6.213073,-5.462820,0.000000,0.400761
0.020000,12.814881,12.407162,7.198947,6.103816,-5.462820,-0.000000,0.393402
0.020000,12.926799,12.453112,7.319931,5.994560,-5.462820,0.000000,0.385671
0.020000,13.037048,12.497361,7.438730,5.885303,-5.462820,0.000000,0.377594
0.020000,13.145625,12.539903,7.555343,5.776047,-5.462820,-0.000000,0.369196
0.020000,13.252519,12.580736,7.669772,5.666791,-5.462820,0.000000,0.360502
0.020000,13.357722,12.619861,7.782015,5.557534,-5.462820,-0.000000,0.351536
0.020000,13.461221,12.657286,7.892073,5.448278,-5.462820,0.000000,0.342325
0.020000,13.563003,12.693020,7.999946,5.339021,-5.462820,0.000000,0.332893
0.020000,13.663053,12.727079,8.105634,5.229765,-5.462820,-0.000000,0.323265
0.020000,13.761353,12.759479,8.209137,5.120509,-5.462820,0.000000,0.313468
0.020000,13.857886,12.790245,8.310454,5.011252,-5.462820,-0.000000,0.303526
0.020000,13.952634,12.819401,8.409587,4.901996,-5.462820,0.000000,0.293465
0.020000,14.045576,12.846975,8.506534,4.792739,-5.462820,-0.000000,0.283308
0.020000,14.136694,12.873001,8.601296,4.683483,-5.462820,0.000000,0.273081
0.020000,14.225967,12.897513,8.693873,4.574226,-5.462820,0.000000,0.262807
