dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,6.032015,10.380312,0.000550,0.054971,2.748531,137.426557,0.001921
0.020000,6.032336,10.380313,0.000871,0.016068,-1.945113,-234.682216,0.001577
0.020000,6.032979,10.380313,0.001514,0.032133,0.803232,137.417261,0.000890
0.020000,6.034845,10.380314,0.003380,0.093289,3.057824,112.729580,6.283044
0.020000,6.044926,10.380305,0.013461,0.504054,20.538247,874.021173,6.281670
0.020000,6.057527,10.380275,0.026062,0.630058,6.300204,-711.902152,6.279951
0.020000,6.072648,10.380211,0.041183,0.756076,6.300855,0.032551,6.277889
0.020000,6.090290,10.380096,0.058825,0.882096,6.301023,0.008374,6.275482
0.020000,6.110453,10.379913,0.078989,1.008190,6.304692,0.183489,6.272730
0.020000,6.133136,10.379641,0.101674,1.134249,6.302944,-0.087436,6.269633
0.020000,6.158340,10.379256,0.126881,1.260339,6.304532,0.079407,6.266191
0.020000,6.186063,10.378732,0.154609,1.386396,6.302834,-0.084898,6.262404
0.020000,6.216305,10.378041,0.184858,1.512481,6.304266,0.071589,6.258271
0.020000,6.249063,10.377151,0.217629,1.638540,6.302950,-0.065770,6.253794
0.020000,6.284337,10.376029,0.252921,1.764585,6.302219,-0.036573,6.248972
0.020000,6.322125,10.374638,0.290734,1.890662,6.303854,0.081776,6.243806
0.020000,6.362422,10.372939,0.331067,2.016651,6.299454,-0.220034,6.238296
0.020000,6.405225,10.370891,0.373919,2.142584,6.296639,-0.140722,6.232444
0.020000,6.450528,10.368450,0.419288,2.268460,6.293819,-0.141012,6.226251
0.020000,6.498326,10.365569,0.467172,2.394217,6.287849,-0.298490,6.219718
0.020000,6.548613,10.362199,0.517572,2.519986,6.288426,0.028826,6.212849
0.020000,6.601378,10.358291,0.570481,2.645472,6.274317,-0.705411,6.205646
0.020000,6.656612,10.353790,0.625899,2.770876,6.270212,-0.205295,6.198113
0.020000,6.714305,10.348641,0.683821,2.896120,6.262190,-0.401055,6.190252
0.020000,6.774444,10.342788,0.744244,3.021129,6.250435,-0.587761,6.182070
0.020000,6.837011,10.336171,0.807161,3.145831,6.235140,-0.764783,6.173571
0.020000,6.901992,10.328730,0.872566,3.270282,6.222531,-0.630450,6.164762
0.020000,6.969367,10.320402,0.940454,3.394368,6.204287,-0.912163,6.155651
0.020000,7.039115,10.311124,1.010816,3.518112,6.187201,-0.854292,6.146244
0.020000,7.111212,10.300832,1.083644,3.641429,6.165874,-1.066394,6.136551
0.020000,7.185634,10.289461,1.158929,3.764241,6.140604,-1.263500,6.126582
0.020000,7.262350,10.276945,1.236660,3.886548,6.115342,-1.263068,6.116349
0.020000,7.341331,10.263217,1.316825,4.008255,6.085358,-1.499219,6.105864
0.020000,7.422544,10.248213,1.399413,4.129368,6.055624,-1.486692,6.095141
0.020000,7.505953,10.231867,1.484408,4.249790,6.021088,-1.726801,6.084193
0.020000,7.591520,10.214113,1.571798,4.369455,5.983260,-1.891378,6.073038
0.020000,7.679203,10.194889,1.661563,4.488285,5.941521,-2.086963,6.061691
0.020000,7.768961,10.174132,1.753690,4.606335,5.902501,-1.950982,6.050172
0.020000,7.860747,10.151781,1.848158,4.723423,5.854373,-2.406420,6.038500
0.020000,7.954515,10.127778,1.944950,4.839560,5.806838,-2.376756,6.026695
0.020000,8.050215,10.102067,2.044043,4.954683,5.756179,-2.532958,6.014779
0.020000,8.147797,10.074595,2.145419,5.068774,5.704559,-2.580997,6.002774
0.020000,8.247209,10.045312,2.249053,5.181726,5.647603,-2.847791,5.990705
0.020000,8.348396,10.014171,2.354924,5.293551,5.591257,-2.817316,5.978596
0.020000,8.451306,9.981130,2.463008,5.404201,5.532464,-2.939612,5.966471
0.020000,8.555883,9.946150,2.573281,5.513635,5.471723,-3.037087,5.954358
0.020000,8.662074,9.909196,2.685718,5.621828,5.409636,-3.104328,5.942281
0.020000,8.769823,9.870238,2.800293,5.728768,5.347013,-3.131171,5.930269
0.020000,8.879076,9.829252,2.916982,5.834432,5.283179,-3.191675,5.918349
0.020000,8.989782,9.786216,3.035758,5.938812,5.219026,-3.207676,5.906547
0.020000,9.101887,9.741114,3.156596,6.041902,5.154468,-3.227896,5.894892
0.020000,9.215344,9.693938,3.279470,6.143702,5.090004,-3.223172,5.883411
0.020000,9.330103,9.644679,3.404354,6.244214,5.025607,-3.219852,5.872132
0.020000,9.446121,9.593340,3.531223,6.343450,4.961817,-3.189508,5.861082
0.020000,9.563353,9.539924,3.660051,6.441411,4.898031,-3.189307,5.850288
0.020000,9.681761,9.484441,3.790814,6.538126,4.835746,-3.114266,5.839777
0.020000,9.801309,9.426907,3.923486,6.633598,4.773615,-3.106549,5.829575
0.020000,9.921963,9.367341,4.058043,6.727851,4.712625,-3.049501,5.819709
0.020000,10.043696,9.305770,4.194461,6.820912,4.653058,-2.978320,5.810205
0.020000,10.166482,9.242223,4.332717,6.912780,4.593393,-2.983266,5.801087
0.020000,10.290300,9.176736,4.472786,7.003483,4.535162,-2.911565,5.792380
0.020000,10.415135,9.109349,4.614647,7.093042,4.477970,-2.859582,5.784109
0.020000,10.540972,9.040108,4.758276,7.181457,4.420748,-2.861117,5.776299
0.020000,10.667805,8.969064,4.903651,7.268749,4.364569,-2.808951,5.768974
0.020000,10.795629,8.896271,5.050750,7.354925,4.308813,-2.787797,5.762157
0.020000,10.924447,8.821791,5.199549,7.439979,4.252695,-2.805913,5.755872
0.020000,11.054263,8.745689,5.350027,7.523902,4.196157,-2.826884,5.750144
0.020000,11.185088,8.668038,5.502161,7.606699,4.139879,-2.813884,5.744997
0.020000,11.316934,8.588913,5.655928,7.688342,4.082111,-2.888385,5.740454
0.020000,11.449821,8.508397,5.811305,7.768821,4.023945,-2.908324,5.736543
0.020000,11.583772,8.426579,5.968266,7.848091,3.963512,-3.021653,5.733287
0.020000,11.718813,8.343553,6.126789,7.926124,3.901683,-3.091463,5.730714
0.020000,11.854975,8.259420,6.286846,8.002869,3.837248,-3.221728,5.728851
0.020000,11.992293,8.174290,6.448412,8.078275,3.770295,-3.347670,5.727726
0.020000,12.130805,8.088277,6.611457,8.152281,3.700266,-3.501418,5.727371
0.020000,12.270553,8.001504,6.775954,8.224814,3.626658,-3.680434,5.727815
