dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,6.033811,9.445314,0.000550,0.054971,2.748531,137.426557,0.001921
0.020000,6.033811,9.445314,0.002749,0.164912,5.497062,137.426557,0.001577
0.020000,6.033811,9.445314,0.007146,0.274853,5.497062,0.000000,0.000890
0.020000,6.034713,9.445314,0.013743,0.384794,5.497062,0.000000,6.283044
0.020000,6.043509,9.445306,0.022538,0.494736,5.497062,-0.000000,6.281670
0.020000,6.054503,9.445280,0.033532,0.604677,5.497062,0.000000,6.279951
0.020000,6.067696,9.445224,0.046725,0.714618,5.497062,-0.000000,6.277889
0.020000,6.083087,9.445124,0.062117,0.824559,5.497062,0.000000,6.275482
0.020000,6.100677,9.444964,0.079707,0.934501,5.497062,-0.000000,6.272730
0.020000,6.120465,9.444727,0.099497,1.044442,5.497062,0.000000,6.269633
0.020000,6.142451,9.444391,0.121485,1.154383,5.497062,-0.000000,6.266191
0.020000,6.166633,9.443934,0.145672,1.264324,5.497062,0.000000,6.262404
0.020000,6.193012,9.443331,0.172058,1.374266,5.497062,0.000000,6.258271
0.020000,6.221586,9.442555,0.200643,1.484207,5.497062,0.000000,6.253794
0.020000,6.252354,9.441576,0.231426,1.594148,5.497062,-0.000000,6.248972
0.020000,6.285314,9.440363,0.264409,1.704089,5.497062,0.000000,6.243806
0.020000,6.320464,9.438881,0.299590,1.814031,5.497062,0.000000,6.238296
0.020000,6.357802,9.437094,0.336970,1.923972,5.497062,0.000000,6.232444
0.020000,6.397323,9.434965,0.376549,2.033913,5.497062,-0.000000,6.226251
0.020000,6.439024,9.432451,0.418326,2.143854,5.497062,0.000000,6.219718
0.020000,6.482903,9.429511,0.462303,2.253796,5.497062,-0.000000,6.212849
0.020000,6.528951,9.426100,0.508478,2.363737,5.497062,0.000000,6.205646
0.020000,6.577165,9.422171,0.556852,2.473678,5.497062,-0.000000,6.198113
0.020000,6.627538,9.417676,0.607425,2.583619,5.497062,0.000000,6.190252
0.020000,6.680062,9.412564,0.660197,2.693561,5.497062,0.000000,6.182070
0.020000,6.734727,9.406783,0.715168,2.803502,5.497062,-0.000000,6.173571
0.020000,6.791525,9.400278,0.772337,2.913443,5.497062,0.000000,6.164762
0.020000,6.850445,9.392995,0.831706,3.023384,5.497062,0.000000,6.155651
0.020000,6.911474,9.384877,0.893273,3.133325,5.497062,-0.000000,6.146244
0.020000,6.974600,9.375866,0.957039,3.243267,5.497062,0.000000,6.136551
0.020000,7.039808,9.365903,1.023003,3.353208,5.497062,0.000000,6.126582
0.020000,7.107081,9.354927,1.091167,3.463149,5.497062,0.000000,6.116349
0.020000,7.176404,9.342878,1.161529,3.573090,5.497062,0.000000,6.105864
0.020000,7.247757,9.329696,1.234090,3.683032,5.497062,-0.000000,6.095141
0.020000,7.321121,9.315318,1.308851,3.792973,5.497062,0.000000,6.084193
0.020000,7.396475,9.299683,1.385809,3.902914,5.497062,-0.000000,6.073038
0.020000,7.473795,9.282731,1.464967,4.012855,5.497062,0.000000,6.061691
