dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,6.035607,8.510316,0.000550,0.054971,2.748531,137.426557,0.001921
0.020000,6.035286,8.510315,0.000871,0.016068,-1.945113,-234.682216,0.001577
0.020000,6.034643,8.510314,0.001514,0.032133,0.803232,137.417261,0.000890
0.020000,6.034581,8.510314,0.001576,0.003096,-1.451857,-112.754446,6.283044
0.020000,6.042092,8.510308,0.009086,0.375534,18.621897,1003.687676,6.281670
0.020000,6.051479,8.510285,0.018474,0.469378,4.692230,-696.483328,6.279951
0.020000,6.062743,8.510237,0.029738,0.563214,4.691784,-0.022330,6.277889
0.020000,6.075884,8.510152,0.042879,0.657032,4.690918,-0.043290,6.275482
0.020000,6.090901,8.510015,0.057897,0.750886,4.692672,0.087696,6.272730
0.020000,6.107794,8.509813,0.074790,0.844696,4.690484,-0.109405,6.269633
0.020000,6.126562,8.509526,0.093561,0.938515,4.690970,0.024318,6.266191
0.020000,6.147204,8.509136,0.114207,1.032301,4.689307,-0.083164,6.262404
0.020000,6.169720,8.508621,0.136729,1.126109,4.690392,0.054294,6.258271
0.020000,6.194110,8.507959,0.161127,1.219909,4.689986,-0.020326,6.253794
0.020000,6.220371,8.507124,0.187402,1.313723,4.690715,0.036467,6.248972
0.020000,6.248504,8.506088,0.215554,1.407604,4.694069,0.167697,6.243806
0.020000,6.278507,8.504823,0.245583,1.501484,4.693966,-0.005139,6.238296
0.020000,6.310378,8.503298,0.277492,1.595409,4.696269,0.115149,6.232444
0.020000,6.344118,8.501480,0.311280,1.689409,4.699993,0.186198,6.226251
0.020000,6.379722,8.499334,0.346949,1.783469,4.703009,0.150795,6.219718
0.020000,6.417193,8.496823,0.384504,1.877724,4.712764,0.487742,6.212849
0.020000,6.456525,8.493910,0.423944,1.971998,4.713673,0.045439,6.205646
0.020000,6.497718,8.490553,0.465273,2.066485,4.724371,0.534914,6.198113
0.020000,6.540771,8.486711,0.508497,2.161180,4.734740,0.518428,6.190252
0.020000,6.585680,8.482340,0.553618,2.256083,4.745163,0.521148,6.182070
0.020000,6.632444,8.477394,0.600643,2.351204,4.756033,0.543534,6.173571
0.020000,6.681059,8.471827,0.649576,2.446649,4.772258,0.811238,6.164762
0.020000,6.731523,8.465589,0.700424,2.542406,4.787867,0.780432,6.155651
0.020000,6.783833,8.458631,0.753195,2.638570,4.808180,1.015638,6.146244
0.020000,6.837988,8.450900,0.807898,2.735158,4.829382,1.060102,6.136551
0.020000,6.893982,8.442344,0.864542,2.832196,4.851897,1.125778,6.126582
0.020000,6.951813,8.432909,0.923138,2.929773,4.878882,1.349265,6.116349
