dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.888042,17.234999,0.000545,0.054494,2.724711,136.235564,0.001094
0.020000,5.888298,17.235000,0.000802,0.012830,-2.083209,-240.396036,0.000819
0.020000,5.888811,17.235000,0.001314,0.025646,0.640809,136.200899,0.000271
0.020000,5.893966,17.234999,0.006469,0.257723,11.603854,548.152288,6.282634
0.020000,5.903709,17.234988,0.016212,0.487146,11.471119,-6.636752,6.281539
0.020000,5.915885,17.234960,0.028389,0.608843,6.084879,-269.312008,6.280172
0.020000,5.930495,17.234904,0.042998,0.730467,6.081205,-0.183708,6.278535
0.020000,5.947536,17.234808,0.060039,0.852056,6.079448,-0.087848,6.276628
0.020000,5.967005,17.234659,0.079510,0.973523,6.073318,-0.306521,6.274455
0.020000,5.988902,17.234441,0.101408,1.094896,6.068648,-0.233471,6.272016
0.020000,6.013223,17.234137,0.125731,1.216149,6.062673,-0.298773,6.269315
0.020000,6.039966,17.233726,0.152476,1.337298,6.057428,-0.262252,6.266354
0.020000,6.069127,17.233188,0.181642,1.458272,6.048731,-0.434824,6.263137
0.020000,6.100701,17.232501,0.213224,1.579090,6.040880,-0.392574,6.259667
0.020000,6.134684,17.231638,0.247218,1.699720,6.031524,-0.467788,6.255947
0.020000,6.171072,17.230574,0.283622,1.820173,6.022637,-0.444355,6.251982
0.020000,6.209858,17.229282,0.322429,1.940381,6.010375,-0.613103,6.247778
0.020000,6.251036,17.227732,0.363636,2.060362,5.999074,-0.565017,6.243338
0.020000,6.294599,17.225893,0.407238,2.180079,5.985867,-0.660392,6.238669
0.020000,6.340539,17.223734,0.453228,2.299504,5.971229,-0.731902,6.233776
0.020000,6.388846,17.221221,0.501601,2.418639,5.956734,-0.724718,6.228666
0.020000,6.439512,17.218321,0.552350,2.537432,5.939685,-0.852445,6.223347
0.020000,6.492525,17.214998,0.605467,2.655871,5.921955,-0.886503,6.217826
0.020000,6.547875,17.211216,0.660946,2.773936,5.903246,-0.935463,6.212110
0.020000,6.605548,17.206938,0.718777,2.891582,5.882288,-1.047911,6.206209
0.020000,6.665532,17.202128,0.778953,3.008800,5.860905,-1.069137,6.200132
0.020000,6.727811,17.196748,0.841464,3.125558,5.837885,-1.151017,6.193889
0.020000,6.792370,17.190759,0.906301,3.241818,5.813012,-1.243653,6.187491
0.020000,6.859193,17.184123,0.973452,3.357580,5.788067,-1.247211,6.180947
0.020000,6.928262,17.176803,1.042908,3.472780,5.760036,-1.401595,6.174271
0.020000,6.999558,17.168761,1.114656,3.587410,5.731511,-1.426233,6.167474
0.020000,7.073062,17.159960,1.188685,3.701445,5.701717,-1.489672,6.160569
0.020000,7.148752,17.150362,1.264982,3.814844,5.669979,-1.586912,6.153569
0.020000,7.226609,17.139933,1.343534,3.927595,5.637539,-1.622004,6.146489
0.020000,7.306608,17.128636,1.424327,4.039659,5.603174,-1.718233,6.139344
0.020000,7.388728,17.116439,1.507348,4.151019,5.568010,-1.758207,6.132147
0.020000,7.472943,17.103309,1.592580,4.261640,5.531042,-1.848409,6.124916
0.020000,7.559230,17.089215,1.680010,4.371508,5.493428,-1.880692,6.117666
0.020000,7.647563,17.074128,1.769622,4.480598,5.454469,-1.947985,6.110413
0.020000,7.737916,17.058022,1.861400,4.588884,5.414324,-2.007215,6.103176
0.020000,7.830264,17.040871,1.955327,4.696349,5.373221,-2.055172,6.095971
0.020000,7.924580,17.022653,2.051387,4.802973,5.331240,-2.099051,6.088817
0.020000,8.020838,17.003348,2.149561,4.908739,5.288307,-2.146615,6.081732
