dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.890087,15.365001,0.000545,0.054494,2.724711,136.235564,0.001094
0.020000,5.889831,15.365000,0.000802,0.012830,-2.083209,-240.396036,0.000819
0.020000,5.889318,15.365000,0.001314,0.025646,0.640809,136.200899,0.000271
0.020000,5.892935,15.364999,0.004931,0.180848,7.760095,355.964320,6.282634
0.020000,5.900630,15.364990,0.012627,0.384761,10.195640,121.777274,6.281539
0.020000,5.910251,15.364968,0.022247,0.481040,4.813977,-269.083193,6.280172
0.020000,5.921798,15.364924,0.033795,0.577370,4.816472,0.124788,6.278535
0.020000,5.935274,15.364848,0.047271,0.673803,4.821646,0.258670,6.276628
0.020000,5.950679,15.364731,0.062677,0.770294,4.824567,0.146076,6.274455
0.020000,5.968016,15.364558,0.080015,0.866892,4.829899,0.266602,6.272016
0.020000,5.987287,15.364317,0.099287,0.963602,4.835510,0.280551,6.269315
0.020000,6.008494,15.363991,0.120496,1.060464,4.843076,0.378288,6.266354
0.020000,6.031639,15.363564,0.143645,1.157451,4.849348,0.313615,6.263137
0.020000,6.056725,15.363018,0.168737,1.254607,4.857804,0.422783,6.259667
0.020000,6.083755,15.362331,0.195776,1.351940,4.866655,0.442571,6.255947
0.020000,6.112732,15.361484,0.224766,1.449491,4.877550,0.544748,6.251982
0.020000,6.143660,15.360454,0.255711,1.547241,4.887510,0.497982,6.247778
0.020000,6.176542,15.359216,0.288615,1.645243,4.900069,0.627939,6.243338
0.020000,6.211381,15.357745,0.323485,1.743503,4.913024,0.647768,6.238669
0.020000,6.248181,15.356016,0.360326,1.842040,4.926836,0.690567,6.233776
0.020000,6.286946,15.353999,0.399144,1.940897,4.942845,0.800455,6.228666
0.020000,6.327681,15.351668,0.439946,2.040076,4.958967,0.806113,6.223347
0.020000,6.370390,15.348990,0.482738,2.139612,4.976776,0.890440,6.217826
0.020000,6.415076,15.345937,0.527529,2.239534,4.996102,0.966329,6.212110
0.020000,6.461745,15.342476,0.574326,2.339853,5.015982,0.993986,6.206209
0.020000,6.510401,15.338574,0.623138,2.440612,5.037941,1.097947,6.200132
0.020000,6.561049,15.334198,0.673975,2.541833,5.061045,1.155195,6.193889
0.020000,6.613694,15.329314,0.726845,2.643536,5.085150,1.205246,6.187491
0.020000,6.668340,15.323888,0.781761,2.745771,5.111733,1.329144,6.180947
0.020000,6.724994,15.317884,0.838731,2.848537,5.138343,1.330522,6.174271
0.020000,6.783659,15.311266,0.897769,2.951879,5.167097,1.437714,6.167474
0.020000,6.844342,15.304000,0.958886,3.055826,5.197351,1.512686,6.160569
0.020000,6.907048,15.296049,1.022094,3.160397,5.228517,1.558313,6.153569
0.020000,6.971783,15.287377,1.087406,3.265628,5.261582,1.653218,6.146489
0.020000,7.038551,15.277949,1.154837,3.371538,5.295477,1.694757,6.139344
0.020000,7.107359,15.267728,1.224400,3.478159,5.331070,1.779648,6.132147
0.020000,7.178213,15.256681,1.296110,3.585508,5.367442,1.818591,6.124916
0.020000,7.251119,15.244772,1.369983,3.693618,5.405472,1.901506,6.117666
0.020000,7.326084,15.231969,1.446033,3.802507,5.444473,1.950067,6.110413
0.020000,7.403114,15.218237,1.524277,3.912196,5.484470,1.999839,6.103176
0.020000,7.482215,15.203546,1.604731,4.022707,5.525537,2.053368,6.095971
0.020000,7.563396,15.187865,1.687412,4.134060,5.567626,2.104437,6.088817
0.020000,7.646663,15.171165,1.772337,4.246271,5.610551,2.146253,6.081732
0.020000,7.732025,15.153419,1.859525,4.359357,5.654288,2.186834,6.074734
0.020000,7.819490,15.134601,1.948991,4.473333,5.698836,2.227418,6.067843
0.020000,7.909068,15.114687,2.040755,4.588214,5.744018,2.259105,6.061078
0.020000,8.000767,15.093656,2.134836,4.704012,5.789900,2.294115,6.054459
0.020000,8.094599,15.071490,2.231250,4.820737,5.836294,2.319673,6.048006
0.020000,8.190575,15.048172,2.330019,4.938406,5.883404,2.355528,6.041737
0.020000,8.288707,15.023688,2.431159,5.057022,5.930840,2.371795,6.035675
0.020000,8.389009,14.998027,2.534691,5.176601,5.978931,2.404537,6.029840
0.020000,8.491495,14.971184,2.640634,5.297150,6.027453,2.426102,6.024251
0.020000,8.596180,14.943153,2.749008,5.418677,6.076333,2.443997,6.018931
