dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.983475,15.940629,0.000549,0.054863,2.743134,137.156680,6.280953
0.020000,5.983845,15.940629,0.000919,0.018523,-1.816989,-228.006115,6.281349
0.020000,5.984586,15.940627,0.001660,0.037048,0.926257,137.162275,6.282142
0.020000,5.986502,15.940627,0.003576,0.095781,2.936667,100.520520,0.000145
0.020000,5.996764,15.940637,0.013838,0.513103,20.866070,896.470161,0.001731
0.020000,6.009592,15.940672,0.026666,0.641423,6.416009,-722.503079,0.003716
0.020000,6.024988,15.940747,0.042063,0.769816,6.419654,0.182270,0.006100
0.020000,6.042953,15.940882,0.060028,0.898271,6.422749,0.154748,0.008886
0.020000,6.063490,15.941097,0.080565,1.026868,6.429843,0.354684,0.012074
0.020000,6.086598,15.941418,0.103676,1.155551,6.434144,0.215056,0.015668
0.020000,6.112280,15.941871,0.129362,1.284293,6.437110,0.148279,0.019669
0.020000,6.140536,15.942489,0.157624,1.413115,6.441104,0.199736,0.024078
0.020000,6.171367,15.943306,0.188466,1.542086,6.448556,0.372594,0.028899
0.020000,6.204773,15.944359,0.221889,1.671134,6.452400,0.192216,0.034134
0.020000,6.240753,15.945690,0.257893,1.800221,6.454325,0.096234,0.039784
0.020000,6.279310,15.947342,0.296486,1.929619,6.469905,0.779006,0.045852
0.020000,6.320438,15.949363,0.337664,2.058900,6.464055,-0.292520,0.052339
0.020000,6.364136,15.951803,0.381430,2.188318,6.470913,0.342930,0.059248
0.020000,6.410401,15.954718,0.427786,2.317817,6.474922,0.200402,0.066580
0.020000,6.459226,15.958163,0.476733,2.447308,6.474578,-0.017169,0.074336
0.020000,6.510606,15.962201,0.528272,2.576951,6.482119,0.377061,0.082516
0.020000,6.564531,15.966894,0.582400,2.706422,6.473568,-0.427550,0.091120
0.020000,6.620991,15.972311,0.639120,2.835986,6.478208,0.231986,0.100148
0.020000,6.679975,15.978519,0.698429,2.965456,6.473503,-0.235251,0.109598
0.020000,6.741466,15.985593,0.760325,3.094833,6.468841,-0.233101,0.119467
0.020000,6.805445,15.993607,0.824804,3.223938,6.455233,-0.680415,0.129753
0.020000,6.871892,16.002639,0.891863,3.352925,6.449382,-0.292547,0.140449
0.020000,6.940782,16.012769,0.961494,3.481563,6.431908,-0.873691,0.151551
0.020000,7.012089,16.024079,1.033692,3.609897,6.416697,-0.760557,0.163051
0.020000,7.085780,16.036652,1.108448,3.737795,6.394866,-1.091566,0.174939
0.020000,7.161819,16.050574,1.185751,3.865164,6.368443,-1.321106,0.187206
0.020000,7.240170,16.065929,1.265592,3.992045,6.344067,-1.218840,0.199838
0.020000,7.320786,16.082803,1.347956,4.118178,6.306681,-1.869286,0.212822
0.020000,7.403621,16.101282,1.432827,4.243556,6.268862,-1.890937,0.226141
0.020000,7.488623,16.121450,1.520188,4.368066,6.225535,-2.166367,0.239776
0.020000,7.575735,16.143392,1.610022,4.491686,6.180976,-2.227914,0.253708
0.020000,7.664897,16.167190,1.702305,4.614157,6.123536,-2.872003,0.267914
0.020000,7.756046,16.192922,1.797016,4.735560,6.070178,-2.667944,0.282369
0.020000,7.849112,16.220666,1.894129,4.855661,6.005015,-3.258123,0.297046
0.020000,7.944024,16.250494,1.993618,4.974451,5.939521,-3.274685,0.311916
0.020000,8.040708,16.282475,2.095454,5.091772,5.866056,-3.673259,0.326949
0.020000,8.139085,16.316672,2.199605,5.207586,5.790700,-3.767817,0.342113
0.020000,8.239077,16.353145,2.306041,5.321799,5.710640,-4.002976,0.357373
0.020000,8.340602,16.391947,2.414729,5.434356,5.627857,-4.139180,0.372693
0.020000,8.443578,16.433123,2.525632,5.545184,5.541391,-4.323296,0.388037
0.020000,8.547923,16.476715,2.638717,5.654235,5.452555,-4.441802,0.403366
0.020000,8.653555,16.522756,2.753947,5.761492,5.362847,-4.485375,0.418643
0.020000,8.760393,16.571273,2.871285,5.866903,5.270548,-4.614961,0.433827
0.020000,8.868358,16.622284,2.990694,5.970470,5.178358,-4.609499,0.448880
0.020000,8.977374,16.675802,3.112138,6.072191,5.086030,-4.616429,0.463762
0.020000,9.087367,16.731831,3.235579,6.172071,4.994008,-4.601073,0.478432
0.020000,9.198268,16.790371,3.360982,6.270135,4.903218,-4.539510,0.492854
0.020000,9.310011,16.851411,3.488310,6.366405,4.813511,-4.485358,0.506987
0.020000,9.422536,16.914937,3.617529,6.460930,4.726229,-4.364082,0.520796
0.020000,9.535790,16.980924,3.748604,6.553747,4.640836,-4.269642,0.534242
0.020000,9.649722,17.049345,3.881502,6.644910,4.558163,-4.133672,0.547292
