dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,2.281929,2.121142,0.002424,0.096977,1.939549,38.790971,6.282894
0.050000,2.287650,2.121150,0.008145,0.114415,0.348742,-31.816132,0.002856
0.050000,2.298310,2.121208,0.018806,0.213213,1.975972,32.544597,0.008085
0.050000,2.313245,2.121383,0.033742,0.298716,1.710054,-5.318348,0.015367
0.050000,2.332463,2.121768,0.052964,0.384448,1.714638,0.091683,0.024661
0.050000,2.355978,2.122481,0.076489,0.470506,1.721164,0.130501,0.035907
0.050000,2.383803,2.123664,0.104339,0.556998,1.729841,0.173547,0.049029
0.050000,2.415954,2.125482,0.136542,0.644050,1.741046,0.224098,0.063926
0.050000,2.452449,2.128123,0.173132,0.731810,1.755200,0.283083,0.080471
0.050000,2.493307,2.131791,0.214155,0.820446,1.772723,0.350464,0.098508
0.050000,2.538547,2.136707,0.259661,0.910137,1.793812,0.421778,0.117848
0.050000,2.588191,2.143103,0.309715,1.001074,1.818731,0.498369,0.138269
0.050000,2.642258,2.151218,0.364388,1.093451,1.847552,0.576438,0.159511
0.050000,2.700770,2.161293,0.423761,1.187459,1.880153,0.652005,0.181284
0.050000,2.763749,2.173563,0.487924,1.283273,1.916280,0.722553,0.203266
0.050000,2.831221,2.188251,0.556977,1.381046,1.955469,0.783771,0.225104
0.050000,2.903215,2.205560,0.631022,1.480907,1.997217,0.834954,0.246426
0.050000,2.979767,2.225665,0.710170,1.582953,2.040924,0.874141,0.266842
0.050000,3.060922,2.248705,0.794532,1.687256,2.086046,0.902439,0.285948
0.050000,3.146744,2.274773,0.884226,1.793865,2.132183,0.922738,0.303331
0.050000,3.237314,2.303907,0.979367,1.902820,2.179096,0.938265,0.318572
0.050000,3.332744,2.336083,1.080075,2.014163,2.226875,0.955587,0.331245
0.050000,3.433179,2.371203,1.186472,2.127956,2.275850,0.979488,0.340910
0.050000,3.538806,2.409085,1.298687,2.244290,2.326684,1.016686,0.347113
0.050000,3.649863,2.449448,1.416852,2.363304,2.380285,1.072031,0.349375
0.050000,3.762109,2.490258,1.536287,2.388689,0.507689,-37.451925,0.347351
0.050000,3.871064,2.529375,1.652051,2.315278,-1.468212,-39.518015,0.341368
0.050000,3.976660,2.566364,1.763938,2.237746,-1.550641,-1.648583,0.331904
0.050000,4.078864,2.600908,1.871821,2.157667,-1.601580,-1.018778,0.319417
0.050000,4.177607,2.632770,1.975578,2.075138,-1.650582,-0.980054,0.304344
0.050000,4.272792,2.661792,2.075089,1.990222,-1.698318,-0.954706,0.287113
0.050000,4.364292,2.687889,2.170237,1.902963,-1.745181,-0.937270,0.268142
0.050000,4.451957,2.711038,2.260907,1.813402,-1.791221,-0.920787,0.247844
0.050000,4.535622,2.731281,2.346987,1.721588,-1.836271,-0.901007,0.226622
0.050000,4.615113,2.748713,2.428366,1.627592,-1.879919,-0.872960,0.204867
0.050000,4.690251,2.763477,2.504942,1.531510,-1.921651,-0.834644,0.182952
0.050000,4.760865,2.775757,2.576615,1.433467,-1.960854,-0.784058,0.161228
0.050000,4.826790,2.785768,2.643296,1.333614,-1.997055,-0.724018,0.140019
0.050000,4.887877,2.793747,2.704902,1.232126,-2.029759,-0.654090,0.119617
0.050000,4.943996,2.799945,2.761362,1.129191,-2.058703,-0.578879,0.100282
0.050000,4.995032,2.804618,2.812612,1.025001,-2.083799,-0.501918,0.082238
0.050000,5.040894,2.808017,2.858599,0.919748,-2.105064,-0.425296,0.065675
0.050000,5.081506,2.810384,2.899280,0.813611,-2.122745,-0.353619,0.050751
0.050000,5.116809,2.811945,2.934618,0.706755,-2.137116,-0.287411,0.037594
0.050000,5.146760,2.812903,2.964584,0.599335,-2.148407,-0.225831,0.026306
0.050000,5.171328,2.813435,2.989158,0.491469,-2.157307,-0.178008,0.016966
0.050000,5.190490,2.813690,3.008322,0.383276,-2.163865,-0.131142,0.009633
0.050000,5.204232,2.813786,3.022064,0.274843,-2.168654,-0.095787,0.004349
0.050000,5.212545,2.813809,3.030377,0.166252,-2.171828,-0.063471,0.001143
0.050000,5.215423,2.813810,3.033255,0.057568,-2.173679,-0.037021,0.000031
0.050000,5.215503,2.813810,3.033335,0.001605,-1.119263,21.088312,6.283185
0.050000,5.215503,2.813810,3.033335,0.000000,-0.032100,21.743250,6.283185
