dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,2.281847,1.841642,0.002424,0.096977,1.939549,38.790971,6.282894
0.050000,2.288448,1.841651,0.009698,0.193955,1.939549,0.000000,0.002856
0.050000,2.300570,1.841717,0.021820,0.290932,1.939549,0.000000,0.008085
0.050000,2.317540,1.841916,0.038791,0.387910,1.939549,-0.000000,0.015367
0.050000,2.339355,1.842353,0.060611,0.484887,1.939549,0.000000,0.024661
0.050000,2.366012,1.843161,0.087280,0.581865,1.939549,-0.000000,0.035907
0.050000,2.397501,1.844500,0.118797,0.678842,1.939549,0.000000,0.049029
0.050000,2.433809,1.846553,0.155164,0.775819,1.939549,-0.000000,0.063926
0.050000,2.474916,1.849528,0.196379,0.872797,1.939549,0.000000,0.080471
0.050000,2.520795,1.853646,0.242444,0.969774,1.939549,0.000000,0.098508
0.050000,2.571410,1.859146,0.293357,1.066752,1.939549,-0.000000,0.117848
0.050000,2.626714,1.866271,0.349119,1.163729,1.939549,-0.000000,0.138269
0.050000,2.686652,1.875267,0.409730,1.260707,1.939549,0.000000,0.159511
0.050000,2.751162,1.886373,0.475189,1.357684,1.939549,0.000000,0.181284
0.050000,2.820172,1.899817,0.545498,1.454661,1.939549,-0.000000,0.203266
0.050000,2.893608,1.915802,0.620656,1.551639,1.939549,0.000000,0.225104
0.050000,2.971396,1.934503,0.700662,1.648616,1.939549,0.000000,0.246426
0.050000,3.053467,1.956057,0.785517,1.745594,1.939549,-0.000000,0.266842
0.050000,3.139760,1.980554,0.875221,1.842571,1.939549,0.000000,0.285948
0.050000,3.230231,2.008033,0.969774,1.939549,1.939549,0.000000,0.303331
0.050000,3.324857,2.038470,1.069176,2.036526,1.939549,-0.000000,0.318572
0.050000,3.423643,2.071777,1.173427,2.133503,1.939549,0.000000,0.331245
0.050000,3.526628,2.107788,1.282526,2.230481,1.939549,-0.000000,0.340910
0.050000,3.633887,2.146254,1.396475,2.327458,1.939549,0.000000,0.347113
0.050000,3.745539,2.186833,1.515272,2.424436,1.939549,0.000000,0.349375
0.050000,3.857253,2.227450,1.634141,2.330321,-1.882291,-76.436790,0.347351
0.050000,3.964634,2.266002,1.748233,2.233344,-1.939549,-1.145151,0.341368
0.050000,4.067734,2.302118,1.857476,2.136366,-1.939549,-0.000000,0.331904
0.050000,4.166630,2.335545,1.961869,2.039389,-1.939549,0.000000,0.319417
0.050000,4.261364,2.366115,2.061414,1.942411,-1.939549,0.000000,0.304344
0.050000,4.351942,2.393734,2.156111,1.845434,-1.939549,0.000000,0.287113
0.050000,4.438342,2.418377,2.245958,1.748457,-1.939549,0.000000,0.268142
0.050000,4.520522,2.440078,2.330956,1.651479,-1.939549,-0.000000,0.247844
0.050000,4.598422,2.458927,2.411106,1.554502,-1.939549,0.000000,0.226622
0.050000,4.671973,2.475058,2.486406,1.457524,-1.939549,0.000000,0.204867
0.050000,4.741102,2.488642,2.556858,1.360547,-1.939549,-0.000000,0.182952
0.050000,4.805733,2.499882,2.622461,1.263569,-1.939549,0.000000,0.161228
0.050000,4.865797,2.509004,2.683215,1.166592,-1.939549,0.000000,0.140019
0.050000,4.921231,2.516244,2.739120,1.069615,-1.939549,0.000000,0.119617
0.050000,4.971978,2.521849,2.790177,0.972637,-1.939549,-0.000000,0.100282
0.050000,5.017992,2.526062,2.836384,0.875660,-1.939549,0.000000,0.082238
0.050000,5.059237,2.529119,2.877743,0.778682,-1.939549,0.000000,0.065675
0.050000,5.095684,2.531244,2.914252,0.681705,-1.939549,-0.000000,0.050751
0.050000,5.127314,2.532643,2.945913,0.584727,-1.939549,0.000000,0.037594
0.050000,5.154112,2.533500,2.972725,0.487750,-1.939549,-0.000000,0.026306
0.050000,5.176070,2.533975,2.994688,0.390773,-1.939549,0.000000,0.016966
0.050000,5.193183,2.534203,3.011802,0.293795,-1.939549,0.000000,0.009633
0.050000,5.205448,2.534288,3.024068,0.196818,-1.939549,0.000000,0.004349
0.050000,5.212864,2.534309,3.031484,0.099840,-1.939549,-0.000000,0.001143
0.050000,5.215432,2.534310,3.034052,0.002863,-1.939549,0.000000,0.000031
0.050000,5.215503,2.534310,3.034123,0.000000,-0.057258,37.645819,6.283185
0.050000,5.215503,2.534310,3.034123,0.000000,0.000000,1.145151,6.283185
