dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,2.281766,1.562142,0.002424,0.096977,1.939549,38.790971,6.282894
0.050000,2.289246,1.562152,0.009905,0.149609,1.052634,-17.738283,0.002856
0.050000,2.302830,1.562227,0.023488,0.271672,2.441258,27.772481,0.008085
0.050000,2.321835,1.562449,0.042495,0.380128,2.169120,-5.442767,0.015367
0.050000,2.346247,1.562938,0.066912,0.488345,2.164345,-0.095504,0.024661
0.050000,2.376046,1.563841,0.096724,0.596239,2.157878,-0.129344,0.035907
0.050000,2.411199,1.565336,0.131909,0.703700,2.149208,-0.173389,0.049029
0.050000,2.451664,1.567624,0.172439,0.810597,2.137949,-0.225184,0.063926
0.050000,2.497384,1.570932,0.218278,0.916784,2.123747,-0.284039,0.080471
0.050000,2.548284,1.575501,0.269383,1.022099,2.106299,-0.348967,0.098508
0.050000,2.604272,1.581584,0.325701,1.126357,2.085162,-0.422727,0.117848
0.050000,2.665237,1.589438,0.387169,1.229368,2.060214,-0.498968,0.138269
0.050000,2.731047,1.599315,0.453716,1.330938,2.031405,-0.576171,0.159511
0.050000,2.801554,1.611454,0.525260,1.430879,1.998812,-0.651871,0.181284
0.050000,2.876594,1.626071,0.601711,1.529016,1.962736,-0.721524,0.203266
0.050000,2.955994,1.643354,0.682971,1.625194,1.923559,-0.783529,0.225104
0.050000,3.039578,1.663447,0.768935,1.719287,1.881865,-0.833892,0.246426
0.050000,3.127167,1.686449,0.859495,1.811198,1.838211,-0.873080,0.266842
0.050000,3.218598,1.712403,0.954538,1.900854,1.793135,-0.901520,0.285948
0.050000,3.313718,1.741293,1.053948,1.988208,1.747066,-0.921378,0.303331
0.050000,3.412399,1.773034,1.157609,2.073216,1.700176,-0.937795,0.318572
0.050000,3.514542,1.807471,1.265401,2.155838,1.652440,-0.954723,0.331245
0.050000,3.620077,1.844373,1.377201,2.236012,1.603466,-0.979470,0.340910
0.050000,3.728969,1.883424,1.492884,2.313642,1.552607,-1.017181,0.347113
0.050000,3.841215,1.924219,1.612313,2.388589,1.498939,-1.073364,0.349375
0.050000,3.952397,1.964643,1.730616,2.366067,-0.450429,-38.987369,0.347351
0.050000,4.058204,2.002630,1.843035,2.248380,-2.353744,-38.066286,0.341368
0.050000,4.158807,2.037872,1.949633,2.131948,-2.328650,0.501868,0.331904
0.050000,4.254397,2.070183,2.050536,2.018061,-2.277737,1.018268,0.319417
0.050000,4.345121,2.099459,2.145867,1.906625,-2.228728,0.980173,0.304344
0.050000,4.431092,2.125675,2.235746,1.797577,-2.180956,0.955450,0.287113
0.050000,4.512393,2.148864,2.320289,1.690873,-2.134067,0.937770,0.268142
0.050000,4.589088,2.169119,2.399613,1.586475,-2.087964,0.922061,0.247844
0.050000,4.661222,2.186574,2.473830,1.484332,-2.042865,0.901990,0.226622
0.050000,4.728834,2.201402,2.543049,1.384374,-1.999160,0.874092,0.204867
0.050000,4.791952,2.213806,2.607374,1.286504,-1.957399,0.835219,0.182952
0.050000,4.850601,2.224007,2.666904,1.190598,-1.918128,0.785427,0.161228
0.050000,4.904805,2.232239,2.721729,1.096501,-1.881939,0.723775,0.140019
0.050000,4.954584,2.238742,2.771931,1.004040,-1.849212,0.654530,0.119617
0.050000,4.999959,2.243754,2.817582,0.913028,-1.820243,0.579384,0.100282
0.050000,5.040951,2.247507,2.858746,0.823270,-1.795161,0.501649,0.082238
0.050000,5.077580,2.250222,2.895474,0.734576,-1.773882,0.425585,0.065675
0.050000,5.109863,2.252104,2.927812,0.646763,-1.756254,0.352557,0.050751
0.050000,5.137819,2.253340,2.955796,0.559665,-1.741958,0.285918,0.037594
0.050000,5.161464,2.254096,2.979453,0.473139,-1.730527,0.228617,0.026306
0.050000,5.180812,2.254515,2.998805,0.387048,-1.721810,0.174346,0.016966
0.050000,5.195875,2.254716,3.013870,0.301290,-1.715165,0.132891,0.009633
0.050000,5.206663,2.254791,3.024658,0.215768,-1.710435,0.094607,0.004349
0.050000,5.213183,2.254809,3.031178,0.130407,-1.707229,0.064117,0.001143
0.050000,5.215440,2.254810,3.033435,0.045137,-1.705397,0.036636,0.000031
0.050000,5.215503,2.254810,3.033498,0.001258,-0.877574,16.556459,6.283185
0.050000,5.215503,2.254810,3.033498,0.000000,-0.025166,17.048165,6.283185
