dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.932598,18.244866,0.000548,0.054842,2.742079,137.103935,0.000071
0.020000,1.932618,18.244866,0.000569,0.001036,-2.690276,-271.617720,0.000049
0.020000,1.932660,18.244866,0.000611,0.002070,0.051713,137.099447,0.000005
0.020000,1.938856,18.244866,0.006807,0.309806,15.386797,766.754179,6.283123
0.020000,1.947713,18.244865,0.015664,0.442859,6.652630,-436.708342,6.283035
0.020000,1.958784,18.244863,0.026735,0.553560,5.535066,-55.878192,6.282925
0.020000,1.972069,18.244858,0.040020,0.664252,5.534611,-0.022734,6.282794
0.020000,1.987568,18.244851,0.055519,0.774934,5.534077,-0.026714,6.282641
0.020000,2.005280,18.244840,0.073231,0.885603,5.533449,-0.031433,6.282467
0.020000,2.025205,18.244824,0.093156,0.996257,5.532728,-0.036047,6.282272
0.020000,2.047343,18.244801,0.115294,1.106896,5.531923,-0.040245,6.282056
0.020000,2.071693,18.244771,0.139644,1.217516,5.531026,-0.044816,6.281821
0.020000,2.098256,18.244731,0.166207,1.328117,5.530036,-0.049498,6.281566
0.020000,2.127030,18.244680,0.194981,1.438696,5.528959,-0.053859,6.281292
0.020000,2.158015,18.244617,0.225966,1.549252,5.527792,-0.058340,6.280999
0.020000,2.191210,18.244540,0.259161,1.659783,5.526535,-0.062886,6.280688
0.020000,2.226616,18.244445,0.294567,1.770287,5.525190,-0.067243,6.280360
0.020000,2.264231,18.244333,0.332182,1.880762,5.523751,-0.071954,6.280014
0.020000,2.304055,18.244199,0.372006,1.991206,5.522225,-0.076298,6.279653
0.020000,2.346087,18.244043,0.414039,2.101618,5.520607,-0.080900,6.279275
0.020000,2.390326,18.243861,0.458279,2.211996,5.518902,-0.085235,6.278883
0.020000,2.436773,18.243652,0.504725,2.322338,5.517104,-0.089925,6.278477
0.020000,2.485425,18.243412,0.553378,2.432643,5.515218,-0.094256,6.278057
0.020000,2.536282,18.243141,0.604236,2.542908,5.513239,-0.098998,6.277625
0.020000,2.589344,18.242834,0.657299,2.653131,5.511175,-0.103194,6.277182
0.020000,2.644609,18.242489,0.712565,2.763311,5.509017,-0.107901,6.276728
0.020000,2.702077,18.242105,0.770034,2.873447,5.506769,-0.112362,6.276264
0.020000,2.761746,18.241678,0.829705,2.983535,5.504432,-0.116849,6.275791
0.020000,2.823616,18.241205,0.891576,3.093576,5.502005,-0.121357,6.275311
0.020000,2.887685,18.240685,0.955648,3.203565,5.499488,-0.125867,6.274824
0.020000,2.953953,18.240115,1.021918,3.313503,5.496882,-0.130287,6.274332
0.020000,3.022417,18.239492,1.090385,3.423387,5.494184,-0.134921,6.273836
0.020000,3.093078,18.238813,1.161050,3.533215,5.491397,-0.139348,6.273336
0.020000,3.165934,18.238077,1.233909,3.642985,5.488521,-0.143812,6.272835
0.020000,3.240984,18.237281,1.308963,3.752696,5.485553,-0.148394,6.272333
0.020000,3.318226,18.236424,1.386210,3.862346,5.482496,-0.152829,6.271832
0.020000,3.397660,18.235502,1.465649,3.971933,5.479349,-0.157348,6.271332
0.020000,3.479283,18.234514,1.547278,4.081455,5.476113,-0.161825,6.270836
0.020000,3.563094,18.233458,1.631096,4.190911,5.472786,-0.166339,6.270346
0.020000,3.649093,18.232333,1.717102,4.300298,5.469370,-0.170815,6.269861
0.020000,3.737277,18.231137,1.805295,4.409616,5.465863,-0.175317,6.269384
0.020000,3.827645,18.229868,1.895672,4.518861,5.462267,-0.179793,6.268917
0.020000,3.920196,18.228526,1.988232,4.628033,5.458582,-0.184291,6.268460
0.020000,4.014928,18.227110,2.082975,4.737129,5.454806,-0.188765,6.268016
0.020000,4.111840,18.225619,2.179898,4.846147,5.450940,-0.193289,6.267587
0.020000,4.210929,18.224052,2.279000,4.955087,5.446986,-0.197722,6.267173
0.020000,4.312195,18.222410,2.380279,5.063946,5.442941,-0.202237,6.266777
0.020000,4.415635,18.220693,2.483733,5.172722,5.438807,-0.206733,6.266400
0.020000,4.521248,18.218901,2.589361,5.281414,5.434583,-0.211187,6.266044
0.020000,4.629032,18.217035,2.697162,5.390019,5.430269,-0.215688,6.265712
0.020000,4.738986,18.215097,2.807132,5.498537,5.425865,-0.220185,6.265404
0.020000,4.851107,18.213087,2.919272,5.606964,5.421372,-0.224649,6.265123
0.020000,4.965394,18.211007,3.033578,5.715300,5.416789,-0.229170,6.264872
0.020000,5.081845,18.208861,3.150049,5.823542,5.412116,-0.233635,6.264651
0.020000,5.200459,18.206651,3.268682,5.931689,5.407354,-0.238118,6.264462
0.020000,5.321232,18.204380,3.389477,6.039739,5.402501,-0.242646,6.264309
0.020000,5.444164,18.202052,3.512431,6.147690,5.397559,-0.247126,6.264193
0.020000,5.569252,18.199670,3.637542,6.255541,5.392526,-0.251617,6.264116
0.020000,5.696495,18.197241,3.764808,6.363289,5.387404,-0.256131,6.264080
0.020000,5.825890,18.194768,3.894226,6.470933,5.382191,-0.260634,6.264088
0.020000,5.957435,18.192259,4.025796,6.578471,5.376888,-0.265145,6.264142
0.020000,6.091129,18.189719,4.159514,6.685900,5.371495,-0.269644,6.264244
