dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.224214,1.515680,0.002426,0.097031,1.940628,38.812567,6.283162
0.050000,0.226970,1.515680,0.009703,0.194063,1.940628,0.000000,0.000014
0.050000,0.239099,1.515680,0.021832,0.291094,1.940628,-0.000000,0.000075
0.050000,0.256079,1.515682,0.038813,0.388126,1.940628,0.000000,0.000161
0.050000,0.277911,1.515687,0.060645,0.485157,1.940628,-0.000000,0.000270
0.050000,0.304595,1.515696,0.087328,0.582189,1.940628,0.000000,0.000402
0.050000,0.336130,1.515711,0.118863,0.679220,1.940628,0.000000,0.000558
0.050000,0.372517,1.515735,0.155250,0.776251,1.940628,-0.000000,0.000735
0.050000,0.413755,1.515769,0.196489,0.873283,1.940628,0.000000,0.000934
0.050000,0.459845,1.515817,0.242579,0.970314,1.940628,0.000000,0.001153
0.050000,0.510787,1.515882,0.293520,1.067346,1.940628,0.000000,0.001392
0.050000,0.566580,1.515967,0.349313,1.164377,1.940628,-0.000000,0.001649
0.050000,0.627224,1.516075,0.409958,1.261408,1.940628,0.000000,0.001923
0.050000,0.692720,1.516211,0.475454,1.358440,1.940628,0.000000,0.002213
0.050000,0.763068,1.516377,0.545802,1.455471,1.940628,0.000000,0.002518
0.050000,0.838267,1.516579,0.621001,1.552503,1.940628,-0.000000,0.002835
0.050000,0.918317,1.516819,0.701052,1.649534,1.940628,0.000000,0.003165
0.050000,1.003219,1.517102,0.785954,1.746566,1.940628,-0.000000,0.003503
0.050000,1.092973,1.517432,0.875709,1.843597,1.940628,0.000000,0.003850
0.050000,1.187578,1.517813,0.970314,1.940628,1.940628,-0.000000,0.004203
0.050000,1.287034,1.518249,1.069771,2.037660,1.940628,0.000000,0.004560
0.050000,1.391342,1.518743,1.174080,2.134691,1.940628,-0.000000,0.004919
0.050000,1.500500,1.519300,1.283240,2.231723,1.940628,0.000000,0.005277
0.050000,1.614511,1.519922,1.397252,2.328754,1.940628,0.000000,0.005633
0.050000,1.733372,1.520613,1.516116,2.425785,1.940628,0.000000,0.005984
0.050000,1.857085,1.521375,1.639831,2.522817,1.940628,-0.000000,0.006327
0.050000,1.985649,1.522210,1.768398,2.619848,1.940628,0.000000,0.006660
0.050000,2.119064,1.523120,1.901816,2.716880,1.940628,0.000000,0.006980
0.050000,2.257330,1.524106,2.040086,2.813911,1.940628,-0.000000,0.007285
0.050000,2.400448,1.525170,2.183207,2.910943,1.940628,0.000000,0.007570
0.050000,2.548416,1.526310,2.331180,3.007974,1.940628,-0.000000,0.007834
0.050000,2.701236,1.527526,2.484004,3.105005,1.940628,0.000000,0.008073
0.050000,2.858906,1.528816,2.641680,3.202037,1.940628,0.000000,0.008284
0.050000,3.021428,1.530178,2.804208,3.299068,1.940628,-0.000000,0.008464
0.050000,3.188801,1.531607,2.971587,3.396100,1.940628,0.000000,0.008609
0.050000,3.361026,1.533099,3.143818,3.493131,1.940628,0.000000,0.008715
0.050000,3.538101,1.534649,3.320900,3.590162,1.940628,0.000000,0.008779
0.050000,3.716925,1.536221,3.499731,3.563048,-0.542293,-49.658430,0.008797
0.050000,3.892644,1.537765,3.675457,3.466016,-1.940628,-27.966704,0.008770
0.050000,4.063513,1.539259,3.846332,3.368985,-1.940628,0.000000,0.008700
0.050000,4.229530,1.540695,4.012356,3.271954,-1.940628,-0.000000,0.008591
0.050000,4.390696,1.542068,4.173527,3.174922,-1.940628,0.000000,0.008447
0.050000,4.547011,1.543375,4.329848,3.077891,-1.940628,-0.000000,0.008272
0.050000,4.698475,1.544613,4.481317,2.980859,-1.940628,0.000000,0.008067
0.050000,4.845087,1.545779,4.627934,2.883828,-1.940628,-0.000000,0.007838
0.050000,4.986849,1.546873,4.769699,2.786796,-1.940628,0.000000,0.007586
0.050000,5.123759,1.547893,4.906613,2.689765,-1.940628,0.000000,0.007315
0.050000,5.255818,1.548841,5.038676,2.592734,-1.940628,0.000000,0.007027
0.050000,5.383026,1.549716,5.165887,2.495702,-1.940628,-0.000000,0.006727
0.050000,5.505383,1.550520,5.288246,2.398671,-1.940628,0.000000,0.006415
0.050000,5.622888,1.551255,5.405754,2.301639,-1.940628,0.000000,0.006095
0.050000,5.735542,1.551924,5.518410,2.204608,-1.940628,0.000000,0.005770
0.050000,5.843345,1.552528,5.626215,2.107577,-1.940628,-0.000000,0.005441
0.050000,5.946297,1.553071,5.729168,2.010545,-1.940628,0.000000,0.005111
0.050000,6.044397,1.553557,5.827269,1.913514,-1.940628,0.000000,0.004782
0.050000,6.137646,1.553988,5.920519,1.816482,-1.940628,-0.000000,0.004457
0.050000,6.226043,1.554368,6.008917,1.719451,-1.940628,0.000000,0.004136
0.050000,6.309590,1.554700,6.092464,1.622419,-1.940628,0.000000,0.003823
0.050000,6.388284,1.554989,6.171159,1.525388,-1.940628,0.000000,0.003519
0.050000,6.462127,1.555238,6.245003,1.428357,-1.940628,0.000000,0.003225
0.050000,6.531119,1.555451,6.313995,1.331325,-1.940628,-0.000000,0.002944
0.050000,6.595259,1.555631,6.378135,1.234294,-1.940628,0.000000,0.002676
0.050000,6.654548,1.555782,6.437424,1.137262,-1.940628,-0.000000,0.002423
0.050000,6.708985,1.555908,6.491862,1.040231,-1.940628,0.000000,0.002186
0.050000,6.758571,1.556011,6.541447,0.943200,-1.940628,-0.000000,0.001966
0.050000,6.803305,1.556094,6.586182,0.846168,-1.940628,0.000000,0.001765
0.050000,6.843188,1.556161,6.626064,0.749137,-1.940628,-0.000000,0.001583
0.050000,6.878219,1.556214,6.661095,0.652105,-1.940628,-0.000000,0.001422
0.050000,6.908398,1.556255,6.691275,0.555074,-1.940628,0.000000,0.001281
0.050000,6.933726,1.556285,6.716603,0.458042,-1.940628,0.000000,0.001162
0.050000,6.954202,1.556308,6.737079,0.361011,-1.940628,-0.000000,0.001065
0.050000,6.969827,1.556324,6.752704,0.263980,-1.940628,-0.000000,0.000991
0.050000,6.980600,1.556335,6.763477,0.166948,-1.940628,0.000000,0.000939
0.050000,6.986522,1.556340,6.769399,0.069917,-1.940628,0.000000,0.000911
0.050000,6.988270,1.556342,6.771147,0.000000,-1.398335,10.845863,0.000903
0.050000,6.988270,1.556342,6.771147,0.000000,0.000000,27.966704,0.000903
0.050000,6.988270,1.556342,6.771147,0.000000,0.000000,0.000000,0.000903
