dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,-0.000314,-0.279500,0.000622,0.024873,0.497460,9.949192,6.282060
0.050000,0.001101,-0.279499,0.002037,0.028311,0.068768,-8.573836,0.000926
0.050000,0.005168,-0.279489,0.006104,0.081330,1.060382,19.832285,0.004352
0.050000,0.010865,-0.279450,0.011801,0.113946,0.652311,-8.161428,0.009163
0.050000,0.018197,-0.279360,0.019134,0.146657,0.654227,0.038321,0.015375
0.050000,0.027168,-0.279188,0.028107,0.179459,0.656038,0.036230,0.023006
0.050000,0.037784,-0.278896,0.038726,0.212386,0.658536,0.049948,0.032078
0.050000,0.050047,-0.278438,0.050998,0.245442,0.661128,0.051852,0.042614
0.050000,0.063962,-0.277761,0.064930,0.278628,0.663718,0.051802,0.054638
0.050000,0.079531,-0.276803,0.080528,0.311957,0.666568,0.057002,0.068173
0.050000,0.096751,-0.275497,0.097797,0.345390,0.668658,0.041792,0.083241
0.050000,0.115617,-0.273765,0.116743,0.378918,0.670560,0.038036,0.099857
0.050000,0.136120,-0.271523,0.137368,0.412497,0.671585,0.020495,0.118031
0.050000,0.158241,-0.268678,0.159671,0.446068,0.671419,-0.003313,0.137760
0.050000,0.181955,-0.265133,0.183649,0.479553,0.669704,-0.034307,0.159031
0.050000,0.207226,-0.260784,0.209292,0.512855,0.666041,-0.073253,0.181811
0.050000,0.234008,-0.255525,0.236585,0.545864,0.660172,-0.117368,0.206045
0.050000,0.262239,-0.249245,0.265506,0.578424,0.651205,-0.179340,0.231656
0.050000,0.291847,-0.241839,0.296026,0.610390,0.639314,-0.237824,0.258536
0.050000,0.322741,-0.233204,0.328104,0.641577,0.623755,-0.311192,0.286546
0.050000,0.354821,-0.223243,0.361695,0.671814,0.604723,-0.380635,0.315515
0.050000,0.387971,-0.211872,0.396740,0.700905,0.581834,-0.457782,0.345240
0.050000,0.422064,-0.199023,0.433175,0.728685,0.555592,-0.524842,0.375486
0.050000,0.456967,-0.184643,0.470925,0.754998,0.526258,-0.586683,0.405989
0.050000,0.492544,-0.168699,0.509910,0.779716,0.494376,-0.637625,0.436464
0.050000,0.528657,-0.151181,0.550048,0.802756,0.460787,-0.671779,0.466612
0.050000,0.565176,-0.132099,0.591252,0.824070,0.426278,-0.690180,0.496123
0.050000,0.601979,-0.111486,0.633434,0.843654,0.391692,-0.691726,0.524688
0.050000,0.638960,-0.089394,0.676512,0.861544,0.357792,-0.677992,0.552003
0.050000,0.676027,-0.065892,0.720402,0.877802,0.325168,-0.652491,0.577776
0.050000,0.713110,-0.041066,0.765027,0.892515,0.294245,-0.618449,0.601731
0.050000,0.750156,-0.015015,0.810316,0.905771,0.265122,-0.582465,0.623608
0.050000,0.787133,0.012150,0.856199,0.917657,0.237727,-0.547909,0.643161
0.050000,0.824027,0.040308,0.902611,0.928242,0.211702,-0.520492,0.660157
0.050000,0.860844,0.069328,0.949489,0.937568,0.186523,-0.503589,0.674371
