dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.235485,10.766304,0.000548,0.054791,2.739572,136.978597,6.283074
0.020000,3.235452,10.766304,0.000582,0.001686,-2.655289,-269.743041,6.283110
0.020000,3.235384,10.766304,0.000649,0.003367,0.084057,136.967289,6.283182
0.020000,3.241648,10.766304,0.006912,0.313163,15.489826,770.288438,0.000104
0.020000,3.250280,10.766306,0.015545,0.431634,5.923539,-478.314318,0.000248
0.020000,3.261072,10.766310,0.026336,0.539577,5.397122,-26.320846,0.000426
0.020000,3.274023,10.766316,0.039287,0.647542,5.398253,0.056550,0.000639
0.020000,3.289133,10.766328,0.054398,0.755534,5.399610,0.067851,0.000886
0.020000,3.306405,10.766346,0.071669,0.863558,5.401194,0.079176,0.001166
0.020000,3.325837,10.766371,0.091101,0.971618,5.403003,0.090460,0.001479
0.020000,3.347431,10.766407,0.112696,1.079719,5.405039,0.101817,0.001824
0.020000,3.371188,10.766455,0.136453,1.187865,5.407302,0.113115,0.002199
0.020000,3.397110,10.766517,0.162374,1.296060,5.409790,0.124400,0.002604
0.020000,3.425196,10.766596,0.190461,1.404310,5.412505,0.135780,0.003038
0.020000,3.455448,10.766695,0.220713,1.512619,5.415446,0.147036,0.003498
0.020000,3.487868,10.766817,0.253133,1.620992,5.418615,0.158441,0.003985
0.020000,3.522456,10.766963,0.287721,1.729432,5.422007,0.169594,0.004496
0.020000,3.559214,10.767138,0.324480,1.837944,5.425629,0.181120,0.005030
0.020000,3.598144,10.767345,0.363411,1.946534,5.429475,0.192294,0.005585
0.020000,3.639248,10.767586,0.404515,2.055205,5.433548,0.203659,0.006160
0.020000,3.682526,10.767866,0.447794,2.163962,5.437847,0.214952,0.006753
0.020000,3.727981,10.768187,0.493250,2.272809,5.442373,0.226304,0.007361
0.020000,3.775615,10.768552,0.540886,2.381752,5.447124,0.237509,0.007983
0.020000,3.825429,10.768966,0.590701,2.490794,5.452103,0.248968,0.008616
0.020000,3.877426,10.769431,0.642700,2.599940,5.457307,0.260185,0.009259
0.020000,3.931607,10.769950,0.696884,2.709195,5.462736,0.271449,0.009908
0.020000,3.987975,10.770527,0.753255,2.818563,5.468392,0.282804,0.010563
0.020000,4.046533,10.771165,0.811816,2.928048,5.474271,0.293967,0.011219
0.020000,4.107282,10.771867,0.872569,3.037655,5.480377,0.305293,0.011875
0.020000,4.170225,10.772635,0.935517,3.147390,5.486714,0.316846,0.012528
0.020000,4.235365,10.773472,1.000662,3.257255,5.493267,0.327650,0.013175
0.020000,4.302704,10.774381,1.068007,3.367256,5.500049,0.339102,0.013812
0.020000,4.372245,10.775363,1.137555,3.477397,5.507061,0.350586,0.014438
0.020000,4.443991,10.776422,1.209309,3.587683,5.514290,0.361459,0.015049
0.020000,4.517944,10.777557,1.283271,3.698118,5.521750,0.373030,0.015641
0.020000,4.594109,10.778770,1.359446,3.808707,5.529430,0.383980,0.016212
0.020000,4.672487,10.780063,1.437835,3.919453,5.537341,0.395565,0.016758
0.020000,4.753083,10.781435,1.518442,4.030363,5.545471,0.406462,0.017276
0.020000,4.835899,10.782886,1.601271,4.141439,5.553829,0.417923,0.017762
0.020000,4.920939,10.784416,1.686324,4.252688,5.562414,0.429239,0.018212
0.020000,5.008206,10.786024,1.773607,4.364112,5.571219,0.440285,0.018623
0.020000,5.097705,10.787708,1.863121,4.475717,5.580252,0.451651,0.018990
0.020000,5.189438,10.789465,1.954871,4.587507,5.589514,0.463056,0.019311
0.020000,5.283410,10.791293,2.048861,4.699487,5.598996,0.474124,0.019580
0.020000,5.379625,10.793188,2.145094,4.811662,5.608709,0.485639,0.019793
0.020000,5.478086,10.795145,2.243575,4.924034,5.618645,0.496825,0.019947
0.020000,5.578798,10.797159,2.344307,5.036611,5.628811,0.508286,0.020037
0.020000,5.681765,10.799224,2.447295,5.149395,5.639203,0.519577,0.020058
0.020000,5.786992,10.801333,2.552543,5.262391,5.649823,0.531031,0.020007
0.020000,5.894483,10.803478,2.660055,5.375605,5.660671,0.542410,0.019877
0.020000,6.004242,10.805649,2.769836,5.489040,5.671749,0.553902,0.019666
