dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.235381,9.831304,0.000548,0.054791,2.739572,136.978597,6.283074
0.020000,3.235381,9.831304,0.002740,0.164374,5.479144,136.978597,6.283110
0.020000,3.235381,9.831304,0.007123,0.273957,5.479144,0.000000,6.283182
0.020000,3.241745,9.831304,0.013698,0.383540,5.479144,-0.000000,0.000104
0.020000,3.250512,9.831306,0.022464,0.493123,5.479144,0.000000,0.000248
0.020000,3.261470,9.831310,0.033423,0.602706,5.479144,-0.000000,0.000426
0.020000,3.274620,9.831317,0.046573,0.712289,5.479144,0.000000,0.000639
0.020000,3.289962,9.831328,0.061914,0.821872,5.479144,0.000000,0.000886
0.020000,3.307495,9.831346,0.079448,0.931454,5.479144,0.000000,0.001166
0.020000,3.327220,9.831372,0.099173,1.041037,5.479144,-0.000000,0.001479
0.020000,3.349136,9.831409,0.121089,1.150620,5.479144,0.000000,0.001824
0.020000,3.373245,9.831457,0.145197,1.260203,5.479144,0.000000,0.002199
0.020000,3.399544,9.831520,0.171497,1.369786,5.479144,0.000000,0.002604
0.020000,3.428036,9.831601,0.199989,1.479369,5.479144,0.000000,0.003038
0.020000,3.458719,9.831701,0.230672,1.588952,5.479144,-0.000000,0.003498
0.020000,3.491594,9.831824,0.263547,1.698535,5.479144,0.000000,0.003985
0.020000,3.526660,9.831973,0.298613,1.808117,5.479144,0.000000,0.004496
0.020000,3.563917,9.832150,0.335872,1.917700,5.479144,0.000000,0.005030
0.020000,3.603367,9.832360,0.375321,2.027283,5.479144,0.000000,0.005585
0.020000,3.645008,9.832604,0.416963,2.136866,5.479144,-0.000000,0.006160
0.020000,3.688840,9.832887,0.460796,2.246449,5.479144,0.000000,0.006753
0.020000,3.734863,9.833212,0.506821,2.356032,5.479144,-0.000000,0.007361
0.020000,3.783078,9.833582,0.555037,2.465615,5.479144,0.000000,0.007983
0.020000,3.833485,9.834000,0.605445,2.575198,5.479144,-0.000000,0.008616
0.020000,3.886083,9.834471,0.658045,2.684780,5.479144,0.000000,0.009259
0.020000,3.940871,9.834996,0.712837,2.794363,5.479144,-0.000000,0.009908
0.020000,3.997852,9.835579,0.769820,2.903946,5.479144,0.000000,0.010563
0.020000,4.057023,9.836224,0.828994,3.013529,5.479144,0.000000,0.011219
0.020000,4.118385,9.836932,0.890361,3.123112,5.479144,0.000000,0.011875
0.020000,4.181938,9.837708,0.953919,3.232695,5.479144,-0.000000,0.012528
0.020000,4.247683,9.838553,1.019669,3.342278,5.479144,0.000000,0.013175
0.020000,4.315618,9.839470,1.087610,3.451861,5.479144,0.000000,0.013812
0.020000,4.385744,9.840461,1.157743,3.561444,5.479144,0.000000,0.014438
0.020000,4.458061,9.841527,1.230068,3.671026,5.479144,-0.000000,0.015049
0.020000,4.532568,9.842671,1.304584,3.780609,5.479144,0.000000,0.015641
0.020000,4.609267,9.843893,1.381292,3.890192,5.479144,0.000000,0.016212
0.020000,4.688156,9.845194,1.460192,3.999775,5.479144,-0.000000,0.016758
0.020000,4.769235,9.846574,1.541283,4.109358,5.479144,0.000000,0.017276
0.020000,4.852505,9.848033,1.624566,4.218941,5.479144,0.000000,0.017762
0.020000,4.937966,9.849571,1.710041,4.328524,5.479144,0.000000,0.018212
0.020000,5.025618,9.851186,1.797707,4.438107,5.479144,-0.000000,0.018623
0.020000,5.115460,9.852876,1.887565,4.547689,5.479144,0.000000,0.018990
0.020000,5.207492,9.854639,1.979615,4.657272,5.479144,0.000000,0.019311
0.020000,5.301716,9.856472,2.073856,4.766855,5.479144,-0.000000,0.019580
0.020000,5.398130,9.858371,2.170289,4.876438,5.479144,0.000000,0.019793
0.020000,5.496735,9.860331,2.268913,4.986021,5.479144,0.000000,0.019947
0.020000,5.597531,9.862347,2.369730,5.095604,5.479144,0.000000,0.020037
0.020000,5.700519,9.864413,2.472738,5.205187,5.479144,0.000000,0.020058
0.020000,5.805697,9.866521,2.577937,5.314770,5.479144,-0.000000,0.020007
0.020000,5.913067,9.868663,2.685328,5.424352,5.479144,0.000000,0.019877
0.020000,6.022628,9.870830,2.794911,5.533935,5.479144,0.000000,0.019666
0.020000,6.134381,9.873012,2.906686,5.643518,5.479144,-0.000000,0.019367
0.020000,6.248327,9.875198,3.020652,5.753101,5.479144,0.000000,0.018976
0.020000,6.364464,9.877374,3.136810,5.862684,5.479144,0.000000,0.018488
0.020000,6.482794,9.879528,3.255159,5.972267,5.479144,-0.000000,0.017897
0.020000,6.603317,9.881644,3.375701,6.081850,5.479144,0.000000,0.017199
0.020000,6.726032,9.883706,3.498433,6.191433,5.479144,-0.000000,0.016388
0.020000,6.850941,9.885696,3.623358,6.301015,5.479144,0.000000,0.015458
0.020000,6.978043,9.887595,3.750474,6.410598,5.479144,0.000000,0.014405
0.020000,7.107338,9.889383,3.879782,6.520181,5.479144,-0.000000,0.013222
0.020000,7.238827,9.891036,4.011281,6.629764,5.479144,0.000000,0.011904
0.020000,7.372510,9.892531,4.144972,6.739347,5.479144,0.000000,0.010445
0.020000,7.508386,9.893843,4.280855,6.848930,5.479144,-0.000000,0.008839
0.020000,7.646456,9.894943,4.418930,6.958513,5.479144,0.000000,0.007080
0.020000,7.786720,9.895804,4.559196,7.068096,5.479144,0.000000,0.005162
0.020000,7.929176,9.896392,4.701653,7.177678,5.479144,0.000000,0.003079
0.020000,8.073825,9.896676,4.846303,7.287261,5.479144,0.000000,0.000825
0.020000,8.220666,9.896620,4.993144,7.396844,5.479144,-0.000000,6.281577
0.020000,8.369698,9.896188,5.142177,7.506427,5.479144,0.000000,6.278961
0.020000,8.520920,9.895338,5.293401,7.616010,5.479144,0.000000,6.276153
0.020000,8.674331,9.894031,5.446817,7.725593,5.479144,0.000000,6.273148
0.020000,8.829928,9.892222,5.602425,7.835176,5.479144,-0.000000,6.269939
0.020000,8.987710,9.889864,5.760224,7.944759,5.479144,0.000000,6.266519
0.020000,9.147673,9.886909,5.920215,8.054341,5.479144,0.000000,6.262882
0.020000,9.309816,9.883305,6.082398,8.163924,5.479144,-0.000000,6.259020
0.020000,9.474133,9.879000,6.246772,8.273507,5.479144,0.000000,6.254928
0.020000,9.640622,9.873936,6.413338,8.383090,5.479144,-0.000000,6.250597
0.020000,9.809277,9.868054,6.582096,8.492673,5.479144,0.000000,6.246022
0.020000,9.980093,9.861293,6.753045,8.602256,5.479144,-0.000000,6.241196
0.020000,10.153062,9.853588,6.926186,8.711839,5.479144,0.000000,6.236112
0.020000,10.328178,9.844873,7.101518,8.821422,5.479144,0.000000,6.230763
0.020000,10.505431,9.835076,7.279043,8.931004,5.479144,-0.000000,6.225143
0.020000,10.672475,9.824774,7.458759,9.040587,5.479144,0.000000,6.217038
0.020000,10.853918,9.811806,7.640666,9.150170,5.479144,0.000000,6.206678
0.020000,11.037404,9.796797,7.824765,9.259753,5.479144,-0.000000,6.196515
0.020000,11.222912,9.779743,8.011056,9.369336,5.479144,0.000000,6.186567
0.020000,11.410424,9.760644,8.199539,9.478919,5.479144,0.000000,6.176852
0.020000,11.599921,9.739505,8.390213,9.588502,5.479144,-0.000000,6.167386
0.020000,11.791390,9.716334,8.583079,9.698085,5.479144,0.000000,6.158188
0.020000,11.984814,9.691147,8.778136,9.807668,5.479144,-0.000000,6.149272
0.020000,12.180180,9.663963,8.975386,9.917250,5.479144,0.000000,6.140657
0.020000,12.377478,9.634807,9.174826,10.026833,5.479144,0.000000,6.132357
0.020000,12.576697,9.603710,9.376459,10.136416,5.479144,-0.000000,6.124390
0.020000,12.777831,9.570706,9.580283,10.245999,5.479144,0.000000,6.116770
0.020000,12.980334,9.535930,9.785751,10.300790,2.739572,-136.978597,6.109532
0.020000,13.182845,9.499687,9.991480,10.272128,-1.433117,-208.634431,6.102731
0.020000,13.384012,9.462321,10.196088,10.188674,-4.172689,-136.978597,6.096411
0.020000,13.583053,9.424099,10.398766,10.079091,-5.479144,-65.322763,6.090588
0.020000,13.779727,9.385193,10.599252,9.969509,-5.479144,-0.000000,6.085255
0.020000,13.974053,9.345721,10.797546,9.859926,-5.479144,0.000000,6.080398
0.020000,14.166049,9.305798,10.993649,9.750343,-5.479144,-0.000000,6.076002
0.020000,14.355732,9.265529,11.187560,9.640760,-5.479144,0.000000,6.072055
0.020000,14.543122,9.225016,11.379279,9.531177,-5.479144,0.000000,6.068541
0.020000,14.728237,9.184354,11.568807,9.421594,-5.479144,-0.000000,6.065447
0.020000,14.911094,9.143634,11.756143,9.312011,-5.479144,0.000000,6.062760
0.020000,15.091711,9.102941,11.941287,9.202428,-5.479144,0.000000,6.060465
0.020000,15.270104,9.062353,12.124240,9.092846,-5.479144,-0.000000,6.058550
0.020000,15.446292,9.021947,12.305001,8.983263,-5.479144,0.000000,6.057002
0.020000,15.620288,8.981793,12.483571,8.873680,-5.479144,0.000000,6.055808
0.020000,15.792108,8.941955,12.659948,8.764097,-5.479144,-0.000000,6.054955
0.020000,15.961765,8.902496,12.834135,8.654514,-5.479144,0.000000,6.054432
0.020000,16.129274,8.863472,13.006129,8.544931,-5.479144,-0.000000,6.054225
0.020000,16.294647,8.824937,13.175932,8.435348,-5.479144,0.000000,6.054324
0.020000,16.457894,8.786939,13.343543,8.325765,-5.479144,0.000000,6.054716
0.020000,16.619027,8.749525,13.508962,8.216183,-5.479144,-0.000000,6.055391
0.020000,16.778054,8.712734,13.672190,8.106600,-5.479144,0.000000,6.056336
0.020000,16.934986,8.676607,13.833226,7.997017,-5.479144,-0.000000,6.057542
0.020000,17.089829,8.641177,13.992071,7.887434,-5.479144,0.000000,6.058996
0.020000,17.242590,8.606477,14.148724,7.777851,-5.479144,0.000000,6.060689
0.020000,17.393275,8.572535,14.303185,7.668268,-5.479144,-0.000000,6.062610
0.020000,17.541891,8.539375,14.455454,7.558685,-5.479144,0.000000,6.064749
0.020000,17.688440,8.507022,14.605532,7.449102,-5.479144,0.000000,6.067094
0.020000,17.832926,8.475494,14.753419,7.339520,-5.479144,0.000000,6.069637
0.020000,17.975353,8.444809,14.899113,7.229937,-5.479144,0.000000,6.072368
0.020000,18.115721,8.414981,15.042616,7.120354,-5.479144,-0.000000,6.075275
0.020000,18.254033,8.386022,15.183927,7.010771,-5.479144,0.000000,6.078350
0.020000,18.390290,8.357943,15.323047,6.901188,-5.479144,0.000000,6.081584
