dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.235277,8.896304,0.000548,0.054791,2.739572,136.978597,6.283074
0.020000,3.235311,8.896304,0.000582,0.001686,-2.655289,-269.743041,6.283110
0.020000,3.235378,8.896304,0.000649,0.003367,0.084057,136.967289,6.283182
0.020000,3.241843,8.896304,0.007114,0.323241,15.993715,795.482886,0.000104
0.020000,3.250743,8.896306,0.016014,0.445029,6.089391,-495.216159,0.000248
0.020000,3.261868,8.896310,0.027139,0.556252,5.561165,-26.411314,0.000426
0.020000,3.275217,8.896317,0.040488,0.667453,5.560034,-0.056538,0.000639
0.020000,3.290790,8.896329,0.056061,0.778626,5.558677,-0.067860,0.000886
0.020000,3.308585,8.896347,0.073856,0.889768,5.557094,-0.079160,0.001166
0.020000,3.328603,8.896373,0.093874,1.000874,5.555284,-0.090504,0.001479
0.020000,3.350842,8.896410,0.116113,1.111939,5.553248,-0.101776,0.001824
0.020000,3.375301,8.896459,0.140572,1.222959,5.550986,-0.113109,0.002199
0.020000,3.401979,8.896523,0.167250,1.333929,5.548497,-0.124460,0.002604
0.020000,3.430876,8.896605,0.196147,1.444844,5.545783,-0.135713,0.003038
0.020000,3.461990,8.896707,0.227261,1.555701,5.542841,-0.147095,0.003498
0.020000,3.495319,8.896831,0.260591,1.666495,5.539674,-0.158325,0.003985
0.020000,3.530864,8.896982,0.296136,1.777220,5.536278,-0.169813,0.004496
0.020000,3.568621,8.897162,0.333893,1.887873,5.532660,-0.180917,0.005030
0.020000,3.608589,8.897374,0.373862,1.998450,5.528812,-0.192381,0.005585
0.020000,3.650767,8.897622,0.416041,2.108944,5.524739,-0.203644,0.006160
0.020000,3.695153,8.897909,0.460428,2.219353,5.520440,-0.214978,0.006753
0.020000,3.741746,8.898237,0.507021,2.329671,5.515915,-0.226245,0.007361
0.020000,3.790542,8.898612,0.555819,2.439895,5.511162,-0.237657,0.007983
0.020000,3.841541,8.899035,0.606820,2.550018,5.506186,-0.248800,0.008616
0.020000,3.894739,8.899511,0.660020,2.660038,5.500982,-0.260184,0.009259
0.020000,3.950136,8.900042,0.715419,2.769949,5.495552,-0.271508,0.009908
0.020000,4.007728,8.900631,0.773014,2.879747,5.489897,-0.282729,0.010563
0.020000,4.067513,8.901283,0.832803,2.989427,5.484015,-0.294136,0.011219
0.020000,4.129488,8.901998,0.894783,3.098985,5.477907,-0.305364,0.011875
0.020000,4.193652,8.902781,0.958951,3.208417,5.471580,-0.316350,0.012528
0.020000,4.260001,8.903634,1.025305,3.317717,5.465018,-0.328089,0.013175
0.020000,4.328532,8.904559,1.093843,3.426882,5.458235,-0.339156,0.013812
0.020000,4.399243,8.905558,1.164561,3.535907,5.451232,-0.350181,0.014438
0.020000,4.472131,8.906633,1.237457,3.644787,5.443995,-0.361819,0.015049
0.020000,4.547192,8.907785,1.312527,3.753518,5.436540,-0.372742,0.015641
0.020000,4.624425,8.909016,1.389769,3.862095,5.428855,-0.384291,0.016212
0.020000,4.703824,8.910325,1.469179,3.970514,5.420951,-0.395194,0.016758
0.020000,4.785388,8.911714,1.550755,4.078770,5.412815,-0.406796,0.017276
0.020000,4.869112,8.913181,1.634492,4.186859,5.404458,-0.417832,0.017762
0.020000,4.954994,8.914726,1.720387,4.294777,5.395878,-0.429025,0.018212
0.020000,5.043029,8.916348,1.808438,4.402518,5.387068,-0.440504,0.018623
0.020000,5.133215,8.918045,1.898639,4.510079,5.378034,-0.451677,0.018990
0.020000,5.225547,8.919814,1.990988,4.617454,5.368777,-0.462835,0.019311
0.020000,5.320022,8.921651,2.085481,4.724640,5.359290,-0.474362,0.019580
0.020000,5.416636,8.923554,2.182114,4.831632,5.349581,-0.485471,0.019793
0.020000,5.515385,8.925517,2.280882,4.938424,5.339642,-0.496949,0.019947
0.020000,5.616265,8.927535,2.381783,5.045014,5.329478,-0.508192,0.020037
0.020000,5.719272,8.929601,2.484811,5.151396,5.319085,-0.519654,0.020058
0.020000,5.824402,8.931708,2.589962,5.257565,5.308465,-0.531001,0.020007
0.020000,5.931651,8.933847,2.697232,5.363517,5.297615,-0.542474,0.019877
0.020000,6.041015,8.936011,2.806617,5.469248,5.286538,-0.553885,0.019666
0.020000,6.152488,8.938187,2.918112,5.574753,5.275231,-0.565344,0.019367
0.020000,6.266068,8.940366,3.031713,5.680027,5.263692,-0.576957,0.018976
0.020000,6.381749,8.942534,3.147414,5.785065,5.251925,-0.588326,0.018488
0.020000,6.499527,8.944678,3.265211,5.889864,5.239925,-0.600014,0.017897
0.020000,6.619397,8.946782,3.385100,5.994417,5.227697,-0.611415,0.017199
0.020000,6.741354,8.948832,3.507074,6.098722,5.215234,-0.623107,0.016388
0.020000,6.865394,8.950808,3.631130,6.202773,5.202546,-0.634441,0.015458
0.020000,6.991511,8.952692,3.757261,6.306566,5.189626,-0.645975,0.014405
0.020000,7.119701,8.954464,3.885463,6.410095,5.176471,-0.657755,0.013222
0.020000,7.249957,8.956102,4.015730,6.513357,5.163099,-0.668586,0.011904
0.020000,7.382276,8.957582,4.148057,6.616347,5.149494,-0.680249,0.010445
0.020000,7.516651,8.958879,4.282438,6.719060,5.135671,-0.691188,0.008839
0.020000,7.653076,8.959967,4.418868,6.821493,5.121624,-0.702302,0.007080
0.020000,7.791547,8.960816,4.557341,6.923640,5.107366,-0.712911,0.005162
0.020000,7.932055,8.961397,4.697851,7.025498,5.092898,-0.723423,0.003079
0.020000,8.074596,8.961677,4.840392,7.127063,5.078229,-0.733418,0.000825
0.020000,8.219163,8.961622,4.984959,7.228330,5.063363,-0.743308,6.281577
0.020000,8.365748,8.961196,5.131544,7.329296,5.048316,-0.752373,6.278961
0.020000,8.514345,8.960362,5.280144,7.429958,5.033093,-0.761125,6.276153
0.020000,8.664946,8.959078,5.430750,7.530312,5.017716,-0.768885,6.273148
0.020000,8.817543,8.957304,5.583357,7.630356,5.002196,-0.775970,6.269939
0.020000,8.972127,8.954994,5.737959,7.730087,4.986546,-0.782504,6.266519
0.020000,9.128691,8.952102,5.894549,7.829503,4.970809,-0.786859,6.262882
0.020000,9.287223,8.948578,6.053121,7.928603,4.954979,-0.791511,6.259020
0.020000,9.447716,8.944373,6.213669,8.027385,4.939116,-0.793123,6.254928
0.020000,9.610158,8.939432,6.376186,8.125850,4.923233,-0.794182,6.250597
