dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.752893,18.244866,0.000546,0.054559,2.727940,136.396975,6.283185
0.020000,2.752893,18.244866,0.000546,0.000004,-2.727722,-272.783066,6.283185
0.020000,2.755643,18.244866,0.003296,0.137504,6.874977,480.134955,0.000000
0.020000,2.762190,18.244866,0.009843,0.327340,9.491792,130.840717,0.000000
0.020000,2.770919,18.244866,0.018572,0.436453,5.455665,-201.806318,0.000001
0.020000,2.781831,18.244866,0.029483,0.545566,5.455668,0.000131,0.000001
0.020000,2.794924,18.244866,0.042577,0.654680,5.455671,0.000164,0.000002
0.020000,2.810200,18.244866,0.057852,0.763793,5.455675,0.000197,0.000002
0.020000,2.827658,18.244866,0.075311,0.872907,5.455680,0.000229,0.000003
0.020000,2.847299,18.244866,0.094951,0.982021,5.455685,0.000262,0.000004
0.020000,2.869121,18.244866,0.116774,1.091134,5.455691,0.000295,0.000005
0.020000,2.893126,18.244866,0.140779,1.200248,5.455697,0.000328,0.000006
0.020000,2.919314,18.244867,0.166966,1.309362,5.455705,0.000361,0.000007
0.020000,2.947683,18.244867,0.195335,1.418477,5.455712,0.000393,0.000008
0.020000,2.978235,18.244867,0.225887,1.527591,5.455721,0.000426,0.000009
0.020000,3.010969,18.244867,0.258621,1.636706,5.455730,0.000459,0.000010
0.020000,3.045885,18.244868,0.293538,1.745821,5.455740,0.000492,0.000012
0.020000,3.082984,18.244868,0.330636,1.854936,5.455750,0.000524,0.000013
0.020000,3.122265,18.244869,0.369917,1.964051,5.455762,0.000557,0.000014
0.020000,3.163729,18.244869,0.411381,2.073166,5.455773,0.000590,0.000016
0.020000,3.207374,18.244870,0.455026,2.182282,5.455786,0.000623,0.000017
0.020000,3.253202,18.244871,0.500854,2.291398,5.455799,0.000656,0.000019
0.020000,3.301212,18.244872,0.548865,2.400514,5.455813,0.000688,0.000020
0.020000,3.351405,18.244873,0.599057,2.509631,5.455827,0.000721,0.000022
0.020000,3.403780,18.244874,0.651432,2.618748,5.455842,0.000754,0.000024
0.020000,3.458337,18.244876,0.705990,2.727865,5.455858,0.000787,0.000025
0.020000,3.515077,18.244877,0.762729,2.836982,5.455874,0.000819,0.000027
0.020000,3.573999,18.244879,0.821651,2.946100,5.455891,0.000852,0.000028
0.020000,3.635103,18.244880,0.882756,3.055218,5.455909,0.000885,0.000030
0.020000,3.698390,18.244882,0.946042,3.164337,5.455927,0.000918,0.000032
0.020000,3.763859,18.244884,1.011511,3.273456,5.455947,0.000951,0.000033
0.020000,3.831511,18.244887,1.079163,3.382575,5.455966,0.000983,0.000035
0.020000,3.901345,18.244889,1.148997,3.491695,5.455986,0.001016,0.000036
0.020000,3.973361,18.244892,1.221013,3.600815,5.456007,0.001049,0.000037
0.020000,4.047560,18.244895,1.295212,3.709936,5.456029,0.001082,0.000039
0.020000,4.123941,18.244898,1.371593,3.819057,5.456051,0.001114,0.000040
0.020000,4.202504,18.244901,1.450156,3.928178,5.456074,0.001147,0.000041
0.020000,4.283250,18.244904,1.530902,4.037300,5.456098,0.001180,0.000042
0.020000,4.366179,18.244908,1.613831,4.146422,5.456122,0.001213,0.000043
0.020000,4.451290,18.244912,1.698942,4.255545,5.456147,0.001246,0.000044
0.020000,4.538583,18.244915,1.786235,4.364669,5.456173,0.001278,0.000045
0.020000,4.628059,18.244919,1.875711,4.473793,5.456199,0.001311,0.000045
0.020000,4.719717,18.244924,1.967369,4.582917,5.456226,0.001344,0.000046
0.020000,4.813558,18.244928,2.061210,4.692042,5.456253,0.001377,0.000046
0.020000,4.909581,18.244932,2.157234,4.801168,5.456282,0.001410,0.000046
0.020000,5.007787,18.244937,2.255440,4.910294,5.456310,0.001442,0.000046
0.020000,5.108176,18.244942,2.355828,5.019421,5.456340,0.001475,0.000046
0.020000,5.210747,18.244946,2.458399,5.128548,5.456370,0.001508,0.000045
0.020000,5.315500,18.244951,2.563152,5.237676,5.456401,0.001541,0.000045
0.020000,5.422436,18.244956,2.670089,5.346805,5.456432,0.001573,0.000044
0.020000,5.531555,18.244960,2.779207,5.455934,5.456464,0.001606,0.000043
0.020000,5.642856,18.244965,2.890509,5.565064,5.456497,0.001639,0.000041
0.020000,5.756340,18.244970,3.003992,5.674195,5.456531,0.001672,0.000039
0.020000,5.872007,18.244974,3.119659,5.783326,5.456565,0.001705,0.000037
0.020000,5.989856,18.244978,3.237508,5.892458,5.456599,0.001737,0.000035
0.020000,6.109888,18.244982,3.357540,6.001591,5.456635,0.001770,0.000032
0.020000,6.232102,18.244986,3.479754,6.110724,5.456671,0.001803,0.000029
0.020000,6.356499,18.244990,3.604152,6.219858,5.456708,0.001836,0.000026
0.020000,6.483079,18.244993,3.730731,6.328993,5.456745,0.001868,0.000022
0.020000,6.611842,18.244995,3.859494,6.438129,5.456783,0.001901,0.000018
0.020000,6.742787,18.244997,3.990439,6.547265,5.456822,0.001934,0.000014
0.020000,6.875915,18.244999,4.123567,6.656403,5.456861,0.001967,0.000009
0.020000,7.011226,18.245000,4.258878,6.765541,5.456901,0.002000,0.000004
