dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.752893,16.374866,0.000546,0.054559,2.727940,136.396975,6.283185
0.020000,2.752893,16.374866,0.000546,0.000004,-2.727722,-272.783066,6.283185
0.020000,2.755644,16.374866,0.003296,0.137521,6.875847,480.178426,0.000000
0.020000,2.762191,16.374866,0.009843,0.327366,9.492223,130.818817,0.000000
0.020000,2.770921,16.374866,0.018573,0.436488,5.456093,-201.806515,0.000001
0.020000,2.781833,16.374866,0.029485,0.545609,5.456090,-0.000131,0.000001
0.020000,2.794928,16.374866,0.042580,0.654731,5.456087,-0.000164,0.000002
0.020000,2.810205,16.374866,0.057857,0.763853,5.456083,-0.000197,0.000002
0.020000,2.827664,16.374866,0.075317,0.872974,5.456078,-0.000229,0.000003
0.020000,2.847306,16.374866,0.094958,0.982096,5.456073,-0.000262,0.000004
0.020000,2.869130,16.374866,0.116783,1.091217,5.456067,-0.000295,0.000005
0.020000,2.893137,16.374866,0.140790,1.200338,5.456061,-0.000328,0.000006
0.020000,2.919326,16.374867,0.166979,1.309459,5.456053,-0.000361,0.000007
0.020000,2.947698,16.374867,0.195350,1.418580,5.456046,-0.000393,0.000008
0.020000,2.978252,16.374867,0.225904,1.527701,5.456037,-0.000426,0.000009
0.020000,3.010988,16.374867,0.258641,1.636822,5.456028,-0.000459,0.000010
0.020000,3.045907,16.374868,0.293560,1.745942,5.456018,-0.000492,0.000012
0.020000,3.083008,16.374868,0.330661,1.855062,5.456008,-0.000524,0.000013
0.020000,3.122292,16.374869,0.369945,1.964182,5.455996,-0.000557,0.000014
0.020000,3.163758,16.374869,0.411411,2.073302,5.455985,-0.000590,0.000016
0.020000,3.207407,16.374870,0.455059,2.182421,5.455972,-0.000623,0.000017
0.020000,3.253237,16.374871,0.500890,2.291540,5.455959,-0.000656,0.000019
0.020000,3.301251,16.374872,0.548903,2.400659,5.455945,-0.000688,0.000020
0.020000,3.351446,16.374873,0.599099,2.509778,5.455931,-0.000721,0.000022
0.020000,3.403824,16.374874,0.651476,2.618896,5.455916,-0.000754,0.000024
0.020000,3.458384,16.374876,0.706037,2.728014,5.455900,-0.000787,0.000025
0.020000,3.515127,16.374877,0.762779,2.837132,5.455884,-0.000819,0.000027
0.020000,3.574052,16.374879,0.821704,2.946249,5.455867,-0.000852,0.000028
0.020000,3.635159,16.374880,0.882812,3.055366,5.455849,-0.000885,0.000030
0.020000,3.698449,16.374882,0.946101,3.164483,5.455831,-0.000918,0.000032
0.020000,3.763921,16.374884,1.011573,3.273599,5.455812,-0.000951,0.000033
0.020000,3.831575,16.374887,1.079228,3.382715,5.455792,-0.000983,0.000035
0.020000,3.901412,16.374889,1.149064,3.491830,5.455772,-0.001016,0.000036
0.020000,3.973431,16.374892,1.221083,3.600945,5.455751,-0.001049,0.000037
0.020000,4.047632,16.374895,1.295284,3.710060,5.455729,-0.001082,0.000039
0.020000,4.124015,16.374898,1.371668,3.819174,5.455707,-0.001114,0.000040
0.020000,4.202581,16.374901,1.450234,3.928288,5.455684,-0.001147,0.000041
0.020000,4.283329,16.374904,1.530982,4.037401,5.455660,-0.001180,0.000042
0.020000,4.366259,16.374908,1.613912,4.146514,5.455636,-0.001213,0.000043
0.020000,4.451372,16.374912,1.699024,4.255626,5.455611,-0.001246,0.000044
0.020000,4.538667,16.374915,1.786319,4.364738,5.455585,-0.001278,0.000045
0.020000,4.628144,16.374919,1.875796,4.473849,5.455559,-0.001311,0.000045
0.020000,4.719803,16.374924,1.967455,4.582959,5.455532,-0.001344,0.000046
0.020000,4.813644,16.374928,2.061297,4.692069,5.455505,-0.001377,0.000046
0.020000,4.909668,16.374932,2.157320,4.801179,5.455477,-0.001410,0.000046
0.020000,5.007874,16.374937,2.255526,4.910288,5.455448,-0.001442,0.000046
0.020000,5.108262,16.374942,2.355914,5.019396,5.455418,-0.001475,0.000046
0.020000,5.210832,16.374946,2.458484,5.128504,5.455388,-0.001508,0.000045
0.020000,5.315584,16.374951,2.563236,5.237611,5.455357,-0.001541,0.000045
0.020000,5.422518,16.374956,2.670171,5.346718,5.455326,-0.001573,0.000044
0.020000,5.531635,16.374960,2.779287,5.455824,5.455294,-0.001606,0.000043
0.020000,5.642933,16.374965,2.890586,5.564929,5.455261,-0.001639,0.000041
0.020000,5.756414,16.374970,3.004066,5.674033,5.455227,-0.001672,0.000039
0.020000,5.872077,16.374974,3.119729,5.783137,5.455193,-0.001705,0.000037
0.020000,5.989921,16.374978,3.237574,5.892240,5.455159,-0.001737,0.000035
0.020000,6.109948,16.374982,3.357601,6.001343,5.455123,-0.001770,0.000032
