dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.234939,18.196617,0.000547,0.054694,2.734693,136.734663,0.000065
0.020000,3.234962,18.196617,0.000570,0.001134,-2.678015,-270.635436,0.000041
0.020000,3.235700,18.196617,0.001308,0.036900,1.788336,223.317571,6.283178
0.020000,3.242331,18.196617,0.007939,0.331550,14.732490,647.207704,6.283105
0.020000,3.251172,18.196616,0.016780,0.442051,5.525031,-460.372970,6.283009
0.020000,3.262223,18.196613,0.027830,0.552538,5.524341,-0.034457,6.282889
0.020000,3.275483,18.196608,0.041091,0.663007,5.523480,-0.043070,6.282746
0.020000,3.290952,18.196600,0.056560,0.773456,5.522446,-0.051686,6.282581
0.020000,3.308630,18.196588,0.074237,0.883881,5.521240,-0.060300,6.282393
0.020000,3.328515,18.196570,0.094123,0.994278,5.519862,-0.068917,6.282184
0.020000,3.350608,18.196545,0.116216,1.104644,5.518311,-0.077529,6.281953
0.020000,3.374907,18.196512,0.140515,1.214976,5.516588,-0.086157,6.281703
0.020000,3.401413,18.196470,0.167021,1.325270,5.514693,-0.094755,6.281433
0.020000,3.430123,18.196415,0.195731,1.435522,5.512626,-0.103380,6.281144
0.020000,3.461038,18.196347,0.226646,1.545730,5.510385,-0.112008,6.280839
0.020000,3.494155,18.196264,0.259763,1.655890,5.507973,-0.120603,6.280516
0.020000,3.529475,18.196164,0.295083,1.765997,5.505388,-0.129260,6.280178
0.020000,3.566996,18.196044,0.332604,1.876050,5.502632,-0.137807,6.279826
0.020000,3.606717,18.195904,0.372325,1.986044,5.499702,-0.146492,6.279461
0.020000,3.648636,18.195740,0.414245,2.095976,5.496601,-0.155057,6.279084
0.020000,3.692752,18.195550,0.458362,2.205843,5.493327,-0.163727,6.278698
0.020000,3.739065,18.195333,0.504674,2.315640,5.489881,-0.172272,6.278302
0.020000,3.787571,18.195086,0.553182,2.425366,5.486262,-0.180954,6.277899
0.020000,3.838271,18.194808,0.603882,2.535015,5.482472,-0.189497,6.277491
0.020000,3.891162,18.194496,0.656774,2.644585,5.478509,-0.198177,6.277078
0.020000,3.946242,18.194148,0.711855,2.754073,5.474374,-0.206707,6.276664
0.020000,4.003510,18.193763,0.769125,2.863474,5.470066,-0.215406,6.276249
0.020000,4.062964,18.193338,0.828580,2.972786,5.465588,-0.223909,6.275836
0.020000,4.124603,18.192872,0.890221,3.082004,5.460935,-0.232636,6.275426
0.020000,4.188423,18.192364,0.954043,3.191127,5.456113,-0.241097,6.275022
0.020000,4.254424,18.191812,1.020046,3.300149,5.451117,-0.249797,6.274626
0.020000,4.322603,18.191215,1.088227,3.409068,5.445950,-0.258353,6.274240
0.020000,4.392957,18.190572,1.158585,3.517880,5.440611,-0.266983,6.273866
0.020000,4.465486,18.189883,1.231117,3.626582,5.435099,-0.275586,6.273507
0.020000,4.540185,18.189147,1.305820,3.735171,5.429417,-0.284102,6.273165
0.020000,4.617054,18.188364,1.382693,3.843642,5.423561,-0.292817,6.272843
0.020000,4.696090,18.187535,1.461733,3.951992,5.417534,-0.301328,6.272543
0.020000,4.777289,18.186659,1.542937,4.060219,5.411335,-0.309977,6.272267
0.020000,4.860651,18.185738,1.626304,4.168318,5.404964,-0.318545,6.272019
0.020000,4.946171,18.184774,1.711829,4.276287,5.398421,-0.327159,6.271802
0.020000,5.033848,18.183767,1.799512,4.384121,5.391704,-0.335819,6.271618
0.020000,5.123678,18.182721,1.889348,4.491817,5.384817,-0.344347,6.271470
0.020000,5.215659,18.181638,1.981335,4.599372,5.377757,-0.353018,6.271361
0.020000,5.309788,18.180522,2.075471,4.706783,5.370524,-0.361647,6.271294
0.020000,5.406062,18.179376,2.171752,4.814045,5.363119,-0.370249,6.271273
0.020000,5.504478,18.178204,2.270175,4.921156,5.355541,-0.378908,6.271301
0.020000,5.605033,18.177013,2.370737,5.028112,5.347790,-0.387538,6.271381
0.020000,5.707725,18.175807,2.473436,5.134909,5.339866,-0.396206,6.271516
0.020000,5.812548,18.174593,2.578266,5.241545,5.331769,-0.404867,6.271710
0.020000,5.919502,18.173379,2.685227,5.348015,5.323499,-0.413485,6.271966
0.020000,6.028581,18.172172,2.794313,5.454316,5.315054,-0.422231,6.272288
0.020000,6.139784,18.170981,2.905522,5.560444,5.306437,-0.430863,6.272680
0.020000,6.253106,18.169817,3.018850,5.666397,5.297647,-0.439520,6.273146
0.020000,6.368544,18.168688,3.134293,5.772171,5.288682,-0.448241,6.273689
0.020000,6.486094,18.167608,3.251849,5.877762,5.279545,-0.456854,6.274313
0.020000,6.605753,18.166588,3.371512,5.983166,5.270233,-0.465597,6.275022
0.020000,6.727517,18.165642,3.493279,6.088381,5.260750,-0.474117,6.275821
