dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.235000,17.261617,0.000547,0.054699,2.734955,136.747757,0.000065
0.020000,3.235000,17.261617,0.002735,0.164097,5.469910,136.747757,0.000041
0.020000,3.235693,17.261617,0.007111,0.273496,5.469910,0.000000,6.283178
0.020000,3.242257,17.261617,0.013675,0.382894,5.469910,0.000000,6.283105
0.020000,3.251009,17.261616,0.022427,0.492292,5.469910,0.000000,6.283009
0.020000,3.261949,17.261613,0.033366,0.601690,5.469910,0.000000,6.282889
0.020000,3.275077,17.261608,0.046494,0.711088,5.469910,0.000000,6.282746
0.020000,3.290393,17.261600,0.061810,0.820487,5.469910,0.000000,6.282581
0.020000,3.307896,17.261588,0.079314,0.929885,5.469910,0.000000,6.282393
0.020000,3.327588,17.261571,0.099005,1.039283,5.469910,-0.000000,6.282183
0.020000,3.349468,17.261546,0.120885,1.148681,5.469910,0.000000,6.281953
0.020000,3.373535,17.261513,0.144953,1.258079,5.469910,0.000000,6.281703
0.020000,3.399791,17.261471,0.171208,1.367478,5.469910,-0.000000,6.281433
0.020000,3.428234,17.261417,0.199652,1.476876,5.469910,0.000000,6.281144
0.020000,3.458866,17.261350,0.230283,1.586274,5.469910,-0.000000,6.280838
0.020000,3.491685,17.261267,0.263103,1.695672,5.469910,0.000000,6.280516
0.020000,3.526692,17.261168,0.298110,1.805070,5.469910,0.000000,6.280178
0.020000,3.563887,17.261050,0.335306,1.914469,5.469910,-0.000000,6.279826
0.020000,3.603270,17.260910,0.374689,2.023867,5.469910,0.000000,6.279461
0.020000,3.644841,17.260747,0.416260,2.133265,5.469910,-0.000000,6.279084
0.020000,3.688600,17.260559,0.460019,2.242663,5.469910,0.000000,6.278697
0.020000,3.734547,17.260344,0.505967,2.352061,5.469910,-0.000000,6.278301
0.020000,3.782682,17.260099,0.554102,2.461460,5.469910,0.000000,6.277899
0.020000,3.833004,17.259823,0.604425,2.570858,5.469910,0.000000,6.277490
