dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.235061,16.326617,0.000547,0.054694,2.734693,136.734663,0.000065
0.020000,3.235038,16.326617,0.000570,0.001134,-2.678015,-270.635436,0.000041
0.020000,3.235686,16.326617,0.001217,0.032373,1.561969,211.999242,6.283178
0.020000,3.242181,16.326617,0.007713,0.324776,14.620168,652.909938,6.283105
0.020000,3.250842,16.326616,0.016374,0.433051,5.413742,-460.321287,6.283009
0.020000,3.261669,16.326613,0.027200,0.541340,5.414431,0.034455,6.282889
0.020000,3.274662,16.326609,0.040193,0.649646,5.415293,0.043071,6.282746
0.020000,3.289821,16.326601,0.055353,0.757972,5.416327,0.051685,6.282581
0.020000,3.307148,16.326589,0.072679,0.866323,5.417533,0.060301,6.282393
0.020000,3.326642,16.326571,0.092173,0.974701,5.418911,0.068915,6.282184
0.020000,3.348304,16.326547,0.113835,1.083110,5.420462,0.077535,6.281953
0.020000,3.372135,16.326514,0.137667,1.191554,5.422184,0.086139,6.281703
0.020000,3.398136,16.326472,0.163667,1.300036,5.424080,0.094774,6.281433
0.020000,3.426307,16.326419,0.191838,1.408559,5.426148,0.103382,6.281144
0.020000,3.456649,16.326352,0.222181,1.517126,5.428387,0.111988,6.280839
0.020000,3.489164,16.326271,0.254696,1.625742,5.430800,0.120626,6.280516
0.020000,3.523852,16.326172,0.289384,1.734410,5.433384,0.129204,6.280178
0.020000,3.560715,16.326055,0.326247,1.843133,5.436142,0.137888,6.279826
0.020000,3.599753,16.325917,0.365285,1.951914,5.439070,0.146436,6.279461
0.020000,3.640967,16.325755,0.406500,2.060758,5.442172,0.155102,6.279084
0.020000,3.684360,16.325569,0.449893,2.169667,5.445446,0.163662,6.278698
0.020000,3.729933,16.325355,0.495466,2.278644,5.448892,0.172343,6.278302
0.020000,3.777686,16.325113,0.543220,2.387695,5.452510,0.180887,6.277899
0.020000,3.827622,16.324838,0.593157,2.496821,5.456302,0.189566,6.277491
0.020000,3.879741,16.324531,0.645277,2.606026,5.460264,0.198106,6.277078
0.020000,3.934046,16.324188,0.699583,2.715314,5.464400,0.206793,6.276664
0.020000,3.990539,16.323808,0.756077,2.824688,5.468706,0.215308,6.276249
0.020000,4.049220,16.323388,0.814760,2.934152,5.473186,0.224015,6.275836
0.020000,4.110093,16.322928,0.875634,3.043708,5.477836,0.232496,6.275426
0.020000,4.173158,16.322426,0.938702,3.153362,5.482661,0.241237,6.275022
0.020000,4.238418,16.321880,1.003964,3.263115,5.487655,0.249740,6.274626
0.020000,4.305875,16.321290,1.071423,3.372971,5.492823,0.258384,6.274240
0.020000,4.375531,16.320653,1.141082,3.482934,5.498162,0.266951,6.273866
0.020000,4.447388,16.319971,1.212942,3.593008,5.503673,0.275544,6.273507
0.020000,4.521448,16.319241,1.287006,3.703195,5.509357,0.284223,6.273165
0.020000,4.597714,16.318464,1.363276,3.813499,5.515212,0.292705,6.272843
0.020000,4.676188,16.317641,1.441755,3.923924,5.521239,0.301391,6.272543
0.020000,4.756873,16.316771,1.522444,4.034473,5.527438,0.309943,6.272267
0.020000,4.839771,16.315855,1.605347,4.145149,5.533810,0.318579,6.272019
0.020000,4.924885,16.314895,1.690466,4.255956,5.540353,0.327176,6.271802
0.020000,5.012217,16.313893,1.777804,4.366897,5.547068,0.335734,6.271618
0.020000,5.101770,16.312850,1.867364,4.477977,5.553957,0.344431,6.271470
0.020000,5.193548,16.311769,1.959148,4.589197,5.561017,0.352997,6.271361
0.020000,5.287552,16.310654,2.053159,4.700562,5.568249,0.361616,6.271294
0.020000,5.383787,16.309508,2.149400,4.812075,5.575654,0.370274,6.271273
0.020000,5.482255,16.308336,2.247875,4.923740,5.583232,0.378889,6.271301
0.020000,5.582959,16.307143,2.348586,5.035559,5.590983,0.387548,6.271381
0.020000,5.685903,16.305934,2.451537,5.147537,5.598907,0.396183,6.271516
0.020000,5.791089,16.304716,2.556731,5.259678,5.607004,0.404838,6.271710
0.020000,5.898522,16.303497,2.664170,5.371983,5.615275,0.413549,6.271966
0.020000,6.008204,16.302283,2.773859,5.484457,5.623717,0.422142,6.272288
0.020000,6.120140,16.301085,2.885801,5.597104,5.632334,0.430856,6.272680
0.020000,6.234333,16.299911,3.000000,5.709927,5.641125,0.439548,6.273146
0.020000,6.350786,16.298773,3.116459,5.822928,5.650089,0.448171,6.273689
0.020000,6.469503,16.297682,3.235181,5.936113,5.659227,0.456891,6.274313
0.020000,6.590488,16.296650,3.356170,6.049484,5.668536,0.465457,6.275022
0.020000,6.713745,16.295693,3.479431,6.163044,5.678020,0.474212,6.275821
0.020000,6.839278,16.294823,3.604967,6.276797,5.687675,0.482733,6.276713
0.020000,6.967091,16.294058,3.732782,6.390747,5.697501,0.491308,6.277702
0.020000,7.097187,16.293415,3.862880,6.504897,5.707498,0.499877,6.278793
0.020000,7.229571,16.292912,3.995265,6.619251,5.717664,0.508303,6.279991
0.020000,7.364247,16.292569,4.129941,6.733811,5.727999,0.516748,6.281299
0.020000,7.501219,16.292407,4.266913,6.848581,5.738499,0.524970,6.282723
0.020000,7.640490,16.292449,4.406184,6.963564,5.749163,0.533188,0.001080
0.020000,7.782065,16.292718,4.547760,7.078764,5.759987,0.541220,0.002748
0.020000,7.925948,16.293242,4.691643,7.194183,5.770968,0.549047,0.004544
0.020000,8.072142,16.294046,4.837840,7.309825,5.782103,0.556769,0.006474
0.020000,8.220651,16.295160,4.986354,7.425693,5.793385,0.564092,0.008543
0.020000,8.371480,16.296614,5.137189,7.541789,5.804812,0.571363,0.010755
0.020000,8.524632,16.298440,5.290352,7.658117,5.816371,0.577949,0.013116
0.020000,8.680109,16.300674,5.445845,7.774678,5.828064,0.584643,0.015630
0.020000,8.837916,16.303350,5.603675,7.891475,5.839870,0.590280,0.018303
0.020000,8.998055,16.306507,5.763845,8.008511,5.851795,0.596269,0.021139
0.020000,9.160529,16.310184,5.926361,8.125787,5.863801,0.600264,0.024144
0.020000,9.325341,16.314425,6.091227,8.243305,5.875911,0.605511,0.027323
0.020000,9.492492,16.319272,6.258448,8.361067,5.888066,0.607747,0.030681
0.020000,9.661984,16.324772,6.428030,8.479073,5.900301,0.611746,0.034224
0.020000,9.829790,16.331458,6.595969,8.396968,-4.105225,-500.276265,0.046589
0.020000,10.014031,16.341423,6.780479,9.225519,41.427554,2276.638917,0.061420
0.020000,10.200124,16.354242,6.967013,9.326697,5.058867,-1818.434347,0.076076
0.020000,10.387998,16.369934,7.155541,9.426365,4.983434,-3.771625,0.090524
0.020000,10.577580,16.388508,7.346031,9.524532,4.908357,-3.753839,0.104731
0.020000,10.768805,16.409964,7.538456,9.621222,4.834483,-3.693697,0.118667
0.020000,10.961605,16.434292,7.732785,9.716448,4.761284,-3.659994,0.132300
0.020000,11.155918,16.461475,7.928989,9.810236,4.689406,-3.593895,0.145600
0.020000,11.351683,16.491484,8.127042,9.902630,4.619700,-3.485295,0.158535
0.020000,11.548847,16.524284,8.326915,9.993666,4.551822,-3.393883,0.171078
0.020000,11.747358,16.559830,8.528583,10.083390,4.486177,-3.282234,0.183201
0.020000,11.947168,16.598068,8.732020,10.171841,4.422560,-3.180867,0.194875
0.020000,12.148238,16.638937,8.937201,10.259065,4.361187,-3.068665,0.206075
0.020000,12.350531,16.682366,9.144103,10.345107,4.302117,-2.953491,0.216776
0.020000,12.553458,16.728150,9.352131,10.401398,2.814536,-74.379069,0.226926
0.020000,12.755520,16.775831,9.559743,10.380579,-1.040961,-192.774816,0.236439
0.020000,12.955253,16.824899,9.765415,10.283588,-4.849512,-190.427580,0.245250
0.020000,13.151966,16.874991,9.968405,10.149535,-6.702662,-92.657472,0.253342
0.020000,13.345532,16.925880,10.168549,10.007169,-7.118330,-20.783408,0.260729
0.020000,13.536006,16.977393,10.365865,9.865819,-7.067498,2.541595,0.267432
0.020000,13.723443,17.029369,10.560375,9.725489,-7.016472,2.551295,0.273473
0.020000,13.907899,17.081655,10.752098,9.586177,-6.965582,2.544507,0.278873
0.020000,14.089429,17.134113,10.941056,9.447871,-6.915328,2.512688,0.283655
0.020000,14.268087,17.186609,11.127267,9.310559,-6.865596,2.486587,0.287840
0.020000,14.443926,17.239021,11.310751,9.174220,-6.816960,2.431808,0.291448
0.020000,14.616998,17.291237,11.491528,9.038838,-6.769089,2.393568,0.294500
0.020000,14.787351,17.343150,11.669616,8.904391,-6.722368,2.336039,0.297016
