dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,6.082060,10.072548,0.000543,0.054267,2.713344,135.667181,6.281924
0.020000,6.082060,10.072548,0.002713,0.162801,5.426687,135.667181,6.282194
0.020000,6.082060,10.072548,0.007055,0.271334,5.426687,0.000000,6.282734
0.020000,6.084943,10.072549,0.013567,0.379868,5.426687,-0.000000,0.000358
0.020000,6.093625,10.072556,0.022249,0.488402,5.426687,-0.000000,0.001436
0.020000,6.104479,10.072579,0.033103,0.596936,5.426687,0.000000,0.002783
0.020000,6.117503,10.072626,0.046127,0.705469,5.426687,0.000000,0.004397
0.020000,6.132697,10.072707,0.061322,0.814003,5.426687,0.000000,0.006277
0.020000,6.150062,10.072835,0.078687,0.922537,5.426687,0.000000,0.008422
0.020000,6.169597,10.073023,0.098223,1.031071,5.426687,-0.000000,0.010830
0.020000,6.191302,10.073287,0.119930,1.139604,5.426687,0.000000,0.013500
0.020000,6.215177,10.073644,0.143807,1.248138,5.426687,-0.000000,0.016429
0.020000,6.241221,10.074114,0.169855,1.356672,5.426687,0.000000,0.019616
0.020000,6.269433,10.074716,0.198074,1.465206,5.426687,0.000000,0.023057
0.020000,6.299813,10.075472,0.228464,1.573739,5.426687,-0.000000,0.026750
0.020000,6.332360,10.076407,0.261024,1.682273,5.426687,0.000000,0.030692
0.020000,6.367072,10.077546,0.295754,1.790807,5.426687,0.000000,0.034879
0.020000,6.403948,10.078915,0.332656,1.899341,5.426687,0.000000,0.039308
0.020000,6.442986,10.080541,0.371728,2.007874,5.426687,0.000000,0.043973
0.020000,6.484185,10.082455,0.412971,2.116408,5.426687,-0.000000,0.048871
0.020000,6.527541,10.084687,0.456384,2.224942,5.426687,0.000000,0.053996
0.020000,6.573052,10.087269,0.501969,2.333476,5.426687,-0.000000,0.059343
0.020000,6.620714,10.090234,0.549723,2.442009,5.426687,0.000000,0.064906
0.020000,6.670525,10.093616,0.599649,2.550543,5.426687,0.000000,0.070678
0.020000,6.722480,10.097451,0.651745,2.659077,5.426687,-0.000000,0.076653
0.020000,6.776574,10.101773,0.706012,2.767610,5.426687,0.000000,0.082823
0.020000,6.832803,10.106621,0.762450,2.876144,5.426687,0.000000,0.089180
0.020000,6.891161,10.112032,0.821058,2.984678,5.426687,0.000000,0.095715
0.020000,6.951642,10.118044,0.881837,3.093212,5.426687,0.000000,0.102420
0.020000,7.014239,10.124695,0.944786,3.201745,5.426687,-0.000000,0.109285
0.020000,7.078945,10.132025,1.009906,3.310279,5.426687,0.000000,0.116299
0.020000,7.145752,10.140073,1.077197,3.418813,5.426687,0.000000,0.123453
0.020000,7.214654,10.148878,1.146659,3.527347,5.426687,0.000000,0.130734
0.020000,7.285639,10.158479,1.218291,3.635880,5.426687,0.000000,0.138130
0.020000,7.358701,10.168916,1.292094,3.744414,5.426687,-0.000000,0.145629
0.020000,7.433827,10.180227,1.368068,3.852948,5.426687,-0.000000,0.153219
0.020000,7.511009,10.192450,1.446212,3.961482,5.426687,0.000000,0.160884
0.020000,7.590236,10.205623,1.526527,4.070015,5.426687,-0.000000,0.168612
0.020000,7.671497,10.219782,1.609013,4.178549,5.426687,0.000000,0.176388
0.020000,7.754781,10.234964,1.693669,4.287083,5.426687,0.000000,0.184196
0.020000,7.840076,10.251202,1.780496,4.395617,5.426687,0.000000,0.192020
0.020000,7.927370,10.268530,1.869494,4.504150,5.426687,-0.000000,0.199846
0.020000,8.016652,10.286978,1.960662,4.612684,5.426687,0.000000,0.207655
0.020000,8.107910,10.306578,2.054001,4.721218,5.426687,0.000000,0.215432
0.020000,8.201132,10.327358,2.149511,4.829752,5.426687,-0.000000,0.223160
0.020000,8.296306,10.349342,2.247191,4.938285,5.426687,0.000000,0.230820
0.020000,8.393421,10.372556,2.347042,5.046819,5.426687,-0.000000,0.238395
0.020000,8.492466,10.397020,2.449064,5.155353,5.426687,0.000000,0.245866
0.020000,8.593430,10.422753,2.553256,5.263887,5.426687,0.000000,0.253216
0.020000,8.696304,10.449773,2.659619,5.372420,5.426687,0.000000,0.260427
0.020000,8.801077,10.478092,2.768153,5.480954,5.426687,0.000000,0.267478
0.020000,8.907743,10.507720,2.878858,5.589488,5.426687,-0.000000,0.274352
0.020000,9.016293,10.538666,2.991733,5.698022,5.426687,0.000000,0.281029
0.020000,9.126721,10.570934,3.106778,5.806555,5.426687,-0.000000,0.287491
0.020000,9.239021,10.604523,3.223995,5.915089,5.426687,-0.000000,0.293718
0.020000,9.353190,10.639432,3.343382,6.023623,5.426687,0.000000,0.299690
0.020000,9.469226,10.675653,3.464940,6.132157,5.426687,-0.000000,0.305389
0.020000,9.587127,10.713177,3.588668,6.240690,5.426687,0.000000,0.310795
0.020000,9.706895,10.751988,3.714567,6.349224,5.426687,0.000000,0.315887
0.020000,9.828531,10.792068,3.842637,6.457758,5.426687,0.000000,0.320647
0.020000,9.952041,10.833394,3.972878,6.566292,5.426687,-0.000000,0.325053
0.020000,10.077431,10.875938,4.105289,6.674825,5.426687,-0.000000,0.329087
0.020000,10.204710,10.919669,4.239871,6.783359,5.426687,0.000000,0.332726
0.020000,10.333889,10.964548,4.376623,6.891893,5.426687,-0.000000,0.335951
0.020000,10.464980,11.010535,4.515546,7.000427,5.426687,0.000000,0.338739
0.020000,10.597999,11.057581,4.656640,7.108960,5.426687,0.000000,0.341071
0.020000,10.732965,11.105633,4.799905,7.217494,5.426687,0.000000,0.342923
0.020000,10.869897,11.154633,4.945340,7.326028,5.426687,0.000000,0.344273
0.020000,11.008819,11.204515,5.092946,7.434562,5.426687,0.000000,0.345097
0.020000,11.149201,11.255010,5.242133,7.484139,2.478888,-147.389984,0.345374
0.020000,11.289494,11.305472,5.391226,7.425183,-2.947800,-271.334362,0.345090
0.020000,11.428240,11.355289,5.538645,7.316650,-5.426687,-123.944378,0.344259
0.020000,11.564997,11.404223,5.683892,7.208116,-5.426687,-0.000000,0.342904
0.020000,11.699786,11.452210,5.826969,7.099582,-5.426687,0.000000,0.341049
0.020000,11.832630,11.499190,5.967875,6.991048,-5.426687,-0.000000,0.338715
0.020000,11.963545,11.545112,6.106611,6.882515,-5.426687,0.000000,0.335926
0.020000,12.092548,11.589926,6.243176,6.773981,-5.426687,0.000000,0.332702
0.020000,12.219650,11.633593,6.377570,6.665447,-5.426687,-0.000000,0.329065
0.020000,12.344863,11.676075,6.509794,6.556913,-5.426687,0.000000,0.325035
0.020000,12.468196,11.717339,6.639847,6.448380,-5.426687,0.000000,0.320633
0.020000,12.589655,11.757359,6.767729,6.339846,-5.426687,0.000000,0.315880
0.020000,12.709244,11.796112,6.893441,6.231312,-5.426687,0.000000,0.310795
0.020000,12.826967,11.833579,7.016982,6.122778,-5.426687,-0.000000,0.305397
0.020000,12.942823,11.869746,7.138352,6.014245,-5.426687,0.000000,0.299708
0.020000,13.056812,11.904602,7.257551,5.905711,-5.426687,-0.000000,0.293747
0.020000,13.168931,11.938142,7.374580,5.797177,-5.426687,0.000000,0.287532
0.020000,13.279178,11.970362,7.489438,5.688643,-5.426687,0.000000,0.281083
