dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.567129,14.449903,0.000666,0.066643,3.332128,166.606396,0.000000
0.020000,4.567129,14.449903,0.000666,0.000000,-3.332128,-333.212792,0.000000
0.020000,4.571359,14.449903,0.004897,0.211533,10.576654,695.439071,0.000000
0.020000,4.579357,14.449903,0.012894,0.399855,9.416114,-58.026976,0.000000
0.020000,4.590019,14.449903,0.023557,0.533140,6.664256,-137.592908,0.000000
0.020000,4.603348,14.449903,0.036886,0.666426,6.664256,0.000000,0.000000
0.020000,4.619342,14.449903,0.052880,0.799711,6.664256,-0.000000,0.000000
0.020000,4.638002,14.449903,0.071540,0.932996,6.664256,0.000000,0.000000
0.020000,4.659328,14.449903,0.092865,1.066281,6.664256,-0.000000,0.000000
0.020000,4.683319,14.449903,0.116857,1.199566,6.664256,-0.000000,0.000000
0.020000,4.709976,14.449903,0.143514,1.332851,6.664256,0.000000,0.000000
0.020000,4.739299,14.449903,0.172836,1.466136,6.664256,-0.000000,0.000000
0.020000,4.771287,14.449903,0.204825,1.599421,6.664256,0.000000,0.000000
0.020000,4.805941,14.449903,0.239479,1.732707,6.664256,-0.000000,0.000000
0.020000,4.843261,14.449903,0.276799,1.865992,6.664256,0.000000,0.000000
0.020000,4.883247,14.449903,0.316784,1.999277,6.664256,0.000000,0.000000
0.020000,4.925898,14.449903,0.359435,2.132562,6.664256,-0.000000,0.000000
0.020000,4.971215,14.449903,0.404752,2.265847,6.664256,0.000000,0.000000
0.020000,5.019197,14.449903,0.452735,2.399132,6.664256,0.000000,0.000000
0.020000,5.069846,14.449903,0.503383,2.532417,6.664256,0.000000,0.000000
0.020000,5.123160,14.449903,0.556697,2.665702,6.664256,0.000000,0.000000
0.020000,5.179140,14.449903,0.612677,2.798987,6.664256,0.000000,0.000000
0.020000,5.237785,14.449903,0.671323,2.932273,6.664256,0.000000,0.000000
0.020000,5.299096,14.449903,0.732634,3.065558,6.664256,0.000000,0.000000
0.020000,5.363073,14.449903,0.796611,3.198843,6.664256,0.000000,0.000000
0.020000,5.429716,14.449903,0.863253,3.332128,6.664256,0.000000,0.000000
0.020000,5.499024,14.449903,0.932561,3.465413,6.664256,-0.000000,0.000000
0.020000,5.570998,14.449903,1.004535,3.598698,6.664256,0.000000,0.000000
0.020000,5.645638,14.449903,1.079175,3.731983,6.664256,-0.000000,0.000000
0.020000,5.722943,14.449903,1.156480,3.865268,6.664256,0.000000,0.000000
0.020000,5.802914,14.449903,1.236452,3.998553,6.664256,0.000000,0.000000
0.020000,5.885551,14.449903,1.319088,4.131839,6.664256,-0.000000,0.000000
0.020000,5.970853,14.449903,1.404391,4.265124,6.664256,0.000000,0.000000
0.020000,6.058821,14.449903,1.492359,4.398409,6.664256,0.000000,0.000000
0.020000,6.149455,14.449903,1.582993,4.531694,6.664256,-0.000000,0.000000
0.020000,6.242755,14.449903,1.676292,4.664979,6.664256,0.000000,0.000000
0.020000,6.338720,14.449903,1.772258,4.798264,6.664256,0.000000,0.000000
0.020000,6.437351,14.449903,1.870889,4.931549,6.664256,-0.000000,0.000000
0.020000,6.538648,14.449903,1.972185,5.064834,6.664256,0.000000,0.000000
0.020000,6.642610,14.449903,2.076148,5.198120,6.664256,0.000000,0.000000
0.020000,6.749238,14.449903,2.182776,5.331405,6.664256,0.000000,0.000000
0.020000,6.858532,14.449903,2.292070,5.464690,6.664256,0.000000,0.000000
0.020000,6.970492,14.449903,2.404029,5.597975,6.664256,0.000000,0.000000
0.020000,7.085117,14.449903,2.518654,5.731260,6.664256,0.000000,0.000000
0.020000,7.202408,14.449903,2.635945,5.864545,6.664256,0.000000,0.000000
0.020000,7.322364,14.449903,2.755902,5.997830,6.664256,0.000000,0.000000
0.020000,7.444987,14.449903,2.878524,6.131115,6.664256,0.000000,0.000000
0.020000,7.570275,14.449903,3.003812,6.264400,6.664256,0.000000,0.000000
0.020000,7.698228,14.449903,3.131766,6.397686,6.664256,-0.000000,0.000000
0.020000,7.828848,14.449903,3.262385,6.530971,6.664256,0.000000,0.000000
0.020000,7.962133,14.449903,3.395670,6.664256,6.664256,0.000000,0.000000
0.020000,8.098084,14.449903,3.531621,6.797541,6.664256,-0.000000,0.000000
0.020000,8.236700,14.449903,3.670238,6.930826,6.664256,-0.000000,0.000000
0.020000,8.377982,14.449903,3.811520,7.064111,6.664256,0.000000,0.000000
0.020000,8.521930,14.449903,3.955468,7.197396,6.664256,-0.000000,0.000000
0.020000,8.668544,14.449903,4.102082,7.330681,6.664256,0.000000,0.000000
0.020000,8.817823,14.449903,4.251361,7.463967,6.664256,-0.000000,0.000000
0.020000,8.969768,14.449903,4.403306,7.597252,6.664256,0.000000,0.000000
0.020000,9.129835,14.449029,4.563375,8.003460,20.310403,682.307348,6.269786
0.020000,9.303328,14.445190,4.736910,8.676758,33.664914,667.725536,6.252441
0.020000,9.478954,14.438294,4.912672,8.788071,5.565670,-1404.962199,6.235565
0.020000,9.656602,14.428361,5.090597,8.896253,5.409079,-7.829512,6.219224
0.020000,9.836164,14.415429,5.270624,9.001374,5.256047,-7.651610,6.203485
0.020000,10.017541,14.399552,5.452695,9.103521,5.107341,-7.435281,6.188409
0.020000,10.200639,14.380806,5.636750,9.202784,4.963158,-7.209163,6.174060
0.020000,10.384667,14.359370,5.822022,9.263593,3.040436,-96.136092,6.160547
0.020000,10.567701,14.335632,6.006590,9.228371,-1.761058,-240.074739,6.148036
0.020000,10.747882,14.310071,6.188574,9.099222,-6.457455,-234.819829,6.136651
0.020000,10.924304,14.283096,6.367047,8.923623,-8.779968,-116.125650,6.126421
0.020000,11.096785,14.255014,6.541798,8.737588,-9.301746,-26.088919,6.117316
0.020000,11.265394,14.226079,6.712873,8.553711,-9.193867,5.393957,6.109290
0.020000,11.430204,14.196520,6.880313,8.372003,-9.085369,5.424927,6.102298
0.020000,11.591289,14.166549,7.044162,8.192455,-8.977435,5.396709,6.096293
0.020000,11.748720,14.136354,7.204462,8.015040,-8.870731,5.335168,6.091229
0.020000,11.902570,14.106111,7.361257,7.839720,-8.765989,5.237111,6.087062
0.020000,12.052908,14.075973,7.514586,7.666449,-8.663559,5.121520,6.083748
0.020000,12.199801,14.046082,7.664489,7.495178,-8.563575,4.999171,6.081245
0.020000,12.343314,14.016562,7.811006,7.325852,-8.466271,4.865186,6.079510
0.020000,12.483507,13.987524,7.954175,7.158419,-8.371633,4.731940,6.078504
0.020000,12.620438,13.959069,8.094031,6.992828,-8.279590,4.602120,6.078187
0.020000,12.754162,13.931281,8.230612,6.829026,-8.190076,4.475714,6.078521
0.020000,12.884729,13.904236,8.363951,6.666967,-8.102970,4.355292,6.079469
0.020000,13.012189,13.878000,8.494083,6.506604,-8.018129,4.242053,6.080995
0.020000,13.136586,13.852628,8.621041,6.347897,-7.935374,4.137749,6.083063
0.020000,13.257962,13.828165,8.744857,6.190804,-7.854615,4.037941,6.085639
0.020000,13.376355,13.804650,8.865563,6.035292,-7.775619,3.949805,6.088689
0.020000,13.491802,13.782113,8.983190,5.881324,-7.698383,3.861822,6.092180
0.020000,13.604337,13.760575,9.097767,5.728872,-7.622639,3.787205,6.096080
0.020000,13.713991,13.740054,9.209325,5.577903,-7.548433,3.710278,6.100357
0.020000,13.820794,13.720558,9.317893,5.428392,-7.475533,3.644977,6.104981
0.020000,13.924773,13.702091,9.423499,5.280312,-7.404001,3.576604,6.109920
0.020000,14.025954,13.684651,9.526172,5.133636,-7.333821,3.509030,6.115145
0.020000,14.124360,13.668231,9.625939,4.988340,-7.264800,3.451062,6.120626
0.020000,14.220015,13.652820,9.722827,4.844397,-7.197124,3.383782,6.126334
0.020000,14.312939,13.638402,9.816862,4.701783,-7.130701,3.321133,6.132241
0.020000,14.403152,13.624959,9.908072,4.560471,-7.065607,3.254725,6.138320
