dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.567129,13.512403,0.000666,0.066643,3.332128,166.606396,0.000000
0.020000,4.567129,13.512403,0.003332,0.199928,6.664256,166.606396,0.000000
0.020000,4.571359,13.512403,0.008664,0.333213,6.664256,-0.000000,0.000000
0.020000,4.579357,13.512403,0.016661,0.466498,6.664256,0.000000,0.000000
0.020000,4.590019,13.512403,0.027323,0.599783,6.664256,0.000000,0.000000
0.020000,4.603348,13.512403,0.040652,0.733068,6.664256,0.000000,0.000000
0.020000,4.619342,13.512403,0.056646,0.866353,6.664256,-0.000000,0.000000
0.020000,4.638002,13.512403,0.075306,0.999638,6.664256,0.000000,0.000000
0.020000,4.659328,13.512403,0.096632,1.132923,6.664256,0.000000,0.000000
0.020000,4.683319,13.512403,0.120623,1.266209,6.664256,0.000000,0.000000
0.020000,4.709976,13.512403,0.147280,1.399494,6.664256,-0.000000,0.000000
0.020000,4.739299,13.512403,0.176603,1.532779,6.664256,0.000000,0.000000
0.020000,4.771287,13.512403,0.208591,1.666064,6.664256,0.000000,0.000000
0.020000,4.805941,13.512403,0.243245,1.799349,6.664256,0.000000,0.000000
0.020000,4.843261,13.512403,0.280565,1.932634,6.664256,0.000000,0.000000
0.020000,4.883247,13.512403,0.320551,2.065919,6.664256,0.000000,0.000000
0.020000,4.925898,13.512403,0.363202,2.199204,6.664256,-0.000000,0.000000
0.020000,4.971215,13.512403,0.408519,2.332490,6.664256,0.000000,0.000000
0.020000,5.019197,13.512403,0.456502,2.465775,6.664256,0.000000,0.000000
0.020000,5.069846,13.512403,0.507150,2.599060,6.664256,0.000000,0.000000
0.020000,5.123160,13.512403,0.560464,2.732345,6.664256,-0.000000,0.000000
0.020000,5.179140,13.512403,0.616444,2.865630,6.664256,0.000000,0.000000
0.020000,5.237785,13.512403,0.675089,2.998915,6.664256,-0.000000,0.000000
0.020000,5.299096,13.512403,0.736400,3.132200,6.664256,0.000000,0.000000
0.020000,5.363073,13.512403,0.800377,3.265485,6.664256,0.000000,0.000000
0.020000,5.429716,13.512403,0.867020,3.398770,6.664256,-0.000000,0.000000
0.020000,5.499024,13.512403,0.936328,3.532056,6.664256,0.000000,0.000000
0.020000,5.570998,13.512403,1.008302,3.665341,6.664256,-0.000000,0.000000
0.020000,5.645638,13.512403,1.082942,3.798626,6.664256,0.000000,0.000000
0.020000,5.722943,13.512403,1.160247,3.931911,6.664256,0.000000,0.000000
0.020000,5.802914,13.512403,1.240218,4.065196,6.664256,0.000000,0.000000
0.020000,5.885551,13.512403,1.322855,4.198481,6.664256,-0.000000,0.000000
0.020000,5.970853,13.512403,1.408157,4.331766,6.664256,0.000000,0.000000
0.020000,6.058821,13.512403,1.496125,4.465051,6.664256,-0.000000,0.000000
0.020000,6.149455,13.512403,1.586759,4.598337,6.664256,0.000000,0.000000
0.020000,6.242755,13.512403,1.680059,4.731622,6.664256,0.000000,0.000000
0.020000,6.338720,13.512403,1.776024,4.864907,6.664256,0.000000,0.000000
0.020000,6.437351,13.512403,1.874655,4.998192,6.664256,-0.000000,0.000000
0.020000,6.538648,13.512403,1.975952,5.131477,6.664256,0.000000,0.000000
0.020000,6.642610,13.512403,2.079914,5.264762,6.664256,-0.000000,0.000000
0.020000,6.749238,13.512403,2.186542,5.398047,6.664256,0.000000,0.000000
0.020000,6.858532,13.512403,2.295836,5.531332,6.664256,-0.000000,0.000000
0.020000,6.970492,13.512403,2.407796,5.664617,6.664256,0.000000,0.000000
0.020000,7.085117,13.512403,2.522421,5.797903,6.664256,-0.000000,0.000000
0.020000,7.202408,13.512403,2.639712,5.931188,6.664256,0.000000,0.000000
0.020000,7.322364,13.512403,2.759668,6.064473,6.664256,0.000000,0.000000
0.020000,7.444987,13.512403,2.882291,6.197758,6.664256,0.000000,0.000000
0.020000,7.570275,13.512403,3.007579,6.331043,6.664256,-0.000000,0.000000
0.020000,7.698228,13.512403,3.135532,6.464328,6.664256,0.000000,0.000000
0.020000,7.828848,13.512403,3.266152,6.597613,6.664256,-0.000000,0.000000
0.020000,7.962133,13.512403,3.399437,6.730898,6.664256,0.000000,0.000000
0.020000,8.098084,13.512403,3.535388,6.864184,6.664256,-0.000000,0.000000
0.020000,8.236700,13.512403,3.674004,6.997469,6.664256,0.000000,0.000000
0.020000,8.377982,13.512403,3.815286,7.130754,6.664256,-0.000000,0.000000
0.020000,8.521930,13.512403,3.959234,7.264039,6.664256,0.000000,0.000000
0.020000,8.668544,13.512403,4.105848,7.397324,6.664256,0.000000,0.000000
0.020000,8.817823,13.512403,4.255127,7.530609,6.664256,0.000000,0.000000
0.020000,8.969768,13.512403,4.407072,7.663894,6.664256,-0.000000,0.000000
0.020000,9.117273,13.511613,4.561683,7.797179,6.664256,0.000000,6.269786
0.020000,9.274509,13.508133,4.718960,7.930464,6.664256,-0.000000,6.252441
0.020000,9.434326,13.501857,4.878902,8.063750,6.664256,0.000000,6.235565
0.020000,9.596679,13.492778,5.041510,8.197035,6.664256,0.000000,6.219224
0.020000,9.761524,13.480905,5.206783,8.330320,6.664256,0.000000,6.203485
0.020000,9.928821,13.466260,5.374722,8.463605,6.664256,0.000000,6.188409
0.020000,10.098538,13.448883,5.545327,8.596890,6.664256,0.000000,6.174060
0.020000,10.269981,13.428911,5.717932,8.663533,3.332128,-166.606396,6.160547
0.020000,10.441384,13.406681,5.890771,8.620464,-2.153435,-274.278141,6.148036
0.020000,10.610997,13.382618,6.062084,8.510753,-5.485563,-166.606396,6.136651
0.020000,10.777938,13.357092,6.230966,8.377468,-6.664256,-58.934650,6.126421
0.020000,10.941994,13.330381,6.397182,8.244182,-6.664256,-0.000000,6.117316
0.020000,11.103188,13.302718,6.560733,8.110897,-6.664256,0.000000,6.109290
0.020000,11.261546,13.274316,6.721618,7.977612,-6.664256,0.000000,6.102298
0.020000,11.417096,13.245374,6.879838,7.844327,-6.664256,0.000000,6.096293
0.020000,11.569865,13.216074,7.035391,7.711042,-6.664256,-0.000000,6.091229
0.020000,11.719881,13.186583,7.188279,7.577757,-6.664256,0.000000,6.087062
0.020000,11.867173,13.157056,7.338502,7.444472,-6.664256,-0.000000,6.083748
0.020000,12.011766,13.127632,7.486058,7.311187,-6.664256,0.000000,6.081245
0.020000,12.153686,13.098440,7.630949,7.177901,-6.664256,-0.000000,6.079510
0.020000,12.292955,13.069594,7.773174,7.044616,-6.664256,0.000000,6.078504
0.020000,12.429595,13.041199,7.912734,6.911331,-6.664256,0.000000,6.078187
0.020000,12.563626,13.013347,8.049627,6.778046,-6.664256,0.000000,6.078521
0.020000,12.695064,12.986122,8.183856,6.644761,-6.664256,-0.000000,6.079469
0.020000,12.823925,12.959598,8.315418,6.511476,-6.664256,0.000000,6.080995
0.020000,12.950221,12.933838,8.444315,6.378191,-6.664256,-0.000000,6.083063
0.020000,13.073964,12.908898,8.570546,6.244906,-6.664256,0.000000,6.085639
0.020000,13.195162,12.884827,8.694111,6.111621,-6.664256,-0.000000,6.088689
0.020000,13.313821,12.861662,8.815010,5.978335,-6.664256,0.000000,6.092180
0.020000,13.429948,12.839438,8.933244,5.845050,-6.664256,-0.000000,6.096080
0.020000,13.543543,12.818179,9.048812,5.711765,-6.664256,0.000000,6.100357
0.020000,13.654611,12.797904,9.161715,5.578480,-6.664256,0.000000,6.104981
0.020000,13.763149,12.778628,9.271952,5.445195,-6.664256,0.000000,6.109920
0.020000,13.869156,12.760356,9.379523,5.311910,-6.664256,-0.000000,6.115145
0.020000,13.972631,12.743091,9.484428,5.178625,-6.664256,0.000000,6.120626
0.020000,14.073569,12.726829,9.586668,5.045340,-6.664256,-0.000000,6.126334
0.020000,14.171966,12.711562,9.686242,4.912054,-6.664256,0.000000,6.132241
0.020000,14.267815,12.697279,9.783150,4.778769,-6.664256,-0.000000,6.138320
0.020000,14.361112,12.683962,9.877392,4.645484,-6.664256,0.000000,6.144543
0.020000,14.451849,12.671591,9.968969,4.512199,-6.664256,-0.000000,6.150883
0.020000,14.540020,12.660144,10.057880,4.378914,-6.664256,0.000000,6.157314
0.020000,14.625618,12.649593,10.144126,4.245629,-6.664256,0.000000,6.163812
0.020000,14.708634,12.639909,10.227705,4.112344,-6.664256,-0.000000,6.170351
0.020000,14.789063,12.631061,10.308619,3.979059,-6.664256,0.000000,6.176908
0.020000,14.866896,12.623014,10.386868,3.845774,-6.664256,-0.000000,6.183460
0.020000,14.942127,12.615733,10.462450,3.712488,-6.664256,0.000000,6.189983
0.020000,15.014749,12.609181,10.535367,3.579203,-6.664256,-0.000000,6.196458
0.020000,15.084755,12.603319,10.605619,3.445918,-6.664256,0.000000,6.202862
0.020000,15.152139,12.598108,10.673204,3.312633,-6.664256,0.000000,6.209176
0.020000,15.216896,12.593508,10.738124,3.179348,-6.664256,-0.000000,6.215381
0.020000,15.279019,12.589478,10.800378,3.046063,-6.664256,0.000000,6.221460
0.020000,15.338505,12.585979,10.859966,2.912778,-6.664256,-0.000000,6.227394
0.020000,15.395348,12.582968,10.916889,2.779493,-6.664256,0.000000,6.233167
0.020000,15.449544,12.580406,10.971146,2.646207,-6.664256,0.000000,6.238765
0.020000,15.501091,12.578255,11.022737,2.512922,-6.664256,-0.000000,6.244172
0.020000,15.549984,12.576473,11.071663,2.379637,-6.664256,0.000000,6.249375
0.020000,15.596221,12.575024,11.117923,2.246352,-6.664256,-0.000000,6.254361
0.020000,15.639800,12.573871,11.161517,2.113067,-6.664256,0.000000,6.259118
0.020000,15.680718,12.572979,11.202446,1.979782,-6.664256,-0.000000,6.263636
0.020000,15.718975,12.572312,11.240708,1.846497,-6.664256,0.000000,6.267904
0.020000,15.754569,12.571840,11.276305,1.713212,-6.664256,0.000000,6.271913
0.020000,15.787499,12.571530,11.309237,1.579927,-6.664256,-0.000000,6.275654
0.020000,15.817764,12.571354,11.339502,1.446641,-6.664256,0.000000,6.279119
0.020000,15.845364,12.571286,11.367102,1.313356,-6.664256,0.000000,6.282302
0.020000,15.870298,12.571300,11.392037,1.180071,-6.664256,0.000000,0.002010
0.020000,15.892567,12.571374,11.414305,1.046786,-6.664256,0.000000,0.004608
0.020000,15.912169,12.571486,11.433908,0.913501,-6.664256,-0.000000,0.006907
0.020000,15.929106,12.571620,11.450845,0.780216,-6.664256,-0.000000,0.008902
0.020000,15.943377,12.571759,11.465117,0.646931,-6.664256,0.000000,0.010588
0.020000,15.954982,12.571890,11.476723,0.513646,-6.664256,0.000000,0.011964
0.020000,15.963921,12.572002,11.485663,0.380361,-6.664256,-0.000000,0.013026
0.020000,15.970195,12.572086,11.491937,0.247075,-6.664256,0.000000,0.013773
0.020000,15.973803,12.572137,11.495546,0.113790,-6.664256,0.000000,0.014203
0.020000,15.975177,12.572156,11.496919,0.023574,-4.510821,107.671746,0.014366
0.020000,15.975413,12.572160,11.497155,0.000000,-1.178693,166.606396,0.014395
0.020000,15.975413,12.572160,11.497155,0.000000,0.000000,58.934650,0.014395
