dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.567129,12.574903,0.000666,0.066643,3.332128,166.606396,0.000000
0.020000,4.567129,12.574903,0.000666,0.000000,-3.332128,-333.212792,0.000000
0.020000,4.571359,12.574903,0.004897,0.211533,10.576654,695.439071,0.000000
0.020000,4.579357,12.574903,0.012894,0.399855,9.416114,-58.026976,0.000000
0.020000,4.590019,12.574903,0.023557,0.533140,6.664256,-137.592908,0.000000
0.020000,4.603348,12.574903,0.036886,0.666426,6.664256,0.000000,0.000000
0.020000,4.619342,12.574903,0.052880,0.799711,6.664256,-0.000000,0.000000
0.020000,4.638002,12.574903,0.071540,0.932996,6.664256,0.000000,0.000000
0.020000,4.659328,12.574903,0.092865,1.066281,6.664256,-0.000000,0.000000
0.020000,4.683319,12.574903,0.116857,1.199566,6.664256,-0.000000,0.000000
0.020000,4.709976,12.574903,0.143514,1.332851,6.664256,0.000000,0.000000
0.020000,4.739299,12.574903,0.172836,1.466136,6.664256,-0.000000,0.000000
0.020000,4.771287,12.574903,0.204825,1.599421,6.664256,0.000000,0.000000
0.020000,4.805941,12.574903,0.239479,1.732707,6.664256,-0.000000,0.000000
0.020000,4.843261,12.574903,0.276799,1.865992,6.664256,0.000000,0.000000
0.020000,4.883247,12.574903,0.316784,1.999277,6.664256,0.000000,0.000000
0.020000,4.925898,12.574903,0.359435,2.132562,6.664256,-0.000000,0.000000
0.020000,4.971215,12.574903,0.404752,2.265847,6.664256,0.000000,0.000000
0.020000,5.019197,12.574903,0.452735,2.399132,6.664256,0.000000,0.000000
0.020000,5.069846,12.574903,0.503383,2.532417,6.664256,0.000000,0.000000
0.020000,5.123160,12.574903,0.556697,2.665702,6.664256,0.000000,0.000000
0.020000,5.179140,12.574903,0.612677,2.798987,6.664256,0.000000,0.000000
0.020000,5.237785,12.574903,0.671323,2.932273,6.664256,0.000000,0.000000
0.020000,5.299096,12.574903,0.732634,3.065558,6.664256,0.000000,0.000000
0.020000,5.363073,12.574903,0.796611,3.198843,6.664256,0.000000,0.000000
0.020000,5.429716,12.574903,0.863253,3.332128,6.664256,0.000000,0.000000
0.020000,5.499024,12.574903,0.932561,3.465413,6.664256,-0.000000,0.000000
0.020000,5.570998,12.574903,1.004535,3.598698,6.664256,0.000000,0.000000
0.020000,5.645638,12.574903,1.079175,3.731983,6.664256,-0.000000,0.000000
0.020000,5.722943,12.574903,1.156480,3.865268,6.664256,0.000000,0.000000
0.020000,5.802914,12.574903,1.236452,3.998553,6.664256,0.000000,0.000000
0.020000,5.885551,12.574903,1.319088,4.131839,6.664256,-0.000000,0.000000
0.020000,5.970853,12.574903,1.404391,4.265124,6.664256,0.000000,0.000000
0.020000,6.058821,12.574903,1.492359,4.398409,6.664256,0.000000,0.000000
0.020000,6.149455,12.574903,1.582993,4.531694,6.664256,-0.000000,0.000000
0.020000,6.242755,12.574903,1.676292,4.664979,6.664256,0.000000,0.000000
0.020000,6.338720,12.574903,1.772258,4.798264,6.664256,0.000000,0.000000
0.020000,6.437351,12.574903,1.870889,4.931549,6.664256,-0.000000,0.000000
0.020000,6.538648,12.574903,1.972185,5.064834,6.664256,0.000000,0.000000
0.020000,6.642610,12.574903,2.076148,5.198120,6.664256,0.000000,0.000000
0.020000,6.749238,12.574903,2.182776,5.331405,6.664256,0.000000,0.000000
0.020000,6.858532,12.574903,2.292070,5.464690,6.664256,0.000000,0.000000
0.020000,6.970492,12.574903,2.404029,5.597975,6.664256,0.000000,0.000000
0.020000,7.085117,12.574903,2.518654,5.731260,6.664256,0.000000,0.000000
0.020000,7.202408,12.574903,2.635945,5.864545,6.664256,0.000000,0.000000
0.020000,7.322364,12.574903,2.755902,5.997830,6.664256,0.000000,0.000000
0.020000,7.444987,12.574903,2.878524,6.131115,6.664256,0.000000,0.000000
0.020000,7.570275,12.574903,3.003812,6.264400,6.664256,0.000000,0.000000
0.020000,7.698228,12.574903,3.131766,6.397686,6.664256,-0.000000,0.000000
0.020000,7.828848,12.574903,3.262385,6.530971,6.664256,0.000000,0.000000
0.020000,7.962133,12.574903,3.395670,6.664256,6.664256,0.000000,0.000000
0.020000,8.098084,12.574903,3.531621,6.797541,6.664256,-0.000000,0.000000
0.020000,8.236700,12.574903,3.670238,6.930826,6.664256,-0.000000,0.000000
0.020000,8.377982,12.574903,3.811520,7.064111,6.664256,0.000000,0.000000
0.020000,8.521930,12.574903,3.955468,7.197396,6.664256,-0.000000,0.000000
0.020000,8.668544,12.574903,4.102082,7.330681,6.664256,0.000000,0.000000
0.020000,8.817823,12.574903,4.251361,7.463967,6.664256,-0.000000,0.000000
0.020000,8.969768,12.574903,4.403306,7.597252,6.664256,0.000000,0.000000
0.020000,9.104712,12.574197,4.538251,6.747264,-42.499370,-2458.181302,6.269786
0.020000,9.245691,12.571076,4.679265,7.050685,15.171014,2883.519196,6.252441
0.020000,9.389699,12.565420,4.823384,7.205951,7.763347,-370.383346,6.235565
0.020000,9.536756,12.557195,4.970671,7.364348,7.919850,7.825154,6.219224
0.020000,9.686883,12.546381,5.121187,7.525807,8.072926,7.653810,6.203485
0.020000,9.840102,12.532967,5.274992,7.690244,8.221869,7.447129,6.188409
0.020000,9.996436,12.516959,5.432143,7.857563,8.365918,7.202449,6.174060
0.020000,10.155296,12.498453,5.592077,7.996698,6.956772,-70.457270,6.160547
0.020000,10.315067,12.477729,5.753187,8.055511,2.940662,-200.805496,6.148036
0.020000,10.474113,12.455165,5.913825,8.031901,-1.180523,-206.059255,6.136651
0.020000,10.631573,12.431088,6.073116,7.964523,-3.368895,-109.418626,6.126421
0.020000,10.787204,12.405748,6.230796,7.884005,-4.025924,-32.851418,6.117316
0.020000,10.940982,12.379357,6.386822,7.801325,-4.133982,-5.402920,6.109290
0.020000,11.092888,12.352112,6.541152,7.716474,-4.242569,-5.429361,6.102298
0.020000,11.242902,12.324199,6.693741,7.629460,-4.350681,-5.405584,6.096293
0.020000,11.391009,12.295793,6.844547,7.540312,-4.457375,-5.334677,6.091229
0.020000,11.537192,12.267055,6.993529,7.449068,-4.562216,-5.242068,6.087062
0.020000,11.681438,12.238139,7.140644,7.355772,-4.664787,-5.128561,6.083748
0.020000,11.823731,12.209183,7.285854,7.260477,-4.764759,-4.998577,6.081245
0.020000,11.964058,12.180318,7.429118,7.163235,-4.862128,-4.868451,6.079510
0.020000,12.102403,12.151664,7.570400,7.064098,-4.956834,-4.735319,6.078504
0.020000,12.238753,12.123329,7.709663,6.963120,-5.048897,-4.603144,6.078187
0.020000,12.373090,12.095413,7.846870,6.860351,-5.138431,-4.476694,6.078521
0.020000,12.505398,12.068008,7.981987,6.755840,-5.225563,-4.356629,6.079469
0.020000,12.635660,12.041196,8.114979,6.649631,-5.310436,-4.243630,6.080995
0.020000,12.763856,12.015048,8.245815,6.541768,-5.393170,-4.136717,6.083063
0.020000,12.889966,11.989632,8.374460,6.432288,-5.473979,-4.040435,6.085639
0.020000,13.013969,11.965003,8.500885,6.321230,-5.552913,-3.946712,6.088689
0.020000,13.135841,11.941212,8.625057,6.208625,-5.630240,-3.866333,6.092180
0.020000,13.255558,11.918300,8.746948,6.094507,-5.705919,-3.783929,6.096080
0.020000,13.373096,11.896304,8.866526,5.978903,-5.780202,-3.714155,6.100357
0.020000,13.488427,11.875251,8.983763,5.861843,-5.853007,-3.640244,6.104981
0.020000,13.601524,11.855165,9.098630,5.743352,-5.924522,-3.575774,6.109920
0.020000,13.712359,11.836061,9.211099,5.623456,-5.994815,-3.514667,6.115145
0.020000,13.820902,11.817950,9.321142,5.502182,-6.063719,-3.445160,6.120626
0.020000,13.927123,11.800837,9.428733,5.379553,-6.131438,-3.385986,6.126334
0.020000,14.030992,11.784722,9.533845,5.255596,-6.197841,-3.320125,6.132241
0.020000,14.132478,11.769599,9.636452,5.130337,-6.262944,-3.255185,6.138320
0.020000,14.231550,11.755458,9.736528,5.003804,-6.326665,-3.186021,6.144543
0.020000,14.328177,11.742284,9.834049,4.876024,-6.389001,-3.116824,6.150883
0.020000,14.422327,11.730061,9.928989,4.747027,-6.449843,-3.042085,6.157314
0.020000,14.513971,11.718765,10.021326,4.616844,-6.509155,-2.965620,6.163812
0.020000,14.603077,11.708371,10.111036,4.485507,-6.566831,-2.883796,6.170351
0.020000,14.689616,11.698850,10.198097,4.353051,-6.622820,-2.799450,6.176908
0.020000,14.773558,11.690172,10.282487,4.219510,-6.677060,-2.711975,6.183460
0.020000,14.854877,11.682302,10.364186,4.084919,-6.729522,-2.623097,6.189983
0.020000,14.933544,11.675205,10.443172,3.949322,-6.779886,-2.518200,6.196458
0.020000,15.009533,11.668842,10.519427,3.812750,-6.828554,-2.433417,6.202862
0.020000,15.082819,11.663175,10.592932,3.675247,-6.875166,-2.330580,6.209176
0.020000,15.153378,11.658162,10.663669,3.536858,-6.919449,-2.214142,6.215381
0.020000,15.221188,11.653764,10.731622,3.397617,-6.962049,-2.130008,6.221460
0.020000,15.286227,11.649937,10.796773,3.257574,-7.002176,-2.006348,6.227394
0.020000,15.348475,11.646640,10.859108,3.116761,-7.040630,-1.922712,6.233167
0.020000,15.407913,11.643831,10.918613,2.975229,-7.076617,-1.799376,6.238765
0.020000,15.464524,11.641468,10.975273,2.833018,-7.110522,-1.695217,6.244172
0.020000,15.518292,11.639509,11.029077,2.690168,-7.142498,-1.598808,6.249375
0.020000,15.569202,11.637914,11.080011,2.546717,-7.172582,-1.504177,6.254361
0.020000,15.617239,11.636643,11.128065,2.402718,-7.199956,-1.368740,6.259118
0.020000,15.662392,11.635658,11.173229,2.258196,-7.226060,-1.305181,6.263636
0.020000,15.704650,11.634922,11.215493,2.113203,-7.249686,-1.181315,6.267904
0.020000,15.744002,11.634399,11.254849,1.967763,-7.271968,-1.114088,6.271913
0.020000,15.780438,11.634056,11.291287,1.821920,-7.292173,-1.010235,6.275654
0.020000,15.813952,11.633862,11.324801,1.675718,-7.310076,-0.895164,6.279119
0.020000,15.844536,11.633786,11.355385,1.529176,-7.327121,-0.852233,6.282302
0.020000,15.872182,11.633802,11.383032,1.382340,-7.341791,-0.733498,0.002010
0.020000,15.896887,11.633884,11.407736,1.235234,-7.355314,-0.676169,0.004608
0.020000,15.918645,11.634009,11.429494,1.087899,-7.366725,-0.570570,0.006907
0.020000,15.937451,11.634157,11.448301,0.940350,-7.377488,-0.538106,0.008902
0.020000,15.953303,11.634312,11.464154,0.792635,-7.385704,-0.410814,0.010588
0.020000,15.966198,11.634457,11.477050,0.644775,-7.393000,-0.364822,0.011964
0.020000,15.976133,11.634582,11.486985,0.496788,-7.399370,-0.318478,0.013026
0.020000,15.983106,11.634675,11.493960,0.348721,-7.403343,-0.198646,0.013773
0.020000,15.987118,11.634731,11.497971,0.200587,-7.406714,-0.168564,0.014203
0.020000,15.988645,11.634753,11.499499,0.076361,-6.211277,59.771873,0.014366
0.020000,15.988907,11.634757,11.499761,0.013105,-3.162808,152.423423,0.014395
0.020000,15.988907,11.634757,11.499761,0.000000,-0.655263,125.377275,0.014395
