dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.504446,14.387220,0.000669,0.066895,3.344735,167.236739,6.283185
0.020000,4.504446,14.387220,0.000669,0.000012,-3.344136,-334.443561,6.283185
0.020000,4.508942,14.387220,0.005165,0.224804,11.239601,729.186886,0.000000
0.020000,4.516969,14.387220,0.013192,0.401332,8.826423,-120.658902,0.000001
0.020000,4.527671,14.387220,0.023894,0.535110,6.688885,-106.876914,0.000002
0.020000,4.541049,14.387220,0.037272,0.668888,6.688894,0.000457,0.000003
0.020000,4.557102,14.387220,0.053325,0.802666,6.688906,0.000571,0.000005
0.020000,4.575831,14.387220,0.072054,0.936445,6.688919,0.000685,0.000007
0.020000,4.597235,14.387220,0.093459,1.070223,6.688935,0.000800,0.000009
0.020000,4.621315,14.387220,0.117539,1.204002,6.688953,0.000914,0.000011
0.020000,4.648071,14.387221,0.144294,1.337782,6.688974,0.001028,0.000013
0.020000,4.677502,14.387221,0.173725,1.471562,6.688997,0.001142,0.000016
0.020000,4.709609,14.387222,0.205832,1.605342,6.689022,0.001257,0.000019
0.020000,4.744392,14.387222,0.240615,1.739123,6.689049,0.001371,0.000022
0.020000,4.781850,14.387223,0.278073,1.872905,6.689079,0.001485,0.000025
0.020000,4.821983,14.387224,0.318207,2.006687,6.689111,0.001599,0.000028
0.020000,4.864793,14.387226,0.361016,2.140470,6.689145,0.001714,0.000031
0.020000,4.910278,14.387227,0.406501,2.274254,6.689182,0.001828,0.000035
0.020000,4.958439,14.387229,0.454662,2.408038,6.689221,0.001942,0.000039
0.020000,5.009275,14.387231,0.505498,2.541823,6.689262,0.002056,0.000042
0.020000,5.062787,14.387233,0.559010,2.675609,6.689305,0.002171,0.000046
0.020000,5.118975,14.387236,0.615198,2.809396,6.689351,0.002285,0.000050
0.020000,5.177839,14.387239,0.674062,2.943184,6.689399,0.002399,0.000054
0.020000,5.239378,14.387243,0.735602,3.076973,6.689449,0.002513,0.000058
0.020000,5.303594,14.387246,0.799817,3.210763,6.689502,0.002628,0.000062
0.020000,5.370485,14.387251,0.866708,3.344554,6.689557,0.002742,0.000066
0.020000,5.440052,14.387255,0.936275,3.478347,6.689614,0.002856,0.000069
0.020000,5.512294,14.387260,1.008518,3.612140,6.689673,0.002970,0.000073
0.020000,5.587213,14.387266,1.083436,3.745935,6.689735,0.003085,0.000077
0.020000,5.664808,14.387272,1.161031,3.879731,6.689799,0.003199,0.000080
0.020000,5.745078,14.387279,1.241302,4.013528,6.689865,0.003313,0.000083
0.020000,5.828025,14.387286,1.324248,4.147327,6.689934,0.003427,0.000086
0.020000,5.913647,14.387293,1.409871,4.281127,6.690005,0.003542,0.000089
0.020000,6.001946,14.387301,1.498169,4.414928,6.690078,0.003656,0.000092
0.020000,6.092921,14.387310,1.589144,4.548732,6.690153,0.003770,0.000094
0.020000,6.186571,14.387319,1.682795,4.682536,6.690231,0.003884,0.000096
0.020000,6.282898,14.387328,1.779121,4.816342,6.690311,0.003999,0.000098
0.020000,6.381901,14.387338,1.878124,4.950150,6.690393,0.004113,0.000099
0.020000,6.483580,14.387348,1.979804,5.083960,6.690478,0.004227,0.000100
0.020000,6.587936,14.387358,2.084159,5.217771,6.690564,0.004341,0.000100
0.020000,6.694968,14.387369,2.191191,5.351584,6.690653,0.004456,0.000100
0.020000,6.804675,14.387380,2.300899,5.485399,6.690745,0.004570,0.000099
0.020000,6.917060,14.387391,2.413283,5.619216,6.690839,0.004684,0.000098
0.020000,7.032120,14.387402,2.528344,5.753034,6.690935,0.004798,0.000096
0.020000,7.149858,14.387413,2.646081,5.886855,6.691033,0.004913,0.000093
0.020000,7.270271,14.387424,2.766494,6.020678,6.691133,0.005027,0.000090
0.020000,7.393361,14.387435,2.889584,6.154503,6.691236,0.005141,0.000086
0.020000,7.519128,14.387446,3.015351,6.288329,6.691341,0.005255,0.000081
0.020000,7.647571,14.387456,3.143794,6.422158,6.691449,0.005370,0.000075
0.020000,7.778691,14.387465,3.274914,6.555989,6.691558,0.005484,0.000069
0.020000,7.912487,14.387474,3.408710,6.689823,6.691670,0.005598,0.000061
0.020000,8.048960,14.387482,3.545184,6.823659,6.691785,0.005712,0.000053
0.020000,8.188110,14.387488,3.684333,6.957497,6.691901,0.005827,0.000043
0.020000,8.329937,14.387494,3.826160,7.091337,6.692020,0.005941,0.000032
0.020000,8.474441,14.387498,3.970664,7.225180,6.692141,0.006055,0.000021
0.020000,8.621621,14.387500,4.117844,7.359025,6.692264,0.006169,0.000008
0.020000,8.758184,14.387659,4.254408,6.828162,-26.543132,-1661.769826,0.005876
0.020000,8.896904,14.389501,4.393139,6.936593,5.421528,1598.233027,0.020582
0.020000,9.038526,14.393445,4.534817,7.083864,7.363529,97.100053,0.035001
0.020000,9.183065,14.399533,4.679483,7.233323,7.472948,5.470944,0.049085
0.020000,9.330532,14.407799,4.827182,7.384959,7.581834,5.444306,0.062788
0.020000,9.480943,14.418268,4.977957,7.538751,7.689596,5.388070,0.076065
0.020000,9.634313,14.430954,5.131851,7.694669,7.795884,5.314430,0.088870
0.020000,9.790657,14.445864,5.288904,7.852679,7.900487,5.230118,0.101158
0.020000,9.949994,14.462993,5.449159,8.012737,8.002908,5.121053,0.112885
0.020000,10.112343,14.482325,5.612655,8.174802,8.103272,5.018192,0.124010
0.020000,10.277100,14.503748,5.778799,8.307173,6.618518,-74.237685,0.134451
0.020000,10.442770,14.526984,5.946090,8.364583,2.870540,-187.398907,0.144094
0.020000,10.607843,14.551686,6.113001,8.345562,-0.951044,-191.079187,0.152853
0.020000,10.771302,14.577537,6.278492,8.274535,-3.551378,-130.016728,0.160700
0.020000,10.932756,14.604295,6.442148,8.182791,-4.587194,-51.790798,0.167650
0.020000,11.092189,14.631787,6.603934,8.089310,-4.674063,-4.343423,0.173740
0.020000,11.249589,14.659850,6.763816,7.994103,-4.760347,-4.314220,0.179006
0.020000,11.404944,14.688330,6.921760,7.897194,-4.845466,-4.255915,0.183487
0.020000,11.558243,14.717083,7.077732,7.798610,-4.929168,-4.185097,0.187216
0.020000,11.709475,14.745976,7.231700,7.698386,-5.011208,-4.102006,0.190229
0.020000,11.858631,14.774885,7.383631,7.596559,-5.091348,-4.006999,0.192560
0.020000,12.005698,14.803696,7.533495,7.493167,-5.169599,-3.912592,0.194243
