dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.504446,13.449720,0.000669,0.066895,3.344735,167.236739,6.283185
0.020000,4.504446,13.449720,0.003345,0.200684,6.689470,167.236739,6.283185
0.020000,4.508943,13.449720,0.008696,0.334473,6.689470,-0.000000,0.000000
0.020000,4.516970,13.449720,0.016724,0.468263,6.689470,0.000000,0.000001
0.020000,4.527673,13.449720,0.027427,0.602052,6.689470,-0.000000,0.000002
0.020000,4.541052,13.449720,0.040806,0.735842,6.689470,0.000000,0.000003
0.020000,4.557107,13.449720,0.056860,0.869631,6.689470,0.000000,0.000005
0.020000,4.575837,13.449720,0.075591,1.003420,6.689470,-0.000000,0.000007
0.020000,4.597243,13.449720,0.096997,1.137210,6.689470,0.000000,0.000009
0.020000,4.621326,13.449720,0.121079,1.270999,6.689470,0.000000,0.000011
0.020000,4.648083,13.449721,0.147837,1.404789,6.689470,-0.000000,0.000013
0.020000,4.677517,13.449721,0.177271,1.538578,6.689470,0.000000,0.000016
0.020000,4.709627,13.449722,0.209380,1.672367,6.689470,0.000000,0.000019
0.020000,4.744412,13.449722,0.244166,1.806157,6.689470,0.000000,0.000022
0.020000,4.781873,13.449723,0.281627,1.939946,6.689470,-0.000000,0.000025
0.020000,4.822010,13.449724,0.321763,2.073736,6.689470,0.000000,0.000028
0.020000,4.864822,13.449726,0.364576,2.207525,6.689470,-0.000000,0.000031
0.020000,4.910311,13.449727,0.410064,2.341314,6.689470,0.000000,0.000035
0.020000,4.958475,13.449729,0.458229,2.475104,6.689470,0.000000,0.000039
0.020000,5.009315,13.449731,0.509069,2.608893,6.689470,0.000000,0.000042
0.020000,5.062831,13.449733,0.562584,2.742683,6.689470,0.000000,0.000046
0.020000,5.119022,13.449736,0.618776,2.876472,6.689470,-0.000000,0.000050
0.020000,5.177889,13.449739,0.677643,3.010261,6.689470,0.000000,0.000054
0.020000,5.239433,13.449743,0.739186,3.144051,6.689470,0.000000,0.000058
0.020000,5.303651,13.449746,0.803405,3.277840,6.689470,0.000000,0.000062
0.020000,5.370546,13.449751,0.870300,3.411629,6.689470,-0.000000,0.000066
0.020000,5.440117,13.449755,0.939870,3.545419,6.689470,0.000000,0.000069
0.020000,5.512363,13.449760,1.012117,3.679208,6.689470,0.000000,0.000073
0.020000,5.587285,13.449766,1.087039,3.812998,6.689470,-0.000000,0.000077
0.020000,5.664883,13.449772,1.164637,3.946787,6.689470,0.000000,0.000080
0.020000,5.745156,13.449779,1.244910,4.080576,6.689470,0.000000,0.000083
0.020000,5.828106,13.449786,1.327860,4.214366,6.689470,0.000000,0.000086
0.020000,5.913731,13.449793,1.413485,4.348155,6.689470,0.000000,0.000089
0.020000,6.002032,13.449801,1.501786,4.481945,6.689470,-0.000000,0.000092
0.020000,6.093009,13.449810,1.592763,4.615734,6.689470,0.000000,0.000094
0.020000,6.186661,13.449819,1.686415,4.749523,6.689470,0.000000,0.000096
0.020000,6.282990,13.449828,1.782744,4.883313,6.689470,0.000000,0.000098
0.020000,6.381994,13.449838,1.881748,5.017102,6.689470,0.000000,0.000099
0.020000,6.483674,13.449848,1.983428,5.150892,6.689470,0.000000,0.000100
0.020000,6.588030,13.449858,2.087783,5.284681,6.689470,0.000000,0.000100
0.020000,6.695061,13.449869,2.194815,5.418470,6.689470,-0.000000,0.000100
0.020000,6.804768,13.449880,2.304522,5.552260,6.689470,0.000000,0.000099
0.020000,6.917152,13.449891,2.416905,5.686049,6.689470,0.000000,0.000098
0.020000,7.032210,13.449902,2.531964,5.819839,6.689470,0.000000,0.000096
0.020000,7.149945,13.449913,2.649699,5.953628,6.689470,-0.000000,0.000093
0.020000,7.270356,13.449924,2.770109,6.087417,6.689470,0.000000,0.000090
0.020000,7.393442,13.449935,2.893196,6.221207,6.689470,-0.000000,0.000086
0.020000,7.519204,13.449946,3.018958,6.354996,6.689470,0.000000,0.000081
0.020000,7.647642,13.449956,3.147395,6.488785,6.689470,-0.000000,0.000075
0.020000,7.778755,13.449965,3.278509,6.622575,6.689470,0.000000,0.000069
0.020000,7.912545,13.449974,3.412298,6.756364,6.689470,0.000000,0.000061
0.020000,8.049010,13.449982,3.548764,6.890154,6.689470,-0.000000,0.000053
0.020000,8.188151,13.449988,3.687905,7.023943,6.689470,0.000000,0.000043
0.020000,8.329968,13.449994,3.829721,7.157732,6.689470,0.000000,0.000032
0.020000,8.474460,13.449998,3.974214,7.291522,6.689470,0.000000,0.000021
0.020000,8.621628,13.450000,4.121382,7.425311,6.689470,-0.000000,0.000008
0.020000,8.763693,13.450175,4.271226,7.559101,6.689470,0.000000,0.005876
0.020000,8.916199,13.452200,4.423746,7.692890,6.689470,0.000000,0.020582
0.020000,9.071333,13.456519,4.578942,7.826679,6.689470,0.000000,0.035001
0.020000,9.229063,13.463162,4.736813,7.960469,6.689470,-0.000000,0.049085
0.020000,9.389357,13.472147,4.897361,8.094258,6.689470,0.000000,0.062788
0.020000,9.552185,13.483478,5.060584,8.228048,6.689470,0.000000,0.076065
