dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.504446,12.512220,0.000669,0.066895,3.344735,167.236739,6.283185
0.020000,4.504446,12.512220,0.000669,0.000012,-3.344136,-334.443561,6.283185
0.020000,4.508943,12.512220,0.005166,0.224852,11.241990,729.306325,0.000000
0.020000,4.516971,12.512220,0.013194,0.401404,8.827606,-120.719193,0.000001
0.020000,4.527675,12.512220,0.023898,0.535205,6.690054,-106.877600,0.000002
0.020000,4.541055,12.512220,0.037279,0.669006,6.690045,-0.000457,0.000003
0.020000,4.557111,12.512220,0.053335,0.802807,6.690034,-0.000571,0.000005
0.020000,4.575843,12.512220,0.072067,0.936607,6.690020,-0.000685,0.000007
0.020000,4.597252,12.512220,0.093475,1.070407,6.690004,-0.000800,0.000009
0.020000,4.621336,12.512220,0.117559,1.204207,6.689986,-0.000914,0.000011
0.020000,4.648096,12.512221,0.144319,1.338006,6.689965,-0.001028,0.000013
0.020000,4.677532,12.512221,0.173755,1.471805,6.689942,-0.001142,0.000016
0.020000,4.709644,12.512222,0.205867,1.605603,6.689917,-0.001257,0.000019
0.020000,4.744432,12.512222,0.240655,1.739401,6.689890,-0.001371,0.000022
0.020000,4.781896,12.512223,0.278119,1.873198,6.689860,-0.001485,0.000025
0.020000,4.822036,12.512224,0.318259,2.006995,6.689828,-0.001599,0.000028
0.020000,4.864852,12.512226,0.361075,2.140791,6.689794,-0.001714,0.000031
0.020000,4.910343,12.512227,0.406567,2.274586,6.689757,-0.001828,0.000035
0.020000,4.958511,12.512229,0.454734,2.408380,6.689718,-0.001942,0.000039
0.020000,5.009355,12.512231,0.505578,2.542174,6.689677,-0.002056,0.000042
0.020000,5.062874,12.512233,0.559097,2.675966,6.689634,-0.002171,0.000046
0.020000,5.119069,12.512236,0.615292,2.809758,6.689588,-0.002285,0.000050
0.020000,5.177940,12.512239,0.674163,2.943549,6.689540,-0.002399,0.000054
0.020000,5.239487,12.512243,0.735710,3.077339,6.689490,-0.002513,0.000058
0.020000,5.303709,12.512246,0.799933,3.211127,6.689437,-0.002628,0.000062
0.020000,5.370608,12.512251,0.866831,3.344915,6.689382,-0.002742,0.000066
0.020000,5.440182,12.512255,0.936405,3.478702,6.689325,-0.002856,0.000069
0.020000,5.512431,12.512260,1.008655,3.612487,6.689266,-0.002970,0.000073
0.020000,5.587357,12.512266,1.083580,3.746271,6.689204,-0.003085,0.000077
0.020000,5.664958,12.512272,1.161181,3.880054,6.689140,-0.003199,0.000080
0.020000,5.745235,12.512279,1.241458,4.013835,6.689074,-0.003313,0.000083
0.020000,5.828187,12.512286,1.324410,4.147615,6.689005,-0.003427,0.000086
0.020000,5.913815,12.512293,1.410038,4.281394,6.688935,-0.003542,0.000089
0.020000,6.002118,12.512301,1.498342,4.415171,6.688861,-0.003656,0.000092
0.020000,6.093097,12.512310,1.589320,4.548947,6.688786,-0.003770,0.000094
0.020000,6.186752,12.512319,1.682975,4.682721,6.688708,-0.003884,0.000096
0.020000,6.283081,12.512328,1.779305,4.816494,6.688628,-0.003999,0.000098
0.020000,6.382087,12.512338,1.878310,4.950265,6.688546,-0.004113,0.000099
0.020000,6.483767,12.512348,1.979991,5.084034,6.688462,-0.004227,0.000100
0.020000,6.588123,12.512358,2.084347,5.217801,6.688375,-0.004341,0.000100
0.020000,6.695155,12.512369,2.191378,5.351567,6.688286,-0.004456,0.000100
0.020000,6.804861,12.512380,2.301085,5.485331,6.688194,-0.004570,0.000099
0.020000,6.917243,12.512391,2.413467,5.619093,6.688101,-0.004684,0.000098
0.020000,7.032300,12.512402,2.528524,5.752853,6.688005,-0.004798,0.000096
0.020000,7.150033,12.512413,2.646256,5.886611,6.687906,-0.004913,0.000093
0.020000,7.270440,12.512424,2.766663,6.020367,6.687806,-0.005027,0.000090
0.020000,7.393522,12.512435,2.889746,6.154121,6.687703,-0.005141,0.000086
0.020000,7.519280,12.512446,3.015503,6.287873,6.687598,-0.005255,0.000081
0.020000,7.647712,12.512456,3.143936,6.421623,6.687491,-0.005370,0.000075
0.020000,7.778820,12.512465,3.275043,6.555371,6.687381,-0.005484,0.000069
0.020000,7.912602,12.512474,3.408825,6.689116,6.687269,-0.005598,0.000061
0.020000,8.049059,12.512482,3.545283,6.822859,6.687155,-0.005712,0.000053
0.020000,8.188191,12.512488,3.684415,6.956600,6.687038,-0.005827,0.000043
0.020000,8.329998,12.512494,3.826221,7.090338,6.686919,-0.005941,0.000032
0.020000,8.474479,12.512498,3.970703,7.224074,6.686798,-0.006055,0.000021
0.020000,8.621636,12.512500,4.117859,7.357808,6.686675,-0.006169,0.000008
0.020000,8.769203,12.512691,4.265426,7.378357,1.027455,-282.961007,0.005876
0.020000,8.935493,12.514898,4.431731,8.315257,46.845010,2290.877771,0.020582
0.020000,9.104139,12.519593,4.600443,8.435570,6.015615,-2041.469733,0.035001
0.020000,9.275062,12.526792,4.771516,8.553693,5.906185,-5.471498,0.049085
0.020000,9.448183,12.536494,4.944909,8.669641,5.797387,-5.439934,0.062788
0.020000,9.623428,12.548689,5.120578,8.783433,5.689599,-5.389412,0.076065
0.020000,9.800724,12.563353,5.298480,8.895099,5.583307,-5.314556,0.088870
0.020000,9.980004,12.580449,5.478574,9.004678,5.478950,-5.217893,0.101158
0.020000,10.161205,12.599927,5.660818,9.112206,5.376420,-5.126465,0.112885
0.020000,10.344266,12.621724,5.845172,9.217729,5.276102,-5.015898,0.124010
0.020000,10.528437,12.645670,6.030893,9.286052,3.416159,-92.997189,0.134451
0.020000,10.712012,12.671415,6.216265,9.268574,-0.873895,-214.502668,0.144094
0.020000,10.893328,12.698548,6.399600,9.166766,-5.090398,-210.825177,0.152853
0.020000,11.071319,12.726695,6.579803,9.010146,-7.830985,-137.029310,0.160700
0.020000,11.245628,12.755583,6.756489,8.834322,-8.791199,-48.010740,0.167650
0.020000,11.416314,12.785015,6.929694,8.660234,-8.704429,4.338530,0.173740
0.020000,11.583436,12.814811,7.099451,8.487868,-8.618291,4.306877,0.179006
0.020000,11.747054,12.844804,7.265796,8.317204,-8.533172,4.255942,0.183487
0.020000,11.907225,12.874846,7.428760,8.148214,-8.449532,4.182013,0.187216
0.020000,12.064007,12.904799,7.588377,7.980862,-8.367604,4.096410,0.190229
0.020000,12.217453,12.934540,7.744679,7.815113,-8.287447,4.007865,0.192560
0.020000,12.367618,12.963957,7.897698,7.650928,-8.209234,3.910656,0.194243
0.020000,12.514550,12.992951,8.047463,7.488268,-8.132985,3.812431,0.195310
0.020000,12.658297,13.021432,8.194005,7.327096,-8.058595,3.719482,0.195792
0.020000,12.798906,13.049321,8.337353,7.167374,-7.986111,3.624228,0.195722
0.020000,12.936417,13.076547,8.477534,7.009066,-7.915417,3.534700,0.195128
0.020000,13.070873,13.103052,8.614577,6.852137,-7.846425,3.449604,0.194041
0.020000,13.202309,13.128780,8.748508,6.696556,-7.779071,3.367687,0.192489
0.020000,13.330763,13.153689,8.879354,6.542291,-7.713239,3.291589,0.190500
0.020000,13.456265,13.177739,9.007140,6.389314,-7.648857,3.219101,0.188102
0.020000,13.578848,13.200901,9.131892,6.237598,-7.585819,3.151914,0.185321
0.020000,13.698540,13.223150,9.253634,6.087116,-7.524070,3.087422,0.182184
0.020000,13.815368,13.244468,9.372391,5.937846,-7.463498,3.028598,0.178717
0.020000,13.929357,13.264841,9.488186,5.789763,-7.404156,2.967131,0.174945
0.020000,14.040530,13.284263,9.601043,5.642846,-7.345853,2.915145,0.170893
0.020000,14.148910,13.302729,9.710985,5.497072,-7.288692,2.858037,0.166586
0.020000,14.254516,13.320243,9.818033,5.352422,-7.232500,2.809590,0.162046
0.020000,14.357367,13.336810,9.922211,5.208873,-7.177468,2.751629,0.157299
0.020000,14.457483,13.352439,10.023539,5.066405,-7.123412,2.702791,0.152366
0.020000,14.554879,13.367143,10.122039,4.924996,-7.070426,2.649285,0.147271
0.020000,14.649572,13.380939,10.217731,4.784625,-7.018530,2.594788,0.142035
0.020000,14.741576,13.393847,10.310637,4.645271,-6.967730,2.540009,0.136681
0.020000,14.830907,13.405887,10.400775,4.506909,-6.918075,2.482775,0.131229
0.020000,14.917577,13.417084,10.488165,4.369518,-6.869585,2.424474,0.125701
0.020000,15.001599,13.427465,10.572827,4.233071,-6.822319,2.363297,0.120115
0.020000,15.082987,13.437058,10.654777,4.097545,-6.776298,2.301084,0.114493
0.020000,15.161751,13.445892,10.734036,3.962913,-6.731595,2.235132,0.108852
0.020000,15.237904,13.453998,10.810619,3.829149,-6.688222,2.168632,0.103212
0.020000,15.311456,13.461409,10.884543,3.696224,-6.646246,2.098804,0.097591
0.020000,15.382418,13.468157,10.955825,3.564110,-6.605682,2.028205,0.092005
0.020000,15.450801,13.474276,11.024481,3.432780,-6.566543,1.956978,0.086472
