dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.504446,13.512403,0.000655,0.065504,3.275207,163.760362,0.000001
0.020000,4.504446,13.512403,0.003275,0.196512,6.550414,163.760362,0.000000
0.020000,4.508260,13.512403,0.008516,0.327521,6.550414,0.000000,6.283185
0.020000,4.516121,13.512403,0.016376,0.458529,6.550414,-0.000000,6.283184
0.020000,4.526601,13.512403,0.026857,0.589537,6.550414,0.000000,6.283183
0.020000,4.539702,13.512403,0.039958,0.720546,6.550414,0.000000,6.283181
0.020000,4.555423,13.512403,0.055679,0.851554,6.550414,0.000000,6.283179
0.020000,4.573764,13.512402,0.074020,0.982562,6.550414,0.000000,6.283177
0.020000,4.594726,13.512402,0.094981,1.113570,6.550414,-0.000000,6.283174
0.020000,4.618307,13.512402,0.118563,1.244579,6.550414,0.000000,6.283171
0.020000,4.644509,13.512401,0.144764,1.375587,6.550414,0.000000,6.283168
0.020000,4.673331,13.512401,0.173586,1.506595,6.550414,0.000000,6.283165
0.020000,4.704773,13.512400,0.205028,1.637604,6.550414,-0.000000,6.283161
0.020000,4.738835,13.512399,0.239090,1.768612,6.550414,0.000000,6.283157
0.020000,4.775517,13.512398,0.275772,1.899620,6.550414,-0.000000,6.283153
0.020000,4.814820,13.512397,0.315075,2.030628,6.550414,0.000000,6.283149
0.020000,4.856742,13.512395,0.356998,2.161637,6.550414,-0.000000,6.283144
0.020000,4.901285,13.512393,0.401540,2.292645,6.550414,0.000000,6.283140
0.020000,4.948448,13.512391,0.448703,2.423653,6.550414,-0.000000,6.283135
0.020000,4.998231,13.512388,0.498487,2.554662,6.550414,0.000000,6.283130
0.020000,5.050635,13.512385,0.550890,2.685670,6.550414,-0.000000,6.283125
0.020000,5.105658,13.512382,0.605913,2.816678,6.550414,0.000000,6.283120
0.020000,5.163302,13.512378,0.663557,2.947687,6.550414,0.000000,6.283114
0.020000,5.223566,13.512374,0.723821,3.078695,6.550414,0.000000,6.283109
0.020000,5.286450,13.512369,0.786705,3.209703,6.550414,-0.000000,6.283104
0.020000,5.351954,13.512363,0.852209,3.340711,6.550414,-0.000000,6.283099
0.020000,5.420078,13.512357,0.920333,3.471720,6.550414,0.000000,6.283094
0.020000,5.490822,13.512350,0.991078,3.602728,6.550414,0.000000,6.283089
0.020000,5.564187,13.512343,1.064442,3.733736,6.550414,0.000000,6.283084
0.020000,5.640172,13.512335,1.140427,3.864745,6.550414,-0.000000,6.283079
0.020000,5.718777,13.512327,1.219032,3.995753,6.550414,0.000000,6.283074
0.020000,5.800002,13.512317,1.300257,4.126761,6.550414,-0.000000,6.283070
0.020000,5.883847,13.512308,1.384103,4.257769,6.550414,0.000000,6.283066
0.020000,5.970313,13.512297,1.470568,4.388778,6.550414,0.000000,6.283062
0.020000,6.059398,13.512286,1.559654,4.519786,6.550414,-0.000000,6.283058
0.020000,6.151104,13.512274,1.651359,4.650794,6.550414,0.000000,6.283055
0.020000,6.245430,13.512262,1.745685,4.781803,6.550414,0.000000,6.283052
0.020000,6.342376,13.512249,1.842632,4.912811,6.550414,0.000000,6.283050
0.020000,6.441943,13.512235,1.942198,5.043819,6.550414,-0.000000,6.283048
0.020000,6.544129,13.512221,2.044384,5.174827,6.550414,0.000000,6.283047
0.020000,6.648936,13.512206,2.149191,5.305836,6.550414,0.000000,6.283046
0.020000,6.756363,13.512191,2.256618,5.436844,6.550414,0.000000,6.283046
0.020000,6.865599,13.512176,2.365854,5.486811,2.498352,-202.603122,6.283047
0.020000,6.974525,13.512161,2.474780,5.405770,-4.052062,-327.520724,6.283048
0.020000,7.081330,13.512147,2.581585,5.274762,-6.550414,-124.917602,6.283050
0.020000,7.185515,13.512133,2.685771,5.143753,-6.550414,-0.000000,6.283053
0.020000,7.287080,13.512119,2.787336,5.012745,-6.550414,0.000000,6.283056
0.020000,7.386025,13.512107,2.886280,4.881737,-6.550414,0.000000,6.283059
0.020000,7.482350,13.512095,2.982605,4.750728,-6.550414,0.000000,6.283063
0.020000,7.576054,13.512084,3.076310,4.619720,-6.550414,-0.000000,6.283068
0.020000,7.667139,13.512073,3.167394,4.488712,-6.550414,0.000000,6.283073
0.020000,7.755603,13.512063,3.255858,4.357703,-6.550414,0.000000,6.283078
0.020000,7.841447,13.512054,3.341702,4.226695,-6.550414,0.000000,6.283083
0.020000,7.924671,13.512046,3.424926,4.095687,-6.550414,-0.000000,6.283089
0.020000,8.005274,13.512039,3.505529,3.964679,-6.550414,0.000000,6.283095
0.020000,8.083258,13.512032,3.583513,3.833670,-6.550414,0.000000,6.283101
0.020000,8.158621,13.512026,3.658876,3.702662,-6.550414,0.000000,6.283107
0.020000,8.231364,13.512020,3.731619,3.571654,-6.550414,-0.000000,6.283113
0.020000,8.301487,13.512015,3.801742,3.440645,-6.550414,-0.000000,6.283119
0.020000,8.368990,13.512011,3.869245,3.309637,-6.550414,0.000000,6.283126
0.020000,8.433873,13.512007,3.934128,3.178629,-6.550414,0.000000,6.283132
0.020000,8.496135,13.512004,3.996390,3.047621,-6.550414,-0.000000,6.283138
0.020000,8.555777,13.512002,4.056033,2.916612,-6.550414,0.000000,6.283144
0.020000,8.612800,13.511999,4.113055,2.785604,-6.550414,-0.000000,6.283151
0.020000,8.667202,13.511998,4.167457,2.654596,-6.550414,0.000000,6.283157
0.020000,8.718983,13.511996,4.219239,2.523587,-6.550414,-0.000000,6.283162
0.020000,8.768145,13.511995,4.268400,2.392579,-6.550414,0.000000,6.283168
0.020000,8.814687,13.511995,4.314942,2.261571,-6.550414,0.000000,6.283174
0.020000,8.858608,13.511994,4.358863,2.130563,-6.550414,0.000000,6.283179
0.020000,8.899909,13.511994,4.400164,1.999554,-6.550414,0.000000,6.283184
0.020000,8.938590,13.511994,4.438845,1.868546,-6.550414,0.000000,0.000004
0.020000,8.974651,13.511994,4.474906,1.737538,-6.550414,0.000000,0.000009
0.020000,9.008092,13.511995,4.508347,1.606529,-6.550414,0.000000,0.000013
0.020000,9.038912,13.511995,4.539167,1.475521,-6.550414,-0.000000,0.000017
0.020000,9.067112,13.511996,4.567368,1.344513,-6.550414,0.000000,0.000021
0.020000,9.092693,13.511996,4.592948,1.213505,-6.550414,0.000000,0.000024
0.020000,9.115653,13.511997,4.615908,1.082496,-6.550414,0.000000,0.000028
0.020000,9.135992,13.511998,4.636248,0.951488,-6.550414,-0.000000,0.000030
0.020000,9.153712,13.511998,4.653967,0.820480,-6.550414,0.000000,0.000033
0.020000,9.168812,13.511999,4.669067,0.689471,-6.550414,-0.000000,0.000035
0.020000,9.181291,13.511999,4.681546,0.558463,-6.550414,0.000000,0.000037
0.020000,9.191150,13.511999,4.691405,0.427455,-6.550414,0.000000,0.000038
0.020000,9.198389,13.512000,4.698645,0.296447,-6.550414,-0.000000,0.000039
0.020000,9.203008,13.512000,4.703263,0.165438,-6.550414,0.000000,0.000040
0.020000,9.205162,13.512000,4.705417,0.049967,-5.773559,38.842760,0.000040
0.020000,9.205662,13.512000,4.705917,0.000000,-2.498352,163.760362,0.000040
0.020000,9.205662,13.512000,4.705917,0.000000,0.000000,124.917602,0.000040
