dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.567128,10.312833,0.000662,0.066207,3.310333,165.516627,0.000000
0.020000,4.567129,10.312833,0.000662,0.000013,-3.309706,-331.001936,0.000000
0.020000,4.571286,10.312833,0.004819,0.207844,10.391575,685.064045,6.283185
0.020000,4.579231,10.312833,0.012765,0.397277,9.471664,-45.995522,6.283184
0.020000,4.589825,10.312833,0.023359,0.529703,6.621278,-142.519313,6.283183
0.020000,4.603068,10.312833,0.036601,0.662128,6.621269,-0.000447,6.283182
0.020000,4.618959,10.312833,0.052492,0.794553,6.621258,-0.000558,6.283180
0.020000,4.637498,10.312833,0.071032,0.926978,6.621245,-0.000670,6.283178
0.020000,4.658686,10.312832,0.092220,1.059403,6.621229,-0.000782,6.283176
0.020000,4.682523,10.312832,0.116057,1.191827,6.621211,-0.000894,6.283174
0.020000,4.709008,10.312832,0.142542,1.324251,6.621191,-0.001005,6.283171
0.020000,4.738141,10.312831,0.171675,1.456674,6.621169,-0.001117,6.283169
0.020000,4.769923,10.312831,0.203457,1.589097,6.621144,-0.001229,6.283166
0.020000,4.804354,10.312830,0.237887,1.721520,6.621117,-0.001340,6.283163
0.020000,4.841433,10.312829,0.274966,1.853941,6.621088,-0.001452,6.283159
0.020000,4.881160,10.312828,0.314694,1.986362,6.621057,-0.001564,6.283156
0.020000,4.923536,10.312827,0.357069,2.118783,6.621023,-0.001675,6.283152
0.020000,4.968560,10.312825,0.402093,2.251203,6.620988,-0.001787,6.283148
0.020000,5.016232,10.312823,0.449766,2.383622,6.620950,-0.001899,6.283145
0.020000,5.066553,10.312821,0.500086,2.516040,6.620909,-0.002010,6.283141
0.020000,5.119522,10.312819,0.553056,2.648457,6.620867,-0.002122,6.283137
0.020000,5.175139,10.312816,0.608673,2.780874,6.620822,-0.002234,6.283132
0.020000,5.233405,10.312813,0.666939,2.913289,6.620775,-0.002346,6.283128
0.020000,5.294319,10.312809,0.727853,3.045704,6.620726,-0.002457,6.283124
0.020000,5.357882,10.312805,0.791415,3.178117,6.620675,-0.002569,6.283120
0.020000,5.424092,10.312801,0.857626,3.310530,6.620621,-0.002681,6.283116
0.020000,5.492951,10.312796,0.926485,3.442941,6.620565,-0.002792,6.283111
0.020000,5.564458,10.312790,0.997992,3.575351,6.620507,-0.002904,6.283107
