dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.567129,9.375333,0.000662,0.066207,3.310333,165.516627,0.000000
0.020000,4.567129,9.375333,0.003310,0.198620,6.620665,165.516627,0.000000
0.020000,4.571285,9.375333,0.008607,0.331033,6.620665,-0.000000,6.283185
0.020000,4.579230,9.375333,0.016552,0.463447,6.620665,0.000000,6.283184
0.020000,4.589823,9.375333,0.027145,0.595860,6.620665,0.000000,6.283183
0.020000,4.603064,9.375333,0.040386,0.728273,6.620665,-0.000000,6.283182
0.020000,4.618954,9.375333,0.056276,0.860686,6.620665,0.000000,6.283180
0.020000,4.637492,9.375333,0.074814,0.993100,6.620665,0.000000,6.283178
0.020000,4.658678,9.375332,0.096000,1.125513,6.620665,0.000000,6.283176
0.020000,4.682512,9.375332,0.119834,1.257926,6.620665,-0.000000,6.283174
0.020000,4.708995,9.375332,0.146317,1.390340,6.620665,0.000000,6.283171
0.020000,4.738126,9.375331,0.175448,1.522753,6.620665,-0.000000,6.283169
0.020000,4.769905,9.375331,0.207227,1.655166,6.620665,0.000000,6.283166
0.020000,4.804333,9.375330,0.241654,1.787580,6.620665,-0.000000,6.283163
0.020000,4.841408,9.375329,0.278730,1.919993,6.620665,0.000000,6.283159
0.020000,4.881132,9.375328,0.318454,2.052406,6.620665,0.000000,6.283156
0.020000,4.923505,9.375327,0.360826,2.184819,6.620665,-0.000000,6.283152
0.020000,4.968525,9.375325,0.405847,2.317233,6.620665,0.000000,6.283148
0.020000,5.016194,9.375323,0.453516,2.449646,6.620665,0.000000,6.283145
0.020000,5.066511,9.375321,0.503833,2.582059,6.620665,-0.000000,6.283141
0.020000,5.119476,9.375319,0.556798,2.714473,6.620665,0.000000,6.283137
0.020000,5.175090,9.375316,0.612412,2.846886,6.620665,0.000000,6.283132
0.020000,5.233352,9.375313,0.670673,2.979299,6.620665,0.000000,6.283128
0.020000,5.294262,9.375309,0.731583,3.111713,6.620665,0.000000,6.283124
0.020000,5.357820,9.375305,0.795142,3.244126,6.620665,-0.000000,6.283120
0.020000,5.424027,9.375301,0.861349,3.376539,6.620665,0.000000,6.283116
0.020000,5.492882,9.375296,0.930203,3.508952,6.620665,0.000000,6.283111
0.020000,5.564385,9.375290,1.001707,3.641366,6.620665,0.000000,6.283107
0.020000,5.638536,9.375284,1.075858,3.773779,6.620665,-0.000000,6.283103
0.020000,5.715336,9.375278,1.152658,3.906192,6.620665,0.000000,6.283099
0.020000,5.794784,9.375271,1.232106,4.038606,6.620665,0.000000,6.283096
0.020000,5.876880,9.375263,1.314202,4.171019,6.620665,0.000000,6.283092
0.020000,5.961625,9.375255,1.398947,4.303432,6.620665,-0.000000,6.283089
0.020000,6.049018,9.375247,1.486339,4.435846,6.620665,0.000000,6.283086
0.020000,6.139059,9.375238,1.576380,4.568259,6.620665,0.000000,6.283083
0.020000,6.231748,9.375228,1.669070,4.700672,6.620665,-0.000000,6.283080
0.020000,6.327086,9.375218,1.764407,4.833086,6.620665,0.000000,6.283078
0.020000,6.425071,9.375207,1.862393,4.965499,6.620665,-0.000000,6.283076
0.020000,6.525706,9.375196,1.963027,5.097912,6.620665,0.000000,6.283075
0.020000,6.628988,9.375185,2.066310,5.230325,6.620665,0.000000,6.283074
0.020000,6.734919,9.375173,2.172240,5.362739,6.620665,-0.000000,6.283073
0.020000,6.843497,9.375161,2.280819,5.495152,6.620665,0.000000,6.283073
0.020000,6.954725,9.375148,2.392046,5.627565,6.620665,-0.000000,6.283074
0.020000,7.068600,9.375136,2.505922,5.759979,6.620665,-0.000000,6.283075
0.020000,7.185124,9.375123,2.622445,5.892392,6.620665,0.000000,6.283077
0.020000,7.304296,9.375110,2.741617,6.024805,6.620665,-0.000000,6.283079
0.020000,7.426116,9.375097,2.863438,6.157219,6.620665,0.000000,6.283082
0.020000,7.550584,9.375085,2.987906,6.289632,6.620665,0.000000,6.283086
0.020000,7.677701,9.375072,3.115023,6.422045,6.620665,-0.000000,6.283091
0.020000,7.807466,9.375060,3.244788,6.554458,6.620665,0.000000,6.283096
0.020000,7.939880,9.375049,3.377201,6.686872,6.620665,-0.000000,6.283103
0.020000,8.074941,9.375038,3.512263,6.819285,6.620665,0.000000,6.283110
0.020000,8.212651,9.375029,3.649973,6.951698,6.620665,0.000000,6.283119
0.020000,8.353009,9.375020,3.790331,7.084112,6.620665,-0.000000,6.283128
0.020000,8.496015,9.375013,3.933337,7.216525,6.620665,0.000000,6.283139
0.020000,8.641670,9.375007,4.078992,7.348938,6.620665,-0.000000,6.283151
0.020000,8.789973,9.375003,4.227295,7.481352,6.620665,0.000000,6.283164
0.020000,8.940924,9.375000,4.378246,7.613765,6.620665,0.000000,6.283178
0.020000,9.086276,9.375696,4.531845,7.746178,6.620665,-0.000000,0.020299
0.020000,9.242360,9.382523,4.688093,7.878591,6.620665,0.000000,0.067291
0.020000,9.400575,9.397045,4.846989,8.011005,6.620665,0.000000,0.115874
0.020000,9.560505,9.419702,5.008533,8.143418,6.620665,-0.000000,0.165592
0.020000,9.721701,9.450834,5.172726,8.275831,6.620665,0.000000,0.215892
0.020000,9.883698,9.490671,5.339566,8.408245,6.620665,0.000000,0.266160
0.020000,10.046040,9.539310,5.509055,8.540658,6.620665,0.000000,0.315746
0.020000,10.208303,9.596722,5.681193,8.673071,6.620665,-0.000000,0.364006
0.020000,10.370120,9.662750,5.855978,8.805485,6.620665,0.000000,0.410339
0.020000,10.530549,9.736805,6.032689,8.865544,3.002996,-180.883462,0.454044
0.020000,10.687620,9.817475,6.209276,8.793191,-3.617669,-331.033254,0.494282
0.020000,10.839710,9.903086,6.383816,8.660778,-6.620665,-150.149792,0.530509
0.020000,10.986525,9.992470,6.555707,8.528364,-6.620665,-0.000000,0.562669
0.020000,11.128356,10.084802,6.724950,8.395951,-6.620665,0.000000,0.590919
0.020000,11.265523,10.179341,6.891545,8.263538,-6.620665,0.000000,0.615459
0.020000,11.398357,10.275428,7.055492,8.131125,-6.620665,-0.000000,0.636509
0.020000,11.527187,10.372482,7.216790,7.998711,-6.620665,0.000000,0.654291
0.020000,11.652335,10.469988,7.375440,7.866298,-6.620665,-0.000000,0.669024
0.020000,11.774108,10.567494,7.531442,7.733885,-6.620665,0.000000,0.680914
0.020000,11.892796,10.664604,7.684796,7.601471,-6.620665,-0.000000,0.690151
0.020000,12.008669,10.760965,7.835501,7.469058,-6.620665,0.000000,0.696909
0.020000,12.121976,10.856267,7.983558,7.336645,-6.620665,0.000000,0.701344
0.020000,12.232942,10.950236,8.128967,7.204231,-6.620665,-0.000000,0.703596
0.020000,12.341776,11.042625,8.271727,7.071818,-6.620665,0.000000,0.703791
0.020000,12.448661,11.133217,8.411839,6.939405,-6.620665,-0.000000,0.702040
0.020000,12.553764,11.221816,8.549303,6.806992,-6.620665,0.000000,0.698445
0.020000,12.657230,11.308245,8.684119,6.674578,-6.620665,0.000000,0.693097
0.020000,12.759186,11.392347,8.816286,6.542165,-6.620665,-0.000000,0.686080
0.020000,12.859740,11.473981,8.945806,6.409752,-6.620665,0.000000,0.677473
0.020000,12.958982,11.553020,9.072676,6.277338,-6.620665,-0.000000,0.667350
0.020000,13.056986,11.629349,9.196899,6.144925,-6.620665,0.000000,0.655783
0.020000,13.153810,11.702870,9.318473,6.012512,-6.620665,0.000000,0.642844
0.020000,13.249492,11.773496,9.437400,5.880098,-6.620665,-0.000000,0.628606
0.020000,13.344060,11.841152,9.553677,5.747685,-6.620665,0.000000,0.613144
0.020000,13.437522,11.905776,9.667307,5.615272,-6.620665,0.000000,0.596535
0.020000,13.529874,11.967320,9.778288,5.482859,-6.620665,-0.000000,0.578863
0.020000,13.621098,12.025747,9.886621,5.350445,-6.620665,0.000000,0.560214
0.020000,13.711165,12.081037,9.992306,5.218032,-6.620665,-0.000000,0.540683
0.020000,13.800031,12.133180,10.095343,5.085619,-6.620665,0.000000,0.520367
0.020000,13.887644,12.182184,10.195731,4.953205,-6.620665,0.000000,0.499370
0.020000,13.973943,12.228067,10.293471,4.820792,-6.620665,-0.000000,0.477800
0.020000,14.058856,12.270867,10.388563,4.688379,-6.620665,0.000000,0.455770
0.020000,14.142308,12.310630,10.481006,4.555965,-6.620665,-0.000000,0.433392
0.020000,14.224218,12.347421,10.570801,4.423552,-6.620665,0.000000,0.410785
0.020000,14.304501,12.381316,10.657948,4.291139,-6.620665,-0.000000,0.388062
0.020000,14.383072,12.412403,10.742447,4.158726,-6.620665,0.000000,0.365338
0.020000,14.459843,12.440782,10.824297,4.026312,-6.620665,-0.000000,0.342722
0.020000,14.534730,12.466563,10.903499,3.893899,-6.620665,0.000000,0.320319
0.020000,14.607649,12.489865,10.980053,3.761486,-6.620665,0.000000,0.298228
0.020000,14.678522,12.510815,11.053959,3.629072,-6.620665,-0.000000,0.276540
