dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.573143,8.437852,0.000668,0.066806,3.340298,167.014889,0.006415
0.020000,4.573111,8.437852,0.000700,0.001590,-3.260788,-330.054312,0.006381
0.020000,4.577470,8.437879,0.005059,0.217939,10.817445,703.911652,0.006313
0.020000,4.585391,8.437929,0.012980,0.396093,8.907674,-95.488522,0.006212
0.020000,4.595954,8.437994,0.023544,0.528155,6.603140,-115.226690,0.006078
0.020000,4.609159,8.438073,0.036749,0.660246,6.604509,0.068439,0.005911
0.020000,4.625006,8.438165,0.052596,0.792370,6.606221,0.085596,0.005713
0.020000,4.643497,8.438269,0.071087,0.924535,6.608275,0.102708,0.005483
0.020000,4.664631,8.438382,0.092222,1.056749,6.610672,0.119826,0.005224
0.020000,4.688411,8.438503,0.116002,1.189017,6.613411,0.136953,0.004937
0.020000,4.714838,8.438629,0.142429,1.321347,6.616492,0.154073,0.004621
0.020000,4.743912,8.438758,0.171504,1.453745,6.619916,0.171209,0.004280
0.020000,4.775637,8.438888,0.203228,1.586219,6.623683,0.188324,0.003915
0.020000,4.810012,8.439016,0.237604,1.718775,6.627793,0.205494,0.003527
0.020000,4.847040,8.439139,0.274632,1.851420,6.632244,0.222574,0.003119
0.020000,4.886723,8.439255,0.314315,1.984160,6.637039,0.239759,0.002692
0.020000,4.929063,8.439359,0.356655,2.117004,6.642176,0.256847,0.002248
0.020000,4.974062,8.439450,0.401654,2.249957,6.647657,0.274007,0.001791
0.020000,5.021723,8.439524,0.449315,2.383027,6.653479,0.291146,0.001322
0.020000,5.072047,8.439578,0.499639,2.516220,6.659645,0.308258,0.000844
0.020000,5.125038,8.439610,0.552630,2.649543,6.666153,0.325403,0.000360
0.020000,5.180698,8.439617,0.608290,2.783003,6.673003,0.342528,6.283057
0.020000,5.239030,8.439595,0.666622,2.916607,6.680196,0.359654,6.282570
0.020000,5.300037,8.439542,0.727630,3.050361,6.687732,0.376779,6.282085
0.020000,5.363723,8.439457,0.791315,3.184274,6.695610,0.393898,6.281607
0.020000,5.430089,8.439336,0.857682,3.318350,6.703830,0.411019,6.281139
0.020000,5.499141,8.439179,0.926734,3.452598,6.712393,0.428128,6.280684
0.020000,5.570881,8.438984,0.998475,3.587024,6.721298,0.445249,6.280247
0.020000,5.645314,8.438750,1.072907,3.721635,6.730545,0.462350,6.279831
0.020000,5.722442,8.438475,1.150036,3.856437,6.740134,0.479471,6.279441
