dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.629743,18.586973,0.000670,0.066967,3.348370,167.418483,0.000074
0.020000,4.629793,18.586973,0.000720,0.002526,-3.222065,-328.521712,0.000020
0.020000,4.634274,18.586972,0.005201,0.224030,11.075172,714.861844,6.283097
0.020000,4.642461,18.586971,0.013388,0.409345,9.265785,-90.469382,6.282937
0.020000,4.653376,18.586967,0.024303,0.545750,6.820237,-122.277385,6.282723
0.020000,4.667018,18.586959,0.037945,0.682117,6.818364,-0.093625,6.282457
0.020000,4.683387,18.586945,0.054314,0.818438,6.816024,-0.117011,6.282141
0.020000,4.702481,18.586921,0.073408,0.954702,6.813218,-0.140303,6.281775
0.020000,4.724299,18.586886,0.095226,1.090901,6.809939,-0.163954,6.281361
0.020000,4.748839,18.586835,0.119766,1.227025,6.806193,-0.187304,6.280900
0.020000,4.776101,18.586766,0.147028,1.363064,6.801982,-0.210557,6.280394
0.020000,4.806081,18.586674,0.177008,1.499010,6.797295,-0.234360,6.279845
0.020000,4.838777,18.586555,0.209705,1.634853,6.792145,-0.257478,6.279255
0.020000,4.874189,18.586405,0.245117,1.770584,6.786520,-0.281261,6.278627
0.020000,4.912312,18.586219,0.283240,1.906192,6.780429,-0.304564,6.277964
0.020000,4.953145,18.585991,0.324074,2.041670,6.773868,-0.328024,6.277267
0.020000,4.996684,18.585718,0.367614,2.177006,6.766835,-0.351643,6.276541
0.020000,5.042927,18.585393,0.413858,2.312193,6.759334,-0.375070,6.275788
0.020000,5.091870,18.585012,0.462802,2.447220,6.751363,-0.398543,6.275011
0.020000,5.143510,18.584569,0.514444,2.582079,6.742922,-0.422071,6.274215
0.020000,5.197842,18.584059,0.568779,2.716759,6.734010,-0.445601,6.273403
0.020000,5.254864,18.583478,0.625804,2.851251,6.724629,-0.469048,6.272579
0.020000,5.314572,18.582820,0.685515,2.985547,6.714778,-0.492547,6.271748
0.020000,5.376960,18.582080,0.747908,3.119636,6.704457,-0.516024,6.270913
0.020000,5.442025,18.581254,0.812978,3.253509,6.693667,-0.539483,6.270079
0.020000,5.509762,18.580338,0.880721,3.387158,6.682409,-0.562948,6.269252
0.020000,5.580166,18.579328,0.951132,3.520571,6.670681,-0.586394,6.268435
0.020000,5.653233,18.578221,1.024207,3.653741,6.658484,-0.609816,6.267635
0.020000,5.728956,18.577013,1.099940,3.786657,6.645819,-0.633242,6.266857
0.020000,5.807331,18.575703,1.178327,3.919311,6.632687,-0.656646,6.266106
0.020000,5.888353,18.574290,1.259360,4.051693,6.619086,-0.680043,6.265388
0.020000,5.972015,18.572772,1.343036,4.183793,6.605017,-0.703453,6.264710
0.020000,6.058312,18.571150,1.429348,4.315603,6.590480,-0.726810,6.264076
0.020000,6.147237,18.569424,1.518291,4.447112,6.575476,-0.750230,6.263495
0.020000,6.238785,18.567596,1.609857,4.578312,6.560004,-0.773589,6.262971
0.020000,6.332949,18.565671,1.704041,4.709194,6.544064,-0.797006,6.262513
0.020000,6.429723,18.563650,1.800836,4.839747,6.527656,-0.820415,6.262127
0.020000,6.529100,18.561541,1.900235,4.969962,6.510779,-0.843836,6.261820
0.020000,6.631073,18.559350,2.002231,5.099831,6.493433,-0.867286,6.261601
0.020000,6.735636,18.557086,2.106818,5.229343,6.475618,-0.890771,6.261475
0.020000,6.842780,18.554757,2.213988,5.358490,6.457333,-0.914255,6.261452
0.020000,6.952499,18.552376,2.323733,5.487261,6.438577,-0.937791,6.261538
0.020000,7.064786,18.549955,2.436046,5.615648,6.419350,-0.961346,6.261743
0.020000,7.179633,18.547510,2.550919,5.743641,6.399651,-0.984923,6.262075
0.020000,7.297032,18.545057,2.668344,5.871231,6.379482,-1.008487,6.262542
0.020000,7.416975,18.542616,2.788312,5.998408,6.358840,-1.032095,6.263154
0.020000,7.539455,18.540208,2.910815,6.125162,6.337728,-1.055613,6.263918
0.020000,7.664463,18.537856,3.035845,6.251485,6.316145,-1.079140,6.264845
0.020000,7.791990,18.535585,3.163392,6.377367,6.294095,-1.102511,6.265944
0.020000,7.922028,18.533424,3.293448,6.502799,6.271579,-1.125771,6.267224
0.020000,8.054568,18.531404,3.426004,6.627771,6.248603,-1.148798,6.268695
0.020000,8.189601,18.529558,3.561049,6.752274,6.225172,-1.171543,6.270368
0.020000,8.327117,18.527923,3.698575,6.876300,6.201295,-1.193888,6.272252
0.020000,8.467107,18.526537,3.838572,6.999840,6.176980,-1.215709,6.274357
0.020000,8.609560,18.525444,3.981030,7.122885,6.152243,-1.236887,6.276695
0.020000,8.754467,18.524688,4.125938,7.245427,6.127098,-1.257221,6.279276
0.020000,8.901816,18.524318,4.273287,7.367458,6.101567,-1.276562,6.282111
0.020000,9.069408,18.522818,4.440886,8.379953,50.624743,2226.158792,6.257429
0.020000,9.266618,18.513312,4.638325,9.871933,74.599016,1198.713679,6.212532
0.020000,9.466989,18.494484,4.839579,10.062681,9.537394,-3253.081097,6.166422
0.020000,9.669649,18.465877,5.044248,10.233466,8.539266,-49.906413,6.119524
0.020000,9.873643,18.427215,5.251873,10.381255,7.389456,-57.490524,6.072330
0.020000,10.077974,18.378419,5.461950,10.503852,6.129830,-62.981285,6.025378
0.020000,10.281670,18.319623,5.673962,10.600600,4.837417,-64.620660,5.979220
0.020000,10.483832,18.251161,5.887401,10.671964,3.568193,-63.461173,5.934398
0.020000,10.683684,18.173539,6.101798,10.719851,2.394322,-58.693544,5.891413
0.020000,10.879875,18.087740,6.315930,10.706591,-0.663001,-152.866197,5.850856
0.020000,11.070378,17.995412,6.527627,10.584858,-6.086627,-271.181299,5.813376
0.020000,11.253557,17.898406,6.734907,10.363960,-11.044917,-247.914463,5.779422
0.020000,11.428574,17.798403,6.936479,10.078641,-14.265933,-161.050822,5.749179
0.020000,11.595470,17.696644,7.131951,9.773595,-15.252294,-49.318061,5.722587
0.020000,11.754801,17.593982,7.321492,9.477051,-14.827216,21.253910,5.699466
0.020000,11.907129,17.491137,7.505289,9.189819,-14.361598,23.280912,5.679617
0.020000,12.053003,17.388713,7.683530,8.912056,-13.888173,23.671224,5.662837
0.020000,12.192942,17.287216,7.856401,8.643547,-13.425439,23.136698,5.648929
