dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.629812,17.649473,0.000670,0.066967,3.348370,167.418483,0.000074
0.020000,4.629812,17.649473,0.003348,0.200902,6.696739,167.418483,0.000020
0.020000,4.634191,17.649472,0.008706,0.334837,6.696739,0.000000,6.283097
0.020000,4.642228,17.649471,0.016742,0.468772,6.696739,-0.000000,6.282937
0.020000,4.652942,17.649467,0.027457,0.602707,6.696739,-0.000000,6.282723
0.020000,4.666336,17.649459,0.040850,0.736641,6.696739,0.000000,6.282457
0.020000,4.682408,17.649445,0.056922,0.870576,6.696739,0.000000,6.282141
0.020000,4.701159,17.649422,0.075673,1.004511,6.696739,-0.000000,6.281775
0.020000,4.722588,17.649387,0.097103,1.138446,6.696739,0.000000,6.281361
0.020000,4.746697,17.649338,0.121211,1.272380,6.696739,0.000000,6.280900
0.020000,4.773483,17.649270,0.147998,1.406315,6.696739,-0.000000,6.280394
0.020000,4.802949,17.649179,0.177464,1.540250,6.696739,0.000000,6.279845
0.020000,4.835093,17.649063,0.209608,1.674185,6.696739,-0.000000,6.279255
0.020000,4.869916,17.648915,0.244431,1.808120,6.696739,0.000000,6.278627
0.020000,4.907417,17.648731,0.281933,1.942054,6.696739,-0.000000,6.277964
0.020000,4.947597,17.648508,0.322113,2.075989,6.696739,0.000000,6.277267
0.020000,4.990455,17.648238,0.364972,2.209924,6.696739,0.000000,6.276541
0.020000,5.035992,17.647918,0.410510,2.343859,6.696739,0.000000,6.275788
0.020000,5.084207,17.647543,0.458727,2.477794,6.696739,-0.000000,6.275011
0.020000,5.135100,17.647107,0.509622,2.611728,6.696739,0.000000,6.274215
0.020000,5.188672,17.646604,0.563196,2.745663,6.696739,-0.000000,6.273403
0.020000,5.244922,17.646031,0.619448,2.879598,6.696739,-0.000000,6.272579
0.020000,5.303849,17.645381,0.678380,3.013533,6.696739,0.000000,6.271748
0.020000,5.365455,17.644650,0.739990,3.147467,6.696739,0.000000,6.270913
0.020000,5.429738,17.643834,0.804278,3.281402,6.696739,0.000000,6.270079
0.020000,5.496700,17.642929,0.871246,3.415337,6.696739,0.000000,6.269252
0.020000,5.566339,17.641930,0.940892,3.549272,6.696739,-0.000000,6.268435
0.020000,5.638655,17.640834,1.013217,3.683207,6.696739,0.000000,6.267635
0.020000,5.713649,17.639638,1.088220,3.817141,6.696739,-0.000000,6.266857
0.020000,5.791320,17.638340,1.165902,3.951076,6.696739,-0.000000,6.266106
0.020000,5.871669,17.636939,1.246263,4.085011,6.696739,0.000000,6.265388
0.020000,5.954695,17.635432,1.329303,4.218946,6.696739,0.000000,6.264710
0.020000,6.040398,17.633821,1.415021,4.352881,6.696739,0.000000,6.264076
0.020000,6.128778,17.632106,1.503418,4.486815,6.696739,0.000000,6.263495
0.020000,6.219836,17.630288,1.594494,4.620750,6.696739,0.000000,6.262971
0.020000,6.313571,17.628371,1.688248,4.754685,6.696739,0.000000,6.262513
0.020000,6.409983,17.626358,1.784681,4.888620,6.696739,-0.000000,6.262127
0.020000,6.509072,17.624255,1.883793,5.022554,6.696739,0.000000,6.261820
0.020000,6.610839,17.622069,1.985583,5.156489,6.696739,-0.000000,6.261601
0.020000,6.715284,17.619806,2.090052,5.290424,6.696739,0.000000,6.261475
0.020000,6.822406,17.617478,2.197200,5.424359,6.696739,0.000000,6.261452
0.020000,6.932207,17.615095,2.307027,5.558294,6.696739,-0.000000,6.261538
0.020000,7.044686,17.612670,2.419532,5.692228,6.696739,0.000000,6.261743
0.020000,7.159844,17.610219,2.534716,5.826163,6.696739,0.000000,6.262075
0.020000,7.277681,17.607757,2.652578,5.960098,6.696739,0.000000,6.262542
0.020000,7.398197,17.605304,2.773120,6.094033,6.696739,0.000000,6.263154
0.020000,7.521393,17.602882,2.896340,6.227968,6.696739,-0.000000,6.263918
0.020000,7.647270,17.600513,3.022238,6.361902,6.696739,-0.000000,6.264845
0.020000,7.775827,17.598224,3.150816,6.495837,6.696739,0.000000,6.265944
0.020000,7.907065,17.596043,3.282072,6.629772,6.696739,0.000000,6.267224
