dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.629881,16.711973,0.000670,0.066967,3.348370,167.418483,0.000074
0.020000,4.629830,16.711973,0.000720,0.002526,-3.222065,-328.521712,0.000020
0.020000,4.634109,16.711972,0.004999,0.213944,10.570888,689.647634,6.283097
0.020000,4.641994,16.711971,0.012884,0.394264,9.015982,-77.745307,6.282937
0.020000,4.652509,16.711967,0.023399,0.525728,6.573242,-122.137012,6.282723
0.020000,4.665653,16.711960,0.036544,0.657231,6.575113,0.093556,6.282457
0.020000,4.681429,16.711946,0.052319,0.788780,6.577453,0.116988,6.282141
0.020000,4.699837,16.711923,0.070727,0.920385,6.580263,0.140526,6.281775
0.020000,4.720878,16.711889,0.091768,1.052056,6.583538,0.163735,6.281361
0.020000,4.744554,16.711840,0.115444,1.183801,6.587283,0.187253,6.280900
0.020000,4.770866,16.711773,0.141757,1.315631,6.591501,0.210883,6.280394
0.020000,4.799817,16.711685,0.170708,1.447555,6.596181,0.234002,6.279845
0.020000,4.831409,16.711570,0.202299,1.579582,6.601337,0.257800,6.279255
0.020000,4.865643,16.711425,0.236534,1.711721,6.606956,0.280975,6.278627
0.020000,4.902522,16.711244,0.273413,1.843982,6.613049,0.304628,6.277964
0.020000,4.942049,16.711024,0.312941,1.976374,6.619612,0.328144,6.277267
0.020000,4.984226,16.710759,0.355119,2.108907,6.626642,0.351516,6.276541
0.020000,5.029057,16.710444,0.399951,2.241590,6.634143,0.375082,6.275788
0.020000,5.076544,16.710074,0.447439,2.374432,6.642116,0.398607,6.275011
0.020000,5.126691,16.709644,0.497588,2.507443,6.650557,0.422076,6.274215
0.020000,5.179501,16.709149,0.550401,2.640633,6.659468,0.445540,6.273403
0.020000,5.234979,16.708583,0.605881,2.774010,6.668849,0.469076,6.272579
0.020000,5.293127,16.707942,0.664033,2.907584,6.678700,0.492549,6.271748
0.020000,5.353950,16.707221,0.724860,3.041364,6.689021,0.516026,6.270913
0.020000,5.417452,16.706415,0.788367,3.175360,6.699811,0.539501,6.270079
0.020000,5.483638,16.705520,0.854559,3.309582,6.711070,0.562948,6.269252
0.020000,5.552511,16.704532,0.923440,3.444038,6.722798,0.586391,6.268435
0.020000,5.624078,16.703447,0.995014,3.578737,6.734994,0.609832,6.267635
0.020000,5.698342,16.702263,1.069288,3.713691,6.747659,0.633245,6.266857
0.020000,5.775309,16.700977,1.146266,3.848906,6.760792,0.656659,6.266106
0.020000,5.854985,16.699587,1.225954,3.984394,6.774394,0.680060,6.265388
0.020000,5.937375,16.698092,1.308357,4.120164,6.788462,0.703433,6.264710
0.020000,6.022484,16.696492,1.393482,4.256224,6.802999,0.726850,6.264076
0.020000,6.110320,16.694787,1.481334,4.392584,6.818003,0.750203,6.263495
0.020000,6.200887,16.692979,1.571919,4.529253,6.833476,0.773623,6.262971
