dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.567129,18.398924,0.000661,0.066127,3.306328,165.316418,0.000000
0.020000,4.567129,18.398924,0.000661,0.000000,-3.306328,-330.632837,0.000000
0.020000,4.571714,18.398924,0.005246,0.229237,11.461874,738.410115,0.000000
0.020000,4.579649,18.398924,0.013181,0.396759,8.376096,-154.288882,0.000000
0.020000,4.590229,18.398924,0.023761,0.529013,6.612657,-88.171977,0.000000
0.020000,4.603454,18.398924,0.036987,0.661266,6.612657,0.000000,0.000000
0.020000,4.619325,18.398924,0.052857,0.793519,6.612657,-0.000000,0.000000
0.020000,4.637840,18.398924,0.071373,0.925772,6.612657,0.000000,0.000000
0.020000,4.659001,18.398924,0.092533,1.058025,6.612657,-0.000000,0.000000
0.020000,4.682806,18.398924,0.116339,1.190278,6.612657,0.000000,0.000000
0.020000,4.709257,18.398924,0.142789,1.322531,6.612657,0.000000,0.000000
0.020000,4.738353,18.398924,0.171885,1.454784,6.612657,-0.000000,0.000000
0.020000,4.770093,18.398924,0.203626,1.587038,6.612657,0.000000,0.000000
0.020000,4.804479,18.398924,0.238012,1.719291,6.612657,-0.000000,0.000000
0.020000,4.841510,18.398924,0.275042,1.851544,6.612657,0.000000,0.000000
0.020000,4.881186,18.398924,0.314718,1.983797,6.612657,-0.000000,0.000000
0.020000,4.923507,18.398924,0.357039,2.116050,6.612657,0.000000,0.000000
0.020000,4.968473,18.398924,0.402005,2.248303,6.612657,-0.000000,0.000000
0.020000,5.016084,18.398924,0.449617,2.380556,6.612657,0.000000,0.000000
0.020000,5.066340,18.398924,0.499873,2.512810,6.612657,0.000000,0.000000
0.020000,5.119242,18.398924,0.552774,2.645063,6.612657,0.000000,0.000000
0.020000,5.174788,18.398924,0.608320,2.777316,6.612657,-0.000000,0.000000
0.020000,5.232979,18.398924,0.666512,2.909569,6.612657,0.000000,0.000000
0.020000,5.293816,18.398924,0.727348,3.041822,6.612657,0.000000,0.000000
0.020000,5.357297,18.398924,0.790830,3.174075,6.612657,0.000000,0.000000
0.020000,5.423424,18.398924,0.856956,3.306328,6.612657,-0.000000,0.000000
