dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,2.809323,2.423120,0.000618,0.024727,0.494545,9.890905,0.001409
0.050000,2.809560,2.423120,0.000855,0.004735,-0.399854,-17.887975,0.000562
0.050000,2.811813,2.423119,0.003108,0.045070,0.806700,24.131064,6.282337
0.050000,2.816692,2.423110,0.007987,0.097581,1.050221,4.870430,6.280363
0.050000,2.822965,2.423085,0.014260,0.125451,0.557412,-9.856184,6.277826
0.050000,2.830630,2.423032,0.021926,0.153315,0.557267,-0.002898,6.274728
0.050000,2.839688,2.422938,0.030984,0.181175,0.557211,-0.001114,6.271070
0.050000,2.850138,2.422790,0.041435,0.209016,0.556816,-0.007906,6.266856
0.050000,2.861978,2.422568,0.053277,0.236843,0.556534,-0.005647,6.262086
0.050000,2.875207,2.422254,0.066510,0.264648,0.556116,-0.008351,6.256766
0.050000,2.889822,2.421825,0.081132,0.292434,0.555705,-0.008218,6.250899
0.050000,2.905822,2.421257,0.097141,0.320187,0.555065,-0.012801,6.244490
0.050000,2.923202,2.420523,0.114536,0.347910,0.554455,-0.012196,6.237546
0.050000,2.941958,2.419596,0.133315,0.375583,0.553456,-0.019992,6.230074
0.050000,2.962086,2.418446,0.153476,0.403215,0.552653,-0.016057,6.222083
0.050000,2.983579,2.417039,0.175015,0.430784,0.551377,-0.025513,6.213583
0.050000,3.006430,2.415342,0.197930,0.458287,0.550067,-0.026207,6.204587
0.050000,3.030632,2.413321,0.222215,0.485711,0.548463,-0.032085,6.195108
0.050000,3.056173,2.410937,0.247867,0.513043,0.546644,-0.036380,6.185163
0.050000,3.083043,2.408154,0.274881,0.540279,0.544734,-0.038190,6.174770
0.050000,3.111229,2.404931,0.303251,0.567395,0.542309,-0.048506,6.163949
0.050000,3.140717,2.401230,0.332970,0.594384,0.539774,-0.050702,6.152723
0.050000,3.171490,2.397010,0.364032,0.621230,0.536921,-0.057061,6.141119
0.050000,3.203532,2.392231,0.396428,0.647918,0.533761,-0.063197,6.129163
0.050000,3.236822,2.386853,0.430149,0.674435,0.530346,-0.068296,6.116888
0.050000,3.271339,2.380835,0.465187,0.700760,0.526493,-0.077061,6.104326
