dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,2.809717,2.143620,0.000618,0.024727,0.494545,9.890905,0.001409
0.050000,2.809717,2.143620,0.002473,0.049455,0.494545,0.000000,0.000562
0.050000,2.811576,2.143619,0.005564,0.074182,0.494545,0.000000,6.282337
0.050000,2.815903,2.143611,0.009891,0.098909,0.494545,-0.000000,6.280363
0.050000,2.821467,2.143589,0.015455,0.123636,0.494545,0.000000,6.277826
0.050000,2.828266,2.143542,0.022255,0.148364,0.494545,-0.000000,6.274728
0.050000,2.836302,2.143459,0.030291,0.173091,0.494545,0.000000,6.271070
0.050000,2.845574,2.143327,0.039564,0.197818,0.494545,-0.000000,6.266856
0.050000,2.856081,2.143130,0.050073,0.222545,0.494545,0.000000,6.262086
0.050000,2.867824,2.142851,0.061818,0.247273,0.494545,0.000000,6.256766
0.050000,2.880800,2.142470,0.074800,0.272000,0.494545,-0.000000,6.250899
0.050000,2.895009,2.141966,0.089018,0.296727,0.494545,0.000000,6.244490
0.050000,2.910450,2.141314,0.104473,0.321454,0.494545,0.000000,6.237546
0.050000,2.927120,2.140491,0.121164,0.346182,0.494545,0.000000,6.230074
0.050000,2.945018,2.139467,0.139091,0.370909,0.494545,0.000000,6.222083
0.050000,2.964141,2.138216,0.158254,0.395636,0.494545,-0.000000,6.213583
0.050000,2.984485,2.136705,0.178654,0.420363,0.494545,0.000000,6.204587
0.050000,3.006046,2.134904,0.200291,0.445091,0.494545,-0.000000,6.195108
0.050000,3.028819,2.132779,0.223164,0.469818,0.494545,0.000000,6.185163
0.050000,3.052800,2.130295,0.247273,0.494545,0.494545,0.000000,6.174770
0.050000,3.077981,2.127416,0.272618,0.519273,0.494545,0.000000,6.163949
0.050000,3.104356,2.124105,0.299200,0.544000,0.494545,-0.000000,6.152723
0.050000,3.131916,2.120326,0.327018,0.568727,0.494545,0.000000,6.141119
0.050000,3.160653,2.116040,0.356073,0.593454,0.494545,0.000000,6.129163
0.050000,3.190556,2.111209,0.386363,0.618182,0.494545,0.000000,6.116888
0.050000,3.221614,2.105794,0.417891,0.642909,0.494545,0.000000,6.104326
0.050000,3.253817,2.099758,0.450654,0.667636,0.494545,0.000000,6.091514
0.050000,3.287151,2.093063,0.484654,0.692363,0.494545,0.000000,6.078492
0.050000,3.321603,2.085673,0.519891,0.717091,0.494545,0.000000,6.065301
0.050000,3.357160,2.077551,0.556363,0.741818,0.494545,0.000000,6.051984
0.050000,3.393806,2.068663,0.594072,0.766545,0.494545,0.000000,6.038588
0.050000,3.431528,2.058977,0.633018,0.791272,0.494545,-0.000000,6.025162
0.050000,3.470309,2.048462,0.673200,0.816000,0.494545,0.000000,6.011755
0.050000,3.510135,2.037090,0.714618,0.840727,0.494545,-0.000000,5.998419
0.050000,3.550991,2.024835,0.757272,0.865454,0.494545,-0.000000,5.985206
0.050000,3.592862,2.011675,0.801163,0.890181,0.494545,0.000000,5.972172
0.050000,3.635734,1.997588,0.846291,0.914909,0.494545,0.000000,5.959369
0.050000,3.679593,1.982558,0.892654,0.939636,0.494545,-0.000000,5.946854
0.050000,3.724429,1.966573,0.940254,0.964363,0.494545,0.000000,5.934681
0.050000,3.770229,1.949624,0.989090,0.989090,0.494545,0.000000,5.922906
0.050000,3.816985,1.931703,1.039163,1.013818,0.494545,0.000000,5.911585
0.050000,3.864689,1.912811,1.090472,1.038545,0.494545,-0.000000,5.900771
0.050000,3.913336,1.892951,1.143018,1.063272,0.494545,-0.000000,5.890520
0.050000,3.962924,1.872128,1.196800,1.088000,0.494545,0.000000,5.880887
0.050000,4.013450,1.850356,1.251818,1.112727,0.494545,0.000000,5.871926
0.050000,4.064919,1.827652,1.308072,1.137454,0.494545,-0.000000,5.863690
0.050000,4.117336,1.804036,1.365563,1.162181,0.494545,0.000000,5.856236
0.050000,4.170708,1.779536,1.424290,1.186909,0.494545,0.000000,5.849616
0.050000,4.225049,1.754184,1.484254,1.211636,0.494545,0.000000,5.843888
0.050000,4.280373,1.728019,1.545454,1.236363,0.494545,0.000000,5.839107
0.050000,4.336701,1.701083,1.607890,1.261090,0.494545,0.000000,5.835332
0.050000,4.394054,1.673427,1.671563,1.285818,0.494545,0.000000,5.832622
0.050000,4.452460,1.645109,1.736472,1.310545,0.494545,0.000000,5.831040
0.050000,4.511159,1.616577,1.801738,1.300099,-0.208919,-14.069283,5.830649
0.050000,4.569073,1.588441,1.866125,1.275372,-0.494545,-5.712527,5.831440
0.050000,4.625912,1.560923,1.929275,1.250644,-0.494545,0.000000,5.833353
0.050000,4.681705,1.534080,1.991189,1.225917,-0.494545,0.000000,5.836326
0.050000,4.736474,1.507963,2.051867,1.201190,-0.494545,0.000000,5.840297
0.050000,4.790240,1.482616,2.111308,1.176463,-0.494545,0.000000,5.845208
0.050000,4.843021,1.458080,2.169513,1.151735,-0.494545,0.000000,5.851003
0.050000,4.894828,1.434386,2.226482,1.127008,-0.494545,-0.000000,5.857626
0.050000,4.945672,1.411562,2.282214,1.102281,-0.494545,0.000000,5.865023
0.050000,4.995560,1.389631,2.336710,1.077554,-0.494545,0.000000,5.873140
0.050000,5.044496,1.368610,2.389969,1.052826,-0.494545,-0.000000,5.881925
0.050000,5.092480,1.348513,2.441993,1.028099,-0.494545,0.000000,5.891323
0.050000,5.139512,1.329348,2.492779,1.003372,-0.494545,0.000000,5.901283
0.050000,5.185587,1.311120,2.542330,0.978645,-0.494545,-0.000000,5.911750
0.050000,5.230700,1.293827,2.590644,0.953917,-0.494545,-0.000000,5.922672
0.050000,5.274844,1.277468,2.637721,0.929190,-0.494545,0.000000,5.933996
0.050000,5.318009,1.262033,2.683563,0.904463,-0.494545,0.000000,5.945669
0.050000,5.360183,1.247513,2.728168,0.879736,-0.494545,-0.000000,5.957637
0.050000,5.401357,1.233891,2.771536,0.855008,-0.494545,-0.000000,5.969847
0.050000,5.441517,1.221152,2.813669,0.830281,-0.494545,0.000000,5.982248
0.050000,5.480649,1.209273,2.854564,0.805554,-0.494545,0.000000,5.994787
0.050000,5.518741,1.198232,2.894224,0.780826,-0.494545,-0.000000,6.007415
0.050000,5.555777,1.188003,2.932647,0.756099,-0.494545,-0.000000,6.020080
0.050000,5.591744,1.178558,2.969834,0.731372,-0.494545,0.000000,6.032735
0.050000,5.626628,1.169867,3.005784,0.706645,-0.494545,-0.000000,6.045333
0.050000,5.660414,1.161898,3.040498,0.681917,-0.494545,0.000000,6.057829
0.050000,5.693091,1.154618,3.073976,0.657190,-0.494545,-0.000000,6.070180
0.050000,5.724644,1.147993,3.106217,0.632463,-0.494545,0.000000,6.082345
0.050000,5.755062,1.141989,3.137222,0.607736,-0.494545,0.000000,6.094285
0.050000,5.784333,1.136569,3.166991,0.583008,-0.494545,-0.000000,6.105965
0.050000,5.812446,1.131699,3.195523,0.558281,-0.494545,0.000000,6.117350
0.050000,5.839392,1.127342,3.222819,0.533554,-0.494545,-0.000000,6.128410
0.050000,5.865161,1.123462,3.248879,0.508827,-0.494545,0.000000,6.139115
