dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,2.810111,1.864120,0.000618,0.024727,0.494545,9.890905,0.001409
0.050000,2.809874,1.864120,0.000855,0.004735,-0.399854,-17.887975,0.000562
0.050000,2.811339,1.864119,0.002320,0.029295,0.491212,17.821311,6.282337
0.050000,2.815114,1.864113,0.006095,0.075509,0.924275,8.661256,6.280363
0.050000,2.819969,1.864093,0.010950,0.097091,0.431641,-9.852679,6.277826
0.050000,2.825903,1.864052,0.016884,0.118680,0.431784,0.002862,6.274728
0.050000,2.832916,1.863979,0.023898,0.140284,0.432078,0.005889,6.271070
0.050000,2.841010,1.863864,0.031993,0.161894,0.432208,0.002582,6.266856
0.050000,2.850185,1.863693,0.041169,0.183521,0.432540,0.006641,6.262086
0.050000,2.860440,1.863449,0.051427,0.205167,0.432903,0.007270,6.256766
0.050000,2.871777,1.863116,0.062769,0.226838,0.433431,0.010561,6.250899
0.050000,2.884196,1.862675,0.075196,0.248537,0.433966,0.010706,6.244490
0.050000,2.897698,1.862105,0.088709,0.270273,0.434738,0.015431,6.237546
0.050000,2.912282,1.861385,0.103312,0.292046,0.435449,0.014223,6.230074
0.050000,2.927951,1.860489,0.119005,0.313875,0.436587,0.022758,6.222083
0.050000,2.944703,1.859392,0.135793,0.335758,0.437664,0.021530,6.213583
0.050000,2.962539,1.858068,0.153679,0.357711,0.439052,0.027777,6.204587
0.050000,2.981460,1.856488,0.172666,0.379740,0.440585,0.030648,6.195108
0.050000,3.001466,1.854620,0.192759,0.401858,0.442355,0.035400,6.185163
0.050000,3.022557,1.852436,0.213963,0.424083,0.444491,0.042728,6.174770
0.050000,3.044734,1.849900,0.236284,0.446417,0.446689,0.043960,6.163949
0.050000,3.067995,1.846980,0.259728,0.468882,0.449293,0.052071,6.152723
0.050000,3.092342,1.843642,0.284302,0.491490,0.452160,0.057347,6.141119
0.050000,3.117773,1.839849,0.310015,0.514255,0.455316,0.063122,6.129163
0.050000,3.144289,1.835565,0.336875,0.537196,0.458813,0.069932,6.116888
0.050000,3.171889,1.830753,0.364891,0.560321,0.462508,0.073893,6.104326
0.050000,3.200572,1.825377,0.394074,0.583652,0.466615,0.082148,6.091514
0.050000,3.230338,1.819398,0.424434,0.607200,0.470955,0.086810,6.078492
0.050000,3.261185,1.812781,0.455983,0.630982,0.475633,0.093546,6.065301
0.050000,3.293113,1.805488,0.488733,0.655009,0.480557,0.098489,6.051984
0.050000,3.326121,1.797482,0.522698,0.679294,0.485691,0.102681,6.038588
0.050000,3.360208,1.788730,0.557890,0.703850,0.491112,0.108422,6.025162
0.050000,3.395372,1.779195,0.594325,0.728685,0.496704,0.111841,6.011755
0.050000,3.431614,1.768847,0.632015,0.753808,0.502468,0.115278,5.998419
0.050000,3.468933,1.757653,0.670976,0.779228,0.508386,0.118344,5.985206
0.050000,3.507328,1.745584,0.711224,0.804948,0.514404,0.120364,5.972172
0.050000,3.546800,1.732614,0.752772,0.830973,0.520510,0.122120,5.959369
0.050000,3.587351,1.718718,0.795638,0.857306,0.526661,0.123026,5.946854
0.050000,3.628982,1.703876,0.839835,0.883949,0.532845,0.123684,5.934681
0.050000,3.671695,1.688068,0.885380,0.910900,0.539034,0.123778,5.922906
0.050000,3.715496,1.671280,0.932288,0.938161,0.545210,0.123517,5.911585
0.050000,3.760391,1.653501,0.980575,0.965729,0.551372,0.123242,5.900771
0.050000,3.806385,1.634723,1.030255,0.993603,0.557470,0.121959,5.890520
0.050000,3.853490,1.614943,1.081344,1.021783,0.563593,0.122454,5.880887
0.050000,3.901716,1.594162,1.133857,1.050265,0.569650,0.121146,5.871926
0.050000,3.951079,1.572386,1.187810,1.079052,0.575741,0.121827,5.863690
0.050000,4.001596,1.549626,1.243217,1.108143,0.581812,0.121405,5.856236
0.050000,4.053287,1.525898,1.300094,1.137540,0.587954,0.122843,5.849616
0.050000,4.106177,1.501223,1.358456,1.167248,0.594163,0.124174,5.843888
0.050000,4.160293,1.475628,1.418320,1.197273,0.600494,0.126632,5.839107
0.050000,4.215668,1.449147,1.479701,1.227623,0.606989,0.129897,5.835332
0.050000,4.272339,1.421821,1.542617,1.258307,0.613684,0.133891,5.832622
0.050000,4.330347,1.393695,1.607084,1.289340,0.620661,0.139552,5.831040
0.050000,4.388948,1.365211,1.672240,1.303134,0.275883,-6.895552,5.830649
0.050000,4.447061,1.336979,1.736848,1.292158,-0.219517,-9.908004,5.831440
0.050000,4.504382,1.309228,1.800533,1.273703,-0.369103,-2.991723,5.833353
0.050000,4.560923,1.282024,1.863278,1.254895,-0.376152,-0.140977,5.836326
0.050000,4.616694,1.255430,1.925066,1.235750,-0.382909,-0.135137,5.840297
0.050000,4.671702,1.229498,1.985880,1.216279,-0.389424,-0.130318,5.845208
0.050000,4.725951,1.204279,2.045704,1.196490,-0.395775,-0.127010,5.851003
0.050000,4.779442,1.179815,2.104524,1.176393,-0.401939,-0.123289,5.857626
0.050000,4.832172,1.156144,2.162323,1.155992,-0.408016,-0.121540,5.865023
0.050000,4.884137,1.133301,2.219088,1.135290,-0.414036,-0.120396,5.873140
0.050000,4.935329,1.111311,2.274802,1.114292,-0.419973,-0.118732,5.881925
0.050000,4.985736,1.090199,2.329452,1.092996,-0.425908,-0.118705,5.891323
0.050000,5.035346,1.069984,2.383022,1.071404,-0.431841,-0.118668,5.901283
0.050000,5.084142,1.050679,2.435498,1.049516,-0.437762,-0.118410,5.911750
0.050000,5.132106,1.032295,2.486865,1.027331,-0.443703,-0.118818,5.922672
0.050000,5.179217,1.014835,2.537107,1.004849,-0.449643,-0.118801,5.933996
0.050000,5.225454,0.998303,2.586211,0.982070,-0.455589,-0.118930,5.945669
0.050000,5.270791,0.982693,2.634160,0.958993,-0.461521,-0.118643,5.957637
0.050000,5.315205,0.968000,2.680942,0.935623,-0.467413,-0.117832,5.969847
0.050000,5.358669,0.954213,2.726540,0.911959,-0.473273,-0.117200,5.982248
0.050000,5.401155,0.941316,2.770940,0.888007,-0.479048,-0.115497,5.994787
0.050000,5.442636,0.929293,2.814128,0.863770,-0.484726,-0.113555,6.007415
0.050000,5.483085,0.918122,2.856091,0.839256,-0.490290,-0.111292,6.020080
0.050000,5.522473,0.907778,2.896815,0.814471,-0.495692,-0.108042,6.032735
0.050000,5.560773,0.898236,2.936286,0.789425,-0.500917,-0.104502,6.045333
0.050000,5.597959,0.889465,2.974492,0.764128,-0.505944,-0.100528,6.057829
0.050000,5.634005,0.881435,3.011422,0.738590,-0.510761,-0.096339,6.070180
0.050000,5.668886,0.874111,3.047063,0.712824,-0.515320,-0.091186,6.082345
0.050000,5.702578,0.867461,3.081405,0.686842,-0.519649,-0.086569,6.094285
0.050000,5.735059,0.861447,3.114438,0.660659,-0.523660,-0.080237,6.105965
0.050000,5.766307,0.856033,3.146152,0.634285,-0.527468,-0.076153,6.117350
0.050000,5.796305,0.851183,3.176539,0.607737,-0.530964,-0.069927,6.128410
0.050000,5.825032,0.846858,3.205591,0.581030,-0.534135,-0.063416,6.139115
0.050000,5.852474,0.843021,3.233300,0.554175,-0.537116,-0.059622,6.149440
0.050000,5.878615,0.839635,3.259659,0.527187,-0.539754,-0.052753,6.159360
0.050000,5.903442,0.836665,3.284663,0.500077,-0.542205,-0.049021,6.168854
0.050000,5.926943,0.834074,3.308306,0.472861,-0.544315,-0.042201,6.177903
