dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,6.373225,17.934999,0.000547,0.054733,2.736626,136.831277,6.281396
0.020000,6.372794,17.934999,0.000979,0.021577,-1.657793,-219.720951,6.281858
0.020000,6.371931,17.935000,0.001842,0.043143,1.078339,136.806617,6.282781
0.020000,6.375285,17.935002,0.005196,0.167709,6.228260,257.496073,0.000979
0.020000,6.382317,17.935015,0.012228,0.351595,9.194302,148.302098,0.002825
0.020000,6.391106,17.935050,0.021018,0.439487,4.394598,-239.985193,0.005131
0.020000,6.401654,17.935119,0.031565,0.527381,4.394701,0.005108,0.007899
0.020000,6.413959,17.935236,0.043871,0.615295,4.395718,0.050892,0.011128
0.020000,6.428022,17.935418,0.057935,0.703218,4.396155,0.021833,0.014818
0.020000,6.443843,17.935686,0.073758,0.791136,4.395874,-0.014040,0.018968
0.020000,6.461422,17.936060,0.091341,0.879153,4.400877,0.250134,0.023579
0.020000,6.480758,17.936565,0.110684,0.967129,4.398811,-0.103305,0.028647
0.020000,6.501852,17.937228,0.131788,1.055223,4.404694,0.294164,0.034174
0.020000,6.524704,17.938077,0.154656,1.143413,4.409476,0.239100,0.040155
0.020000,6.549315,17.939145,0.179290,1.231684,4.413566,0.204512,0.046590
0.020000,6.575684,17.940466,0.205692,1.320110,4.421310,0.387171,0.053475
0.020000,6.603812,17.942075,0.233867,1.408710,4.429975,0.433257,0.060806
0.020000,6.633700,17.944011,0.263817,1.497535,4.441245,0.563519,0.068578
0.020000,6.665348,17.946316,0.295549,1.586596,4.453068,0.591154,0.076787
0.020000,6.698759,17.949031,0.329070,1.676033,4.471826,0.937905,0.085425
0.020000,6.733932,17.952204,0.364386,1.765786,4.487658,0.791592,0.094484
0.020000,6.770869,17.955881,0.401505,1.855973,4.509385,1.086332,0.103955
0.020000,6.809572,17.960113,0.440439,1.946703,4.536475,1.354513,0.113827
0.020000,6.850043,17.964950,0.481198,2.037955,4.562581,1.305274,0.124089
0.020000,6.892285,17.970447,0.523796,2.129883,4.596434,1.692661,0.134725
0.020000,6.936299,17.976660,0.568247,2.222539,4.632806,1.818622,0.145722
0.020000,6.982089,17.983647,0.614567,2.316002,4.673114,2.015393,0.157060
0.020000,7.029659,17.991465,0.662774,2.410385,4.719164,2.302500,0.168721
0.020000,7.079011,18.000177,0.712890,2.505773,4.769414,2.512495,0.180683
0.020000,7.130151,18.009843,0.764935,2.602253,4.824000,2.729306,0.192923
0.020000,7.183081,18.020528,0.818933,2.699901,4.882389,2.919451,0.205416
0.020000,7.237807,18.032295,0.874910,2.798851,4.947487,3.254870,0.218133
0.020000,7.294334,18.045210,0.932893,2.899178,5.016340,3.442641,0.231046
0.020000,7.352667,18.059337,0.992913,3.000957,5.088990,3.632518,0.244124
0.020000,7.412811,18.074743,1.054998,3.104284,5.166329,3.866975,0.257332
0.020000,7.474772,18.091492,1.119183,3.209241,5.247834,4.075215,0.270637
0.020000,7.538555,18.109651,1.185501,3.315897,5.332797,4.248179,0.284002
0.020000,7.604168,18.129282,1.253987,3.424312,5.420789,4.399608,0.297390
0.020000,7.671615,18.150451,1.324678,3.534554,5.512079,4.564460,0.310761
0.020000,7.740904,18.173217,1.397612,3.646657,5.605159,4.654006,0.324075
0.020000,7.812041,18.197641,1.472825,3.760665,5.700392,4.761654,0.337292
0.020000,7.885034,18.223780,1.550357,3.876603,5.796918,4.826317,0.350371
0.020000,7.959890,18.251689,1.630247,3.994490,5.894350,4.871569,0.363270
0.020000,8.036618,18.281419,1.712533,4.114335,5.992245,4.894789,0.375946
0.020000,8.115228,18.313018,1.797256,4.236139,6.090190,4.897237,0.388359
0.020000,8.195729,18.346530,1.884454,4.359889,6.187502,4.865593,0.400466
0.020000,8.278133,18.381994,1.974166,4.485581,6.284575,4.853634,0.412226
0.020000,8.362455,18.419444,2.066429,4.613187,6.380328,4.787683,0.423598
0.020000,8.448708,18.458911,2.161283,4.742691,6.475174,4.742274,0.434542
0.020000,8.536911,18.500419,2.258764,4.874067,6.568809,4.681747,0.445017
0.020000,8.627084,18.543985,2.358910,5.007291,6.661218,4.620446,0.454983
0.020000,8.719251,18.589621,2.461757,5.142336,6.752262,4.552222,0.464403
0.020000,8.813439,18.637334,2.567341,5.279188,6.842606,4.517220,0.473236
0.020000,8.909680,18.687122,2.675698,5.417840,6.932590,4.499165,0.481446
0.020000,9.008010,18.738977,2.786863,5.558271,7.021545,4.447765,0.488993
0.020000,9.108471,18.792883,2.900873,5.700494,7.111150,4.480228,0.495839
0.020000,9.211109,18.848818,3.017763,5.844516,7.201103,4.497689,0.501947
0.020000,9.315980,18.906749,3.137570,5.990357,7.292054,4.547516,0.507276
0.020000,9.423142,18.966636,3.260332,6.138061,7.385199,4.657264,0.511787
0.020000,9.532665,19.028431,3.386085,6.287668,7.480328,4.756429,0.515440
0.020000,9.644625,19.092075,3.514870,6.439247,7.578944,4.930817,0.518192
0.020000,9.759107,19.157498,3.646727,6.592878,7.681552,5.130386,0.519999
0.020000,9.875733,19.224350,3.781154,6.721344,6.423334,-62.910881,0.520815
0.020000,9.993418,19.291856,3.916826,6.783596,3.112582,-165.537608,0.520610
0.020000,10.111050,19.359222,4.052383,6.777819,-0.288865,-170.072326,0.519395
0.020000,10.227937,19.425896,4.186949,6.728312,-2.475340,-109.323761,0.517209
0.020000,10.343848,19.491607,4.320190,6.662077,-3.311747,-41.820331,0.514098
0.020000,10.458803,19.556237,4.452067,6.593828,-3.412439,-5.034607,0.510106
0.020000,10.572814,19.619675,4.582540,6.523635,-3.509670,-4.861546,0.505273
0.020000,10.685893,19.681822,4.711571,6.451554,-3.604047,-4.718868,0.499641
0.020000,10.798043,19.742583,4.839123,6.377634,-3.696011,-4.598205,0.493248
0.020000,10.909265,19.801873,4.965161,6.301906,-3.786381,-4.518500,0.486134
0.020000,11.019553,19.859613,5.089649,6.224384,-3.876111,-4.486493,0.478336
0.020000,11.128895,19.915730,5.212551,6.145073,-3.965535,-4.471190,0.469894
0.020000,11.237274,19.970161,5.333830,6.063981,-4.054628,-4.454668,0.460844
0.020000,11.344668,20.022848,5.453452,5.981096,-4.144241,-4.480624,0.451226
0.020000,11.451050,20.073739,5.571380,5.896400,-4.234807,-4.528318,0.441078
0.020000,11.556386,20.122791,5.687577,5.809863,-4.326814,-4.600374,0.430439
0.020000,11.660638,20.169967,5.802007,5.721486,-4.418869,-4.602723,0.419349
0.020000,11.763764,20.215237,5.914632,5.631223,-4.513170,-4.715063,0.407849
0.020000,11.865716,20.258577,6.025413,5.539061,-4.608056,-4.744295,0.395978
0.020000,11.966441,20.299971,6.134312,5.444982,-4.703980,-4.796211,0.383778
0.020000,12.065885,20.339411,6.241292,5.348961,-4.801029,-4.852436,0.371291
0.020000,12.163988,20.376894,6.346312,5.250994,-4.898386,-4.867837,0.358557
0.020000,12.260688,20.412426,6.449333,5.151074,-4.995997,-4.880544,0.345620
0.020000,12.355921,20.446017,6.550317,5.049205,-5.093417,-4.870998,0.332520
0.020000,12.449622,20.477688,6.649225,4.945401,-5.190213,-4.839836,0.319299
0.020000,12.541722,20.507462,6.746019,4.839681,-5.285991,-4.788884,0.305997
0.020000,12.632155,20.535372,6.840660,4.732079,-5.380096,-4.705275,0.292656
0.020000,12.720852,20.561456,6.933113,4.622636,-5.472187,-4.604512,0.279315
0.020000,12.807746,20.585756,7.023341,4.511401,-5.561718,-4.476554,0.266011
0.020000,12.892771,20.608321,7.111310,4.398429,-5.648626,-4.345408,0.252782
0.020000,12.975863,20.629206,7.196986,4.283798,-5.731540,-4.145681,0.239664
0.020000,13.056958,20.648467,7.280337,4.167572,-5.811292,-3.987624,0.226691
0.020000,13.135997,20.666167,7.361334,4.049841,-5.886548,-3.762789,0.213894
0.020000,13.212923,20.682372,7.439948,3.930683,-5.957926,-3.568920,0.201305
0.020000,13.287681,20.697148,7.516152,3.810207,-6.023800,-3.293692,0.188951
0.020000,13.360219,20.710566,7.589921,3.688454,-6.087627,-3.191361,0.176861
0.020000,13.430491,20.722699,7.661232,3.565583,-6.143546,-2.795959,0.165057
0.020000,13.498452,20.733619,7.730065,3.441653,-6.196498,-2.647566,0.153562
0.020000,13.564062,20.743400,7.796400,3.316742,-6.245579,-2.454046,0.142398
0.020000,13.627284,20.752116,7.860220,3.190985,-6.287849,-2.113515,0.131582
0.020000,13.688084,20.759840,7.921509,3.064439,-6.327280,-1.971568,0.121132
0.020000,13.746433,20.766644,7.980253,2.937211,-6.361410,-1.706497,0.111062
0.020000,13.802302,20.772602,8.036439,2.809308,-6.395151,-1.687034,0.101386
0.020000,13.855670,20.777781,8.090058,2.680920,-6.419391,-1.211998,0.092115
0.020000,13.906515,20.782251,8.141098,2.552038,-6.444119,-1.236381,0.083260
0.020000,13.954819,20.786078,8.189554,2.422776,-6.463097,-0.948936,0.074828
0.020000,14.000565,20.789323,8.235416,2.293087,-6.484404,-1.065354,0.066828
