dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,6.371552,17.000000,0.000547,0.054733,2.736626,136.831277,6.281396
0.020000,6.371552,17.000000,0.002737,0.164198,5.473251,136.831277,6.281858
0.020000,6.371552,17.000000,0.007115,0.273663,5.473251,0.000000,6.282781
0.020000,6.376201,17.000002,0.013683,0.383128,5.473251,0.000000,0.000979
0.020000,6.384958,17.000019,0.022440,0.492593,5.473251,0.000000,0.002825
0.020000,6.395904,17.000062,0.033387,0.602058,5.473251,-0.000000,0.005131
0.020000,6.409039,17.000148,0.046523,0.711523,5.473251,0.000000,0.007899
0.020000,6.424364,17.000294,0.061848,0.820988,5.473251,0.000000,0.011128
0.020000,6.441877,17.000521,0.079362,0.930453,5.473251,-0.000000,0.014818
0.020000,6.461577,17.000854,0.099066,1.039918,5.473251,0.000000,0.018968
0.020000,6.483466,17.001320,0.120959,1.149383,5.473251,-0.000000,0.023579
0.020000,6.507540,17.001948,0.145041,1.258848,5.473251,0.000000,0.028647
0.020000,6.533798,17.002773,0.171313,1.368313,5.473251,-0.000000,0.034174
0.020000,6.562240,17.003831,0.199774,1.477778,5.473251,0.000000,0.040155
0.020000,6.592861,17.005160,0.230424,1.587243,5.473251,-0.000000,0.046590
0.020000,6.625659,17.006802,0.263263,1.696708,5.473251,0.000000,0.053475
0.020000,6.660631,17.008803,0.298292,1.806173,5.473251,-0.000000,0.060806
0.020000,6.697771,17.011209,0.335510,1.915638,5.473251,0.000000,0.068578
0.020000,6.737074,17.014071,0.374918,2.025103,5.473251,-0.000000,0.076787
0.020000,6.778534,17.017441,0.416514,2.134568,5.473251,0.000000,0.085425
0.020000,6.822143,17.021374,0.460300,2.244033,5.473251,-0.000000,0.094484
0.020000,6.867891,17.025929,0.506276,2.353498,5.473251,0.000000,0.103955
0.020000,6.915771,17.031163,0.554440,2.462963,5.473251,0.000000,0.113827
0.020000,6.965768,17.037139,0.604794,2.572428,5.473251,0.000000,0.124089
0.020000,7.017872,17.043920,0.657337,2.681893,5.473251,-0.000000,0.134725
0.020000,7.072067,17.051570,0.712070,2.791358,5.473251,0.000000,0.145722
0.020000,7.128337,17.060155,0.768992,2.900823,5.473251,0.000000,0.157060
0.020000,7.186665,17.069742,0.828103,3.010288,5.473251,0.000000,0.168721
0.020000,7.247032,17.080397,0.889403,3.119753,5.473251,-0.000000,0.180683
0.020000,7.309417,17.092189,0.952893,3.229218,5.473251,0.000000,0.192923
0.020000,7.373797,17.105185,1.018572,3.338683,5.473251,0.000000,0.205416
0.020000,7.440148,17.119452,1.086440,3.448148,5.473251,0.000000,0.218133
0.020000,7.508446,17.135055,1.156498,3.557613,5.473251,-0.000000,0.231046
0.020000,7.578662,17.152060,1.228745,3.667078,5.473251,0.000000,0.244124
0.020000,7.650770,17.170530,1.303181,3.776543,5.473251,0.000000,0.257332
0.020000,7.724740,17.190525,1.379807,3.886008,5.473251,0.000000,0.270637
0.020000,7.800542,17.212105,1.458621,3.995473,5.473251,-0.000000,0.284002
0.020000,7.878146,17.235325,1.539626,4.104938,5.473251,0.000000,0.297390
0.020000,7.957522,17.260236,1.622819,4.214403,5.473251,-0.000000,0.310761
0.020000,8.038638,17.286888,1.708202,4.323868,5.473251,0.000000,0.324075
0.020000,8.121463,17.315324,1.795774,4.433333,5.473251,-0.000000,0.337292
0.020000,8.205969,17.345586,1.885535,4.542798,5.473251,0.000000,0.350371
0.020000,8.292126,17.377707,1.977486,4.652263,5.473251,-0.000000,0.363270
0.020000,8.379906,17.411719,2.071626,4.761728,5.473251,0.000000,0.375946
0.020000,8.469285,17.447646,2.167955,4.871193,5.473251,-0.000000,0.388359
0.020000,8.560237,17.485508,2.266473,4.980658,5.473251,0.000000,0.400466
0.020000,8.652741,17.525317,2.367181,5.090124,5.473251,-0.000000,0.412226
0.020000,8.746780,17.567083,2.470078,5.199589,5.473251,0.000000,0.423598
0.020000,8.842338,17.610807,2.575165,5.309054,5.473251,-0.000000,0.434542
0.020000,8.939403,17.656484,2.682440,5.418519,5.473251,0.000000,0.445017
0.020000,9.037967,17.704104,2.791905,5.527984,5.473251,0.000000,0.454983
0.020000,9.138027,17.753648,2.903560,5.637449,5.473251,0.000000,0.464403
0.020000,9.239583,17.805092,3.017403,5.746914,5.473251,-0.000000,0.473236
0.020000,9.342642,17.858407,3.133436,5.856379,5.473251,0.000000,0.481446
0.020000,9.447214,17.913553,3.251658,5.965844,5.473251,-0.000000,0.488993
0.020000,9.553316,17.970486,3.372070,6.075309,5.473251,0.000000,0.495839
0.020000,9.660969,18.029152,3.494671,6.184774,5.473251,-0.000000,0.501947
0.020000,9.770201,18.089492,3.619461,6.294239,5.473251,0.000000,0.507276
0.020000,9.881046,18.151437,3.746440,6.403704,5.473251,0.000000,0.511787
0.020000,9.993543,18.214910,3.875609,6.513169,5.473251,0.000000,0.515440
0.020000,10.107740,18.279825,4.006967,6.622634,5.473251,-0.000000,0.518192
0.020000,10.223690,18.346087,4.140514,6.732099,5.473251,0.000000,0.519999
0.020000,10.340976,18.413318,4.275704,6.786831,2.736626,-136.831277,0.520815
0.020000,10.458495,18.480729,4.411184,6.761206,-1.281288,-200.895673,0.520610
0.020000,10.575142,18.547530,4.545605,6.680847,-4.017913,-136.831277,0.519395
0.020000,10.690254,18.613192,4.678127,6.571382,-5.473251,-72.766881,0.517209
0.020000,10.803635,18.677468,4.808460,6.461917,-5.473251,0.000000,0.514098
0.020000,10.915335,18.740269,4.936604,6.352452,-5.473251,0.000000,0.510106
0.020000,11.025398,18.801511,5.062558,6.242987,-5.473251,0.000000,0.505273
0.020000,11.133861,18.861122,5.186323,6.133522,-5.473251,-0.000000,0.499641
0.020000,11.240756,18.919036,5.307899,6.024057,-5.473251,0.000000,0.493248
0.020000,11.346108,18.975197,5.427285,5.914592,-5.473251,-0.000000,0.486134
0.020000,11.449936,19.029555,5.544483,5.805127,-5.473251,0.000000,0.478336
0.020000,11.552255,19.082069,5.659490,5.695662,-5.473251,-0.000000,0.469894
0.020000,11.653072,19.132703,5.772309,5.586197,-5.473251,0.000000,0.460844
0.020000,11.752392,19.181429,5.882938,5.476732,-5.473251,-0.000000,0.451226
0.020000,11.850214,19.228226,5.991378,5.367267,-5.473251,0.000000,0.441078
0.020000,11.946533,19.273080,6.097629,5.257802,-5.473251,-0.000000,0.430439
0.020000,12.041339,19.315981,6.201690,5.148337,-5.473251,0.000000,0.419349
0.020000,12.134618,19.356929,6.303563,5.038872,-5.473251,-0.000000,0.407849
0.020000,12.226355,19.395927,6.403245,4.929407,-5.473251,0.000000,0.395978
0.020000,12.316530,19.432987,6.500739,4.819942,-5.473251,-0.000000,0.383778
0.020000,12.405120,19.468122,6.596043,4.710477,-5.473251,0.000000,0.371291
0.020000,12.492101,19.501357,6.689158,4.601012,-5.473251,-0.000000,0.358557
0.020000,12.577447,19.532716,6.780083,4.491547,-5.473251,0.000000,0.345620
0.020000,12.661130,19.562234,6.868820,4.382082,-5.473251,-0.000000,0.332520
0.020000,12.743119,19.589947,6.955367,4.272617,-5.473251,0.000000,0.319299
0.020000,12.823386,19.615896,7.039724,4.163152,-5.473251,-0.000000,0.305997
0.020000,12.901899,19.640128,7.121893,4.053687,-5.473251,0.000000,0.292656
0.020000,12.978629,19.662692,7.201872,3.944222,-5.473251,-0.000000,0.279315
0.020000,13.053544,19.683642,7.279662,3.834757,-5.473251,0.000000,0.266011
0.020000,13.126614,19.703035,7.355262,3.725292,-5.473251,0.000000,0.252782
0.020000,13.197810,19.720930,7.428673,3.615827,-5.473251,0.000000,0.239664
0.020000,13.267103,19.737389,7.499895,3.506362,-5.473251,0.000000,0.226691
0.020000,13.334467,19.752474,7.568928,3.396897,-5.473251,0.000000,0.213894
0.020000,13.399874,19.766252,7.635771,3.287432,-5.473251,-0.000000,0.201305
0.020000,13.463301,19.778789,7.700425,3.177967,-5.473251,0.000000,0.188951
0.020000,13.524723,19.790151,7.762890,3.068502,-5.473251,0.000000,0.176861
0.020000,13.584119,19.800406,7.823165,2.959037,-5.473251,0.000000,0.165057
0.020000,13.641469,19.809622,7.881251,2.849572,-5.473251,-0.000000,0.153562
0.020000,13.696755,19.817863,7.937148,2.740107,-5.473251,0.000000,0.142398
0.020000,13.749959,19.825198,7.990856,2.630642,-5.473251,0.000000,0.131582
0.020000,13.801066,19.831691,8.042374,2.521176,-5.473251,-0.000000,0.121132
