dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,6.369880,16.065001,0.000547,0.054733,2.736626,136.831277,6.281396
0.020000,6.370311,16.065001,0.000979,0.021577,-1.657793,-219.720951,6.281858
0.020000,6.371174,16.065000,0.001842,0.043143,1.078339,136.806617,6.282781
0.020000,6.377116,16.065003,0.007784,0.297120,12.698837,581.024915,0.000979
0.020000,6.387599,16.065023,0.018267,0.524124,11.350214,-67.431137,0.002825
0.020000,6.400702,16.065075,0.031370,0.655151,6.551306,-239.945435,0.005131
0.020000,6.416425,16.065177,0.047093,0.786174,6.551166,-0.006992,0.007899
0.020000,6.434768,16.065352,0.065437,0.917211,6.551872,0.035312,0.011128
0.020000,6.455731,16.065624,0.086402,1.048230,6.550939,-0.046632,0.014818
0.020000,6.479312,16.066022,0.109986,1.179187,6.547868,-0.153587,0.018968
0.020000,6.505510,16.066580,0.136190,1.310213,6.551259,0.169575,0.023579
0.020000,6.534321,16.067332,0.165011,1.441059,6.542318,-0.447042,0.028647
0.020000,6.565744,16.068319,0.196449,1.571919,6.542997,0.033935,0.034174
0.020000,6.599775,16.069585,0.230504,1.702706,6.539332,-0.183252,0.040155
0.020000,6.636407,16.071175,0.267170,1.833334,6.531422,-0.395527,0.046590
0.020000,6.675634,16.073139,0.306447,1.963838,6.525180,-0.312070,0.053475
0.020000,6.717449,16.075531,0.348330,2.094157,6.515947,-0.461634,0.060806
0.020000,6.761842,16.078407,0.392816,2.224269,6.505603,-0.517247,0.068578
0.020000,6.808799,16.081826,0.439897,2.354078,6.490445,-0.757864,0.076787
0.020000,6.858309,16.085850,0.489570,2.483663,6.479271,-0.558731,0.085425
0.020000,6.910353,16.090545,0.541826,2.612798,6.456767,-1.125168,0.094484
0.020000,6.964914,16.095976,0.596656,2.741505,6.435334,-1.071675,0.103955
0.020000,7.021969,16.102214,0.654052,2.869775,6.413477,-1.092835,0.113827
0.020000,7.081494,16.109329,0.714000,2.997398,6.381181,-1.614820,0.124089
0.020000,7.143459,16.117393,0.776488,3.124412,6.350703,-1.523881,0.134725
0.020000,7.207835,16.126480,0.841502,3.250688,6.313767,-1.846817,0.145722
0.020000,7.274585,16.136664,0.909024,3.376127,6.271969,-2.089899,0.157060
0.020000,7.343672,16.148018,0.979038,3.500677,6.227527,-2.222089,0.168721
0.020000,7.415053,16.160618,1.051523,3.624235,6.177868,-2.482969,0.180683
0.020000,7.488683,16.174535,1.126457,3.746695,6.123000,-2.743364,0.192923
0.020000,7.564512,16.189842,1.203815,3.867937,6.062107,-3.044640,0.205416
0.020000,7.642489,16.206608,1.283574,3.987925,5.999427,-3.134008,0.218133
0.020000,7.722557,16.224900,1.365705,4.106544,5.930928,-3.424960,0.231046
0.020000,7.804657,16.244783,1.450178,4.223685,5.857072,-3.692789,0.244124
0.020000,7.888729,16.266317,1.536964,4.339279,5.779653,-3.870980,0.257332
0.020000,7.974708,16.289559,1.626029,4.453250,5.698586,-4.053326,0.270637
0.020000,8.062529,16.314560,1.717339,4.565524,5.613688,-4.244889,0.284002
0.020000,8.152125,16.341367,1.810860,4.676030,5.525292,-4.419813,0.297390
0.020000,8.243429,16.370021,1.906555,4.784725,5.434776,-4.525813,0.310761
0.020000,8.336372,16.400559,2.004386,4.891549,5.341172,-4.680188,0.324075
0.020000,8.430886,16.433008,2.104315,4.996471,5.246108,-4.753221,0.337292
0.020000,8.526905,16.467391,2.206304,5.099462,5.149562,-4.827275,0.350371
0.020000,8.624362,16.503725,2.310314,5.200505,5.052139,-4.871165,0.363270
0.020000,8.723194,16.542019,2.416306,5.299591,4.954319,-4.890993,0.375946
0.020000,8.823341,16.582274,2.524241,5.396722,4.856536,-4.889153,0.388359
0.020000,8.924744,16.624485,2.634079,5.491898,4.758782,-4.887693,0.400466
0.020000,9.027349,16.668641,2.745781,5.585143,4.662276,-4.825287,0.412226
0.020000,9.131106,16.714723,2.859311,5.676468,4.566220,-4.802800,0.423598
0.020000,9.235968,16.762703,2.974629,5.765898,4.471521,-4.734981,0.434542
0.020000,9.341895,16.812550,3.091698,5.853458,4.378000,-4.676029,0.445017
