dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,6.178021,14.529709,0.000542,0.054158,2.707879,135.393965,0.000574
0.020000,6.178158,14.529709,0.000679,0.006857,-2.365033,-253.645636,0.000427
0.020000,6.178432,14.529709,0.000953,0.013705,0.342384,135.370857,0.000134
0.020000,6.183362,14.529709,0.005883,0.246499,11.639708,564.866216,6.282880
0.020000,6.192574,14.529703,0.015095,0.460597,10.704936,-46.738609,6.282295
0.020000,6.204088,14.529689,0.026608,0.575679,5.754093,-247.542152,6.281566
0.020000,6.217902,14.529660,0.040423,0.690715,5.751787,-0.115305,6.280692
0.020000,6.234016,14.529612,0.056537,0.805701,5.749311,-0.123808,6.279676
0.020000,6.252428,14.529537,0.074949,0.920621,5.745969,-0.167104,6.278519
0.020000,6.273137,14.529427,0.095658,1.035466,5.742275,-0.184668,6.277222
0.020000,6.296141,14.529273,0.118663,1.150234,5.738394,-0.194075,6.275787
0.020000,6.321438,14.529066,0.143961,1.264905,5.733555,-0.241910,6.274217
0.020000,6.349027,14.528795,0.171551,1.379481,5.728779,-0.238839,6.272512
0.020000,6.378904,14.528449,0.201430,1.493940,5.722988,-0.289552,6.270676
0.020000,6.411066,14.528015,0.233595,1.608285,5.717212,-0.288785,6.268710
0.020000,6.445512,14.527480,0.268045,1.722492,5.710374,-0.341888,6.266619
0.020000,6.482238,14.526831,0.304776,1.836565,5.703623,-0.337549,6.264405
0.020000,6.521239,14.526053,0.343786,1.950482,5.695854,-0.388451,6.262071
0.020000,6.562514,14.525130,0.385071,2.064240,5.687907,-0.397342,6.259620
0.020000,6.606057,14.524048,0.428627,2.177826,5.679295,-0.430606,6.257057
0.020000,6.651864,14.522790,0.474452,2.291229,5.670153,-0.457104,6.254384
0.020000,6.699931,14.521338,0.522541,2.404438,5.660454,-0.484944,6.251607
0.020000,6.750253,14.519676,0.572890,2.517442,5.650219,-0.511782,6.248730
0.020000,6.802823,14.517785,0.625494,2.630236,5.639677,-0.527097,6.245757
0.020000,6.857638,14.515648,0.680350,2.742798,5.628131,-0.577281,6.242693
0.020000,6.914690,14.513247,0.737453,2.855127,5.616408,-0.586158,6.239544
0.020000,6.973973,14.510562,0.796797,2.967206,5.603978,-0.621480,6.236313
