dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,6.083502,16.519614,0.000549,0.054897,2.744845,137.242240,0.001543
0.020000,6.083201,16.519613,0.000851,0.015078,-1.990963,-236.790370,0.001221
0.020000,6.082598,16.519613,0.001453,0.030146,0.753416,137.218917,0.000576
0.020000,6.084359,16.519612,0.003215,0.088061,2.895741,107.116287,6.282794
0.020000,6.091938,16.519604,0.010793,0.378923,14.543115,582.368668,6.281506
0.020000,6.101412,16.519581,0.020267,0.473714,4.739526,-490.179438,6.279896
0.020000,6.112782,16.519532,0.031638,0.568532,4.740932,0.070306,6.277966
0.020000,6.126049,16.519448,0.044905,0.663360,4.741367,0.021752,6.275715
0.020000,6.141213,16.519315,0.060070,0.758223,4.743167,0.089980,6.273146
0.020000,6.158275,16.519119,0.077133,0.853143,4.745988,0.141048,6.270259
0.020000,6.177236,16.518844,0.096096,0.948150,4.750381,0.219680,6.267055
0.020000,6.198097,16.518471,0.116960,1.043225,4.753721,0.166977,6.263535
0.020000,6.220859,16.517980,0.139727,1.138361,4.756810,0.154471,6.259703
0.020000,6.245523,16.517349,0.164399,1.233580,4.760974,0.208168,6.255559
0.020000,6.272089,16.516556,0.190977,1.328924,4.767199,0.311254,6.251106
0.020000,6.300561,16.515574,0.219466,1.424412,4.774378,0.358935,6.246347
0.020000,6.330938,16.514378,0.249867,1.520045,4.781671,0.364685,6.241284
0.020000,6.363222,16.512937,0.282183,1.615818,4.788637,0.348312,6.235922
0.020000,6.397415,16.511223,0.316418,1.711772,4.797718,0.454038,6.230264
0.020000,6.433517,16.509203,0.352577,1.807940,4.808363,0.532261,6.224315
0.020000,6.471531,16.506843,0.390664,1.904357,4.820846,0.624129,6.218079
0.020000,6.511458,16.504109,0.430685,2.001027,4.833521,0.633762,6.211563
0.020000,6.553299,16.500965,0.472644,2.097960,4.846658,0.656840,6.204772
0.020000,6.597057,16.497371,0.516549,2.195238,4.863895,0.861836,6.197712
0.020000,6.642731,16.493289,0.562406,2.292844,4.880292,0.819887,6.190393
0.020000,6.690325,16.488677,0.610223,2.390844,4.899990,0.984869,6.182821
0.020000,6.739840,16.483495,0.660008,2.489254,4.920510,1.025991,6.175005
0.020000,6.791277,16.477699,0.711770,2.588122,4.943385,1.143774,6.166956
0.020000,6.844638,16.471245,0.765520,2.687478,4.967801,1.220804,6.158683
0.020000,6.899924,16.464087,0.821267,2.787376,4.994914,1.355641,6.150199
0.020000,6.957136,16.456180,0.879024,2.887827,5.022528,1.380720,6.141515
0.020000,7.016278,16.447476,0.938802,2.988912,5.054285,1.587837,6.132645
0.020000,7.077348,16.437929,1.000614,3.090616,5.085182,1.544857,6.123602
0.020000,7.140350,16.427491,1.064475,3.193039,5.121163,1.799041,6.114401
0.020000,7.205284,16.416112,1.130399,3.296177,5.156889,1.786289,6.105057
0.020000,7.272152,16.403745,1.198400,3.400088,5.195530,1.932047,6.095588
0.020000,7.340955,16.390342,1.268497,3.504819,5.236553,2.051159,6.086011
0.020000,7.411694,16.375853,1.340704,3.610383,5.278205,2.082601,6.076343
0.020000,7.484371,16.360231,1.415041,3.716843,5.323021,2.240814,6.066604
0.020000,7.558987,16.343428,1.491525,3.824211,5.368376,2.267749,6.056813
0.020000,7.635543,16.325398,1.570176,3.932530,5.415956,2.378985,6.046990
0.020000,7.714040,16.306094,1.651013,4.041829,5.464967,2.450553,6.037157
0.020000,7.794482,16.285471,1.734055,4.152128,5.514923,2.497807,6.027335
0.020000,7.876868,16.263487,1.819324,4.263457,5.566467,2.577207,6.017545
0.020000,7.961202,16.240098,1.906841,4.375836,5.618934,2.623326,6.007811
