dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,6.080561,9.137549,0.000546,0.054628,2.731410,136.570505,6.281582
0.020000,6.080874,9.137549,0.000860,0.015695,-1.946662,-233.903596,6.281918
0.020000,6.081502,9.137548,0.001488,0.031381,0.784301,136.548160,6.282589
0.020000,6.085115,9.137549,0.005101,0.180639,7.462888,333.929328,0.000410
0.020000,6.095109,9.137559,0.015095,0.499712,15.953676,424.539414,0.001751
0.020000,6.107602,9.137592,0.027588,0.624637,6.246243,-485.371680,0.003428
0.020000,6.122592,9.137658,0.042578,0.749539,6.245110,-0.056617,0.005438
0.020000,6.140079,9.137774,0.060066,0.874375,6.241780,-0.166522,0.007782
0.020000,6.160062,9.137956,0.080049,0.999169,6.239714,-0.103303,0.010458
0.020000,6.182539,9.138225,0.102528,1.123925,6.237774,-0.097012,0.013466
0.020000,6.207509,9.138603,0.127501,1.248665,6.237003,-0.038513,0.016806
0.020000,6.234971,9.139115,0.154968,1.373341,6.233802,-0.160072,0.020474
0.020000,6.264922,9.139788,0.184926,1.497905,6.228230,-0.278604,0.024470
0.020000,6.297358,9.140652,0.217373,1.622376,6.223545,-0.234225,0.028792
0.020000,6.332276,9.141739,0.252309,1.746753,6.218837,-0.235412,0.033438
0.020000,6.369673,9.143083,0.289729,1.871043,6.214500,-0.216836,0.038405
0.020000,6.409543,9.144720,0.329633,1.995192,6.207437,-0.353160,0.043690
0.020000,6.451880,9.146690,0.372016,2.119147,6.197749,-0.484417,0.049289
0.020000,6.496678,9.149033,0.416875,2.242939,6.189619,-0.406477,0.055200
0.020000,6.543928,9.151791,0.464205,2.366518,6.178963,-0.532835,0.061418
0.020000,6.593621,9.155010,0.514003,2.489892,6.168669,-0.514684,0.067937
0.020000,6.645748,9.158735,0.566263,2.612999,6.155338,-0.666532,0.074752
0.020000,6.700296,9.163015,0.620979,2.735781,6.139127,-0.810538,0.081857
0.020000,6.757254,9.167900,0.678145,2.858312,6.126563,-0.628214,0.089245
0.020000,6.816604,9.173441,0.737754,2.980429,6.105856,-1.035379,0.096909
0.020000,6.878332,9.179689,0.799797,3.102169,6.086991,-0.943209,0.104840
0.020000,6.942419,9.186698,0.864266,3.223467,6.064894,-1.104871,0.113029
0.020000,7.008847,9.194523,0.931153,3.344338,6.043523,-1.068542,0.121465
0.020000,7.077592,9.203217,1.000446,3.464643,6.015250,-1.413674,0.130139
0.020000,7.148632,9.212837,1.072134,3.584420,5.988883,-1.318312,0.139037
0.020000,7.221942,9.223437,1.146206,3.703602,5.959069,-1.490703,0.148148
0.020000,7.297493,9.235073,1.222649,3.822124,5.926125,-1.647235,0.157457
0.020000,7.375258,9.247799,1.301448,3.939965,5.892037,-1.704400,0.166949
0.020000,7.455205,9.261670,1.382589,4.057066,5.855079,-1.847874,0.176610
0.020000,7.537302,9.276739,1.466058,4.173403,5.816812,-1.913357,0.186422
0.020000,7.621514,9.293057,1.551836,4.288914,5.775541,-2.063535,0.196367
0.020000,7.707804,9.310676,1.639907,4.403547,5.731668,-2.193669,0.206428
0.020000,7.796136,9.329644,1.730253,4.517291,5.687187,-2.224028,0.216584
0.020000,7.886471,9.350007,1.822854,4.630077,5.639332,-2.392791,0.226817
0.020000,7.978769,9.371811,1.917692,4.741887,5.590462,-2.443458,0.237104
0.020000,8.072987,9.395095,2.014745,4.852676,5.539482,-2.548995,0.247423
0.020000,8.169086,9.419900,2.113994,4.962422,5.487285,-2.609869,0.257753
0.020000,8.267022,9.446261,2.215415,5.071085,5.433152,-2.706657,0.268071
0.020000,8.366753,9.474210,2.318988,5.178650,5.378263,-2.744445,0.278352
0.020000,8.468236,9.503775,2.424690,5.285090,5.321994,-2.813429,0.288573
0.020000,8.571428,9.534982,2.532498,5.390386,5.264777,-2.860877,0.298709
0.020000,8.676288,9.567850,2.642388,5.494525,5.206952,-2.891232,0.308736
0.020000,8.782774,9.602396,2.754338,5.597494,5.148491,-2.923072,0.318628
0.020000,8.890847,9.638633,2.868324,5.699287,5.089635,-2.942787,0.328361
0.020000,9.000466,9.676569,2.984322,5.799898,5.030551,-2.954212,0.337909
0.020000,9.111595,9.716206,3.102308,5.899320,4.971108,-2.972160,0.347246
0.020000,9.224199,9.757543,3.222260,5.997565,4.912231,-2.943810,0.356348
0.020000,9.338243,9.800574,3.344152,6.094617,4.852607,-2.981223,0.365189
0.020000,9.453697,9.845288,3.467962,6.190493,4.793817,-2.939519,0.373743
0.020000,9.570531,9.891669,3.593666,6.285193,4.734974,-2.942116,0.381986
0.020000,9.688720,9.939697,3.721240,6.378713,4.676026,-2.947399,0.389893
0.020000,9.808240,9.989345,3.850662,6.471077,4.618160,-2.893296,0.397438
0.020000,9.929070,10.040582,3.981907,6.562262,4.559288,-2.943602,0.404596
0.020000,10.051195,10.093373,4.114953,6.652290,4.501373,-2.895746,0.411344
0.020000,10.174598,10.147675,4.249776,6.741153,4.443139,-2.911743,0.417655
0.020000,10.299270,10.203444,4.386353,6.828842,4.384443,-2.934763,0.423504
0.020000,10.425203,10.260626,4.524660,6.915367,4.326281,-2.908115,0.428867
0.020000,10.552392,10.319165,4.664674,7.000697,4.266488,-2.989636,0.433719
0.020000,10.680838,10.378996,4.806371,7.084834,4.206877,-2.980574,0.438033
0.020000,10.810541,10.440052,4.949726,7.167754,4.145979,-3.044906,0.441784
0.020000,10.941508,10.502256,5.094714,7.249426,4.083600,-3.118949,0.444945
0.020000,11.073747,10.565528,5.241311,7.329833,4.020361,-3.161963,0.447488
0.020000,11.207271,10.629779,5.389489,7.408927,3.954673,-3.284379,0.449386
0.020000,11.342094,10.694916,5.539223,7.486674,3.887372,-3.365040,0.450611
0.020000,11.477743,10.760597,5.689936,7.535683,2.450421,-71.847548,0.451131
0.020000,11.612954,10.826094,5.840175,7.511946,-1.186850,-181.863563,0.450928
0.020000,11.746487,10.890685,5.988510,7.416717,-4.761446,-178.729771,0.450013
0.020000,11.877735,10.953967,6.134218,7.285397,-6.565999,-90.227673,0.448412
0.020000,12.006582,11.015785,6.277127,7.145460,-6.996834,-21.541742,0.446154
0.020000,12.133085,11.076079,6.417264,7.006843,-6.930852,3.299083,0.443268
0.020000,12.257297,11.134795,6.554654,6.869517,-6.866280,3.228594,0.439782
0.020000,12.379264,11.191888,6.689323,6.733441,-6.803822,3.122919,0.435723
0.020000,12.499030,11.247320,6.821295,6.598592,-6.742462,3.067998,0.431115
0.020000,12.616634,11.301056,6.950594,6.464948,-6.682175,3.014339,0.425987
0.020000,12.732109,11.353072,7.077244,6.332498,-6.622516,2.982938,0.420362
0.020000,12.845488,11.403345,7.201268,6.201219,-6.563929,2.929377,0.414266
0.020000,12.956796,11.451861,7.322690,6.071112,-6.505387,2.927112,0.407724
0.020000,13.066059,11.498610,7.441534,5.942170,-6.447091,2.914757,0.400761
0.020000,13.173296,11.543587,7.557821,5.814388,-6.389063,2.901444,0.393402
0.020000,13.278528,11.586791,7.671577,5.687773,-6.330757,2.915292,0.385671
0.020000,13.381769,11.628228,7.782823,5.562320,-6.272668,2.904433,0.377594
0.020000,13.483034,11.667905,7.891584,5.438043,-6.213850,2.940892,0.369196
0.020000,13.582335,11.705838,7.997883,5.314934,-6.155437,2.920654,0.360502
0.020000,13.679680,11.742041,8.101743,5.193006,-6.096401,2.951796,0.351536
0.020000,13.775080,11.776538,8.203188,5.072253,-6.037683,2.935925,0.342325
0.020000,13.868541,11.809351,8.302242,4.952688,-5.978218,2.973260,0.332893
0.020000,13.960069,11.840509,8.398928,4.834303,-5.919277,2.947017,0.323265
0.020000,14.049669,11.870042,8.493270,4.717099,-5.860157,2.956030,0.313468
0.020000,14.137346,11.897985,8.585291,4.601074,-5.801277,2.943993,0.303526
0.020000,14.223101,11.924374,8.675016,4.486219,-5.742763,2.925697,0.293465
0.020000,14.306940,11.949248,8.762466,4.372523,-5.684784,2.898928,0.283308
