dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.889064,16.300000,0.000545,0.054494,2.724711,136.235564,0.001094
0.020000,5.889064,16.300000,0.002725,0.163483,5.449423,136.235564,0.000819
0.020000,5.889064,16.300000,0.007084,0.272471,5.449423,-0.000000,0.000271
0.020000,5.893450,16.299999,0.013624,0.381460,5.449423,0.000000,6.282634
0.020000,5.902169,16.299989,0.022343,0.490448,5.449423,-0.000000,6.281539
0.020000,5.913068,16.299964,0.033241,0.599436,5.449423,0.000000,6.280172
0.020000,5.926146,16.299914,0.046320,0.708425,5.449423,-0.000000,6.278535
0.020000,5.941405,16.299828,0.061578,0.817413,5.449423,0.000000,6.276628
0.020000,5.958842,16.299695,0.079017,0.926402,5.449423,0.000000,6.274455
0.020000,5.978459,16.299500,0.098635,1.035390,5.449423,-0.000000,6.272016
0.020000,6.000255,16.299227,0.120432,1.144379,5.449423,0.000000,6.269315
0.020000,6.024230,16.298859,0.144410,1.253367,5.449423,-0.000000,6.266354
0.020000,6.050383,16.298376,0.170567,1.362356,5.449423,0.000000,6.263137
0.020000,6.078713,16.297759,0.198904,1.471344,5.449423,-0.000000,6.259667
0.020000,6.109220,16.296985,0.229421,1.580333,5.449423,0.000000,6.255947
0.020000,6.141902,16.296029,0.262117,1.689321,5.449423,0.000000,6.251982
0.020000,6.176759,16.294868,0.296994,1.798309,5.449423,-0.000000,6.247778
0.020000,6.213789,16.293474,0.334050,1.907298,5.449423,0.000000,6.243338
0.020000,6.252990,16.291819,0.373285,2.016286,5.449423,0.000000,6.238669
0.020000,6.294360,16.289875,0.414701,2.125275,5.449423,-0.000000,6.233776
0.020000,6.337896,16.287610,0.458296,2.234263,5.449423,0.000000,6.228666
0.020000,6.383596,16.284994,0.504072,2.343252,5.449423,0.000000,6.223347
0.020000,6.431457,16.281994,0.552027,2.452240,5.449423,-0.000000,6.217826
0.020000,6.481475,16.278576,0.602161,2.561229,5.449423,0.000000,6.212110
0.020000,6.533647,16.274707,0.654476,2.670217,5.449423,0.000000,6.206209
0.020000,6.587966,16.270351,0.708970,2.779206,5.449423,-0.000000,6.200132
0.020000,6.644430,16.265473,0.765644,2.888194,5.449423,0.000000,6.193889
0.020000,6.703032,16.260036,0.824498,2.997182,5.449423,0.000000,6.187491
0.020000,6.763767,16.254006,0.885531,3.106171,5.449423,-0.000000,6.180947
0.020000,6.826628,16.247344,0.948744,3.215159,5.449423,0.000000,6.174271
0.020000,6.891609,16.240014,1.014138,3.324148,5.449423,0.000000,6.167474
0.020000,6.958702,16.231980,1.081710,3.433136,5.449423,-0.000000,6.160569
0.020000,7.027900,16.223206,1.151463,3.542125,5.449423,0.000000,6.153569
0.020000,7.099196,16.213655,1.223395,3.651113,5.449423,0.000000,6.146489
0.020000,7.172580,16.203292,1.297508,3.760102,5.449423,0.000000,6.139344
0.020000,7.248043,16.192084,1.373799,3.869090,5.449423,-0.000000,6.132147
0.020000,7.325578,16.179995,1.452271,3.978078,5.449423,0.000000,6.124916
0.020000,7.405175,16.166994,1.532923,4.087067,5.449423,0.000000,6.117666
0.020000,7.486823,16.153048,1.615754,4.196055,5.449423,-0.000000,6.110413
0.020000,7.570515,16.138130,1.700765,4.305044,5.449423,0.000000,6.103176
0.020000,7.656240,16.122209,1.787956,4.414032,5.449423,0.000000,6.095971
0.020000,7.743988,16.105259,1.877326,4.523021,5.449423,0.000000,6.088817
0.020000,7.833750,16.087257,1.968876,4.632009,5.449423,0.000000,6.081732
0.020000,7.925518,16.068179,2.062606,4.740998,5.449423,-0.000000,6.074734
0.020000,8.019282,16.048005,2.158516,4.849986,5.449423,0.000000,6.067843
0.020000,8.115034,16.026719,2.256606,4.958975,5.449423,0.000000,6.061078
0.020000,8.212766,16.004305,2.356875,5.067963,5.449423,0.000000,6.054459
0.020000,8.312471,15.980752,2.459324,5.176951,5.449423,0.000000,6.048006
0.020000,8.414142,15.956050,2.563953,5.285940,5.449423,0.000000,6.041737
0.020000,8.517774,15.930194,2.670762,5.394928,5.449423,-0.000000,6.035675
0.020000,8.623361,15.903182,2.779750,5.503917,5.449423,0.000000,6.029840
0.020000,8.730902,15.875014,2.890919,5.612905,5.449423,0.000000,6.024251
0.020000,8.840392,15.845696,3.004267,5.721894,5.449423,0.000000,6.018931
0.020000,8.951833,15.815238,3.119794,5.830882,5.449423,0.000000,6.013901
0.020000,9.065223,15.783651,3.237502,5.939871,5.449423,0.000000,6.009181
0.020000,9.180565,15.750954,3.357389,6.048859,5.449423,-0.000000,6.004793
0.020000,9.297863,15.717168,3.479456,6.157848,5.449423,0.000000,6.000760
0.020000,9.417123,15.682319,3.603703,6.266836,5.449423,0.000000,5.997103
0.020000,9.538351,15.646440,3.730130,6.375824,5.449423,0.000000,5.993846
0.020000,9.661558,15.609567,3.858736,6.484813,5.449423,0.000000,5.991010
0.020000,9.786755,15.571741,3.989522,6.593801,5.449423,0.000000,5.988620
0.020000,9.913955,15.533010,4.122488,6.702790,5.449423,0.000000,5.986698
0.020000,10.043174,15.493427,4.257634,6.811778,5.449423,-0.000000,5.985270
0.020000,10.174430,15.453053,4.394959,6.920767,5.449423,0.000000,5.984360
0.020000,10.307222,15.412113,4.533920,6.975261,2.724711,-136.235564,5.983994
0.020000,10.440139,15.371122,4.673013,6.934107,-2.057713,-239.121213,5.984186
0.020000,10.571767,15.330595,4.810739,6.838458,-4.782424,-136.235564,5.984928
0.020000,10.701480,15.290802,4.946418,6.729470,-5.449423,-33.349916,5.986194
0.020000,10.829167,15.251841,5.079918,6.620481,-5.449423,0.000000,5.987961
0.020000,10.954847,15.213769,5.211237,6.511493,-5.449423,0.000000,5.990202
0.020000,11.078533,15.176633,5.340377,6.402504,-5.449423,-0.000000,5.992896
0.020000,11.200236,15.140479,5.467338,6.293516,-5.449423,0.000000,5.996017
0.020000,11.319967,15.105343,5.592118,6.184527,-5.449423,0.000000,5.999544
0.020000,11.437735,15.071258,5.714719,6.075539,-5.449423,0.000000,6.003453
0.020000,11.553544,15.038253,5.835140,5.966551,-5.449423,0.000000,6.007722
0.020000,11.667400,15.006351,5.953381,5.857562,-5.449423,0.000000,6.012330
0.020000,11.779305,14.975570,6.069442,5.748574,-5.449423,0.000000,6.017254
0.020000,11.889260,14.945924,6.183324,5.639585,-5.449423,-0.000000,6.022474
0.020000,11.997265,14.917424,6.295025,5.530597,-5.449423,0.000000,6.027967
0.020000,12.103318,14.890076,6.404548,5.421608,-5.449423,0.000000,6.033713
0.020000,12.207415,14.863882,6.511890,5.312620,-5.449423,0.000000,6.039692
0.020000,12.309552,14.838842,6.617052,5.203631,-5.449423,0.000000,6.045881
0.020000,12.409725,14.814949,6.720035,5.094643,-5.449423,0.000000,6.052263
0.020000,12.507926,14.792197,6.820838,4.985654,-5.449423,-0.000000,6.058815
0.020000,12.604150,14.770574,6.919461,4.876666,-5.449423,0.000000,6.065518
0.020000,12.698387,14.750067,7.015905,4.767678,-5.449423,0.000000,6.072353
0.020000,12.790631,14.730658,7.110168,4.658689,-5.449423,0.000000,6.079300
0.020000,12.880872,14.712329,7.202252,4.549701,-5.449423,0.000000,6.086340
0.020000,12.969102,14.695058,7.292156,4.440712,-5.449423,0.000000,6.093454
0.020000,13.055310,14.678821,7.379881,4.331724,-5.449423,-0.000000,6.100624
0.020000,13.139488,14.663592,7.465425,4.222735,-5.449423,0.000000,6.107831
0.020000,13.221626,14.649344,7.548790,4.113747,-5.449423,0.000000,6.115059
0.020000,13.301715,14.636047,7.629975,4.004758,-5.449423,0.000000,6.122289
0.020000,13.379744,14.623670,7.708980,3.895770,-5.449423,0.000000,6.129506
0.020000,13.455706,14.612182,7.785806,3.786782,-5.449423,-0.000000,6.136692
0.020000,13.529590,14.601549,7.860452,3.677793,-5.449423,0.000000,6.143832
0.020000,13.601388,14.591736,7.932918,3.568805,-5.449423,0.000000,6.150910
0.020000,13.671092,14.582709,8.003204,3.459816,-5.449423,-0.000000,6.157913
0.020000,13.738694,14.574433,8.071310,3.350828,-5.449423,0.000000,6.164825
0.020000,13.804185,14.566870,8.137237,3.241839,-5.449423,0.000000,6.171633
0.020000,13.867559,14.559985,8.200984,3.132851,-5.449423,0.000000,6.178325
0.020000,13.928809,14.553742,8.262551,3.023862,-5.449423,-0.000000,6.184887
0.020000,13.987928,14.548103,8.321938,2.914874,-5.449423,0.000000,6.191308
0.020000,14.044910,14.543032,8.379146,2.805885,-5.449423,0.000000,6.197577
0.020000,14.099750,14.538494,8.434174,2.696897,-5.449423,-0.000000,6.203683
0.020000,14.152444,14.534453,8.487022,2.587909,-5.449423,0.000000,6.209616
0.020000,14.202985,14.530874,8.537690,2.478920,-5.449423,0.000000,6.215366
0.020000,14.251371,14.527722,8.586179,2.369932,-5.449423,-0.000000,6.220925
0.020000,14.297598,14.524965,8.632487,2.260943,-5.449423,0.000000,6.226285
0.020000,14.341661,14.522568,8.676616,2.151955,-5.449423,0.000000,6.231437
0.020000,14.383560,14.520502,8.718566,2.042966,-5.449423,-0.000000,6.236375
0.020000,14.423290,14.518734,8.758335,1.933978,-5.449423,0.000000,6.241091
0.020000,14.460849,14.517237,8.795925,1.824989,-5.449423,0.000000,6.245580
0.020000,14.496237,14.515981,8.831335,1.716001,-5.449423,-0.000000,6.249836
0.020000,14.529451,14.514939,8.864565,1.607012,-5.449423,0.000000,6.253854
0.020000,14.560489,14.514087,8.895615,1.498024,-5.449423,0.000000,6.257628
0.020000,14.589352,14.513400,8.924486,1.389036,-5.449423,-0.000000,6.261154
0.020000,14.616037,14.512856,8.951177,1.280047,-5.449423,0.000000,6.264429
0.020000,14.640545,14.512433,8.975688,1.171059,-5.449423,0.000000,6.267448
0.020000,14.662874,14.512113,8.998019,1.062070,-5.449423,-0.000000,6.270209
0.020000,14.683024,14.511876,9.018170,0.953082,-5.449423,0.000000,6.272709
0.020000,14.700995,14.511708,9.036142,0.844093,-5.449423,0.000000,6.274944
0.020000,14.716786,14.511594,9.051934,0.735105,-5.449423,0.000000,6.276913
0.020000,14.730398,14.511520,9.065546,0.626116,-5.449423,-0.000000,6.278615
0.020000,14.741831,14.511476,9.076979,0.517128,-5.449423,0.000000,6.280046
0.020000,14.751083,14.511452,9.086232,0.408140,-5.449423,0.000000,6.281206
0.020000,14.758156,14.511441,9.093304,0.299151,-5.449423,-0.000000,6.282094
0.020000,14.763049,14.511437,9.098198,0.190163,-5.449423,0.000000,6.282709
0.020000,14.765763,14.511436,9.100911,0.081174,-5.449423,0.000000,6.283050
0.020000,14.766708,14.511436,9.101856,0.013340,-3.391710,102.885649,6.283169
0.020000,14.766841,14.511436,9.101989,0.000000,-0.666998,136.235564,0.000000
0.020000,14.766841,14.511436,9.101989,0.000000,0.000000,33.349916,0.000000
