dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.987649,17.810625,0.000549,0.054863,2.743134,137.156680,6.280953
0.020000,5.987279,17.810625,0.000919,0.018523,-1.816989,-228.006115,6.281349
0.020000,5.986538,17.810626,0.001660,0.037048,0.926257,137.162275,6.282142
0.020000,5.986230,17.810627,0.001968,0.015381,-1.083342,-100.479958,0.000145
0.020000,5.993526,17.810634,0.009264,0.364794,17.470653,927.699768,0.001731
0.020000,6.002643,17.810659,0.018381,0.455864,4.553502,-645.857564,0.003716
0.020000,6.013581,17.810712,0.029318,0.546882,4.550909,-0.129612,0.006100
0.020000,6.026337,17.810808,0.042075,0.637823,4.547045,-0.193216,0.008886
0.020000,6.040911,17.810961,0.056650,0.728728,4.545226,-0.090967,0.012074
0.020000,6.057300,17.811188,0.073040,0.819543,4.540733,-0.224624,0.015668
0.020000,6.075502,17.811510,0.091245,0.910237,4.534730,-0.300180,0.019669
0.020000,6.095514,17.811947,0.111261,1.000818,4.529036,-0.284688,0.024078
0.020000,6.117332,17.812525,0.133088,1.091328,4.525531,-0.175249,0.028899
0.020000,6.140955,17.813270,0.156722,1.181716,4.519397,-0.306714,0.034134
0.020000,6.166377,17.814210,0.182162,1.271957,4.512044,-0.367652,0.039784
0.020000,6.193597,17.815376,0.209407,1.362251,4.514701,0.132874,0.045852
0.020000,6.222608,17.816802,0.238453,1.452308,4.502848,-0.592653,0.052339
0.020000,6.253407,17.818522,0.269299,1.542326,4.500883,-0.098245,0.059248
0.020000,6.285988,17.820574,0.301945,1.632289,4.498128,-0.137761,0.066580
0.020000,6.320346,17.822999,0.336388,1.722166,4.493874,-0.212694,0.074336
0.020000,6.356476,17.825838,0.372630,1.812108,4.497101,0.161349,0.082516
0.020000,6.394372,17.829137,0.410669,1.901935,4.491341,-0.288003,0.091120
0.020000,6.434028,17.832941,0.450507,1.991887,4.497610,0.313464,0.100148
0.020000,6.475437,17.837299,0.492145,2.081897,4.500513,0.145149,0.109598
0.020000,6.518593,17.842264,0.535586,2.172040,4.507121,0.330377,0.119467
0.020000,6.563488,17.847887,0.580831,2.262272,4.511613,0.224597,0.129753
0.020000,6.610115,17.854225,0.627887,2.352796,4.526213,0.729996,0.140449
0.020000,6.658466,17.861335,0.676758,2.443553,4.537829,0.580823,0.151551
0.020000,6.708534,17.869277,0.727452,2.534687,4.556715,0.944282,0.163051
0.020000,6.760310,17.878111,0.779976,2.626230,4.577134,1.020982,0.174939
0.020000,6.813786,17.887901,0.834341,2.718250,4.600988,1.192675,0.187206
0.020000,6.868955,17.898713,0.890560,2.810917,4.633394,1.620319,0.199838
0.020000,6.925807,17.910613,0.948644,2.904201,4.664166,1.538589,0.212822
0.020000,6.984333,17.923670,1.008609,2.998251,4.702495,1.916439,0.226141
0.020000,7.044525,17.937952,1.070472,3.093152,4.745086,2.129548,0.239776
0.020000,7.106374,17.953531,1.134253,3.189056,4.795168,2.504110,0.253708
0.020000,7.169871,17.970478,1.199972,3.285947,4.844570,2.470078,0.267914
0.020000,7.235006,17.988867,1.267653,3.384054,4.905332,3.038097,0.282369
0.020000,7.301770,18.008770,1.337320,3.483374,4.966026,3.034714,0.297046
0.020000,7.370153,18.030261,1.409002,3.584066,5.034587,3.428071,0.311916
0.020000,7.440147,18.053414,1.482725,3.686169,5.105163,3.528795,0.326949
0.020000,7.511740,18.078302,1.558521,3.789802,5.181622,3.822943,0.342113
0.020000,7.584924,18.104997,1.636422,3.895028,5.261314,3.984620,0.357373
0.020000,7.659688,18.133571,1.716460,4.001927,5.344940,4.181295,0.372693
0.020000,7.736022,18.164096,1.798671,4.110546,5.430957,4.300855,0.388037
0.020000,7.813917,18.196638,1.883090,4.220934,5.519399,4.422091,0.403366
0.020000,7.893361,18.231266,1.969753,4.333142,5.610402,4.550140,0.418643
0.020000,7.974345,18.268042,2.058696,4.447175,5.701650,4.562396,0.433827
0.020000,8.056859,18.307029,2.149957,4.563058,5.794126,4.623804,0.448880
0.020000,8.140894,18.348285,2.243573,4.680790,5.886626,4.625007,0.463762
0.020000,8.226441,18.391864,2.339580,4.800360,5.978501,4.593759,0.478432
0.020000,8.313492,18.437815,2.438015,4.921751,6.069546,4.552214,0.492854
0.020000,8.402040,18.486187,2.538914,5.044927,6.158812,4.463331,0.506987
0.020000,8.492080,18.537019,2.642311,5.169860,6.246642,4.391468,0.520796
0.020000,8.583606,18.590348,2.748241,5.296501,6.332026,4.269232,0.534242
0.020000,8.676618,18.646207,2.856737,5.424804,6.415187,4.158036,0.547292
0.020000,8.771115,18.704621,2.967831,5.554695,6.494530,3.967135,0.559909
0.020000,8.867101,18.765611,3.081554,5.686166,6.573542,3.950620,0.572062
0.020000,8.964580,18.829192,3.197937,5.819124,6.647903,3.718042,0.583718
0.020000,9.063564,18.895374,3.317007,5.953526,6.720125,3.611113,0.594846
0.020000,9.164065,18.964160,3.438794,6.089331,6.790216,3.504555,0.605416
0.020000,9.266102,19.035547,3.563324,6.226495,6.858238,3.401063,0.615400
0.020000,9.369697,19.109529,3.690624,6.364999,6.925158,3.346042,0.624768
0.020000,9.474879,19.186090,3.820719,6.504767,6.988429,3.163515,0.633493
0.020000,9.581682,19.265210,3.953636,6.645836,7.053445,3.250824,0.641548
0.020000,9.690146,19.346863,4.089399,6.788167,7.116541,3.154790,0.648906
0.020000,9.800318,19.431017,4.228035,6.931769,7.180121,3.178981,0.655539
0.020000,9.912254,19.517631,4.369568,7.076663,7.244699,3.228920,0.661419
0.020000,10.026015,19.606661,4.514025,7.222857,7.309694,3.249764,0.666520
0.020000,10.141672,19.698054,4.661434,7.370427,7.378477,3.439156,0.670811
0.020000,10.259305,19.791751,4.811822,7.519398,7.448543,3.503296,0.674263
0.020000,10.379002,19.887684,4.965219,7.669853,7.522772,3.711427,0.676844
0.020000,10.500864,19.985778,5.121656,7.821876,7.601168,3.919812,0.678520
0.020000,10.624999,20.085950,5.281168,7.975570,7.684676,4.175406,0.679255
0.020000,10.751529,20.188106,5.443789,8.131046,7.773813,4.456852,0.679012
0.020000,10.880586,20.292142,5.609557,8.288437,7.869529,4.785775,0.677749
0.020000,11.012315,20.397944,5.778515,8.447887,7.972490,5.148069,0.675423
0.020000,11.146876,20.505383,5.950706,8.609552,8.083260,5.538516,0.671985
0.020000,11.284439,20.614318,6.126178,8.773610,8.202910,5.982467,0.667386
0.020000,11.425191,20.724591,6.304983,8.940235,8.331240,6.416503,0.661569
0.020000,11.569331,20.836026,6.487175,9.109616,8.469072,6.891618,0.654476
0.020000,11.717074,20.948425,6.672814,9.281940,8.616212,7.356970,0.646043
0.020000,11.868650,21.061570,6.861962,9.457397,8.772834,7.831097,0.636205
0.020000,12.024301,21.175213,7.054685,9.636146,8.937463,8.231486,0.624889
0.020000,12.184284,21.289081,7.251052,9.818363,9.110826,8.668123,0.612023
0.020000,12.348864,21.402862,7.451134,10.004111,9.287428,8.830093,0.597530
0.020000,12.518318,21.516211,7.655004,10.193475,9.468171,9.037153,0.581333
0.020000,12.692928,21.628739,7.862732,10.386407,9.646597,8.921306,0.563356
0.020000,12.872973,21.740011,8.074387,10.582755,9.817404,8.540370,0.543524
0.020000,13.058203,21.849241,8.289425,10.751881,8.456295,-68.055456,0.521835
0.020000,13.247559,21.955221,8.506422,10.849844,4.898147,-177.907423,0.498408
0.020000,13.439851,22.056811,8.723900,10.873896,1.202635,-184.775560,0.473423
0.020000,13.634176,22.153176,8.940806,10.845337,-1.427973,-131.530396,0.447060
0.020000,13.830086,22.243824,9.156671,10.793237,-2.604995,-58.851117,0.419463
0.020000,14.027409,22.328466,9.371382,10.735548,-2.884468,-13.973654,0.390752
0.020000,14.225930,22.406838,9.584812,10.671504,-3.202163,-15.884729,0.361064
0.020000,14.425382,22.478715,9.796821,10.600429,-3.553790,-17.581388,0.330549
0.020000,14.625461,22.543917,10.007256,10.521769,-3.932971,-18.959028,0.299369
0.020000,14.825826,22.602312,10.215957,10.435034,-4.336736,-20.188232,0.267697
0.020000,15.026108,22.653826,10.422757,10.340021,-4.750683,-20.697395,0.235710
0.020000,15.225920,22.698440,10.627489,10.236609,-5.170587,-20.995172,0.203588
0.020000,15.424870,22.736201,10.829992,10.125119,-5.574502,-20.195750,0.171504
0.020000,15.622567,22.767208,11.030106,10.005694,-5.971256,-19.837723,0.139628
0.020000,15.818632,22.791619,11.227684,9.878943,-6.337558,-18.315083,0.108115
0.020000,16.012711,22.809643,11.422599,9.745712,-6.661535,-16.198863,0.077108
0.020000,16.204473,22.821528,11.614728,9.606487,-6.961266,-14.986528,0.046731
0.020000,16.393622,22.827561,11.803973,9.462228,-7.212936,-12.583530,0.017091
0.020000,16.558472,22.828643,11.968827,8.242716,-60.975597,-2688.133044,0.005107
0.020000,16.705211,22.830253,12.115575,7.337382,-45.266699,785.444904,0.016233
0.020000,16.852876,22.833264,12.263271,7.384794,2.370588,2381.864358,0.023998
0.020000,17.001201,22.837209,12.411648,7.418875,1.704050,-33.326917,0.028687
0.020000,17.149994,22.841649,12.560507,7.442926,1.202565,-25.074239,0.030515
0.020000,17.299120,22.846168,12.709702,7.459760,0.841690,-18.043757,0.029636
0.020000,17.448497,22.850368,12.859137,7.471766,0.600300,-12.069477,0.026153
0.020000,17.598077,22.853861,13.008758,7.481040,0.463703,-6.829878,0.020124
0.020000,17.747846,22.856266,13.158547,7.489436,0.419822,-2.194050,0.011568
0.020000,17.897816,22.857200,13.308520,7.498645,0.460433,2.030595,0.000468
0.020000,18.048017,22.856275,13.458724,7.510195,0.577514,5.854032,6.269959
0.020000,18.198494,22.853086,13.609234,7.525530,0.766739,9.461238,6.253588
0.020000,18.349298,22.847211,13.760153,7.545941,1.020541,12.690090,6.234434
0.020000,18.500481,22.838198,13.911604,7.572568,1.331372,15.541561,6.212362
0.020000,18.652083,22.825564,14.063731,7.606350,1.689085,17.885650,6.187219
0.020000,18.804119,22.808789,14.216691,7.647954,2.080179,19.554707,6.158838
0.020000,18.956566,22.787310,14.370643,7.697631,2.483872,20.184636,6.127046
0.020000,19.109335,22.760529,14.525742,7.754917,2.864321,19.022449,6.091680
0.020000,19.262248,22.727816,14.682114,7.818641,3.186169,16.092423,6.052601
0.020000,19.415006,22.688527,14.839844,7.886470,3.391432,10.263123,6.009723
0.020000,19.567156,22.642041,14.998937,7.954676,3.410347,0.945769,5.963035
0.020000,19.718065,22.587795,15.159300,8.018122,3.172254,-11.904640,5.912641
0.020000,19.866901,22.525355,15.320703,8.070157,2.601793,-28.523063,5.858784
0.020000,20.012642,22.454479,15.482764,8.103066,1.645414,-47.818953,5.801874
0.020000,20.154113,22.375194,15.644937,8.108635,0.278466,-68.347391,5.742495
0.020000,20.290059,22.287846,15.806526,8.079459,-1.458790,-86.862787,5.681392
0.020000,20.419250,22.193118,15.966725,8.009966,-3.474679,-100.794487,5.619427
0.020000,20.540599,22.092009,16.124677,7.897571,-5.619726,-107.252354,5.557520
0.020000,20.653261,21.985753,16.279541,7.743207,-7.718182,-104.922766,5.496569
0.020000,20.756705,21.875721,16.430563,7.551105,-9.605125,-94.347150,5.437383
0.020000,20.850734,21.763300,16.577124,7.328040,-11.153268,-77.407137,5.380624
0.020000,20.935458,21.649795,16.718762,7.081913,-12.306315,-57.652363,5.326784
0.020000,21.011243,21.536358,16.855186,6.821197,-13.035811,-36.474830,5.276177
0.020000,21.078633,21.423947,16.986249,6.553148,-13.402453,-18.332075,5.228959
0.020000,21.138284,21.313327,17.111927,6.283924,-13.461181,-2.936395,5.185156
0.020000,21.190899,21.205073,17.232291,6.018167,-13.287848,8.666630,5.144692
0.020000,21.237185,21.099603,17.347470,5.758957,-12.960534,16.365715,5.107428
0.020000,21.277823,20.997204,17.457639,5.508436,-12.526054,21.723983,5.073176
0.020000,21.313448,20.898059,17.562990,5.267557,-12.043948,24.105325,5.041730
0.020000,21.344640,20.802274,17.663725,5.036756,-11.540013,25.196713,5.012876
0.020000,21.371920,20.709901,17.760042,4.815845,-11.045586,24.721385,4.986401
0.020000,21.395752,20.620953,17.852128,4.604299,-10.577300,23.414280,4.962103
0.020000,21.416549,20.535407,17.940165,4.401874,-10.121234,22.803308,4.939790
0.020000,21.434673,20.453230,18.024317,4.207589,-9.714247,20.349345,4.919286
0.020000,21.450445,20.374377,18.104732,4.020738,-9.342578,18.583476,4.900431
0.020000,21.464146,20.298792,18.181548,3.840830,-8.995401,17.358816,4.883079
0.020000,21.476022,20.226422,18.254887,3.666909,-8.696008,14.969669,4.867100
0.020000,21.486292,20.157211,18.324855,3.498443,-8.423320,13.634383,4.852376
0.020000,21.495148,20.091099,18.391558,3.335137,-8.165310,12.900493,4.838800
0.020000,21.502759,20.028035,18.455080,3.176086,-7.952563,10.637356,4.826278
0.020000,21.509277,19.967965,18.515502,3.021092,-7.749691,10.143622,4.814726
0.020000,21.514834,19.910845,18.572892,2.869506,-7.579286,8.520237,4.804068
0.020000,21.519549,19.856628,18.627314,2.721097,-7.420470,7.940825,4.794238
0.020000,21.523527,19.805270,18.678825,2.575551,-7.277279,7.159509,4.785174
0.020000,21.526861,19.756736,18.727474,2.432469,-7.154115,6.158229,4.776824
0.020000,21.529636,19.710986,18.773308,2.291678,-7.039533,5.729093,4.769139
0.020000,21.531926,19.667991,18.816363,2.152782,-6.944786,4.737348,4.762077
0.020000,21.533797,19.627719,18.856679,2.015776,-6.850300,4.724313,4.755599
0.020000,21.535310,19.590143,18.894286,1.880334,-6.772103,3.909839,4.749671
0.020000,21.536517,19.555238,18.929212,1.746317,-6.700877,3.561284,4.744263
0.020000,21.537466,19.522980,18.961484,1.613591,-6.636284,3.229672,4.739348
0.020000,21.538199,19.493352,18.991120,1.481818,-6.588669,2.380720,4.734903
0.020000,21.538753,19.466335,19.018143,1.351132,-6.534284,2.719267,4.730905
0.020000,21.539162,19.441909,19.042573,1.221489,-6.482125,2.607977,4.727336
0.020000,21.539454,19.420062,19.064421,1.092448,-6.452080,1.502222,4.724180
0.020000,21.539655,19.400784,19.083701,0.963967,-6.424047,1.401667,4.721423
0.020000,21.539786,19.384061,19.100425,0.836187,-6.388992,1.752760,4.719053
0.020000,21.539866,19.369881,19.114604,0.708995,-6.359618,1.468671,4.717057
0.020000,21.539911,19.358239,19.126246,0.582097,-6.344862,0.737800,4.715430
0.020000,21.539933,19.349131,19.135355,0.455424,-6.333654,0.560415,4.714162
0.020000,21.539942,19.342548,19.141937,0.329118,-6.315333,0.916043,4.713250
0.020000,21.539944,19.338487,19.145999,0.203067,-6.302532,0.640058,4.712689
0.020000,21.539945,19.336700,19.147785,0.089319,-5.687426,30.755275,4.712442
0.020000,21.539945,19.336315,19.148170,0.019268,-3.502533,109.244671,4.712389
0.020000,21.539945,19.336315,19.148170,0.000000,-0.963396,126.956829,4.712389
