dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.985562,16.875627,0.000549,0.054863,2.743134,137.156680,6.280953
0.020000,5.985562,16.875627,0.002743,0.164588,5.486267,137.156680,6.281349
0.020000,5.985562,16.875627,0.007132,0.274313,5.486267,0.000000,6.282142
0.020000,5.986366,16.875627,0.013716,0.384039,5.486267,-0.000000,0.000145
0.020000,5.995145,16.875635,0.022494,0.493764,5.486267,0.000000,0.001731
0.020000,6.006118,16.875665,0.033466,0.603489,5.486267,0.000000,0.003716
0.020000,6.019285,16.875730,0.046633,0.713215,5.486267,-0.000000,0.006100
0.020000,6.034645,16.875845,0.061995,0.822940,5.486267,0.000000,0.008886
0.020000,6.052200,16.876029,0.079551,0.932665,5.486267,-0.000000,0.012074
0.020000,6.071949,16.876303,0.099301,1.042391,5.486267,0.000000,0.015668
0.020000,6.093891,16.876691,0.121247,1.152116,5.486267,0.000000,0.019669
0.020000,6.118025,16.877218,0.145386,1.261841,5.486267,0.000000,0.024078
0.020000,6.144350,16.877916,0.171720,1.371567,5.486267,-0.000000,0.028899
0.020000,6.172864,16.878815,0.200249,1.481292,5.486267,0.000000,0.034134
0.020000,6.203565,16.879950,0.230972,1.591017,5.486267,0.000000,0.039784
0.020000,6.236453,16.881359,0.263889,1.700743,5.486267,0.000000,0.045852
0.020000,6.271523,16.883082,0.299002,1.810468,5.486267,-0.000000,0.052339
0.020000,6.308771,16.885162,0.336308,1.920194,5.486267,0.000000,0.059248
0.020000,6.348194,16.887646,0.375809,2.029919,5.486267,0.000000,0.066580
0.020000,6.389786,16.890581,0.417505,2.139644,5.486267,-0.000000,0.074336
0.020000,6.433541,16.894020,0.461395,2.249370,5.486267,0.000000,0.082516
0.020000,6.479451,16.898016,0.507480,2.359095,5.486267,0.000000,0.091120
0.020000,6.527509,16.902626,0.555759,2.468820,5.486267,0.000000,0.100148
0.020000,6.577706,16.907909,0.606233,2.578546,5.486267,0.000000,0.109598
0.020000,6.630029,16.913928,0.658901,2.688271,5.486267,0.000000,0.119467
0.020000,6.684466,16.920747,0.713763,2.797996,5.486267,0.000000,0.129753
0.020000,6.741003,16.928432,0.770821,2.907722,5.486267,0.000000,0.140449
0.020000,6.799624,16.937052,0.830072,3.017447,5.486267,-0.000000,0.151551
0.020000,6.860311,16.946678,0.891518,3.127172,5.486267,0.000000,0.163051
0.020000,6.923045,16.957382,0.955159,3.236898,5.486267,-0.000000,0.174939
0.020000,6.987803,16.969238,1.020994,3.346623,5.486267,0.000000,0.187206
0.020000,7.054562,16.982321,1.089024,3.456348,5.486267,-0.000000,0.199838
0.020000,7.123297,16.996708,1.159248,3.566074,5.486267,0.000000,0.212822
0.020000,7.193977,17.012476,1.231667,3.675799,5.486267,0.000000,0.226141
0.020000,7.266574,17.029701,1.306280,3.785524,5.486267,0.000000,0.239776
0.020000,7.341055,17.048462,1.383088,3.895250,5.486267,-0.000000,0.253708
0.020000,7.417384,17.068834,1.462090,4.004975,5.486267,0.000000,0.267914
0.020000,7.495526,17.090895,1.543287,4.114700,5.486267,0.000000,0.282369
0.020000,7.575441,17.114718,1.626678,4.224426,5.486267,0.000000,0.297046
0.020000,7.657089,17.140378,1.712264,4.334151,5.486267,-0.000000,0.311916
0.020000,7.740427,17.167944,1.800044,4.443876,5.486267,0.000000,0.326949
0.020000,7.825413,17.197487,1.890019,4.553602,5.486267,-0.000000,0.342113
0.020000,7.912000,17.229071,1.982188,4.663327,5.486267,0.000000,0.357373
0.020000,8.000145,17.262759,2.076552,4.773052,5.486267,0.000000,0.372693
0.020000,8.089800,17.298609,2.173110,4.882778,5.486267,0.000000,0.388037
0.020000,8.180920,17.336677,2.271863,4.992503,5.486267,0.000000,0.403366
0.020000,8.273458,17.377011,2.372811,5.102228,5.486267,0.000000,0.418643
0.020000,8.367369,17.419657,2.475952,5.211954,5.486267,-0.000000,0.433827
0.020000,8.462609,17.464657,2.581289,5.321679,5.486267,0.000000,0.448880
0.020000,8.559134,17.512043,2.688820,5.431405,5.486267,0.000000,0.463762
0.020000,8.656904,17.561848,2.798545,5.541130,5.486267,-0.000000,0.478432
0.020000,8.755880,17.614093,2.910465,5.650855,5.486267,-0.000000,0.492854
0.020000,8.856026,17.668799,3.024579,5.760581,5.486267,0.000000,0.506987
0.020000,8.957308,17.725978,3.140888,5.870306,5.486267,-0.000000,0.520796
0.020000,9.059698,17.785636,3.259391,5.980031,5.486267,0.000000,0.534242
0.020000,9.163170,17.847776,3.380089,6.089757,5.486267,-0.000000,0.547292
