dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.235000,17.261617,0.000547,0.054694,2.734693,136.734663,0.000065
0.020000,3.235000,17.261617,0.002735,0.164082,5.469387,136.734663,0.000041
0.020000,3.235693,17.261617,0.007110,0.273469,5.469387,-0.000000,6.283178
0.020000,3.242256,17.261617,0.013673,0.382857,5.469387,0.000000,6.283105
0.020000,3.251007,17.261616,0.022424,0.492245,5.469387,-0.000000,6.283009
0.020000,3.261946,17.261613,0.033363,0.601633,5.469387,0.000000,6.282889
0.020000,3.275072,17.261608,0.046490,0.711020,5.469387,-0.000000,6.282746
0.020000,3.290387,17.261600,0.061804,0.820408,5.469387,0.000000,6.282581
0.020000,3.307889,17.261588,0.079306,0.929796,5.469387,0.000000,6.282393
0.020000,3.327578,17.261571,0.098996,1.039183,5.469387,0.000000,6.282184
0.020000,3.349456,17.261546,0.120873,1.148571,5.469387,-0.000000,6.281953
0.020000,3.373521,17.261513,0.144939,1.257959,5.469387,0.000000,6.281703
0.020000,3.399774,17.261471,0.171192,1.367347,5.469387,0.000000,6.281433
0.020000,3.428215,17.261417,0.199633,1.476734,5.469387,-0.000000,6.281144
0.020000,3.458843,17.261350,0.230261,1.586122,5.469387,0.000000,6.280839
0.020000,3.491660,17.261267,0.263077,1.695510,5.469387,0.000000,6.280516
0.020000,3.526664,17.261168,0.298082,1.804898,5.469387,-0.000000,6.280178
0.020000,3.563855,17.261050,0.335273,1.914285,5.469387,0.000000,6.279826
0.020000,3.603235,17.260910,0.374653,2.023673,5.469387,-0.000000,6.279461
0.020000,3.644802,17.260748,0.416220,2.133061,5.469387,0.000000,6.279084
0.020000,3.688556,17.260560,0.459975,2.242448,5.469387,0.000000,6.278698
0.020000,3.734499,17.260344,0.505918,2.351836,5.469387,-0.000000,6.278302
0.020000,3.782629,17.260100,0.554049,2.461224,5.469387,0.000000,6.277899
0.020000,3.832946,17.259823,0.604367,2.570612,5.469387,0.000000,6.277491
0.020000,3.885451,17.259513,0.656873,2.679999,5.469387,-0.000000,6.277078
0.020000,3.940144,17.259168,0.711567,2.789387,5.469387,0.000000,6.276664
0.020000,3.997025,17.258785,0.768449,2.898775,5.469387,0.000000,6.276249
0.020000,4.056092,17.258363,0.827518,3.008163,5.469387,-0.000000,6.275836
0.020000,4.117348,17.257900,0.888775,3.117550,5.469387,0.000000,6.275426
0.020000,4.180791,17.257395,0.952220,3.226938,5.469387,0.000000,6.275022
0.020000,4.246421,17.256846,1.017853,3.336326,5.469387,-0.000000,6.274626
0.020000,4.314239,17.256252,1.085673,3.445714,5.469387,0.000000,6.274240
0.020000,4.384244,17.255613,1.155681,3.555101,5.469387,0.000000,6.273866
0.020000,4.456437,17.254927,1.227877,3.664489,5.469387,0.000000,6.273507
0.020000,4.530817,17.254194,1.302261,3.773877,5.469387,-0.000000,6.273165
0.020000,4.607384,17.253414,1.378832,3.883264,5.469387,0.000000,6.272843
0.020000,4.686139,17.252588,1.457592,3.992652,5.469387,0.000000,6.272543
0.020000,4.767081,17.251715,1.538538,4.102040,5.469387,-0.000000,6.272267
0.020000,4.850211,17.250797,1.621673,4.211428,5.469387,0.000000,6.272019
0.020000,4.935528,17.249835,1.706996,4.320815,5.469387,-0.000000,6.271802
0.020000,5.023032,17.248830,1.794506,4.430203,5.469387,0.000000,6.271618
0.020000,5.112724,17.247786,1.884204,4.539591,5.469387,0.000000,6.271470
0.020000,5.204603,17.246704,1.976089,4.648979,5.469387,-0.000000,6.271361
0.020000,5.298670,17.245588,2.070163,4.758366,5.469387,0.000000,6.271294
0.020000,5.394925,17.244442,2.166424,4.867754,5.469387,-0.000000,6.271273
0.020000,5.493367,17.243270,2.264873,4.977142,5.469387,0.000000,6.271301
0.020000,5.593996,17.242078,2.365510,5.086529,5.469387,-0.000000,6.271381
0.020000,5.696814,17.240870,2.468334,5.195917,5.469387,0.000000,6.271516
0.020000,5.801819,17.239655,2.573346,5.305305,5.469387,-0.000000,6.271710
0.020000,5.909012,17.238438,2.680546,5.414693,5.469387,0.000000,6.271966
0.020000,6.018393,17.237228,2.789934,5.524080,5.469387,0.000000,6.272288
0.020000,6.129962,17.236033,2.901510,5.633468,5.469387,-0.000000,6.272680
0.020000,6.243719,17.234864,3.015273,5.742856,5.469387,0.000000,6.273146
0.020000,6.359665,17.233731,3.131224,5.852244,5.469387,0.000000,6.273689
0.020000,6.477798,17.232645,3.249363,5.961631,5.469387,-0.000000,6.274313
0.020000,6.598121,17.231619,3.369689,6.071019,5.469387,0.000000,6.275022
0.020000,6.720631,17.230667,3.492203,6.180407,5.469387,-0.000000,6.275821
0.020000,6.845330,17.229804,3.616905,6.289794,5.469387,0.000000,6.276713
