dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,6.083239,11.007547,0.000543,0.054267,2.713344,135.667181,6.281924
0.020000,6.082986,11.007548,0.000795,0.012626,-2.082055,-239.769918,6.282194
0.020000,6.082481,11.007548,0.001300,0.025241,0.630760,135.640741,6.282734
0.020000,6.084608,11.007548,0.003426,0.106320,4.053955,171.159751,0.000358
0.020000,6.092282,11.007555,0.011101,0.383718,13.869918,490.798166,0.001436
0.020000,6.101877,11.007576,0.020695,0.479722,4.800200,-453.485934,0.002783
0.020000,6.113392,11.007617,0.032211,0.575767,4.802240,0.101993,0.004397
0.020000,6.126829,11.007689,0.045647,0.671845,4.803868,0.081411,0.006277
0.020000,6.142188,11.007802,0.061007,0.767999,4.807738,0.193528,0.008422
0.020000,6.159472,11.007968,0.078292,0.864213,4.810701,0.148147,0.010830
0.020000,6.178681,11.008202,0.097502,0.960524,4.815555,0.242681,0.013500
0.020000,6.199817,11.008518,0.118641,1.056927,4.820109,0.227706,0.016429
0.020000,6.222881,11.008934,0.141709,1.153416,4.824463,0.217712,0.019616
0.020000,6.247877,11.009467,0.166710,1.250065,4.832473,0.400500,0.023057
0.020000,6.274805,11.010138,0.193647,1.346813,4.837403,0.246495,0.026750
0.020000,6.303667,11.010967,0.222521,1.443721,4.845395,0.399600,0.030692
0.020000,6.334467,11.011977,0.253337,1.540789,4.853361,0.398313,0.034879
0.020000,6.367205,11.013192,0.286098,1.638048,4.862980,0.480923,0.039308
0.020000,6.401885,11.014637,0.320808,1.735490,4.872070,0.454481,0.043973
0.020000,6.438509,11.016339,0.357471,1.833172,4.884097,0.601352,0.048871
0.020000,6.477079,11.018324,0.396092,1.931068,4.894804,0.535368,0.053996
0.020000,6.517599,11.020623,0.436677,2.029243,4.908757,0.697661,0.059343
0.020000,6.560070,11.023265,0.479231,2.127673,4.921520,0.638152,0.064906
0.020000,6.604496,11.026282,0.523759,2.226421,4.937402,0.794080,0.070678
0.020000,6.650880,11.029705,0.570269,2.325483,4.953085,0.784179,0.076653
0.020000,6.699224,11.033568,0.618767,2.424896,4.970663,0.878889,0.082823
0.020000,6.749530,11.037906,0.669260,2.524676,4.988977,0.915706,0.089180
0.020000,6.801804,11.042752,0.721758,2.624879,5.010144,1.058337,0.095715
0.020000,6.856046,11.048144,0.776267,2.725479,5.030038,0.994683,0.102420
0.020000,6.912260,11.054117,0.832798,2.826540,5.053040,1.150121,0.109285
0.020000,6.970450,11.060709,0.891360,2.928078,5.076903,1.193137,0.116299
0.020000,7.030617,11.067957,0.951962,3.030115,5.101835,1.246587,0.123453
0.020000,7.092766,11.075899,1.014616,3.132699,5.129227,1.369602,0.130734
0.020000,7.156898,11.084574,1.079333,3.235827,5.156368,1.357091,0.138130
0.020000,7.223018,11.094019,1.146123,3.339542,5.185777,1.470446,0.145629
0.020000,7.291128,11.104273,1.215001,3.443867,5.216252,1.523747,0.153219
0.020000,7.361231,11.115376,1.285977,3.548836,5.248423,1.608519,0.160884
0.020000,7.433330,11.127363,1.359067,3.654456,5.281014,1.629566,0.168612
0.020000,7.507429,11.140275,1.434282,3.760768,5.315616,1.730086,0.176388
0.020000,7.583531,11.154147,1.511638,3.867788,5.350998,1.769098,0.184196
0.020000,7.661638,11.169017,1.591148,3.975537,5.387432,1.821710,0.192020
0.020000,7.741756,11.184920,1.672829,4.084033,5.424802,1.868513,0.199846
0.020000,7.823887,11.201892,1.756695,4.193305,5.463596,1.939699,0.207655
0.020000,7.908035,11.219965,1.842762,4.303361,5.502790,1.959692,0.215432
0.020000,7.994205,11.239172,1.931047,4.414222,5.543051,2.013056,0.223160
0.020000,8.082400,11.259545,2.021565,4.525903,5.584040,2.049445,0.230820
