dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,6.080881,9.137549,0.000543,0.054267,2.713344,135.667181,6.281924
0.020000,6.081133,9.137548,0.000795,0.012626,-2.082055,-239.769918,6.282194
0.020000,6.081638,9.137548,0.001300,0.025241,0.630760,135.640741,6.282734
0.020000,6.085278,9.137549,0.004940,0.181995,7.837711,360.347548,0.000358
0.020000,6.094968,9.137557,0.014631,0.484531,15.126801,364.454491,0.001436
0.020000,6.107081,9.137583,0.026743,0.605617,6.054278,-453.626119,0.002783
0.020000,6.121614,9.137635,0.041276,0.726658,6.052051,-0.111353,0.004397
0.020000,6.138566,9.137725,0.058228,0.847623,6.048249,-0.190137,0.006277
0.020000,6.157936,9.137868,0.077599,0.968546,6.046167,-0.104077,0.008422
0.020000,6.179723,9.138078,0.099387,1.089382,6.041773,-0.219728,0.010830
0.020000,6.203924,9.138372,0.123590,1.210152,6.038526,-0.162308,0.013500
0.020000,6.230538,9.138770,0.150207,1.330824,6.033592,-0.246705,0.016429
0.020000,6.259560,9.139293,0.179234,1.451364,6.027017,-0.328752,0.019616
0.020000,6.290990,9.139964,0.210671,1.571836,6.023564,-0.172675,0.023057
0.020000,6.324822,9.140807,0.244513,1.692129,6.014664,-0.444980,0.026750
0.020000,6.361053,9.141848,0.280759,1.812288,6.007947,-0.335877,0.030692
0.020000,6.399678,9.143115,0.319404,1.932276,5.999425,-0.426067,0.034879
0.020000,6.440691,9.144637,0.360446,2.052098,5.991100,-0.416254,0.039308
0.020000,6.484088,9.146445,0.403880,2.171701,5.980130,-0.548515,0.043973
0.020000,6.529861,9.148571,0.449703,2.291116,5.970745,-0.469248,0.048871
0.020000,6.578002,9.151050,0.497908,2.410266,5.957510,-0.661756,0.053996
0.020000,6.628505,9.153915,0.548492,2.529186,5.946022,-0.574387,0.059343
0.020000,6.681358,9.157203,0.601448,2.647799,5.930639,-0.769140,0.064906
0.020000,6.736554,9.160951,0.656770,2.766132,5.916631,-0.700436,0.070678
0.020000,6.794080,9.165196,0.714453,2.884127,5.899769,-0.843096,0.076653
0.020000,6.853925,9.169978,0.774488,3.001779,5.882566,-0.860125,0.082823
0.020000,6.916075,9.175337,0.836869,3.119049,5.863504,-0.953095,0.089180
0.020000,6.980518,9.181312,0.901588,3.235951,5.845123,-0.919039,0.095715
0.020000,7.047237,9.187944,0.968636,3.352397,5.822272,-1.142576,0.102420
0.020000,7.116217,9.195273,1.038004,3.468403,5.800308,-1.098188,0.109285
0.020000,7.187440,9.203341,1.109683,3.583931,5.776423,-1.194283,0.116299
0.020000,7.260888,9.212189,1.183662,3.698948,5.750856,-1.278302,0.123453
0.020000,7.336542,9.221857,1.259931,3.813454,5.725302,-1.277739,0.130734
0.020000,7.414381,9.232385,1.338479,3.927384,5.696465,-1.441813,0.138130
0.020000,7.494383,9.243813,1.419293,4.040733,5.667447,-1.450931,0.145629
0.020000,7.576527,9.256180,1.502363,4.153469,5.636828,-1.530934,0.153219
0.020000,7.660788,9.269525,1.587674,4.265578,5.605432,-1.569791,0.160884
0.020000,7.747143,9.283883,1.675215,4.377014,5.571806,-1.681305,0.168612
0.020000,7.835566,9.299290,1.764970,4.487773,5.537956,-1.692509,0.176388
0.020000,7.926032,9.315780,1.856927,4.597823,5.502514,-1.772096,0.184196
0.020000,8.018514,9.333387,1.951069,4.707142,5.465933,-1.829042,0.192020
0.020000,8.112985,9.352139,2.047384,4.815706,5.428212,-1.886046,0.199846
0.020000,8.209418,9.372065,2.145854,4.923508,5.390069,-1.907165,0.207655
0.020000,8.307785,9.393192,2.246464,5.030517,5.350448,-1.981037,0.215432
0.020000,8.408059,9.415543,2.349199,5.136722,5.310293,-2.007759,0.223160
0.020000,8.510211,9.439139,2.454041,5.242110,5.269362,-2.046572,0.230820
0.020000,8.614214,9.463999,2.560974,5.346664,5.227713,-2.082416,0.238395
0.020000,8.720041,9.490138,2.669981,5.450373,5.185444,-2.113475,0.245866
0.020000,8.827665,9.517569,2.781046,5.553227,5.142697,-2.137334,0.253216
0.020000,8.937059,9.546301,2.894150,5.655216,5.099466,-2.161560,0.260427
0.020000,9.048198,9.576340,3.009277,5.756329,5.055654,-2.190593,0.267478
0.020000,9.161056,9.607688,3.126408,5.856566,5.011827,-2.191342,0.274352
0.020000,9.275610,9.640346,3.245526,5.955909,4.967180,-2.232364,0.281029
0.020000,9.391837,9.674308,3.366614,6.054363,4.922694,-2.224282,0.287491
0.020000,9.509716,9.709566,3.489652,6.151916,4.877667,-2.251385,0.293718
0.020000,9.629225,9.746107,3.614623,6.248563,4.832346,-2.266014,0.299690
0.020000,9.750347,9.783916,3.741509,6.344304,4.787032,-2.265702,0.305389
0.020000,9.873065,9.822972,3.870292,6.439127,4.741122,-2.295509,0.310795
0.020000,9.997362,9.863251,4.000952,6.533025,4.694901,-2.311056,0.315887
0.020000,10.123225,9.904723,4.133472,6.625993,4.648433,-2.323382,0.320647
0.020000,10.250642,9.947356,4.267833,6.718026,4.601642,-2.339556,0.325053
0.020000,10.379604,9.991112,4.404015,6.809106,4.554003,-2.381985,0.329087
0.020000,10.510101,10.035948,4.541999,6.899229,4.506129,-2.393659,0.332726
0.020000,10.642127,10.081817,4.681767,6.988376,4.457352,-2.438848,0.335951
0.020000,10.775679,10.128667,4.823298,7.076533,4.407876,-2.473798,0.338739
0.020000,10.910753,10.176440,4.966571,7.163682,4.357436,-2.522015,0.341071
0.020000,11.047350,10.225073,5.111567,7.249802,4.305981,-2.572776,0.342923
0.020000,11.185471,10.274498,5.258265,7.334868,4.253327,-2.632704,0.344273
0.020000,11.325118,10.324641,5.406642,7.418856,4.199414,-2.695619,0.345097
0.020000,11.465743,10.375222,5.556087,7.472259,2.670132,-76.464104,0.345374
0.020000,11.605787,10.425594,5.704915,7.441390,-1.543459,-210.679546,0.345090
