dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.504445,14.449903,0.000655,0.065504,3.275207,163.760362,0.000001
0.020000,4.504446,14.449903,0.000655,0.000016,-3.274430,-327.481847,0.000000
0.020000,4.508261,14.449903,0.004470,0.190747,9.536582,640.550591,6.283185
0.020000,4.516122,14.449903,0.012332,0.393071,10.116205,28.981159,6.283184
0.020000,4.526604,14.449903,0.022814,0.524095,6.551175,-178.251496,6.283183
0.020000,4.539706,14.449903,0.035916,0.655118,6.551164,-0.000555,6.283181
0.020000,4.555429,14.449903,0.051639,0.786141,6.551150,-0.000693,6.283179
0.020000,4.573772,14.449902,0.069982,0.917164,6.551134,-0.000832,6.283177
0.020000,4.594736,14.449902,0.090946,1.048186,6.551114,-0.000970,6.283174
0.020000,4.618320,14.449902,0.114530,1.179208,6.551092,-0.001109,6.283171
0.020000,4.644525,14.449901,0.140735,1.310229,6.551067,-0.001248,6.283168
0.020000,4.673350,14.449901,0.169560,1.441250,6.551040,-0.001386,6.283165
0.020000,4.704795,14.449900,0.201005,1.572270,6.551009,-0.001525,6.283161
0.020000,4.738861,14.449899,0.235071,1.703290,6.550976,-0.001664,6.283157
0.020000,4.775547,14.449898,0.271757,1.834309,6.550940,-0.001802,6.283153
0.020000,4.814854,14.449897,0.311063,1.965327,6.550901,-0.001941,6.283149
0.020000,4.856781,14.449895,0.352990,2.096344,6.550859,-0.002080,6.283144
0.020000,4.901328,14.449893,0.397538,2.227360,6.550815,-0.002218,6.283140
0.020000,4.948495,14.449891,0.444705,2.358375,6.550768,-0.002357,6.283135
0.020000,4.998283,14.449888,0.494493,2.489390,6.550718,-0.002496,6.283130
0.020000,5.050691,14.449885,0.546901,2.620403,6.550665,-0.002634,6.283125
0.020000,5.105720,14.449882,0.601929,2.751415,6.550610,-0.002773,6.283120
0.020000,5.163368,14.449878,0.659578,2.882426,6.550551,-0.002911,6.283114
0.020000,5.223637,14.449874,0.719846,3.013436,6.550490,-0.003050,6.283109
0.020000,5.286526,14.449869,0.782735,3.144445,6.550427,-0.003189,6.283104
0.020000,5.352035,14.449863,0.848244,3.275452,6.550360,-0.003327,6.283099
0.020000,5.420164,14.449857,0.916374,3.406458,6.550291,-0.003466,6.283094
0.020000,5.490913,14.449850,0.987123,3.537462,6.550219,-0.003605,6.283089
0.020000,5.564282,14.449843,1.060492,3.668465,6.550144,-0.003743,6.283084
0.020000,5.640272,14.449835,1.136481,3.799466,6.550066,-0.003882,6.283079
0.020000,5.718881,14.449827,1.215091,3.930466,6.549986,-0.004021,6.283074
0.020000,5.800110,14.449817,1.296320,4.061464,6.549903,-0.004159,6.283070
0.020000,5.883960,14.449808,1.380169,4.192460,6.549817,-0.004298,6.283066
0.020000,5.970429,14.449797,1.466638,4.323455,6.549728,-0.004436,6.283062
0.020000,6.059518,14.449786,1.555727,4.454448,6.549636,-0.004575,6.283058
0.020000,6.151226,14.449774,1.647436,4.585438,6.549542,-0.004714,6.283055
0.020000,6.245555,14.449762,1.741765,4.716427,6.549445,-0.004852,6.283052
0.020000,6.342503,14.449749,1.838713,4.847414,6.549345,-0.004991,6.283050
0.020000,6.442071,14.449735,1.938281,4.978399,6.549243,-0.005130,6.283048
0.020000,6.544259,14.449721,2.040468,5.109382,6.549137,-0.005268,6.283047
0.020000,6.649066,14.449706,2.145276,5.240362,6.549029,-0.005407,6.283046
0.020000,6.756493,14.449691,2.252703,5.371341,6.548918,-0.005546,6.283046
0.020000,6.865729,14.449676,2.361938,5.461797,4.522791,-101.306372,6.283047
0.020000,6.974653,14.449661,2.470863,5.446228,-0.778450,-265.062066,6.283048
0.020000,7.081457,14.449647,2.577666,5.340173,-5.302728,-226.213895,6.283050
0.020000,7.185640,14.449633,2.681849,5.209137,-6.551781,-62.452613,6.283053
0.020000,7.287202,14.449619,2.783411,5.078104,-6.551670,0.005513,6.283056
0.020000,7.386143,14.449607,2.882353,4.947073,-6.551563,0.005374,6.283059
0.020000,7.482464,14.449595,2.978674,4.816044,-6.551458,0.005235,6.283063
0.020000,7.576164,14.449584,3.072374,4.685016,-6.551356,0.005097,6.283068
0.020000,7.667244,14.449573,3.163454,4.553991,-6.551257,0.004958,6.283073
0.020000,7.755704,14.449563,3.251913,4.422968,-6.551161,0.004819,6.283078
0.020000,7.841542,14.449554,3.337752,4.291947,-6.551067,0.004681,6.283083
0.020000,7.924761,14.449546,3.420971,4.160927,-6.550976,0.004542,6.283089
0.020000,8.005359,14.449539,3.501569,4.029910,-6.550888,0.004404,6.283095
0.020000,8.083337,14.449532,3.579547,3.898893,-6.550803,0.004265,6.283101
0.020000,8.158695,14.449526,3.654904,3.767879,-6.550720,0.004126,6.283107
0.020000,8.231432,14.449520,3.727642,3.636866,-6.550641,0.003988,6.283113
0.020000,8.301549,14.449515,3.797759,3.505855,-6.550564,0.003849,6.283119
0.020000,8.369046,14.449511,3.865256,3.374845,-6.550489,0.003710,6.283126
0.020000,8.433923,14.449507,3.930132,3.243837,-6.550418,0.003572,6.283132
0.020000,8.496179,14.449504,3.992389,3.112830,-6.550349,0.003433,6.283138
0.020000,8.555816,14.449502,4.052025,2.981824,-6.550283,0.003294,6.283144
0.020000,8.612832,14.449499,4.109042,2.850820,-6.550220,0.003156,6.283151
0.020000,8.667229,14.449498,4.163438,2.719817,-6.550160,0.003017,6.283157
0.020000,8.719005,14.449496,4.215214,2.588815,-6.550102,0.002879,6.283162
0.020000,8.768161,14.449495,4.264371,2.457814,-6.550048,0.002740,6.283168
0.020000,8.814697,14.449495,4.310907,2.326814,-6.549996,0.002601,6.283174
0.020000,8.858614,14.449494,4.354823,2.195815,-6.549946,0.002463,6.283179
0.020000,8.899910,14.449494,4.396120,2.064817,-6.549900,0.002324,6.283184
0.020000,8.938586,14.449494,4.434796,1.933820,-6.549856,0.002185,0.000004
0.020000,8.974643,14.449494,4.470852,1.802823,-6.549815,0.002047,0.000009
0.020000,9.008079,14.449495,4.504289,1.671828,-6.549777,0.001908,0.000013
0.020000,9.038896,14.449495,4.535106,1.540833,-6.549742,0.001769,0.000017
0.020000,9.067093,14.449496,4.563302,1.409839,-6.549709,0.001631,0.000021
0.020000,9.092670,14.449496,4.588879,1.278845,-6.549679,0.001492,0.000024
0.020000,9.115627,14.449497,4.611836,1.147852,-6.549652,0.001353,0.000028
0.020000,9.135964,14.449498,4.632174,1.016860,-6.549628,0.001215,0.000030
0.020000,9.153681,14.449498,4.649891,0.885867,-6.549606,0.001076,0.000033
0.020000,9.168779,14.449499,4.664988,0.754876,-6.549588,0.000938,0.000035
0.020000,9.181257,14.449499,4.677466,0.623884,-6.549572,0.000799,0.000037
0.020000,9.191114,14.449499,4.687324,0.492893,-6.549558,0.000660,0.000038
0.020000,9.198352,14.449500,4.694562,0.361902,-6.549548,0.000522,0.000039
0.020000,9.202971,14.449500,4.699180,0.230911,-6.549540,0.000383,0.000040
0.020000,9.205124,14.449500,4.701334,0.107688,-6.161160,19.419011,0.000040
0.020000,9.205624,14.449500,4.701834,0.024980,-4.135399,101.288034,0.000040
0.020000,9.205624,14.449500,4.701834,0.000000,-1.249008,144.319573,0.000040
