dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.504446,12.574903,0.000655,0.065504,3.275207,163.760362,0.000001
0.020000,4.504446,12.574903,0.000655,0.000016,-3.274430,-327.481847,0.000000
0.020000,4.508260,12.574903,0.004469,0.190685,9.533478,640.395361,6.283185
0.020000,4.516119,12.574903,0.012329,0.392978,10.114667,29.059467,6.283184
0.020000,4.526599,12.574903,0.022808,0.523972,6.549654,-178.250664,6.283183
0.020000,4.539698,12.574903,0.035907,0.654965,6.549665,0.000555,6.283181
0.020000,4.555417,12.574903,0.051627,0.785958,6.549679,0.000693,6.283179
0.020000,4.573756,12.574902,0.069966,0.916952,6.549695,0.000832,6.283177
0.020000,4.594715,12.574902,0.090924,1.047947,6.549715,0.000970,6.283174
0.020000,4.618294,12.574902,0.114503,1.178941,6.549737,0.001109,6.283171
0.020000,4.644493,12.574901,0.140702,1.309937,6.549762,0.001248,6.283168
0.020000,4.673311,12.574901,0.169521,1.440932,6.549789,0.001386,6.283165
0.020000,4.704750,12.574900,0.200959,1.571929,6.549820,0.001525,6.283161
0.020000,4.738809,12.574899,0.235018,1.702926,6.549853,0.001664,6.283157
0.020000,4.775487,12.574898,0.271696,1.833924,6.549889,0.001802,6.283153
0.020000,4.814785,12.574897,0.310995,1.964922,6.549928,0.001941,6.283149
0.020000,4.856704,12.574895,0.352913,2.095922,6.549970,0.002080,6.283144
0.020000,4.901242,12.574893,0.397452,2.226922,6.550014,0.002218,6.283140
0.020000,4.948401,12.574891,0.444610,2.357923,6.550061,0.002357,6.283135
0.020000,4.998179,12.574888,0.494389,2.488925,6.550111,0.002496,6.283130
0.020000,5.050578,12.574885,0.546787,2.619929,6.550164,0.002634,6.283125
0.020000,5.105597,12.574882,0.601806,2.750933,6.550219,0.002773,6.283120
0.020000,5.163235,12.574878,0.659445,2.881938,6.550277,0.002911,6.283114
0.020000,5.223494,12.574874,0.719703,3.012945,6.550338,0.003050,6.283109
0.020000,5.286373,12.574869,0.782583,3.143953,6.550402,0.003189,6.283104
0.020000,5.351873,12.574863,0.848082,3.274963,6.550469,0.003327,6.283099
0.020000,5.419992,12.574857,0.916201,3.405973,6.550538,0.003466,6.283094
0.020000,5.490732,12.574850,0.986941,3.536986,6.550610,0.003605,6.283089
0.020000,5.564092,12.574843,1.060301,3.667999,6.550685,0.003743,6.283084
0.020000,5.640072,12.574835,1.136281,3.799015,6.550763,0.003882,6.283079
0.020000,5.718673,12.574827,1.214882,3.930031,6.550843,0.004021,6.283074
0.020000,5.799894,12.574817,1.296103,4.061050,6.550926,0.004159,6.283070
0.020000,5.883735,12.574808,1.379944,4.192070,6.551012,0.004298,6.283066
0.020000,5.970197,12.574797,1.466406,4.323092,6.551101,0.004436,6.283062
0.020000,6.059279,12.574786,1.555488,4.454116,6.551192,0.004575,6.283058
0.020000,6.150982,12.574774,1.647191,4.585142,6.551287,0.004714,6.283055
0.020000,6.245305,12.574762,1.741515,4.716169,6.551384,0.004852,6.283052
0.020000,6.342249,12.574749,1.838459,4.847199,6.551484,0.004991,6.283050
0.020000,6.441814,12.574735,1.938023,4.978231,6.551586,0.005130,6.283048
0.020000,6.543999,12.574721,2.040209,5.109265,6.551692,0.005268,6.283047
0.020000,6.648805,12.574706,2.145015,5.240301,6.551800,0.005407,6.283046
