dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.567129,8.437833,0.000662,0.066207,3.310333,165.516627,0.000000
0.020000,4.567129,8.437833,0.000662,0.000013,-3.309706,-331.001936,0.000000
0.020000,4.571285,8.437833,0.004818,0.207794,10.389074,684.938996,6.283185
0.020000,4.579229,8.437833,0.012762,0.397203,9.470425,-45.932439,6.283184
0.020000,4.589821,8.437833,0.023354,0.529604,6.620052,-142.518642,6.283183
0.020000,4.603061,8.437833,0.036594,0.662005,6.620061,0.000447,6.283182
0.020000,4.618949,8.437833,0.052483,0.794406,6.620072,0.000558,6.283180
0.020000,4.637485,8.437833,0.071019,0.926808,6.620086,0.000670,6.283178
0.020000,4.658670,8.437832,0.092203,1.059210,6.620101,0.000782,6.283176
0.020000,4.682502,8.437832,0.116035,1.191612,6.620119,0.000894,6.283174
0.020000,4.708982,8.437832,0.142515,1.324015,6.620139,0.001005,6.283171
0.020000,4.738110,8.437831,0.171644,1.456418,6.620162,0.001117,6.283169
0.020000,4.769887,8.437831,0.203420,1.588822,6.620186,0.001229,6.283166
0.020000,4.804311,8.437830,0.237845,1.721226,6.620213,0.001340,6.283163
0.020000,4.841384,8.437829,0.274917,1.853631,6.620242,0.001452,6.283159
0.020000,4.881105,8.437828,0.314638,1.986037,6.620273,0.001564,6.283156
0.020000,4.923474,8.437827,0.357007,2.118443,6.620307,0.001675,6.283152
0.020000,4.968491,8.437825,0.402024,2.250850,6.620343,0.001787,6.283148
0.020000,5.016156,8.437823,0.449689,2.383257,6.620380,0.001899,6.283145
0.020000,5.066469,8.437821,0.500002,2.515666,6.620421,0.002010,6.283141
0.020000,5.119431,8.437819,0.552964,2.648075,6.620463,0.002122,6.283137
0.020000,5.175040,8.437816,0.608574,2.780485,6.620508,0.002234,6.283132
0.020000,5.233298,8.437813,0.666832,2.912896,6.620555,0.002346,6.283128
0.020000,5.294204,8.437809,0.727738,3.045308,6.620604,0.002457,6.283124
0.020000,5.357759,8.437805,0.791292,3.177721,6.620655,0.002569,6.283120
0.020000,5.423961,8.437801,0.857495,3.310136,6.620709,0.002681,6.283116
0.020000,5.492812,8.437796,0.926346,3.442551,6.620765,0.002792,6.283111
0.020000,5.564312,8.437790,0.997845,3.574967,6.620823,0.002904,6.283107
0.020000,5.638460,8.437784,1.071993,3.707385,6.620883,0.003016,6.283103
0.020000,5.715256,8.437778,1.148789,3.839804,6.620946,0.003127,6.283099
0.020000,5.794700,8.437771,1.228233,3.972224,6.621010,0.003239,6.283096
0.020000,5.876793,8.437763,1.310326,4.104646,6.621077,0.003351,6.283092
0.020000,5.961534,8.437755,1.395068,4.237069,6.621147,0.003462,6.283089
0.020000,6.048924,8.437747,1.482458,4.369493,6.621218,0.003574,6.283086
0.020000,6.138963,8.437738,1.572496,4.501919,6.621292,0.003686,6.283083
0.020000,6.231650,8.437728,1.665183,4.634346,6.621368,0.003798,6.283080
0.020000,6.326985,8.437718,1.760518,4.766775,6.621446,0.003909,6.283078
0.020000,6.424969,8.437707,1.858503,4.899206,6.621526,0.004021,6.283076
0.020000,6.525602,8.437696,1.959135,5.031638,6.621609,0.004133,6.283075
0.020000,6.628883,8.437685,2.062417,5.164072,6.621694,0.004244,6.283074
0.020000,6.734813,8.437673,2.168347,5.296507,6.621781,0.004356,6.283073
0.020000,6.843392,8.437661,2.276926,5.428945,6.621870,0.004468,6.283073
0.020000,6.954620,8.437648,2.388153,5.561384,6.621962,0.004579,6.283074
0.020000,7.068497,8.437636,2.502030,5.693825,6.622056,0.004691,6.283075
0.020000,7.185022,8.437623,2.618555,5.826268,6.622152,0.004803,6.283077
0.020000,7.304196,8.437610,2.737730,5.958713,6.622250,0.004914,6.283079
0.020000,7.426019,8.437597,2.859553,6.091160,6.622351,0.005026,6.283082
0.020000,7.550492,8.437585,2.984025,6.223609,6.622453,0.005138,6.283086
0.020000,7.677613,8.437572,3.111146,6.356060,6.622558,0.005249,6.283091
0.020000,7.807383,8.437560,3.240916,6.488514,6.622666,0.005361,6.283096
0.020000,7.939802,8.437549,3.373336,6.620969,6.622775,0.005473,6.283103
0.020000,8.074871,8.437538,3.508404,6.753427,6.622887,0.005585,6.283110
0.020000,8.212589,8.437529,3.646122,6.885887,6.623001,0.005696,6.283119
0.020000,8.352956,8.437520,3.786489,7.018349,6.623117,0.005808,6.283128
0.020000,8.495972,8.437513,3.929505,7.150814,6.623235,0.005920,6.283139
0.020000,8.641638,8.437507,4.075171,7.283281,6.623356,0.006031,6.283151
0.020000,8.789953,8.437503,4.223486,7.415751,6.623479,0.006143,6.283164
0.020000,8.940917,8.437500,4.374450,7.548223,6.623604,0.006255,6.283178
0.020000,9.105305,8.438389,4.538841,8.219538,33.565756,1347.107606,0.020299
0.020000,9.305397,8.447144,4.739124,10.014163,89.731279,2808.276143,0.067291
0.020000,9.508964,8.465832,4.943547,10.221135,10.348605,-3969.133674,0.115874
0.020000,9.715039,8.495026,5.151680,10.406641,9.275300,-53.665269,0.165592
0.020000,9.922532,8.535098,5.363007,10.566332,7.984544,-64.537783,0.215892
0.020000,10.130288,8.586182,5.576951,10.697216,6.544162,-72.019116,0.266160
0.020000,10.337158,8.648156,5.792905,10.797679,5.023164,-76.049886,0.315746
0.020000,10.542072,8.720649,6.010264,10.867970,3.514565,-75.429981,0.364006
0.020000,10.744108,8.803075,6.228467,10.910144,2.108702,-70.293152,0.410339
0.020000,10.941739,8.894292,6.446133,10.883329,-1.340751,-172.472629,0.454044
0.020000,11.132369,8.992185,6.660429,10.714801,-8.426430,-354.283945,0.494282
0.020000,11.314059,9.094446,6.868920,10.424534,-14.513312,-304.344112,0.530509
0.020000,11.486630,9.199500,7.070953,10.101632,-16.145128,-81.590792,0.562669
0.020000,11.650660,9.306275,7.266674,9.786078,-15.777688,18.371994,0.590919
0.020000,11.806774,9.413864,7.456271,9.479832,-15.312319,23.268442,0.615459
0.020000,11.955599,9.521514,7.639948,9.183848,-14.799173,25.657317,0.636509
0.020000,12.097746,9.628595,7.817915,8.898342,-14.275306,26.193353,0.654291
0.020000,12.233792,9.734587,7.990376,8.623041,-13.765030,25.513776,0.669024
0.020000,12.364267,9.839059,8.157523,8.357386,-13.282778,24.112591,0.680914
0.020000,12.489659,9.941651,8.319536,8.100647,-12.836950,22.291431,0.690151
0.020000,12.610404,10.042062,8.476577,7.852028,-12.430940,20.300509,0.696909
0.020000,12.726893,10.140040,8.628791,7.610731,-12.064843,18.304814,0.701344
0.020000,12.839471,10.235373,8.776311,7.376001,-11.736517,16.416318,0.703596
0.020000,12.948444,10.327880,8.919254,7.147144,-11.442862,14.682735,0.703791
0.020000,13.054077,10.417411,9.057725,6.923544,-11.179971,13.144564,0.702040
0.020000,13.156603,10.503838,9.191819,6.704675,-10.943465,11.825303,0.698445
0.020000,13.256220,10.587053,9.321621,6.490097,-10.728913,10.727618,0.693097
0.020000,13.353101,10.666971,9.447210,6.279448,-10.532417,9.824794,0.686080
0.020000,13.447389,10.743519,9.568659,6.072479,-10.348491,9.196272,0.677473
0.020000,13.539207,10.816646,9.686039,5.869003,-10.173786,8.735268,0.667350
