dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.561115,10.312813,0.000668,0.066806,3.340298,167.014889,0.006415
0.020000,4.561147,10.312814,0.000700,0.001590,-3.260788,-330.054312,0.006381
0.020000,4.565632,10.312842,0.005186,0.224286,11.134797,719.779283,0.006313
0.020000,4.573744,10.312893,0.013297,0.405579,9.064639,-103.507916,0.006212
0.020000,4.584558,10.312959,0.024112,0.540740,6.758051,-115.329385,0.006078
0.020000,4.598076,10.313040,0.037629,0.675874,6.756681,-0.068492,0.005911
0.020000,4.614295,10.313135,0.053849,0.810973,6.754970,-0.085572,0.005713
0.020000,4.633215,10.313241,0.072770,0.946031,6.752916,-0.102701,0.005483
0.020000,4.654836,10.313356,0.094390,1.081042,6.750519,-0.119829,0.005224
0.020000,4.679155,10.313480,0.118710,1.215997,6.747780,-0.136950,0.004937
0.020000,4.706173,10.313609,0.145728,1.350891,6.744699,-0.154084,0.004621
0.020000,4.735887,10.313741,0.175442,1.485717,6.741275,-0.171203,0.004280
0.020000,4.768296,10.313874,0.207852,1.620467,6.737508,-0.188349,0.003915
0.020000,4.803398,10.314005,0.242954,1.755135,6.733399,-0.205441,0.003527
0.020000,4.841192,10.314130,0.280749,1.889714,6.728946,-0.222628,0.003119
0.020000,4.881676,10.314248,0.321233,2.024197,6.724152,-0.239710,0.002692
0.020000,4.924848,10.314354,0.364404,2.158577,6.719014,-0.256891,0.002248
0.020000,4.970704,10.314447,0.410261,2.292848,6.713534,-0.273998,0.001791
0.020000,5.019244,10.314522,0.458801,2.427002,6.707712,-0.291125,0.001322
0.020000,5.070465,10.314578,0.510022,2.561033,6.701546,-0.308278,0.000844
0.020000,5.124364,10.314610,0.563921,2.694934,6.695038,-0.325394,0.000360
0.020000,5.180938,10.314617,0.620495,2.828697,6.688188,-0.342527,6.283057
0.020000,5.240184,10.314594,0.679741,2.962317,6.680995,-0.359654,6.282570
0.020000,5.302100,10.314541,0.741657,3.095787,6.673459,-0.376776,6.282085
0.020000,5.366682,10.314455,0.806239,3.229098,6.665581,-0.393898,6.281607
0.020000,5.433926,10.314333,0.873483,3.362245,6.657361,-0.411012,6.281139
0.020000,5.503831,10.314173,0.943388,3.495221,6.648798,-0.428134,6.280684
0.020000,5.576391,10.313976,1.015948,3.628019,6.639894,-0.445237,6.280247
0.020000,5.651603,10.313739,1.091161,3.760632,6.630646,-0.462357,6.279831
0.020000,5.729464,10.313462,1.169022,3.893053,6.621057,-0.479454,6.279441
0.020000,5.809968,10.313146,1.249528,4.025276,6.611126,-0.496577,6.279080
0.020000,5.893114,10.312791,1.332673,4.157293,6.600852,-0.513670,6.278753
0.020000,5.978895,10.312398,1.418455,4.289098,6.590236,-0.530797,6.278464
0.020000,6.067307,10.311969,1.506869,4.420683,6.579278,-0.547899,6.278219
0.020000,6.158347,10.311508,1.597910,4.552043,6.567978,-0.565024,6.278022
0.020000,6.252009,10.311017,1.691573,4.683169,6.556335,-0.582145,6.277878
0.020000,6.348289,10.310501,1.787854,4.814056,6.544350,-0.599279,6.277792
0.020000,6.447181,10.309966,1.886748,4.944697,6.532021,-0.616414,6.277770
0.020000,6.548681,10.309418,1.988250,5.075084,6.519350,-0.633564,6.277816
0.020000,6.652784,10.308865,2.092354,5.205211,6.506336,-0.650720,6.277937
0.020000,6.759484,10.308315,2.199056,5.335070,6.492978,-0.667880,6.278137
0.020000,6.868776,10.307778,2.308349,5.464656,6.479277,-0.685052,6.278424
0.020000,6.980654,10.307266,2.420228,5.593960,6.465233,-0.702211,6.278802
0.020000,7.095113,10.306790,2.534687,5.722977,6.450845,-0.719389,6.279279
0.020000,7.212146,10.306366,2.651721,5.851699,6.436114,-0.736533,6.279859
0.020000,7.331748,10.306009,2.771324,5.980120,6.421041,-0.753669,6.280551
0.020000,7.453912,10.305735,2.893488,6.108233,6.405626,-0.770756,6.281360
0.020000,7.578632,10.305565,3.018209,6.236030,6.389870,-0.787811,6.282293
0.020000,7.705903,10.305518,3.145479,6.363506,6.373774,-0.804773,0.000171
0.020000,7.835716,10.305617,3.275292,6.490653,6.357341,-0.821634,0.001373
0.020000,7.968065,10.305886,3.407642,6.617464,6.340574,-0.838371,0.002720
0.020000,8.102942,10.306353,3.542520,6.743934,6.323476,-0.854911,0.004219
0.020000,8.240342,10.307045,3.679921,6.870055,6.306051,-0.871228,0.005878
0.020000,8.380255,10.307993,3.819838,6.995821,6.288305,-0.887324,0.007704
0.020000,8.522674,10.309231,3.962262,7.121226,6.270246,-0.902915,0.009706
0.020000,8.667591,10.310794,4.107187,7.246263,6.251881,-0.918277,0.011890
0.020000,8.814997,10.312720,4.254606,7.370928,6.233223,-0.932878,0.014265
0.020000,8.975603,10.313164,4.415212,8.030318,32.969542,1336.815949,6.274085
0.020000,9.156594,10.309021,4.596251,9.051913,51.079702,905.507983,6.246291
0.020000,9.342030,10.299421,4.781935,9.284237,11.616226,-1973.173779,6.216395
0.020000,9.531825,10.283683,4.972382,9.522328,11.904560,14.416700,6.184265
0.020000,9.725840,10.261069,5.167711,9.766435,12.205329,15.038453,6.149779
0.020000,9.923834,10.230791,5.368006,10.014783,12.417407,10.603854,6.112842
0.020000,10.125458,10.192028,5.573323,10.265815,12.551613,6.710337,6.073396
0.020000,10.330234,10.143942,5.783668,10.517281,12.573283,1.083478,6.031437
0.020000,10.537518,10.085718,5.998974,10.765304,12.401144,-8.606934,5.987032
0.020000,10.746511,10.016598,6.219101,11.006346,12.052100,-17.452196,5.940335
0.020000,10.956239,9.935941,6.443804,11.235132,11.439331,-30.638441,5.891604
0.020000,11.165583,9.843273,6.672741,11.446849,10.585809,-42.676121,5.841204
0.020000,11.373314,9.738335,6.905473,11.636624,9.488791,-54.850919,5.789605
0.020000,11.578150,9.621128,7.141472,11.799913,8.164413,-66.218857,5.737371
0.020000,11.778836,9.491926,7.380151,11.933991,6.703907,-73.025299,5.685128
0.020000,11.974219,9.351267,7.620899,12.037403,5.170619,-76.664419,5.633529
0.020000,12.162693,9.200444,7.862291,12.069583,1.609002,-178.080876,5.583383
0.020000,12.342111,9.041856,8.101751,11.972987,-4.829806,-321.940376,5.535649
0.020000,12.510913,8.878168,8.336884,11.756676,-10.815561,-299.287732,5.491093
