dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.567129,17.461424,0.000661,0.066127,3.306328,165.316418,0.000000
0.020000,4.567129,17.461424,0.003306,0.198380,6.612657,165.316418,0.000000
0.020000,4.571714,17.461424,0.008596,0.330633,6.612657,0.000000,0.000000
0.020000,4.579649,17.461424,0.016532,0.462886,6.612657,-0.000000,0.000000
0.020000,4.590229,17.461424,0.027112,0.595139,6.612657,0.000000,0.000000
0.020000,4.603454,17.461424,0.040337,0.727392,6.612657,0.000000,0.000000
0.020000,4.619325,17.461424,0.056208,0.859645,6.612657,0.000000,0.000000
0.020000,4.637840,17.461424,0.074723,0.991899,6.612657,-0.000000,0.000000
0.020000,4.659001,17.461424,0.095884,1.124152,6.612657,0.000000,0.000000
0.020000,4.682806,17.461424,0.119689,1.256405,6.612657,-0.000000,0.000000
0.020000,4.709257,17.461424,0.146140,1.388658,6.612657,0.000000,0.000000
0.020000,4.738353,17.461424,0.175235,1.520911,6.612657,0.000000,0.000000
0.020000,4.770093,17.461424,0.206976,1.653164,6.612657,0.000000,0.000000
0.020000,4.804479,17.461424,0.241362,1.785417,6.612657,-0.000000,0.000000
0.020000,4.841510,17.461424,0.278393,1.917670,6.612657,0.000000,0.000000
0.020000,4.881186,17.461424,0.318069,2.049924,6.612657,-0.000000,0.000000
0.020000,4.923507,17.461424,0.360390,2.182177,6.612657,0.000000,0.000000
0.020000,4.968473,17.461424,0.405356,2.314430,6.612657,-0.000000,0.000000
0.020000,5.016084,17.461424,0.452967,2.446683,6.612657,0.000000,0.000000
0.020000,5.066340,17.461424,0.503223,2.578936,6.612657,0.000000,0.000000
0.020000,5.119242,17.461424,0.556124,2.711189,6.612657,0.000000,0.000000
0.020000,5.174788,17.461424,0.611671,2.843442,6.612657,0.000000,0.000000
0.020000,5.232979,17.461424,0.669862,2.975696,6.612657,0.000000,0.000000
0.020000,5.293816,17.461424,0.730699,3.107949,6.612657,-0.000000,0.000000
0.020000,5.357297,17.461424,0.794180,3.240202,6.612657,0.000000,0.000000
0.020000,5.423424,17.461424,0.860307,3.372455,6.612657,-0.000000,0.000000
0.020000,5.492195,17.461424,0.929078,3.504708,6.612657,0.000000,0.000000
0.020000,5.563612,17.461424,1.000495,3.636961,6.612657,0.000000,0.000000
0.020000,5.637674,17.461424,1.074557,3.769214,6.612657,0.000000,0.000000
0.020000,5.714381,17.461424,1.151264,3.901467,6.612657,-0.000000,0.000000
0.020000,5.793733,17.461424,1.230615,4.033721,6.612657,0.000000,0.000000
0.020000,5.875729,17.461424,1.312612,4.165974,6.612657,-0.000000,0.000000
0.020000,5.960371,17.461424,1.397254,4.298227,6.612657,0.000000,0.000000
0.020000,6.047659,17.461424,1.484541,4.430480,6.612657,0.000000,0.000000
0.020000,6.137591,17.461424,1.574474,4.562733,6.612657,0.000000,0.000000
0.020000,6.230168,17.461424,1.667051,4.694986,6.612657,0.000000,0.000000
0.020000,6.325390,17.461424,1.762273,4.827239,6.612657,0.000000,0.000000
0.020000,6.423257,17.461424,1.860140,4.959493,6.612657,-0.000000,0.000000
0.020000,6.523770,17.461424,1.960653,5.091746,6.612657,0.000000,0.000000
0.020000,6.626927,17.461424,2.063810,5.223999,6.612657,0.000000,0.000000
0.020000,6.732730,17.461424,2.169613,5.356252,6.612657,-0.000000,0.000000
0.020000,6.841177,17.461424,2.278060,5.488505,6.612657,0.000000,0.000000
0.020000,6.952270,17.461424,2.389153,5.620758,6.612657,-0.000000,0.000000
0.020000,7.066008,17.461424,2.502891,5.753011,6.612657,0.000000,0.000000
0.020000,7.182390,17.461424,2.619273,5.885264,6.612657,0.000000,0.000000
0.020000,7.301418,17.461424,2.738301,6.017518,6.612657,0.000000,0.000000
0.020000,7.423091,17.461424,2.859974,6.149771,6.612657,-0.000000,0.000000
0.020000,7.547409,17.461424,2.984292,6.282024,6.612657,-0.000000,0.000000
0.020000,7.674372,17.461424,3.111255,6.414277,6.612657,0.000000,0.000000
0.020000,7.803980,17.461424,3.240863,6.546530,6.612657,0.000000,0.000000
0.020000,7.936233,17.461424,3.373116,6.678783,6.612657,-0.000000,0.000000
0.020000,8.071132,17.461424,3.508014,6.811036,6.612657,0.000000,0.000000
0.020000,8.208675,17.461424,3.645558,6.943290,6.612657,-0.000000,0.000000
0.020000,8.348863,17.461424,3.785746,7.075543,6.612657,0.000000,0.000000
0.020000,8.491696,17.461424,3.928579,7.207796,6.612657,-0.000000,0.000000
0.020000,8.623248,17.461587,4.074058,7.340049,6.612657,0.000000,0.007368
0.020000,8.771336,17.464544,4.222181,7.472302,6.612657,0.000000,0.032780
0.020000,8.921941,17.471519,4.372950,7.604555,6.612657,0.000000,0.060014
0.020000,9.074922,17.482934,4.526364,7.736808,6.612657,0.000000,0.089183
0.020000,9.230122,17.499236,4.682422,7.869062,6.612657,-0.000000,0.120396
0.020000,9.387331,17.520899,4.841126,8.001315,6.612657,0.000000,0.153741
0.020000,9.546309,17.548414,5.002475,8.133568,6.612657,-0.000000,0.189290
0.020000,9.706756,17.582285,5.166469,8.265821,6.612657,0.000000,0.227072
0.020000,9.868329,17.623015,5.333108,8.398074,6.612657,-0.000000,0.267075
0.020000,10.030627,17.671099,5.502392,8.530327,6.612657,0.000000,0.309224
0.020000,10.193198,17.727002,5.674321,8.662580,6.612657,-0.000000,0.353374
0.020000,10.355546,17.791142,5.848895,8.794833,6.612657,0.000000,0.399295
