dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.567129,16.523924,0.000661,0.066127,3.306328,165.316418,0.000000
0.020000,4.567129,16.523924,0.000661,0.000000,-3.306328,-330.632837,0.000000
0.020000,4.571714,16.523924,0.005246,0.229237,11.461874,738.410115,0.000000
0.020000,4.579649,16.523924,0.013181,0.396759,8.376096,-154.288882,0.000000
0.020000,4.590229,16.523924,0.023761,0.529013,6.612657,-88.171977,0.000000
0.020000,4.603454,16.523924,0.036987,0.661266,6.612657,0.000000,0.000000
0.020000,4.619325,16.523924,0.052857,0.793519,6.612657,-0.000000,0.000000
0.020000,4.637840,16.523924,0.071373,0.925772,6.612657,0.000000,0.000000
0.020000,4.659001,16.523924,0.092533,1.058025,6.612657,-0.000000,0.000000
0.020000,4.682806,16.523924,0.116339,1.190278,6.612657,0.000000,0.000000
0.020000,4.709257,16.523924,0.142789,1.322531,6.612657,0.000000,0.000000
0.020000,4.738353,16.523924,0.171885,1.454784,6.612657,-0.000000,0.000000
0.020000,4.770093,16.523924,0.203626,1.587038,6.612657,0.000000,0.000000
0.020000,4.804479,16.523924,0.238012,1.719291,6.612657,-0.000000,0.000000
0.020000,4.841510,16.523924,0.275042,1.851544,6.612657,0.000000,0.000000
0.020000,4.881186,16.523924,0.314718,1.983797,6.612657,-0.000000,0.000000
0.020000,4.923507,16.523924,0.357039,2.116050,6.612657,0.000000,0.000000
0.020000,4.968473,16.523924,0.402005,2.248303,6.612657,-0.000000,0.000000
0.020000,5.016084,16.523924,0.449617,2.380556,6.612657,0.000000,0.000000
0.020000,5.066340,16.523924,0.499873,2.512810,6.612657,0.000000,0.000000
0.020000,5.119242,16.523924,0.552774,2.645063,6.612657,0.000000,0.000000
0.020000,5.174788,16.523924,0.608320,2.777316,6.612657,-0.000000,0.000000
0.020000,5.232979,16.523924,0.666512,2.909569,6.612657,0.000000,0.000000
0.020000,5.293816,16.523924,0.727348,3.041822,6.612657,0.000000,0.000000
0.020000,5.357297,16.523924,0.790830,3.174075,6.612657,0.000000,0.000000
0.020000,5.423424,16.523924,0.856956,3.306328,6.612657,-0.000000,0.000000
0.020000,5.492195,16.523924,0.925728,3.438582,6.612657,0.000000,0.000000
0.020000,5.563612,16.523924,0.997145,3.570835,6.612657,-0.000000,0.000000
0.020000,5.637674,16.523924,1.071206,3.703088,6.612657,0.000000,0.000000
0.020000,5.714381,16.523924,1.147913,3.835341,6.612657,-0.000000,0.000000
0.020000,5.793733,16.523924,1.227265,3.967594,6.612657,0.000000,0.000000
0.020000,5.875729,16.523924,1.309262,4.099847,6.612657,-0.000000,0.000000
0.020000,5.960371,16.523924,1.393904,4.232100,6.612657,0.000000,0.000000
0.020000,6.047659,16.523924,1.481191,4.364353,6.612657,0.000000,0.000000
0.020000,6.137591,16.523924,1.571123,4.496607,6.612657,-0.000000,0.000000
0.020000,6.230168,16.523924,1.663700,4.628860,6.612657,0.000000,0.000000
0.020000,6.325390,16.523924,1.758923,4.761113,6.612657,0.000000,0.000000
0.020000,6.423257,16.523924,1.856790,4.893366,6.612657,0.000000,0.000000
0.020000,6.523770,16.523924,1.957302,5.025619,6.612657,0.000000,0.000000
0.020000,6.626927,16.523924,2.060460,5.157872,6.612657,0.000000,0.000000
0.020000,6.732730,16.523924,2.166262,5.290125,6.612657,-0.000000,0.000000
0.020000,6.841177,16.523924,2.274710,5.422379,6.612657,0.000000,0.000000
0.020000,6.952270,16.523924,2.385802,5.554632,6.612657,-0.000000,0.000000
0.020000,7.066008,16.523924,2.499540,5.686885,6.612657,0.000000,0.000000
0.020000,7.182390,16.523924,2.615923,5.819138,6.612657,0.000000,0.000000
0.020000,7.301418,16.523924,2.734951,5.951391,6.612657,-0.000000,0.000000
0.020000,7.423091,16.523924,2.856624,6.083644,6.612657,0.000000,0.000000
0.020000,7.547409,16.523924,2.980942,6.215897,6.612657,-0.000000,0.000000
0.020000,7.674372,16.523924,3.107905,6.348150,6.612657,-0.000000,0.000000
0.020000,7.803980,16.523924,3.237513,6.480404,6.612657,0.000000,0.000000
0.020000,7.936233,16.523924,3.369766,6.612657,6.612657,-0.000000,0.000000
0.020000,8.071132,16.523924,3.504664,6.744910,6.612657,0.000000,0.000000
0.020000,8.208675,16.523924,3.642207,6.877163,6.612657,-0.000000,0.000000
0.020000,8.348863,16.523924,3.782396,7.009416,6.612657,0.000000,0.000000
0.020000,8.491696,16.523924,3.925229,7.141669,6.612657,0.000000,0.000000
0.020000,8.630155,16.524113,4.063688,6.922934,-10.936746,-877.470112,0.007368
0.020000,8.802062,16.527548,4.235629,8.597057,83.706121,4732.143301,0.032780
0.020000,8.978170,16.535707,4.411926,8.814872,10.890739,-3640.769052,0.060014
0.020000,9.158420,16.549159,4.592677,9.037553,11.134051,12.165574,0.089183
0.020000,9.342720,16.568523,4.777991,9.265709,11.407797,13.687296,0.120396
0.020000,9.530896,16.594457,4.967946,9.497750,11.602060,9.713160,0.153741
0.020000,9.722710,16.627660,5.162613,9.733310,11.778012,8.797580,0.189290
0.020000,9.917811,16.668851,5.362015,9.970115,11.840257,3.112275,0.227072
0.020000,10.115746,16.718753,5.566143,10.206402,11.814332,-1.296266,0.267075
0.020000,10.315927,16.778065,5.774926,10.439166,11.638219,-8.805632,0.309224
0.020000,10.517634,16.847429,5.988227,10.665022,11.292802,-17.270840,0.353374
0.020000,10.720017,16.927390,6.205833,10.880319,10.764843,-26.397971,0.399295
0.020000,10.922105,17.018352,6.427449,11.080815,10.024805,-37.001908,0.446674
0.020000,11.122844,17.120544,6.652703,11.262688,9.093626,-46.558956,0.495114
0.020000,11.321139,17.233989,6.881156,11.422639,7.997554,-54.803580,0.544144
0.020000,11.515909,17.358489,7.112317,11.558050,6.770579,-61.348756,0.593243
0.020000,11.706151,17.493631,7.345674,11.667863,5.490626,-63.997652,0.641864
0.020000,11.890998,17.638816,7.580721,11.752344,4.224041,-63.329253,0.689463
0.020000,12.069758,17.793294,7.816981,11.812975,3.031567,-59.623711,0.735534
0.020000,12.241228,17.955512,8.053025,11.802210,-0.538270,-178.491852,0.779442
0.020000,12.403500,18.122638,8.285969,11.647210,-7.749971,-360.585038,0.820415
0.020000,12.555501,18.292011,8.513547,11.378912,-13.414887,-283.245779,0.857962
0.020000,12.697554,18.462179,8.735214,11.083343,-14.778464,-68.178884,0.892023
0.020000,12.830450,18.632278,8.951072,10.792888,-14.522772,12.784638,0.922706
0.020000,12.954988,18.801601,9.161262,10.509522,-14.168268,17.725162,0.950164
0.020000,13.071951,18.969580,9.365951,10.234426,-13.754841,20.671379,0.974572
0.020000,13.182084,19.135762,9.565314,9.968175,-13.312508,22.116658,0.996121
0.020000,13.286079,19.299787,9.759529,9.710726,-12.872460,22.002382,1.014998
0.020000,13.384578,19.461369,9.948766,9.461878,-12.442421,21.501949,1.031386
0.020000,13.478163,19.620284,10.133190,9.221189,-12.034429,20.399612,1.045461
0.020000,13.567362,19.776353,10.312951,8.988038,-11.657567,18.843102,1.057383
0.020000,13.652651,19.929434,10.488188,8.761850,-11.309391,17.408774,1.067300
0.020000,13.734456,20.079414,10.659027,8.541967,-10.994138,15.762677,1.075348
0.020000,13.813161,20.226202,10.825584,8.327822,-10.707242,14.344805,1.081648
0.020000,13.889106,20.369723,10.987960,8.118819,-10.450178,12.853198,1.086311
0.020000,13.962594,20.509919,11.146249,7.914443,-10.218770,11.570396,1.089435
0.020000,14.033895,20.646739,11.300533,7.714213,-10.011510,10.362977,1.091109
0.020000,14.103249,20.780143,11.450888,7.517721,-9.824613,9.344874,1.091413
0.020000,14.170866,20.910096,11.597379,7.324586,-9.656742,8.393532,1.090417
0.020000,14.236933,21.036569,11.740069,7.134486,-9.504996,7.587323,1.088188
0.020000,14.301612,21.159540,11.879012,6.947159,-9.366340,6.932768,1.084784
0.020000,14.365045,21.278989,12.014259,6.762356,-9.240170,6.308523,1.080259
0.020000,14.427354,21.394901,12.145857,6.579903,-9.122662,5.875415,1.074663
0.020000,14.488643,21.507266,12.273850,6.399643,-9.013005,5.482801,1.068042
0.020000,14.549002,21.616075,12.398280,6.221471,-8.908587,5.220939,1.060443
0.020000,14.608502,21.721327,12.519186,6.045297,-8.808675,4.995573,1.051906
0.020000,14.667204,21.823023,12.636608,5.871104,-8.709652,4.951151,1.042475
0.020000,14.725154,21.921169,12.750585,5.698847,-8.612868,4.839213,1.032191
0.020000,14.782387,22.015775,12.861156,5.528554,-8.514644,4.911177,1.021094
0.020000,14.838927,22.106857,12.968360,5.360228,-8.416321,4.916188,1.009229
0.020000,14.894789,22.194438,13.072240,5.193975,-8.312654,5.183338,0.996639
0.020000,14.949977,22.278545,13.172837,5.029841,-8.206690,5.298177,0.983368
0.020000,15.004491,22.359211,13.270195,4.867934,-8.095329,5.568047,0.969464
0.020000,15.058319,22.436476,13.364362,4.708310,-7.981206,5.706192,0.954977
0.020000,15.111446,22.510385,13.455384,4.551127,-7.859138,6.103363,0.939958
0.020000,15.163851,22.580991,13.543313,4.396460,-7.733393,6.287291,0.924461
0.020000,15.215509,22.648352,13.628202,4.244428,-7.601559,6.591678,0.908542
0.020000,15.266390,22.712533,13.710104,4.095128,-7.465010,6.827441,0.892259
0.020000,15.316462,22.773604,13.789078,3.948660,-7.323418,7.079608,0.875673
0.020000,15.365689,22.831639,13.865179,3.805075,-7.179240,7.208894,0.858845
0.020000,15.414036,22.886719,13.938468,3.664433,-7.032113,7.356340,0.841839
0.020000,15.461464,22.938928,14.009003,3.526780,-6.882635,7.473931,0.824717
0.020000,15.507936,22.988354,14.076845,3.392099,-6.734036,7.429937,0.807543
0.020000,15.553413,23.035086,14.142053,3.260398,-6.585051,7.449259,0.790381
0.020000,15.597856,23.079218,14.204686,3.131614,-6.439224,7.291362,0.773293
0.020000,15.641227,23.120843,14.264799,3.005684,-6.296516,7.135391,0.756340
0.020000,15.683488,23.160055,14.322450,2.882513,-6.158525,6.899537,0.739580
0.020000,15.724601,23.196949,14.377689,2.761986,-6.026366,6.607970,0.723071
0.020000,15.764529,23.231618,14.430568,2.643964,-5.901093,6.263611,0.706865
0.020000,15.803238,23.264153,14.481135,2.528310,-5.782715,5.918909,0.691013
0.020000,15.840691,23.294646,14.529431,2.414825,-5.674227,5.424413,0.675562
0.020000,15.876855,23.323184,14.575499,2.303380,-5.572271,5.097808,0.660555
0.020000,15.911695,23.349852,14.619374,2.193770,-5.480495,4.588797,0.646030
0.020000,15.945180,23.374733,14.661090,2.085813,-5.397838,4.132847,0.632024
0.020000,15.977276,23.397905,14.700677,1.979351,-5.323085,3.737656,0.618568
0.020000,16.007954,23.419444,14.738162,1.874206,-5.257244,3.292032,0.605690
0.020000,16.037183,23.439422,14.773566,1.770209,-5.199863,2.869077,0.593415
0.020000,16.064934,23.457907,14.806909,1.667184,-5.151253,2.430455,0.581763
0.020000,16.091180,23.474962,14.838210,1.565023,-5.108053,2.160020,0.570754
0.020000,16.115893,23.490649,14.867482,1.463592,-5.071558,1.824733,0.560401
0.020000,16.139048,23.505024,14.894736,1.362705,-5.044345,1.360694,0.550719
0.020000,16.160622,23.518139,14.919983,1.262373,-5.016614,1.386536,0.541716
0.020000,16.180591,23.530042,14.943231,1.162385,-4.999362,0.862602,0.533402
0.020000,16.198934,23.540780,14.964485,1.062707,-4.983943,0.770919,0.525784
0.020000,16.215631,23.550392,14.983752,0.963321,-4.969254,0.734480,0.518866
0.020000,16.230664,23.558915,15.001033,0.864050,-4.963565,0.284456,0.512652
0.020000,16.244017,23.566382,15.016332,0.764968,-4.954122,0.472152,0.507145
0.020000,16.255676,23.572823,15.029652,0.665991,-4.948861,0.263032,0.502348
0.020000,16.265626,23.578263,15.040992,0.566990,-4.950030,-0.058450,0.498262
0.020000,16.273858,23.582723,15.050354,0.468134,-4.942789,0.362058,0.494887
