dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.000000,0.000000,0.000548,0.054753,2.737660,136.883009,0.000000
0.020000,4.000000,0.000000,0.002738,0.164260,5.475320,136.883009,0.000000
0.020000,4.002118,0.000000,0.007118,0.273766,5.475320,0.000000,0.000000
0.020000,4.008688,0.000000,0.013688,0.383272,5.475320,-0.000000,0.000000
0.020000,4.017449,0.000000,0.022449,0.492779,5.475320,0.000000,0.000000
0.020000,4.028399,0.000000,0.033399,0.602285,5.475320,0.000000,0.000000
0.020000,4.041540,0.000000,0.046540,0.711792,5.475320,-0.000000,0.000000
0.020000,4.056871,0.000000,0.061871,0.821298,5.475320,0.000000,0.000000
0.020000,4.074392,0.000000,0.079392,0.930804,5.475320,-0.000000,0.000000
0.020000,4.094103,0.000000,0.099103,1.040311,5.475320,-0.000000,0.000000
0.020000,4.116005,0.000000,0.121005,1.149817,5.475320,0.000000,0.000000
0.020000,4.140096,0.000000,0.145096,1.259324,5.475320,-0.000000,0.000000
0.020000,4.166378,0.000000,0.171378,1.368830,5.475320,0.000000,0.000000
0.020000,4.194849,0.000000,0.199849,1.478336,5.475320,0.000000,0.000000
0.020000,4.225511,0.000000,0.230511,1.587843,5.475320,-0.000000,0.000000
0.020000,4.258363,0.000000,0.263363,1.697349,5.475320,0.000000,0.000000
0.020000,4.293405,0.000000,0.298405,1.806856,5.475320,0.000000,0.000000
0.020000,4.330637,0.000000,0.335637,1.916362,5.475320,-0.000000,0.000000
0.020000,4.370059,0.000000,0.375059,2.025869,5.475320,0.000000,0.000000
0.020000,4.411672,0.000000,0.416672,2.135375,5.475320,-0.000000,0.000000
0.020000,4.455474,0.000000,0.460474,2.244881,5.475320,0.000000,0.000000
0.020000,4.501467,0.000000,0.506467,2.354388,5.475320,0.000000,0.000000
0.020000,4.549650,0.000000,0.554650,2.463894,5.475320,0.000000,0.000000
0.020000,4.600023,0.000000,0.605023,2.573401,5.475320,0.000000,0.000000
0.020000,4.652586,0.000000,0.657586,2.682907,5.475320,0.000000,0.000000
0.020000,4.707339,0.000000,0.712339,2.792413,5.475320,0.000000,0.000000
0.020000,4.764283,0.000000,0.769283,2.901920,5.475320,0.000000,0.000000
0.020000,4.823416,0.000000,0.828416,3.011426,5.475320,0.000000,0.000000
0.020000,4.884740,0.000000,0.889740,3.120933,5.475320,0.000000,0.000000
0.020000,4.948253,0.000000,0.953253,3.230439,5.475320,-0.000000,0.000000
0.020000,5.013957,0.000000,1.018957,3.339945,5.475320,0.000000,0.000000
0.020000,5.081851,0.000000,1.086851,3.449452,5.475320,0.000000,0.000000
0.020000,5.151935,0.000000,1.156935,3.558958,5.475320,-0.000000,0.000000
0.020000,5.224209,0.000000,1.229209,3.668465,5.475320,-0.000000,0.000000
0.020000,5.298674,0.000000,1.303674,3.777971,5.475320,0.000000,0.000000
0.020000,5.375328,0.000000,1.380328,3.887477,5.475320,-0.000000,0.000000
0.020000,5.454173,0.000000,1.459173,3.996984,5.475320,-0.000000,0.000000
0.020000,5.535208,0.000000,1.540208,4.106490,5.475320,0.000000,0.000000
0.020000,5.618432,0.000000,1.623432,4.215997,5.475320,-0.000000,0.000000
0.020000,5.703847,0.000000,1.708847,4.325503,5.475320,0.000000,0.000000
0.020000,5.791453,0.000000,1.796453,4.435009,5.475320,0.000000,0.000000
0.020000,5.881248,0.000000,1.886248,4.544516,5.475320,0.000000,0.000000
0.020000,5.973233,0.000000,1.978233,4.654022,5.475320,0.000000,0.000000
0.020000,6.067409,0.000000,2.072409,4.763529,5.475320,0.000000,0.000000
0.020000,6.163774,0.000000,2.168774,4.873035,5.475320,0.000000,0.000000
0.020000,6.262330,0.000000,2.267330,4.982542,5.475320,0.000000,0.000000
0.020000,6.363076,0.000000,2.368076,5.092048,5.475320,0.000000,0.000000
0.020000,6.465465,0.000000,2.470465,5.146801,2.737660,-136.883009,0.000000
0.020000,6.568194,0.000000,2.573194,5.126128,-1.033646,-188.565320,0.000000
0.020000,6.669962,0.000000,2.674962,5.050702,-3.771306,-136.883009,0.000000
0.020000,6.769881,0.000000,2.774881,4.941196,-5.475320,-85.200697,0.000000
0.020000,6.867610,0.000000,2.872610,4.831689,-5.475320,0.000000,0.000000
0.020000,6.963149,0.000000,2.968149,4.722183,-5.475320,-0.000000,0.000000
0.020000,7.056497,0.000000,3.061497,4.612676,-5.475320,0.000000,0.000000
0.020000,7.147656,0.000000,3.152656,4.503170,-5.475320,-0.000000,0.000000
0.020000,7.236624,0.000000,3.241624,4.393664,-5.475320,-0.000000,0.000000
0.020000,7.323402,0.000000,3.328402,4.284157,-5.475320,0.000000,0.000000
0.020000,7.407990,0.000000,3.412990,4.174651,-5.475320,-0.000000,0.000000
0.020000,7.490388,0.000000,3.495388,4.065144,-5.475320,-0.000000,0.000000
0.020000,7.570596,0.000000,3.575596,3.955638,-5.475320,0.000000,0.000000
0.020000,7.648614,0.000000,3.653614,3.846132,-5.475320,0.000000,0.000000
0.020000,7.724441,0.000000,3.729441,3.736625,-5.475320,-0.000000,0.000000
0.020000,7.798079,0.000000,3.803079,3.627119,-5.475320,0.000000,0.000000
0.020000,7.869526,0.000000,3.874526,3.517612,-5.475320,-0.000000,0.000000
0.020000,7.938783,0.000000,3.943783,3.408106,-5.475320,0.000000,0.000000
0.020000,8.005850,0.000000,4.010850,3.298600,-5.475320,-0.000000,0.000000
0.020000,8.070727,0.000000,4.075727,3.189093,-5.475320,-0.000000,0.000000
0.020000,8.133414,0.000000,4.138414,3.079587,-5.475320,0.000000,0.000000
0.020000,8.193911,0.000000,4.198911,2.970080,-5.475320,-0.000000,0.000000
0.020000,8.252217,0.000000,4.257217,2.860574,-5.475320,-0.000000,0.000000
0.020000,8.308334,0.000000,4.313334,2.751068,-5.475320,0.000000,0.000000
0.020000,8.362260,0.000000,4.367260,2.641561,-5.475320,0.000000,0.000000
0.020000,8.413996,0.000000,4.418996,2.532055,-5.475320,-0.000000,0.000000
0.020000,8.463542,0.000000,4.468542,2.422548,-5.475320,0.000000,0.000000
0.020000,8.510898,0.000000,4.515898,2.313042,-5.475320,0.000000,0.000000
0.020000,8.556064,0.000000,4.561064,2.203535,-5.475320,0.000000,0.000000
0.020000,8.599040,0.000000,4.604040,2.094029,-5.475320,-0.000000,0.000000
0.020000,8.639825,0.000000,4.644825,1.984523,-5.475320,0.000000,0.000000
0.020000,8.678420,0.000000,4.683420,1.875016,-5.475320,-0.000000,0.000000
0.020000,8.714826,0.000000,4.719826,1.765510,-5.475320,0.000000,0.000000
0.020000,8.749041,0.000000,4.754041,1.656003,-5.475320,0.000000,0.000000
0.020000,8.781066,0.000000,4.786066,1.546497,-5.475320,0.000000,0.000000
0.020000,8.810901,0.000000,4.815901,1.436991,-5.475320,-0.000000,0.000000
0.020000,8.838545,0.000000,4.843545,1.327484,-5.475320,0.000000,0.000000
0.020000,8.864000,0.000000,4.869000,1.217978,-5.475320,-0.000000,0.000000
0.020000,8.887265,0.000000,4.892265,1.108471,-5.475320,-0.000000,0.000000
0.020000,8.908339,0.000000,4.913339,0.998965,-5.475320,0.000000,0.000000
0.020000,8.927223,0.000000,4.932223,0.889459,-5.475320,-0.000000,0.000000
0.020000,8.943917,0.000000,4.948917,0.779952,-5.475320,0.000000,0.000000
0.020000,8.958421,0.000000,4.963421,0.670446,-5.475320,0.000000,0.000000
0.020000,8.970735,0.000000,4.975735,0.560939,-5.475320,-0.000000,0.000000
0.020000,8.980859,0.000000,4.985859,0.451433,-5.475320,0.000000,0.000000
0.020000,8.988792,0.000000,4.993792,0.341927,-5.475320,-0.000000,0.000000
0.020000,8.994536,0.000000,4.999536,0.232420,-5.475320,0.000000,0.000000
0.020000,8.998089,0.000000,5.003089,0.122914,-5.475320,0.000000,0.000000
0.020000,8.999659,0.000000,5.004659,0.034080,-4.441674,51.682311,0.000000
0.020000,9.000000,0.000000,5.005000,0.000000,-1.704014,136.883009,0.000000
0.020000,9.000000,0.000000,5.005000,0.000000,0.000000,85.200697,0.000000
